gene,score,validation,label
ABCC3,0.013553666,False,-1
ABCF2,0.65857756,False,-1
ABL1,0.18030165,False,-1
ABLIM1,0.10682296,False,-1
ACAN,0.012020187,False,-1
ACOT12,0.06631885,False,-1
ACTB,0.00013736551,False,-1
ACTG1,0.02378222,False,-1
ACTN2,0.1420712,False,-1
ACVR1,0.021296743,False,-1
ADAM28,5.3847274e-12,True,0
ADAM29,0.08007409,False,-1
ADAM32,0.15780619,False,-1
ADAMTS16,0.5864398,False,-1
ADAMTS2,0.0794965,False,-1
ADAMTS3,0.07531131,False,-1
ADAMTS9-AS1,0.0007302232,False,-1
ADAMTSL1,0.18064028,False,-1
ADARB1,0.10913415,False,-1
ADARB2,3.0064079e-05,False,-1
ADCY2,0.63850886,False,1
ADCYAP1,0.0037177487,False,-1
ADGRL2,0.0013244704,False,-1
ADNP,0.3609464,False,-1
ADNP2,0.3746986,False,-1
ADRA1D,0.66142464,False,-1
ADTRP,0.00017957487,False,-1
AEBP2,0.07897731,False,-1
AFAP1,0.008479693,False,-1
AFAP1-AS1,0.013320785,False,-1
AFF4,0.5181895,False,-1
AGAP2,0.8804282,False,-1
AGBL1,0.004236885,False,-1
AHCTF1,0.54934967,False,0
AHDC1,0.042349108,False,-1
AHNAK2,0.0006630398,False,-1
AHR,0.48018238,False,-1
AHRR,0.61556894,False,-1
AK5,0.5206055,False,-1
AKAP13,0.2483807,False,-1
ALDH1A2,1.2564554e-05,False,-1
ALDOC,0.0034387654,False,-1
ALK,1.0208673e-08,False,-1
ALOX5,1.1711474e-11,False,-1
ALOX5AP,5.988832e-18,False,-1
ALX3,0.80294627,False,-1
ANAPC10,0.010551287,False,-1
ANK1,0.48914152,False,-1
ANKRD18A,1.4302121e-05,False,-1
ANKRD24,0.09540472,False,-1
ANKRD28,0.4495739,False,-1
ANKRD30A,0.02795922,True,0
ANKRD30B,0.021015164,False,-1
ANKRD30BL,0.30740085,False,-1
ANKRD33B,0.15906055,False,-1
ANKRD34B,0.0001425903,False,-1
ANKRD34C-AS1,0.13285467,False,-1
ANKRD44,0.6749265,False,-1
ANKRD6,0.013959752,False,-1
ANKRD62,0.27596155,False,-1
ANKRD7,0.10840851,False,-1
ANO10,0.2296045,False,-1
ANO3,0.16300553,False,-1
ANO4,0.0029180716,False,-1
ANO6,0.1231784,False,-1
ANOS1,0.7373693,False,-1
ANXA1,0.414497,False,-1
ANXA11,0.1447772,False,-1
ANXA4,0.09747743,False,-1
AP1S1,0.02173658,False,-1
AP1S2,0.13311164,False,-1
AP2M1,0.24664412,False,-1
AP2S1,2.7508931e-06,False,-1
APBA2,0.2307751,False,-1
APBB1IP,3.099478e-14,False,0
APBB2,0.02077405,False,-1
APELA,0.006132928,False,-1
APLF,0.008041206,False,-1
APOD,0.1423691,False,-1
APOE,0.0032337187,False,-1
AQP4,0.010136046,False,-1
AQP4-AS1,0.15574387,False,-1
AQP9,0.00018717443,False,-1
ARF1,0.017659403,False,-1
ARF3,0.1646772,False,-1
ARFGAP1,0.5513265,False,-1
ARG1,0.17231241,False,-1
ARHGAP20,0.44287902,False,-1
ARHGAP24,1.2416547e-17,False,0
ARHGAP26,0.34497494,False,-1
ARHGAP29,0.019709507,False,-1
ARHGAP30,0.023765782,False,-1
ARHGAP6,0.00016764905,False,-1
ARHGDIA,0.10443417,False,-1
ARHGDIG,0.00033507563,False,-1
ARHGEF10,0.86563224,False,-1
ARHGEF28,0.34402108,False,-1
ARID3A,0.03650292,False,-1
ARID3B,0.08648522,False,-1
ARID3C,0.012367907,False,-1
ARID5B,0.15648277,False,-1
ARL4C,0.008696615,False,-1
ARL4D,0.008278008,False,-1
ARL6IP1,0.14113086,False,-1
ARLNC1,0.019286048,False,-1
ARNT,0.6286879,False,-1
ARNT2,0.16545126,False,-1
ARNTL,0.16644052,False,-1
ARNTL2,0.06475065,False,-1
ARPC5L,0.0005826734,False,-1
ARPP19,0.81128913,False,-1
ARRDC3-AS1,0.2711384,False,-1
ARSG,0.3080319,False,-1
ART3,1.2707714e-07,False,-1
ARX,0.43772584,False,-1
ASAP1,0.43307483,False,-1
ASAP2,0.18443845,False,-1
ASB15,1.4197382e-13,False,-1
ASB18,0.028428985,False,-1
ASB2,0.057623036,False,-1
ASCC1,0.30343986,False,-1
ASCL1,0.00807985,False,-1
