gene,label,mean,std,score_0,score_1,score_2,score_3,score_4,validation_0,validation_1,validation_2,validation_3,validation_4
ABCC3,0,0.014942461200000002,0.004432847328536727,0.01400626,0.018056244,0.008868756,0.01345915,0.020321896,False,False,False,False,True
ABCF2,0,0.024774641799999997,0.006282218619746188,0.031869784,0.028721973,0.019183358,0.026835613,0.017262481,False,False,False,False,True
ABL1,0,0.0454451742,0.01865999755742171,0.034119595,0.06926088,0.05181933,0.051485024,0.020541042,False,False,False,False,True
ABLIM1,1,0.0386959864,0.019728770380008916,0.021909975,0.0690185,0.040417645,0.04193665,0.020197162,False,False,False,True,False
ACAN,0,0.0164548901,0.006189071815155549,0.014747502,0.011002804,0.0147495475,0.027147384,0.014627213,True,False,False,False,False
ACOT12,0,0.029307161800000002,0.018441767956586218,0.020496638,0.016260238,0.015530277,0.059121042,0.035127614,True,False,False,False,False
ACTB,0,0.011985005418,0.013086830948306526,0.018841617,4.165899e-05,0.0005689651,0.030934691,0.009538095,False,False,False,True,False
ACTG1,0,0.012219454384999998,0.009958176354732328,0.014102676,0.018888315,1.6638625e-05,0.023869999,0.0042196433,False,False,False,True,False
ACTN2,0,0.031240066500000004,0.017049068309533552,0.0132248625,0.021374997,0.039988246,0.056318473,0.025293754,False,False,False,False,True
ACVR1,0,0.0319998634,0.022585865697744248,0.01521312,0.065759555,0.037861355,0.033308815,0.007856472,False,True,False,False,False
ADAM28,0,0.0047249746,0.006703765601772922,0.0022331127,0.016453655,0.0005323343,0.0005161025,0.0038896685,False,True,False,False,False
ADAM29,0,0.10478011520000001,0.021693917522036792,0.12026933,0.069673486,0.12493059,0.10311192,0.10591525,False,True,False,False,False
ADAM32,0,0.1059635852,0.02064318463386295,0.12328197,0.108403996,0.12827092,0.08778406,0.08207698,True,False,False,False,False
ADAMTS16,0,0.027676813900000003,0.027847808396244924,0.06310841,0.009896157,0.0018756035,0.011361559,0.05214234,False,True,False,False,False
ADAMTS2,1,0.0205243116,0.012567878264079952,0.021981226,0.038793016,0.003426652,0.018931901,0.019488763,False,False,True,False,False
ADAMTS3,0,0.067656189,0.03518981429788498,0.03963297,0.12579462,0.07387402,0.042811055,0.05616828,False,False,True,False,False
ADAMTS9-AS1,0,0.0494142706,0.026513394041697762,0.06833211,0.003805275,0.06406509,0.062016375,0.048852503,False,False,False,True,False
ADAMTSL1,0,0.0469641718,0.013738323754847886,0.056254268,0.059693087,0.045628253,0.048684034,0.024561217,False,False,True,False,False
ADARB1,0,0.0994371638,0.024761613509180547,0.11479466,0.09453752,0.13368034,0.080327384,0.073845915,False,False,False,True,False
ADARB2,0,0.0193498128,0.014693589370959576,0.014810059,0.013283583,0.032852113,0.035504088,0.000299221,False,False,True,False,False
ADCY2,1,0.062249373600000005,0.006193666362176956,0.059366055,0.06144576,0.06210954,0.07244361,0.055881903,True,False,False,False,False
ADCYAP1,0,0.0419081044,0.02472367868341304,0.04997902,0.004749151,0.047639407,0.07220766,0.034965284,False,True,False,False,False
ADGRL2,0,0.01363482134,0.010138699279100919,0.013109823,0.0124353925,0.008896354,0.030396255,0.0033362822,False,True,False,False,False
ADNP,0,0.0709699352,0.025523325454384762,0.085940376,0.029337,0.06332834,0.08900683,0.08723713,False,False,False,True,False
ADNP2,0,0.072390515,0.025062395423503515,0.08701444,0.031190785,0.06567445,0.0900208,0.0880521,False,True,False,False,False
ADRA1D,0,0.01212396158,0.009187591981498664,0.01618095,0.012051326,0.0032388791,0.0038451678,0.025303485,False,False,True,False,False
ADTRP,1,0.038036409,0.024213364732877916,0.025598604,0.020929739,0.075593986,0.018944526,0.04911519,False,False,False,True,False
AEBP2,0,0.08529085420000002,0.023479618114604063,0.07915074,0.064845845,0.089718856,0.12361271,0.06912612,False,False,True,False,False
AFAP1,0,0.0276397232,0.007455418271510305,0.025209727,0.036977056,0.03345584,0.018588012,0.023967981,False,False,False,True,False
AFAP1-AS1,0,0.02581838626,0.017389140666780434,0.025703022,0.05215956,0.012880628,0.0077729053,0.030575816,False,False,False,False,True
AFF4,0,0.0604361352,0.010555756751466173,0.07096809,0.049736474,0.053400625,0.055527467,0.07254802,True,False,False,False,False
AGAP2,0,0.024352608725999998,0.01441689779966932,0.021928355,0.033640373,0.031723976,0.00015308463,0.034317255,False,False,False,False,True
AGBL1,1,0.03987711680000001,0.0137412367899155,0.024932558,0.04548965,0.05198421,0.0517186,0.025260566,True,False,False,False,False
AHCTF1,0,0.072688006,0.008520289829814356,0.078682326,0.059371434,0.06897427,0.07710372,0.07930828,False,False,False,True,False
AHDC1,0,0.03303678728,0.025450146839414413,0.016357917,0.024585024,0.046139263,0.0074501564,0.070651576,False,False,True,False,False
AHNAK2,0,0.008831042090000001,0.012090743583415534,0.027549429,0.0009721757,0.0006468922,0.014636375,0.00035033855,False,False,False,True,False
AHR,0,0.07805198599999999,0.01952872261716009,0.0887929,0.04628065,0.07207144,0.09129682,0.09181812,False,True,False,False,False
AHRR,0,0.0597590182,0.007011260855677615,0.054791924,0.061226897,0.06316881,0.06869681,0.05091065,False,False,True,False,False
AK5,0,0.0686706808,0.007345497197144058,0.06719899,0.079462826,0.06416775,0.060547534,0.071976304,False,False,True,False,False
AKAP13,0,0.045881486000000006,0.007212267549110438,0.034701355,0.050710347,0.053406924,0.046397224,0.04419158,False,False,False,False,True
ALDH1A2,0,0.0388655357,0.030250774724205544,0.038358036,0.058524784,0.007656011,0.0115255425,0.078263305,False,False,True,False,False
ALDOC,0,0.028231509,0.009742143639774256,0.025365546,0.015453183,0.024549576,0.03987326,0.03591598,True,False,False,False,False
ALK,0,0.014704103716,0.008961097010195327,0.015887467,0.00046317058,0.025388384,0.015767427,0.01601407,False,False,False,False,True
ALOX5,0,0.0244628174,0.016578548526861067,0.012441102,0.051328093,0.02168952,0.009692939,0.027162433,False,False,False,False,True
ALOX5AP,0,0.0044017297740000004,0.006604679664092726,0.00030747827,0.01602053,0.0027180652,0.000290685,0.0026718904,False,False,False,True,False
ALX3,0,0.0127554567,0.013808522932311879,0.0070466488,0.012408567,0.0019146797,0.00587851,0.036528878,False,False,True,False,False
ANAPC10,0,0.044667383399999996,0.026539640725394848,0.018756988,0.08531746,0.045767695,0.05029304,0.023201734,False,False,True,False,False
ANK1,0,0.03953246740000001,0.013963734883936776,0.030187618,0.063464195,0.03534662,0.039245084,0.02941882,False,True,False,False,False
ANKRD18A,0,0.0162352844,0.0075755856731260915,0.013556702,0.006030312,0.023371173,0.024149107,0.014069128,False,False,False,True,False
ANKRD24,0,0.052914515399999994,0.011869422966930776,0.035840414,0.049653817,0.0661533,0.061982196,0.05094285,False,False,True,False,False
ANKRD28,0,0.088469356,0.015046944680446924,0.09644307,0.06307806,0.08742918,0.09409839,0.10129808,True,False,False,False,False
ANKRD30A,0,0.0329846984,0.01724997510783686,0.0410359,0.014802483,0.021958277,0.058553934,0.028572898,False,True,False,False,False
ANKRD30B,0,0.025428893999999997,0.005587513725924841,0.026701951,0.022826534,0.034655605,0.021187304,0.021773076,False,False,False,False,True
ANKRD30BL,0,0.0354232748,0.01529719246276305,0.018161094,0.031004025,0.041560173,0.028029362,0.05836172,False,False,False,False,True
ANKRD33B,0,0.0587539912,0.014437691682540969,0.045767173,0.066324405,0.056201078,0.07961388,0.04586342,False,False,False,True,False
ANKRD34B,0,0.0229040272,0.020483125798349655,0.02467997,0.004405123,0.003966305,0.053741883,0.027726855,False,False,False,False,True
ANKRD34C-AS1,0,0.0407486908,0.014664986158622354,0.023181662,0.04851462,0.061480038,0.03433141,0.036235724,False,False,False,True,False
ANKRD44,0,0.049087993399999995,0.01640568489878331,0.035763297,0.063033044,0.0537508,0.028158762,0.064734064,False,False,False,False,True
ANKRD6,0,0.035042783,0.017497508232363818,0.016856527,0.046454843,0.058609925,0.03244564,0.02084698,False,True,False,False,False
ANKRD62,0,0.029903663400000002,0.02106564715694013,0.016846422,0.019781372,0.06695595,0.027029,0.018905573,False,False,False,False,True
ANKRD7,0,0.0713812284,0.019160055874853685,0.09001416,0.05682935,0.094312005,0.06094514,0.054805487,False,False,True,False,False
ANO10,0,0.08928622099999999,0.014614564595417478,0.09014952,0.07920034,0.110648215,0.09374871,0.07268432,True,False,False,False,False
ANO3,1,0.128819306,0.029256915111825786,0.15223473,0.12709318,0.16233376,0.09059526,0.1118396,False,False,False,False,True
ANO4,0,0.037248148800000005,0.026725693134061305,0.027648259,0.049968153,0.02289823,0.07702531,0.008700792,False,True,False,False,False
ANO6,0,0.0378030682,0.009365225236503776,0.037129182,0.044803835,0.042386014,0.04285647,0.02183984,False,True,False,False,False
ANOS1,0,0.01310697228,0.006101844369082901,0.020210471,0.01065957,0.018591091,0.0056924024,0.010381327,False,False,False,True,False
ANXA1,0,0.013835529860000001,0.012301911415425035,0.029051565,0.006544582,0.0046166573,0.00364642,0.025318425,False,False,False,False,True
ANXA11,0,0.030799079299999997,0.024325438777271346,0.02070062,0.06271489,0.049469393,0.016804403,0.0043060905,False,False,True,False,False
ANXA4,0,0.0251474231,0.012775589675946794,0.0143856825,0.043446343,0.029250821,0.026995506,0.011658763,False,True,False,False,False
AP1S1,0,0.007574821750999999,0.005836633225337835,0.00987019,0.006877446,1.5512755e-05,0.01582797,0.00528299,False,True,False,False,False
AP1S2,0,0.023561846400000003,0.013250153664590321,0.016581923,0.012356847,0.025358748,0.045728732,0.017782982,False,False,True,False,False
AP2M1,0,0.019418012446,0.01744475541492445,0.037760045,0.0022363777,0.00018775053,0.03358014,0.023325749,False,True,False,False,False
AP2S1,0,0.007488668014800001,0.010239943259335294,0.007978614,3.7001064e-05,6.532451e-05,0.024807584,0.0045548165,False,True,False,False,False
APBA2,0,0.08087674780000001,0.02034680674722545,0.070226684,0.09811413,0.08378242,0.10054252,0.051717985,False,False,False,False,True
APBB1IP,0,0.00534333452,0.005545509102278978,0.0009145706,0.014244994,0.0024843616,0.0018270288,0.0072457176,False,False,True,False,False
APBB2,0,0.03252374100000001,0.010593605969864606,0.019618884,0.047659326,0.030048674,0.03749982,0.027792001,False,True,False,False,False
APELA,0,0.023658403799999998,0.004637525462832599,0.01565536,0.024605403,0.02485232,0.025477411,0.027701525,False,False,False,False,True
APLF,0,0.0337280582,0.023426141783935036,0.016116621,0.06933529,0.033946328,0.039640598,0.009601454,False,False,False,False,True
APOD,0,0.01921473688,0.01246287142495305,0.017004222,0.036480337,0.0056481874,0.010311235,0.026629703,False,False,False,False,True
APOE,0,0.027413082800000006,0.009907089755740365,0.020740377,0.019916512,0.044380676,0.025835562,0.026192287,False,False,False,False,True
AQP4,0,0.023954616143999997,0.02033246076262529,0.03188627,0.048332274,0.00046506122,0.033789057,0.0053004185,False,False,False,False,True
AQP4-AS1,0,0.0652130076,0.023269515085136527,0.07194885,0.10197406,0.05609951,0.041130375,0.054912243,False,False,True,False,False
AQP9,0,0.0237264999,0.012607865217327905,0.0118199065,0.034254458,0.039716512,0.019645834,0.013195789,False,True,False,False,False
ARF1,0,0.012679974608,0.010129703934294814,0.014548767,0.0086336415,0.00015494454,0.027956512,0.012106008,False,True,False,False,False
ARF3,0,0.01124113356,0.00969425780594757,0.026968408,0.0065688747,0.0009253391,0.011027302,0.010715744,False,False,False,False,True
ARFGAP1,0,0.0222454749,0.022083208398153885,0.025634464,0.009043146,0.05881846,0.0147505095,0.002980795,False,False,False,False,True
ARG1,0,0.011998379840000002,0.006691981747314553,0.010665289,0.018704996,0.015158479,0.0011750042,0.014288131,False,True,False,False,False
ARHGAP20,0,0.09138547,0.007686387941788913,0.093766786,0.07924953,0.100389704,0.09075748,0.09276385,False,False,False,False,True
ARHGAP24,0,0.004453677360000001,0.006821485311066946,0.00034776246,0.016489558,0.0022536628,0.00033302404,0.0028443795,True,False,False,False,False
ARHGAP26,0,0.1036347852,0.010334066524796891,0.11420242,0.088590905,0.107298166,0.097900055,0.11018238,False,False,True,False,False
ARHGAP29,0,0.020541442899999998,0.007465610844209588,0.020765942,0.0079129115,0.026808424,0.021981407,0.02523853,False,False,True,False,False
ARHGAP30,0,0.01544661896,0.012284436752928854,0.022009345,0.027384607,0.0001440718,0.004393369,0.023301702,False,False,True,False,False
