gene,label,mean,std,score_0,score_1,score_2,score_3,score_4,validation_0,validation_1,validation_2,validation_3,validation_4
ABCC3,-1,0.0548941796705,0.04333326496221177,0.05942249,1.17303525e-05,0.051774584,0.042649984,0.12061211,False,False,False,False,False
ABCF2,-1,0.046554257099999996,0.049181380908108835,0.12867856,0.0007529165,0.04588529,0.018802095,0.038652424,False,False,False,False,False
ABL1,-1,0.37240931400000005,0.15990220405723551,0.2518961,0.6264659,0.36547074,0.39612457,0.22208926,False,False,False,False,False
ABLIM1,-1,0.24303496,0.10379389597725557,0.20604932,0.18051271,0.18816663,0.42720246,0.21324368,False,False,False,False,False
ACAN,-1,0.07996882664000002,0.10614284938217418,0.07085277,0.0005830372,0.00122845,0.25975382,0.067426056,False,False,False,False,False
ACOT12,-1,0.06450248133226416,0.0743631944792448,0.1813388,1.0613208e-09,0.0015940116,0.057647794,0.0819318,False,False,False,False,False
ACTB,-1,0.0942392672,0.06249195620541283,0.15168706,0.037772313,0.14337097,0.016920893,0.1214451,False,False,False,False,False
ACTG1,-1,0.13254213858,0.1628281444382957,0.14699957,0.4044333,0.0037104879,0.015607695,0.09195964,False,False,False,False,False
ACTN2,-1,0.275468114,0.15854136086276407,0.16192813,0.06266524,0.32100636,0.43667564,0.3950652,False,False,False,False,False
ACVR1,-1,0.25079974,0.179375426000757,0.13370697,0.08660406,0.48841903,0.39635742,0.14891122,False,False,False,False,False
ADAM28,0,0.0007871035854492408,0.0009125147645269896,0.0017880081,2.0827223e-17,5.7246183e-11,0.00039348987,0.0017540199,False,True,False,False,False
ADAM29,-1,0.268255352,0.10397749238365445,0.3324475,0.32631895,0.35872647,0.21160047,0.11218337,False,False,False,False,False
ADAM32,-1,0.19359579799999999,0.0763956075791892,0.32170588,0.17441925,0.15786424,0.19311415,0.12087547,False,False,False,False,False
ADAMTS16,-1,0.14492148848,0.15890000196371815,0.0685967,0.0039172024,0.4148459,0.14150217,0.09574547,False,False,False,False,False
ADAMTS2,-1,0.27404896180000005,0.39953800725604505,0.15670562,0.9766286,0.009557332,0.043889537,0.18346372,False,False,False,False,False
ADAMTS3,-1,0.0744876515294,0.08201433389152206,0.16168539,2.8232647e-05,0.004397555,0.1631657,0.04316138,False,False,False,False,False
ADAMTS9-AS1,-1,0.37936534,0.24189432339555458,0.31845644,0.76285547,0.3688004,0.35467395,0.09204044,False,False,False,False,False
ADAMTSL1,-1,0.3064722068,0.16337304939506223,0.32602623,0.20870791,0.45495778,0.46147335,0.081195764,False,False,False,False,False
ADARB1,-1,0.237341508,0.11869036909134065,0.33292347,0.2774773,0.34680334,0.15696791,0.07253552,False,False,False,False,False
ADARB2,-1,0.029350434708,0.053623662974377755,0.123883516,5.514909e-05,0.00051851175,0.0008203947,0.021474602,False,False,False,False,False
ADCY2,1,0.453051148,0.08608712656362344,0.32383746,0.54964674,0.43303934,0.5096288,0.4491034,True,False,False,False,False
