gene,score,validation,label
A2M,0.04081365,False,0
ABCA6,0.04914906,False,0
ABCB11,0.030561198,False,0
ABCC4,0.02525841,True,0
ABL1,0.047588624,False,0
ACAT2,0.033257395,False,0
ACER3,0.041276798,False,0
ACO1,7.183756e-08,False,0
ACTA2,0.06494833,False,0
ACTB,0.0001612131,False,0
ACTG1,0.0012744511,False,0
ACVR1,0.057677448,False,0
ADAD2,0.0128524415,False,0
ADAM28,0.002645145,False,0
ADAMTS16,0.062609635,False,0
ADAMTS3,0.026358327,False,0
ADAMTSL1,0.0146401515,False,0
ADARB1,0.043292925,True,0
ADCY2,0.050302636,False,1
ADCYAP1,5.345668e-07,False,0
ADD3,0.014191206,False,1
ADD3-AS1,0.019302908,False,0
ADGRF5,0.032486074,False,0
ADGRL2,0.0501101,True,0
ADGRL3,0.03262995,True,0
ADNP,0.04641329,False,0
ADNP2,0.06953628,False,0
ADTRP,0.11980234,False,1
AFF1,0.06185232,False,0
AFF4,0.05763724,False,0
AGBL3,0.023372147,False,0
AHCTF1,0.054180622,False,0
AHR,0.07830339,False,0
AHRR,0.024283964,False,0
AIG1,0.053672176,True,0
AIRE,0.0015276188,False,0
AKAP13,0.077653475,False,0
AKAP7,0.02687142,False,0
AKR1C8P,0.018874098,False,0
ALDH1A2,0.029007507,False,0
AMPD3,0.08284121,False,0
ANGPT4,0.039438948,False,0
ANKRD28,0.05904522,False,0
ANKRD29,0.04915043,False,0
ANKRD30A,0.06676736,False,0
ANKRD30B,0.030639362,False,0
ANKRD30BL,0.05140334,True,0
ANKRD44,0.07586679,True,0
ANLN,0.015634576,True,0
ANO10,0.06814451,False,0
ANO4,0.00162535,False,0
ANTXR1,0.005520368,False,0
ANXA11,0.059687156,False,0
ANXA4,0.06469561,True,0
APBA1,0.025706576,False,0
APBB1IP,0.045712788,False,0
APBB2,0.01867828,False,0
APCDD1,0.032550156,True,0
ARAP2,0.06414025,False,0
ARHGAP12,0.01628758,False,0
ARHGAP20,0.03581789,False,0
ARHGAP24,0.03993067,False,0
ARHGAP26,0.0716934,False,0
ARHGAP29,0.09967582,False,0
ARHGAP42,0.0005407767,False,0
ARHGAP6,0.118000835,False,0
ARHGEF26,0.022384087,False,0
ARHGEF28,0.071008526,False,0
ARHGEF7,0.06481131,False,0
ARID2,0.04836058,False,0
ARID3A,0.016927265,False,0
ARID3B,0.07281637,False,0
ARID5B,0.06270703,False,0
ARNT,0.07560095,True,0
ARNT2,0.06956105,False,0
ARNTL,0.06927801,False,0
ARNTL2,0.016699612,False,0
ARRDC3-AS1,0.055675246,True,0
ARSG,0.07943688,False,0
ASAP1,0.053418998,False,0
ASAP2,0.055160902,False,1
ASCC1,2.6930142e-16,False,0
ASH2L,0.06944175,False,0
ASPM,0.061663903,False,0
ASXL2,0.027490163,False,0
ATAD2B,0.021792887,False,0
ATF2,0.009206986,False,0
ATG10,0.07895997,False,0
ATG5,0.066305056,False,0
ATOH8,0.045461,False,0
ATP13A5-AS1,0.026318327,True,0
ATP1A1-AS1,0.048030626,False,0
ATP1B3,0.07384434,False,0
ATP2B2,0.05590415,True,0
ATP8B1,0.054527353,True,0
ATRNL1,0.054626405,True,0
ATXN1,0.07147459,False,1
AUTS2,0.039169524,True,1
AVEN,0.020806529,False,0
AXL,0.03080805,False,0
B3GNTL1,0.009741319,True,0
BACH1,0.11278471,False,0
BACH2,0.09026257,True,0
BARX2,0.04141455,True,0
BBX,0.06414091,False,0
BCAR3,0.062938824,True,0
BCAS3,0.042716242,False,0
BCL11A,0.06792379,False,0
BCL11B,0.10154919,False,0
BCL6,0.046005726,False,0
BCLAF1,0.042575635,True,0
BDNF-AS,0.013315766,False,0
BEND4,0.010877577,False,0
BEND6,0.051978014,False,0
BEX3,0.0076870625,False,0
BHLHE41,0.0024362737,False,0
BICC1,0.0709518,True,0
BMP2K,0.10901163,True,0
BMPER,0.022128163,False,0
BMPR1A,0.054149885,False,0
BMPR1B,0.052060314,False,0
BNC2,0.035572622,False,1
BOC,0.029698556,False,0
BRCA1,0.06599764,False,0
BRF1,0.028740628,True,0
BRINP3,0.027772496,False,0
BVES,0.15279248,False,0
C1QL3,0.052101407,True,0
C1QTNF1,0.0018386162,False,0
C1orf21,0.043829598,False,0
C21orf91,0.003797985,True,0
C2orf88,0.06485577,False,0
C3,0.031688478,True,0
C3orf67,0.06951043,True,0
CA4,0.004785399,False,0
CABLES1,0.03409038,False,0
CACHD1,0.041121386,False,0
CACNA1C,0.07278425,False,1
CACNA1D,0.04589612,False,0
CACNB4,0.050577134,False,0
CADM1,0.084453255,True,0
CALM1,0.008114889,True,0
CALN1,0.041158456,True,0
CAMK1D,0.002381391,True,0
CAMK2D,0.0116447825,False,0
CAMK2N2,0.0019637658,False,0
CAP2,0.07604785,True,0
CAPN3,0.0803913,True,0
CARD11,0.04224115,False,0
CASC15,0.03482888,True,0
CASC2,0.049365122,False,0
CAST,0.04974965,False,0
CAV2,0.15466455,True,0
CBFA2T2,0.06389014,False,0
CBLN2,0.0488576,False,0
CCDC126,0.07961854,True,0
CCDC3,0.053191748,True,0
CCDC68,0.017543837,False,0
CCKAR,0.017922826,False,0
CCNO,0.0026871008,False,0
CCNT2,0.01210473,False,0
CCSER1,0.042935338,False,0
CD86,0.032511577,False,0
CDC14B,0.02014064,False,0
CDC25C,0.072815865,False,0
CDH10,0.08560139,False,0
CDH11,0.03075867,False,0
CDH20,0.03553709,False,0
CDH6,0.0028758282,False,0
CDH7,8.299736e-07,False,0
CDH8,0.06497227,False,0
CDK14,0.010218585,False,0
CDK19,0.05592402,False,0
CDK6,0.049961004,False,0
CDK8,0.06651458,False,0
CDKL5,0.02827975,False,0
CDON,0.05726211,False,0
CDS1,0.010500084,False,0
CDYL,0.07562189,False,0
CDYL2,0.045392606,False,0
CEBPA,1.8421124e-10,False,0
CEBPB,0.0017022224,False,0
CEBPG,0.021493027,False,0
CECR2,0.0406322,True,0
CELF4,0.03135839,True,0
CELF6,0.093029596,False,0
CELSR1,0.047903944,False,0
CEMIP,0.0072628944,False,0
CENPI,0.058081124,False,0
CEP83,0.02747978,False,0
CEP85L,0.043784767,False,0
CERS5,0.028530588,False,0
CFAP99,0.04161542,False,0
CFL2,0.04811292,True,0
CHD1,0.024526926,False,0
CHGB,0.024441617,False,0
CHODL,0.042800643,True,0
CHRM2,0.029493688,False,0
CHST11,0.05230812,False,1
CHST9,0.07157872,True,0
CHSY3,0.079796776,False,0
CLDN11,0.033959303,False,0
CLEC16A,0.061822265,False,0
CLIC5,0.076282695,False,0
CLOCK,0.037774477,False,0
CLU,0.0022662792,False,0
CNGB1,0.016113766,False,0
CNKSR3,0.070039995,False,0
CNOT4,0.050010376,False,0
CNOT6,0.041868534,False,0
CNR1,0.078798875,False,0
CNTN4,0.02817879,False,0
CNTN5,0.048473682,False,0
CNTN6,0.052191436,False,1
CNTNAP2,0.032200802,False,1
CNTNAP4,0.007039812,False,0
COBLL1,0.0114592165,False,0
COL19A1,0.0057460824,True,0
COL1A1,0.0040224018,True,0
COL24A1,0.04938195,False,0
COL5A2,0.11899655,False,0
COL8A1,0.111054994,False,0
COLGALT2,0.05690501,False,0
CORIN,0.057718914,False,0
CPEB2,0.042116903,False,0
CPED1,0.082455195,False,0
CPNE2,0.01195934,False,0
CREB1,0.04833615,False,0
CREB5,0.07832648,True,0
CREBZF,0.018019712,False,0
CREM,0.072585665,False,0
CRIM1,0.046862118,False,0
CRISPLD1,0.05655825,False,0
CRTAC1,0.009771282,False,0
CRTC3-AS1,0.007342434,True,0
CRYBG3,0.07225713,False,0
CSF1R,0.032845255,False,0
CSMD2,0.0017008487,False,0
CSRP2,0.16154319,False,0
CTBP2,0.052805386,False,0
CTCF,0.09974634,False,0
CTNNA2,0.023968024,False,0
CTNNA3,0.09485554,False,1
CTNNAL1,0.009947806,True,0
CTNNB1,0.016736658,False,0
CTNNBIP1,0.023961155,False,0
CTNND2,0.07168869,False,0
CTTNBP2NL,0.1116081,True,0
CUEDC1,0.07809351,False,0
CUX1,0.033548318,False,0
CXXC5,0.024854396,False,0
DACH1,0.07062276,False,0
DAOA-AS1,0.04232202,False,0
DBP,0.00041533555,True,0
DCAF6,0.056286946,True,0
DCHS2,0.022410128,False,0
DCLK1,0.04994415,False,0
DDX20,0.057117537,False,0
DDX4,0.031306926,False,0
DDX60L,0.022025999,False,0
DENND2C,0.05280816,False,0
DGCR8,0.055306576,True,0
DGKD,0.07936113,False,0
DGKH,0.025498072,False,1
DHDDS,0.095612824,False,0
DHRS3,0.059344616,False,0
DIDO1,0.07586055,False,0
DLEU1,0.046986386,False,0
DLEU2,0.009254774,False,0
DLGAP1,0.031345733,False,0
DMC1,0.07638449,False,0
DMXL2,0.065939456,False,0
DNAH5,0.11254122,False,0
DNAH8,0.008215298,False,0
DNAJC13,0.040288024,False,0
DNAJC21,0.059612192,False,0
DNMT3A,0.048249163,False,0
DOCK10,0.064826615,False,0
DOK6,0.04740888,False,0
DPP6,0.033713736,False,0
DPY19L1,0.041136898,False,0
DPY19L3,0.066290885,False,0
DPYSL5,0.040151577,False,0
DR1,0.061152864,False,0
DRAIC,0.06034847,True,0
DSG2-AS1,0.03517313,False,0
DTNA,0.058241792,True,1
DUOX1,0.004710239,True,0
DUS3L,0.0533736,False,0
DUSP1,0.05385504,False,0
DUSP10,0.018694688,False,0
DUSP22,0.02189882,False,0
DUSP6,0.056582488,False,0
E2F4,0.005475158,False,0
E4F1,0.0476955,False,0
EBF1,0.009894803,True,0
ECE2,0.040261343,False,0
EDIL3,0.041937463,False,0
EDN1,0.07032732,False,0
EDN3,0.0019022477,False,0
EFCAB2,0.062367205,True,0
EFHD2,0.039242525,False,0
EFNA5,0.037725966,False,0
EFNB2,0.05550994,False,0
EGLN3,0.09345987,True,0
EGR4,0.061600186,False,0
ELAVL2,0.033947453,False,0
ELAVL4,0.046073936,True,0
ELF2,0.03919611,False,0
ELK3,0.00028862845,True,0
ELMO1,0.18650627,False,1
ELOVL5,0.00787553,False,0
ELOVL6,0.06802891,True,0
ELOVL7,0.049629547,False,0
EML4,0.014704974,False,0
EML6,0.044316463,False,0
EMX2OS,0.03944953,False,0
ENC1,0.027224641,False,0
ENG,0.0013554706,False,0
ENOSF1,0.024662977,False,0
ENOX1,0.031288646,False,0
ENPP1,0.037037894,False,0
ENTPD3,0.004411648,False,0
EP300,4.998146e-13,False,0
EPB41L4B,0.0087600425,False,0
EPC2,0.06976361,False,0
EPHA6,0.045664843,False,0
EPHA7,0.034920137,False,0
EPM2A,0.10468319,False,0
EPS8,0.06293252,False,0
ERBB4,0.048499227,False,0
ERBIN,0.013051484,False,0
ERC2,0.021683881,False,0
ERICH5,0.06931944,False,0
ERVK13-1,0.00034133444,True,0
ESCO1,0.014660721,True,0
ESR2,0.040457886,False,0
ESRRA,0.0506295,False,0
ESRRB,0.11444776,False,0
ESRRG,0.04238393,False,0
ESYT2,0.03712452,False,0
ETV1,0.082852185,False,0
ETV3,0.10791855,False,0
ETV5,0.058440432,True,0
ETV6,0.043250125,False,0
EXOC2,0.071260296,False,0
EXT2,0.06779847,False,0
EXTL3,0.014438553,False,0
EYA4,0.049760908,True,0
EZH2,0.03497385,False,0
FAAH2,6.896105e-17,False,0
FAM107B,0.051307812,False,1
FAM110B,0.048804227,False,0
FAM114A1,0.025496904,False,0
FAM135B,0.07167269,True,0
FAM13C,0.044908497,False,0
FAM149A,0.06031153,False,0
FAM153B,0.07859351,False,0
FAM160A1,0.0073681516,False,0
FAM184B,0.041180253,False,0
FAM53B,0.057308897,False,0
FAM78B,0.061558936,False,0
FAM81A,0.05566755,False,0
FAM83B,0.030868024,False,0
FAM9B,0.009988331,False,0
FANK1,9.506988e-05,False,0
FAR2,0.03692804,False,0
FARP2,0.076519534,True,0
FAT1,0.018820453,False,0
FAT4,1.3068891e-17,False,0
FBN1,0.04687993,False,0
FBN2,0.10547667,False,1
FBXL2,0.04435907,False,0
FBXO32,0.047087163,False,0
FEZ1,0.05325821,False,0
FEZF2,0.06342719,False,0
FGF10,0.08564902,True,0
FGF10-AS1,0.00024872785,False,0
FGF13,0.078220166,False,0
FGF2,0.017026234,True,0
FGFR2,0.018573904,False,0
FHL2,0.029354412,False,0
FHOD3,0.0663588,False,1
FIGN,0.050191842,False,0
FIP1L1,0.027843576,False,0
FLI1,0.05058303,False,0
FLRT2,0.06255391,True,0
FLT1,0.014540087,False,0
FNBP1L,0.023105068,False,0
FNDC3B,0.07599736,False,0
FOSB,0.10534556,True,0
FOSL2,0.036883075,False,0
FOXB1,0.044996,False,0
FOXD4L3,0.002703101,False,0
FOXG1,0.055866797,False,0
FOXJ3,0.014824676,False,0
FOXK1,0.056205217,False,0
FOXL2,0.13949478,False,0
FOXN2,0.040634666,False,0
FOXN3,0.062118784,False,1
FOXN4,0.06480837,False,0
FOXO1,0.036549546,False,0
FOXO3,0.042771526,False,0
FOXP1,0.031553525,False,1
FOXP2,0.08912778,True,0
FRMD5,0.07366741,False,0
FRMD6,0.018719554,False,1
FRMD8,0.016345847,False,0
FRMPD2,0.047745075,False,0
FRY,0.029266344,False,1
FRYL,0.060226146,True,0
FSIP1,0.065122046,False,0
FSTL4,0.1060698,True,0
FSTL5,0.05641173,False,1
FTCDNL1,0.074787416,True,0
FUT8,0.03161825,True,0
FYN,0.059648387,False,0
FZD6,0.07887981,True,0
GAB2,0.06780664,False,0
GAB3,0.052855562,False,0
GABRA2,0.05823162,False,0
GABRA5,0.021093333,False,0
GABRA6,0.06177911,False,0
GABRB3,0.08956625,False,0
GABRG1,0.004783056,True,0
GABRR2,0.06539513,False,0
GALNT13,0.036718663,False,0
GALNT7,0.011072777,False,0
GALNTL6,0.16277355,True,0
GAPDH,0.0022782658,False,0
GARNL3,0.0019964676,False,0
GAS2,0.054434333,True,0
GATA1,0.003612021,False,0
GATA2-AS1,0.0029069132,False,0
GATAD2A,0.073550925,False,0
GATAD2B,0.016318634,False,0
GBE1,0.013953323,False,0
GCNT1,0.02583198,False,0
GCNT2,0.03076553,True,0
GDF5,0.04362361,False,0
GEN1,0.07327519,True,0
GFAP,0.044481747,False,0
GFRA1,0.08890726,False,1
GINS3,0.03157164,False,0
GIT2,0.042699806,False,0
GLCE,0.030887328,False,0
GLIS1,0.08117895,False,0
GLIS3,0.0045129987,False,0
GLRA2,0.11987338,True,0
GMCL1,0.04314516,False,0
GMDS,0.06210239,False,0
GML,0.005433551,True,0
GNAL,0.09874947,False,0
GNB4,0.022495087,False,0
GNG12-AS1,0.08369798,True,0
GNG7,0.10142779,False,0
GOLGA8B,0.09786607,True,0
GOLIM4,0.0783175,False,0
GPBP1L1,0.05693802,True,0
GPCPD1,0.067323044,False,0
GPD1,0.08440948,False,0
GPR176,0.06401684,False,0
GRB14,0.033899836,False,0
GRB2,0.074917376,False,0
GREB1L,0.032343235,False,0
GREM2,0.088355504,False,1
GRIA4,0.021887923,False,0
GRID2,0.027837291,False,0
GRIK2,0.027467506,False,0
GRIN2A,0.06622044,False,1
GRIN2B,5.134486e-13,False,0
GRM3,0.0967506,False,0
GSAP,0.06299631,False,0
GTF2A1,2.5780288e-08,False,0
GTF2I,0.029258495,False,0
GTF2IRD1,0.049009446,False,0
GULP1,0.06968697,False,0
GYG1,0.02891143,False,0
H1FX,4.0389375e-05,True,0
HABP4,0.016932858,False,0
HBP1,0.05613007,False,0
HCN1,0.041606903,False,0
HDAC2,0.030839927,False,0
HDAC4,9.5209056e-05,False,0
HDAC9,0.029119287,False,0
HDX,0.024485787,False,0
HEATR5A,0.044009328,True,0
HECA,0.0011644453,False,0
HECW1,0.042498447,False,0
HES2,0.028704455,False,0
HFM1,0.06679787,False,0
HGSNAT,0.057982527,False,0
HHIP,0.02197845,False,0
HIVEP1,0.08276584,False,0
HIVEP2,0.048130672,False,0
HIVEP3,0.07395374,True,0
