_BACKGROUND,5p,10p,15p
STK39,STK39,STK39,STK39
SNX25,SNX25,SNX25,SNX25
MED12L,MED12L,MED12L,MED12L
LRRC37A3,LRRC37A3,LRRC37A3,LRRC37A3
RHOBTB1,RHOBTB1,RHOBTB1,RHOBTB1
KIAA1549,KIAA1549,KIAA1549,KIAA1549
ELAVL4,ELAVL4,ELAVL4,ELAVL4
SLC2A13,SLC2A13,SLC2A13,SLC2A13
SH3GL2,SH3GL2,SH3GL2,SH3GL2
R3HDM1,R3HDM1,R3HDM1,R3HDM1
TMOD3,TMOD3,TMOD3,TMOD3
SEMA5A,SEMA5A,SEMA5A,SEMA5A
FAM160A1,FAM160A1,FAM160A1,FAM160A1
WT1,WT1,WT1,WT1
CACNA1C,CACNA1C,CACNA1C,CACNA1C
CALN1,CALN1,CALN1,CALN1
MPPED2,MPPED2,MPPED2,MPPED2
SLC5A3,SLC5A3,SLC5A3,SLC5A3
SPATS2L,SPATS2L,SPATS2L,SPATS2L
FTCDNL1,FTCDNL1,FTCDNL1,FTCDNL1
RNF24,RNF24,RNF24,RNF24
TMCC1,TMCC1,TMCC1,TMCC1
ELOVL7,ELOVL7,ELOVL7,ELOVL7
KPNA3,KPNA3,KPNA3,KPNA3
FSTL5,FSTL5,FSTL5,FSTL5
PHLDB2,PHLDB2,PHLDB2,PHLDB2
RAVER2,RAVER2,RAVER2,RAVER2
TPK1,TPK1,TPK1,TPK1
CUEDC1,CUEDC1,CUEDC1,CUEDC1
RAB26,RAB26,RAB26,RAB26
AIG1,AIG1,AIG1,AIG1
RASA2,RASA2,RASA2,RASA2
TUBGCP5,TUBGCP5,TUBGCP5,TUBGCP5
TAPT1-AS1,TAPT1-AS1,TAPT1-AS1,TAPT1-AS1
EXTL3,EXTL3,EXTL3,EXTL3
PCSK2,PCSK2,PCSK2,PCSK2
OSBPL3,OSBPL3,OSBPL3,OSBPL3
SPRED1,SPRED1,SPRED1,SPRED1
C2orf88,C2orf88,C2orf88,C2orf88
ELOVL6,ELOVL6,ELOVL6,ELOVL6
ARNT2,ARNT2,ARNT2,ARNT2
LINC02389,LINC02389,LINC02389,LINC02389
KCNIP4,KCNIP4,KCNIP4,KCNIP4
DLEU2,DLEU2,DLEU2,DLEU2
TPPP,TPPP,TPPP,TPPP
SLC26A4,SLC26A4,SLC26A4,SLC26A4
CALM1,CALM1,CALM1,CALM1
RBBP8,RBBP8,RBBP8,RBBP8
ROBO2,ROBO2,ROBO2,ROBO2
WWC2,WWC2,WWC2,WWC2
KDM7A,KDM7A,KDM7A,KDM7A
FRMD5,FRMD5,FRMD5,FRMD5
LIN54,LIN54,LIN54,LIN54
MIR137HG,MIR137HG,MIR137HG,MIR137HG
VCAN,VCAN,VCAN,VCAN
LINC01202,LINC01202,LINC01202,LINC01202
PRRG1,PRRG1,PRRG1,PRRG1
KLF3,KLF3,KLF3,KLF3
EFNB2,EFNB2,EFNB2,EFNB2
LINC01184,LINC01184,LINC01184,LINC01184
GNB4,GNB4,GNB4,GNB4
EPHA6,EPHA6,EPHA6,EPHA6
PDE7A,PDE7A,PDE7A,PDE7A
ADD3,ADD3,ADD3,ADD3
TET2,TET2,TET2,TET2
HTR4,HTR4,HTR4,HTR4
BMPR1B,BMPR1B,BMPR1B,BMPR1B
STMN2,STMN2,STMN2,STMN2
RAP1GAP,RAP1GAP,RAP1GAP,RAP1GAP
BEND6,BEND6,BEND6,BEND6
DNAJC13,DNAJC13,DNAJC13,DNAJC13
TOX,TOX,TOX,TOX
GALNT13,GALNT13,GALNT13,GALNT13
HLCS,HLCS,HLCS,HLCS
TMEM266,TMEM266,TMEM266,TMEM266
ADGRL3,ADGRL3,ADGRL3,ADGRL3
TRHDE-AS1,TRHDE-AS1,TRHDE-AS1,TRHDE-AS1
PARM1,PARM1,PARM1,PARM1
CAMK2D,CAMK2D,CAMK2D,CAMK2D
RALGPS2,RALGPS2,RALGPS2,RALGPS2
DCDC1,DCDC1,DCDC1,DCDC1
BTC,BTC,BTC,BTC
SOX10,SOX10,SOX10,SOX10
NR2F1,NR2F1,NR2F1,NR2F1
PLAGL1,PLAGL1,PLAGL1,PLAGL1
SOX2,SOX2,SOX2,SOX2
IQCJ-SCHIP1,IQCJ-SCHIP1,IQCJ-SCHIP1,IQCJ-SCHIP1
TBCEL,TBCEL,TBCEL,TBCEL
COL19A1,COL19A1,COL19A1,COL19A1
LRRC4C,LRRC4C,LRRC4C,LRRC4C
PTK2,PTK2,PTK2,PTK2
PIP4K2A,PIP4K2A,PIP4K2A,PIP4K2A
RNF138,RNF138,RNF138,RNF138
USP53,USP53,USP53,USP53
MAGI3,MAGI3,MAGI3,MAGI3
PDGFC,PDGFC,PDGFC,PDGFC
CASC2,CASC2,CASC2,CASC2
PTPRZ1,PTPRZ1,PTPRZ1,PTPRZ1
PPP1R13B,PPP1R13B,PPP1R13B,PPP1R13B
CDON,CDON,CDON,CDON
KCND2,KCND2,KCND2,KCND2
GPCPD1,GPCPD1,GPCPD1,GPCPD1
ANKRD28,ANKRD28,ANKRD28,ANKRD28
ATP8B4,ATP8B4,ATP8B4,ATP8B4
WASF3,WASF3,WASF3,WASF3
CFAP161,CFAP161,CFAP161,CFAP161
CTNNA2,CTNNA2,CTNNA2,CTNNA2
ARSG,ARSG,ARSG,ARSG
PLS3,PLS3,PLS3,PLS3
CTNNB1,CTNNB1,CTNNB1,CTNNB1
DEPDC1B,DEPDC1B,DEPDC1B,DEPDC1B
SATB1,SATB1,SATB1,SATB1
SIK2,SIK2,SIK2,SIK2
LINC01135,LINC01135,LINC01135,LINC01135
PPM1A,PPM1A,PPM1A,PPM1A
BICC1,BICC1,BICC1,BICC1
USP3,USP3,USP3,USP3
EML4,EML4,EML4,EML4
FAM81A,FAM81A,FAM81A,FAM81A
HEATR5A,HEATR5A,HEATR5A,HEATR5A
HECA,HECA,HECA,HECA
PTPRK,PTPRK,PTPRK,PTPRK
UBE2E1,UBE2E1,UBE2E1,UBE2E1
NFAT5,NFAT5,NFAT5,NFAT5
CAST,CAST,CAST,CAST
ANO3,ANO3,ANO3,ANO3
RAPGEF5,RAPGEF5,RAPGEF5,RAPGEF5
DGKH,DGKH,DGKH,DGKH
PAG1,PAG1,PAG1,PAG1
CYHR1,CYHR1,CYHR1,CYHR1
LHX2,LHX2,LHX2,LHX2
KLHL5,KLHL5,KLHL5,KLHL5
SHROOM3,SHROOM3,SHROOM3,SHROOM3
CPXM2,CPXM2,CPXM2,CPXM2
VKORC1L1,VKORC1L1,VKORC1L1,VKORC1L1
GRIA4,GRIA4,GRIA4,GRIA4
TMEM117,TMEM117,TMEM117,TMEM117
COL5A2,COL5A2,COL5A2,COL5A2
PDE4B,PDE4B,PDE4B,PDE4B
CTNND2,CTNND2,CTNND2,CTNND2
BCL11A,BCL11A,BCL11A,BCL11A
NRG4,NRG4,NRG4,NRG4
ASAP2,ASAP2,ASAP2,ASAP2
DPY19L3,DPY19L3,DPY19L3,DPY19L3
RNF217-AS1,RNF217-AS1,RNF217-AS1,RNF217-AS1
C5orf30,C5orf30,C5orf30,C5orf30
ALDH1A2,ALDH1A2,ALDH1A2,ALDH1A2
PTPN21,PTPN21,PTPN21,PTPN21
KCNK10,KCNK10,KCNK10,KCNK10
CRIM1,CRIM1,CRIM1,CRIM1
MIR2052HG,MIR2052HG,MIR2052HG,MIR2052HG
UXS1,UXS1,UXS1,UXS1
KIF13B,KIF13B,KIF13B,KIF13B
PURA,PURA,PURA,PURA
CDYL,CDYL,CDYL,CDYL
GLRA2,GLRA2,GLRA2,GLRA2
LINC01138,LINC01138,LINC01138,LINC01138
RELA,RELA,RELA,RELA
LRRC3B,LRRC3B,LRRC3B,LRRC3B
WLS,WLS,WLS,WLS
ATP8B1,ATP8B1,ATP8B1,ATP8B1
ZNF91,ZNF91,ZNF91,ZNF91
PAM,PAM,PAM,PAM
PHF21B,PHF21B,PHF21B,PHF21B
LIN7A,LIN7A,LIN7A,LIN7A
RIT2,RIT2,RIT2,RIT2
SNRK,SNRK,SNRK,SNRK
RCAN2,RCAN2,RCAN2,RCAN2
LMO7-AS1,LMO7-AS1,LMO7-AS1,LMO7-AS1
RAPH1,RAPH1,RAPH1,RAPH1
LINC02359,LINC02359,LINC02359,LINC02359
AFF1,AFF1,AFF1,AFF1
PCED1B,PCED1B,PCED1B,PCED1B
EPC2,EPC2,EPC2,EPC2
ADD3-AS1,ADD3-AS1,ADD3-AS1,ADD3-AS1
GALNT7,GALNT7,GALNT7,GALNT7
BLCAP,BLCAP,BLCAP,BLCAP
DCHS2,DCHS2,DCHS2,DCHS2
INTS6,INTS6,INTS6,INTS6
ZDHHC2,ZDHHC2,ZDHHC2,ZDHHC2
JAK1,JAK1,JAK1,JAK1
CTTNBP2NL,CTTNBP2NL,CTTNBP2NL,CTTNBP2NL
SATB1-AS1,SATB1-AS1,SATB1-AS1,SATB1-AS1
CDC42EP3,CDC42EP3,CDC42EP3,CDC42EP3
ASAP1,ASAP1,ASAP1,ASAP1
PSTPIP2,PSTPIP2,PSTPIP2,PSTPIP2
FGF5,FGF5,FGF5,FGF5
GREM2,GREM2,GREM2,GREM2
