gene,score,validation,label
A2M,0.0659197,False,0
AACS,0.07820062,True,0
AAGAB,0.046303347,False,0
AAK1,0.07583615,False,0
AAMDC,0.057584856,False,0
AARS,0.05217409,False,0
AASDHPPT,0.055824373,False,0
AATK,0.062443588,False,0
ABCA10,0.07496544,False,0
ABCA2,0.07735942,False,0
ABCA3,0.05710063,False,0
ABCA6,0.06974479,False,0
ABCB1,0.043182496,True,0
ABCB9,0.043962583,True,0
ABCC3,0.07125102,False,0
ABCC5,0.05413433,False,0
ABCC8,0.08633522,False,0
ABCC9,0.05775952,False,0
ABCD4,0.047550596,True,0
ABCE1,0.06900132,True,0
ABCF2,0.040851995,False,0
ABCF3,0.022709778,True,0
ABCG1,0.0792829,True,0
ABCG4,0.035255834,False,0
ABHD12,0.066290505,False,0
ABHD12B,0.06348426,False,0
ABHD14A,0.056343853,True,0
ABHD17A,0.076039545,False,0
ABHD17B,0.08610004,False,0
ABHD17C,0.059977613,False,0
ABHD2,0.0674669,False,0
ABHD3,0.04958462,False,0
ABHD5,0.05825848,False,0
ABHD6,0.046429146,False,0
ABHD8,0.04280243,False,0
ABI1,0.036380056,False,0
ABI2,0.065653846,False,0
ABI3BP,0.092421256,False,0
ABL1,0.07168102,True,0
ABL2,0.070882216,True,0
ABLIM1,0.054614216,True,1
ABLIM2,0.0740248,False,0
ABLIM3,0.06971303,False,0
ABO,0.05708508,True,0
ABR,0.06285997,False,0
ABTB1,0.05297248,False,0
ABTB2,0.07921175,False,0
ACAN,0.07771133,False,0
ACAP2,0.041201647,False,0
ACAP3,0.084603444,False,0
ACBD5,0.06391521,False,0
ACER2,0.0600178,False,0
ACIN1,0.02834416,True,0
ACMSD,0.07109492,False,0
ACO1,0.06418977,False,0
ACOT8,0.043873902,False,0
ACOX1,0.053193014,False,0
ACSBG1,0.08540417,False,0
ACSL3,0.054841682,False,0
ACSL4,0.07211702,False,0
ACSS2,0.047984723,True,0
ACTA2,0.05902729,False,0
ACTB,0.034914386,False,0
ACTG1,0.028482389,True,0
ACTL6B,0.054993134,False,0
ACTN1,0.092360914,False,0
ACTN2,0.09620864,False,0
ACTN4,0.06263584,False,0
ACTR10,0.078889966,False,0
ACTR1A,0.048178002,False,0
ACTR1B,0.07672441,True,0
ACTR2,0.06233285,False,0
ACTR3B,0.07354349,False,0
ACTR6,0.042804595,False,0
ACVR1,0.102228574,False,0
ACVR1B,0.09202927,False,0
ACVR2A,0.06183658,False,0
ACY1,0.045952518,False,0
ACYP1,0.036304712,False,0
ACYP2,0.061681025,True,0
ADA,0.07531918,False,0
ADAM10,0.07140177,False,0
ADAM11,0.06486581,False,0
ADAM17,0.062273104,False,0
ADAM22,0.04117324,True,0
ADAM23,0.039734386,True,0
ADAM28,0.058257435,False,0
ADAM29,0.065718345,False,0
ADAM32,0.06612349,False,0
ADAM9,0.04207807,False,0
ADAMTS1,0.068525515,True,0
ADAMTS10,0.06526701,False,0
ADAMTS14,0.07439655,False,0
ADAMTS16,0.071000874,True,0
ADAMTS17,0.04787794,False,0
ADAMTS2,0.09134557,False,1
ADAMTS3,0.04951374,False,0
ADAMTS4,0.10760138,False,0
ADAMTS6,0.07396929,False,0
ADAMTS8,0.05166798,True,0
ADAMTS9,0.07790264,False,0
ADAMTS9-AS1,0.073006116,False,0
ADAMTS9-AS2,0.09705128,False,0
ADAMTSL1,0.08279526,False,0
ADAMTSL3,0.05014911,False,0
ADAMTSL4-AS1,0.08263905,False,0
ADAP2,0.095127836,False,0
ADAR,0.056404356,False,0
ADARB1,0.07215006,True,0
ADARB2,0.038933508,False,0
ADCY1,0.0758657,False,0
ADCY2,0.080340765,False,1
ADCY3,0.039578147,True,0
ADCY5,0.06490748,False,0
ADCY6,0.069886364,False,0
ADCY7,0.07215013,False,0
ADCY8,0.061629973,True,0
ADCY9,0.029325252,True,0
ADCYAP1,0.07771101,False,0
ADCYAP1R1,0.0684667,False,0
ADD1,0.08952961,False,0
ADD2,0.049235567,False,0
ADD3,0.08578607,False,1
ADD3-AS1,0.09272267,False,0
ADGRA1,0.058705438,True,0
ADGRA1-AS1,0.04366765,False,0
ADGRA2,0.028670339,False,0
ADGRA3,0.06343419,False,0
ADGRB1,0.07677045,False,0
ADGRB2,0.03633018,True,0
ADGRB3,0.06669472,True,1
ADGRE2,0.04883643,False,0
ADGRE5,0.050724693,False,0
ADGRF5,0.0628013,False,0
ADGRL1,0.027873157,True,0
ADGRL2,0.06481845,False,0
ADGRL3,0.086872146,True,0
ADGRL4,0.061234497,False,0
ADGRV1,0.06346187,True,0
ADIPOR2,0.04518501,True,0
ADIRF,0.04411177,False,0
ADK,0.08061357,True,0
ADNP,0.09086624,False,0
ADNP2,0.08069751,False,0
ADO,0.05495534,False,0
ADORA1,0.10516121,False,0
ADPGK,0.055585872,False,0
ADPRHL1,0.06378207,False,0
ADRA1A,0.050735436,False,0
ADRA1B,0.07589867,False,0
ADRB1,0.057736896,False,0
ADRM1,0.04771488,False,0
ADSS,0.053602893,False,0
ADTRP,0.064486034,True,1
AEBP1,0.058178008,False,0
AEBP2,0.083760515,False,0
AFAP1,0.07784758,True,0
AFAP1L1,0.0791654,False,0
AFAP1L2,0.06540504,False,0
AFF1,0.065310165,False,0
AFF2,0.041526355,False,0
AFF3,0.057436742,False,0
AFF4,0.0688462,False,0
AFTPH,0.060147863,True,0
AGAP1,0.10617147,False,0
AGAP2,0.08519765,False,0
AGAP3,0.021373771,True,0
AGAP9,0.09192911,False,0
AGBL1,0.09202043,False,1
AGBL4,0.07239741,True,1
AGFG1,0.064307384,True,0
AGFG2,0.051502086,False,0
AGMO,0.081892766,False,0
AGO1,0.06625586,False,0
AGO2,0.045172926,False,0
AGO3,0.06350276,False,0
AGO4,0.07754086,False,0
AGPAT2,0.051169336,False,0
AGPAT3,0.028628897,True,0
AGRN,0.08416252,False,0
AHCTF1,0.07671813,True,0
AHCYL2,0.07197364,False,0
AHDC1,0.06756646,False,0
AHI1,0.09089002,False,0
AHNAK,0.05356816,False,0
AHNAK2,0.07923071,False,0
AHR,0.0935679,False,0
AHRR,0.050247885,False,0
AIDA,0.05887001,False,0
AIF1L,0.07335685,False,0
