gene,score,validation,label
ABCC3,0.17961365,False,-1
ABCF2,0.57297325,False,-1
ABI3BP,0.21542467,False,-1
ABL1,0.19375482,False,-1
ACAN,0.000522364,False,-1
ACTB,0.036522754,False,-1
ACTG1,0.050461277,False,-1
ACTN2,0.757099,False,-1
ACVR1,0.09241094,False,-1
ADAM28,0.0008939556,False,0
ADAM29,0.1759613,False,-1
ADAM32,0.23705697,False,-1
ADAMTS1,0.07410789,False,-1
ADAMTS16,0.59203213,False,-1
ADAMTS2,0.5693602,False,-1
ADAMTS3,0.2756376,False,-1
ADAMTS4,0.006372115,False,-1
ADAMTS9-AS1,0.25788954,False,-1
ADAMTSL1,0.09939602,False,-1
ADAMTSL4-AS1,0.38933548,False,-1
ADARB1,0.33410135,False,-1
ADARB2,0.5265761,False,-1
ADCY1,0.7982579,False,-1
ADCY2,0.5639509,False,1
ADCY7,0.54235333,False,-1
ADCYAP1,0.39889655,False,-1
ADD3-AS1,0.5440782,False,-1
ADGRA1,0.35881907,False,-1
ADGRL2,0.17125621,False,-1
ADGRL3,0.38848636,False,-1
ADGRV1,0.2681609,False,-1
ADNP,0.7349944,False,-1
ADNP2,0.5412241,False,-1
ADTRP,0.003182788,False,-1
AEBP2,0.36562636,False,-1
AFAP1,0.37952468,False,-1
AFF4,0.23874044,False,-1
AGAP1,0.5586907,False,-1
AGAP2,0.27206606,False,-1
AGBL1,0.36812267,False,-1
AHCTF1,0.23174872,True,0
AHDC1,0.2253984,False,-1
AHI1,0.428189,False,-1
AHNAK2,0.00066622725,False,-1
AHR,0.2657371,False,-1
AKAP14,0.04373918,False,-1
ALCAM,0.19478813,False,-1
ALDH1A2,0.08695104,False,-1
ALK,0.6460801,False,-1
ALX4,0.8325137,False,-1
AMMECR1,0.62824935,False,-1
AMOT,0.5649928,False,-1
ANGPT4,0.6596202,False,-1
ANKRD24,0.3348962,False,-1
ANKRD28,0.44133776,False,-1
ANKRD30A,0.0010032991,True,0
ANKRD30BL,0.2768948,False,-1
ANKRD33B,0.15596533,False,-1
ANKRD34C-AS1,0.61816293,False,-1
ANKRD6,0.22679543,False,-1
ANKRD62,0.6299516,False,-1
ANKRD7,0.40455136,False,-1
ANKS1B,0.3984043,False,-1
ANLN,0.58050394,False,-1
ANO10,0.393072,False,-1
ANO3,0.21252833,False,-1
ANO6,0.3497224,False,-1
ANXA1,0.5099063,False,-1
ANXA11,0.14327699,False,-1
ANXA4,0.23309147,False,-1
AP1S1,0.053574394,False,-1
APBA2,0.25955036,False,-1
APBB1IP,3.7720492e-06,True,0
APBB2,0.41389158,False,-1
