gene,label,mean,std,score_0,score_1,score_2,score_3,score_4,validation_0,validation_1,validation_2,validation_3,validation_4
A2M,0,0.0395733198,0.018594832705223854,0.0659197,0.046127677,0.021118687,0.022323767,0.042376768,False,False,True,False,False
AACS,0,0.0442700788,0.019239931485836772,0.07820062,0.034857634,0.031002104,0.037778318,0.039511718,True,False,False,False,False
AAGAB,0,0.0364945092,0.008903111138201757,0.046303347,0.037435155,0.02212121,0.036461737,0.040151097,False,False,True,False,False
AAK1,0,0.0447441972,0.021375997280158363,0.07583615,0.037776265,0.024940459,0.02824964,0.056918472,False,False,True,False,False
AAMDC,0,0.062143907,0.04881363234836265,0.057584856,0.03795618,0.14707316,0.025866142,0.042239197,False,True,False,False,False
AARS,0,0.0382539644,0.012336909456870845,0.05217409,0.03965568,0.024576915,0.02683326,0.048029877,False,False,False,True,False
AASDHPPT,0,0.037328383199999995,0.013299236635026038,0.055824373,0.04059976,0.023113929,0.025674704,0.04142915,False,False,True,False,False
AATK,0,0.03864972440000001,0.016401870727649356,0.062443588,0.03840939,0.024836404,0.02212552,0.04543372,False,False,False,True,False
ABCA10,0,0.0556710022,0.021675705814725506,0.07496544,0.041082557,0.081801824,0.03200722,0.04849797,False,True,False,False,False
ABCA2,0,0.0428191716,0.02018345493621306,0.07735942,0.039856363,0.024343625,0.036770616,0.035765834,False,False,True,False,False
ABCA3,0,0.0630152296,0.05457631359922085,0.05710063,0.038950454,0.15848672,0.025753308,0.034785036,False,False,False,True,False
ABCA6,0,0.04056779740000001,0.01771783498638696,0.06974479,0.03719801,0.023338603,0.03082911,0.041728474,False,False,False,True,False
ABCB1,0,0.048268594600000006,0.007308261221958598,0.043182496,0.05039873,0.045511484,0.060050253,0.04220001,True,False,False,False,False
ABCB9,0,0.033401422,0.009363815152816693,0.043962583,0.035332736,0.021840328,0.025816623,0.04005484,True,False,False,False,False
ABCC3,0,0.0398048056,0.018663327806145366,0.07125102,0.03386433,0.021588814,0.03384336,0.038476504,False,False,True,False,False
ABCC5,0,0.0425521884,0.013897362602817856,0.05413433,0.0355037,0.05242203,0.021429675,0.049271207,False,False,False,False,True
ABCC8,0,0.0469117078,0.023900214431105137,0.08633522,0.037404448,0.046228454,0.021986747,0.04260367,False,False,False,False,True
ABCC9,0,0.041562967799999996,0.012132296525921802,0.05775952,0.04728645,0.038822975,0.024823144,0.03912275,False,False,False,False,True
ABCD4,0,0.0622513614,0.041605032171087145,0.047550596,0.030045565,0.13474223,0.056106936,0.04281148,True,False,False,False,False
ABCE1,0,0.041012281399999996,0.015972091144754837,0.06900132,0.034935474,0.033736415,0.029218214,0.038169984,True,False,False,False,False
ABCF2,0,0.0380565952,0.008157298523272438,0.040851995,0.042139955,0.02569633,0.034719586,0.04687511,False,False,False,False,True
ABCF3,0,0.029202645,0.008487474995418073,0.022709778,0.03590974,0.02246162,0.024272585,0.040659502,True,False,False,False,False
ABCG1,0,0.071396728,0.04901968543609924,0.0792829,0.05124449,0.15327625,0.03943087,0.03374913,True,False,False,False,False
ABCG4,0,0.07335971240000001,0.05874887261769076,0.035255834,0.035583615,0.15829091,0.025982553,0.11168565,False,False,False,True,False
ABHD12,0,0.0380646188,0.017915375150873332,0.066290505,0.03781034,0.02425907,0.021078419,0.04088476,False,False,False,False,True
ABHD12B,0,0.0693411652,0.07554083199754816,0.06348426,0.03646034,0.023713956,0.02188644,0.20116083,False,False,True,False,False
ABHD14A,0,0.03665275,0.014277263442586379,0.056343853,0.04086821,0.021695053,0.023632044,0.04072459,True,False,False,False,False
ABHD17A,0,0.0403286958,0.021218631152098648,0.076039545,0.03636855,0.024277152,0.02444513,0.040513102,False,False,False,True,False
ABHD17B,0,0.040736054,0.026244904634258326,0.08610004,0.021880414,0.026309762,0.029188314,0.04020174,False,False,False,True,False
ABHD17C,0,0.036910607,0.01500107139053416,0.059977613,0.035816684,0.024227161,0.023242855,0.041288722,False,False,False,True,False
ABHD2,0,0.0525916704,0.03544531254006441,0.0674669,0.03712066,0.022025669,0.028517503,0.10782762,False,False,True,False,False
ABHD3,0,0.0405584742,0.012841772212685374,0.04958462,0.03759431,0.056321286,0.023213355,0.0360788,False,True,False,False,False
ABHD5,0,0.0457129078,0.014921620086917747,0.05825848,0.03690832,0.058770962,0.024196792,0.050429985,False,False,False,False,True
ABHD6,0,0.0404297694,0.01458792359588827,0.046429146,0.04879791,0.020880435,0.0297993,0.056242056,False,False,False,True,False
ABHD8,0,0.04038562020000001,0.014966177347889648,0.04280243,0.03824615,0.06252921,0.020694591,0.03765572,False,False,True,False,False
ABI1,0,0.0329995116,0.00712038350868342,0.036380056,0.03950937,0.023420598,0.027496384,0.03819115,False,False,False,False,True
ABI2,0,0.0345106196,0.018505253919579738,0.065653846,0.020349618,0.023497606,0.026037801,0.037014227,False,False,False,True,False
ABI3BP,0,0.0625629666,0.024551876429330502,0.092421256,0.064201936,0.029739799,0.048414852,0.07803699,False,False,False,False,True
ABL1,0,0.0519617566,0.020815421608214226,0.07168102,0.053976536,0.022645587,0.04071892,0.07078672,True,False,False,False,False
ABL2,0,0.040505364399999993,0.017960601198881883,0.070882216,0.034012035,0.023426237,0.039402064,0.03480427,True,False,False,False,False
ABLIM1,1,0.0600165442,0.03161375142411321,0.054614216,0.045159917,0.025112448,0.06514773,0.11004841,True,False,False,False,False
ABLIM2,0,0.0407366262,0.02090170052935644,0.0740248,0.03799934,0.022762548,0.023729697,0.045166746,False,False,True,False,False
ABLIM3,0,0.0682357602,0.05235762915317567,0.06971303,0.041472603,0.15671735,0.022129355,0.051146463,False,True,False,False,False
ABO,0,0.032714233,0.01546554456911143,0.05708508,0.021702368,0.023935575,0.021649722,0.03919842,True,False,False,False,False
ABR,0,0.06137217559999999,0.044486567954372294,0.06285997,0.03586808,0.13775879,0.029834133,0.040539905,False,False,True,False,False
ABTB1,0,0.0341769122,0.01310181835166019,0.05297248,0.036163583,0.022121355,0.021269673,0.03835747,False,False,False,True,False
ABTB2,0,0.0461860528,0.019351349448731094,0.07921175,0.043803208,0.028516836,0.04130632,0.03809215,False,True,False,False,False
ACAN,0,0.03978377239999999,0.023117534947729532,0.07771133,0.034408085,0.015943,0.029773137,0.04108331,False,False,False,True,False
ACAP2,0,0.0483523994,0.035281398191865196,0.041201647,0.04304393,0.022740092,0.025441268,0.10933506,False,False,True,False,False
ACAP3,0,0.0402001974,0.025627102329967715,0.084603444,0.023753416,0.022470417,0.03810438,0.03206933,False,False,True,False,False
