_BACKGROUND,5p,10p,15p
POU3F4,POU3F4,POU3F4,POU3F4
ZNF442,ZNF442,ZNF442,ZNF442
GAD1,GAD1,GAD1,GAD1
CLTCL1,CLTCL1,CLTCL1,CLTCL1
VAX1,VAX1,VAX1,VAX1
FREM1,FREM1,FREM1,FREM1
ANXA1,ANXA1,ANXA1,ANXA1
HNF1B,HNF1B,HNF1B,HNF1B
LINC01605,LINC01605,LINC01605,LINC01605
FAM78B,FAM78B,FAM78B,FAM78B
GTF2F1,GTF2F1,GTF2F1,GTF2F1
B3GNTL1,B3GNTL1,B3GNTL1,B3GNTL1
PHLDB2,PHLDB2,PHLDB2,PHLDB2
TACR1,TACR1,TACR1,TACR1
ADCY2,ADCY2,ADCY2,ADCY2
TSHZ3,TSHZ3,TSHZ3,TSHZ3
WASF3,WASF3,WASF3,WASF3
CAMK2D,CAMK2D,CAMK2D,CAMK2D
LRRC4C,LRRC4C,LRRC4C,LRRC4C
ALX4,ALX4,ALX4,ALX4
NTNG1,NTNG1,NTNG1,NTNG1
FBXL7,FBXL7,FBXL7,FBXL7
PDGFD,PDGFD,PDGFD,PDGFD
VWC2,VWC2,VWC2,VWC2
LRRC8C,LRRC8C,LRRC8C,LRRC8C
COL11A1,COL11A1,COL11A1,COL11A1
GPR158,GPR158,GPR158,GPR158
SOX2-OT,SOX2-OT,SOX2-OT,SOX2-OT
PCDHAC2,PCDHAC2,PCDHAC2,PCDHAC2
CD101,CD101,CD101,CD101
RORC,RORC,RORC,RORC
LMO2,LMO2,LMO2,LMO2
PTPRN2,PTPRN2,PTPRN2,PTPRN2
ISLR,ISLR,ISLR,ISLR
FAT1,FAT1,FAT1,FAT1
ITGB1,ITGB1,ITGB1,ITGB1
GRIK4,GRIK4,GRIK4,GRIK4
B4GAT1,B4GAT1,B4GAT1,B4GAT1
POU3F2,POU3F2,POU3F2,POU3F2
S1PR2,S1PR2,S1PR2,S1PR2
SOST,SOST,SOST,SOST
PCDH7,PCDH7,PCDH7,PCDH7
ZNF536,ZNF536,ZNF536,ZNF536
