gene,score,validation,label
ABCC3,2.875465e-07,False,0
ABCF2,9.965683e-05,True,0
ACTB,4.991792e-09,False,0
ACTC1,0.0007932887,False,0
ACTG1,2.7467376e-08,False,0
ACVR1,0.04415349,False,0
ADAM29,0.061185278,False,0
ADAM32,0.05005319,False,0
ADAMTS16,0.07753707,False,0
ADAMTS2,0.038623493,False,1
ADAMTS3,0.011223437,False,0
ADAMTS9-AS1,0.14564787,False,0
ADAMTSL1,0.018729387,False,0
ADARB1,0.086823486,False,0
ADARB2,0.0017756484,True,0
ADCY2,0.09978614,True,1
ADCY8,8.8153574e-05,True,0
ADCYAP1,0.12403349,False,0
ADD3-AS1,0.09509589,False,0
ADGRL2,0.015339614,False,0
ADNP,0.043741565,False,0
ADNP2,0.047102075,False,0
ADTRP,0.011264458,False,1
AEBP2,0.07423117,False,0
AFAP1,0.023961633,False,0
AFF1,0.0450199,False,0
AFF2,0.036028568,False,0
AFF4,0.025185864,False,0
AGAP2,0.049157042,False,0
AGBL1,0.060008366,False,1
AGMO,0.0021059206,False,0
AHCTF1,0.11197882,False,0
AHDC1,0.03007609,False,0
AHNAK2,2.512679e-05,True,0
AHR,0.07296775,False,0
AKAP13,2.4875373e-05,True,0
ALDH1A3,0.009223286,False,0
ALK,0.0074004675,False,0
ALX1,1.3502173e-05,True,0
ANK1,0.003690447,False,0
ANKRD24,0.052321836,True,0
ANKRD28,0.050892524,False,0
ANKRD30A,0.05430464,False,0
ANKRD30B,0.0683082,False,0
ANKRD33B,0.08376935,False,0
ANKRD34C-AS1,0.016377833,True,0
ANKRD62,0.0008322539,True,0
ANKRD7,0.078089215,False,0
ANO1,0.13445435,True,0
ANO10,0.045109365,False,0
ANO2,0.0633257,False,0
ANO3,0.047597285,True,1
ANO6,0.04694794,False,0
ANXA11,0.13867475,True,0
AP1S1,5.7229787e-08,False,0
AP2M1,1.7021062e-05,False,0
APBA2,0.06091539,False,0
APEX2,1.5238086e-08,False,0
AQP4-AS1,0.027526742,False,0
AQP9,0.008653442,True,0
AR,0.00084162125,False,0
ARC,8.502048e-10,False,0
AREG,8.139191e-08,True,0
ARF1,6.017533e-08,False,0
ARFGAP1,0.016065244,False,0
ARG1,0.0001611747,True,0
ARHGAP12,0.029240558,False,0
ARHGAP20,0.021282565,False,0
ARHGAP24,0.052006926,False,0
ARHGAP26,0.051688634,False,0
ARHGDIA,1.4080648e-08,False,0
ARHGDIG,2.2303405e-08,False,0
ARHGEF10,0.031598404,True,0
ARHGEF28,0.18946832,False,0
ARHGEF40,0.0040798313,False,0
ARID3A,0.06941842,False,0
ARID3B,0.15203874,False,0
ARID5A,0.08417687,False,0
ARID5B,0.03518335,False,0
ARL4D,2.5887417e-07,False,0
ARL6IP1,3.502324e-09,True,0
ARL6IP5,0.00027022942,False,0
ARLNC1,0.0002989216,True,0
ARNT2,0.05208063,False,0
ARNTL,0.015842536,True,0
ARNTL2,0.072808444,True,0
ARPP19,0.0060081645,False,0
ARSJ,0.05153914,False,0
ART3,0.022184933,False,0
ARX,0.0009864649,False,0
ASAP2,0.058234025,False,1
ASB18,0.013418511,False,1
ASB2,0.082914434,False,0
ASCL1,8.592123e-07,True,0
ASH2L,0.0026687866,True,0
ASIC2,0.0015878939,False,0
ASPA,0.01477162,False,0
ASXL3,0.024662118,False,0
ATF2,0.016773485,False,0
ATF4,5.3268454e-06,False,0
ATF7,0.15181285,False,0
ATF7IP2,0.027870264,False,0
ATOH8,0.05205106,False,0
ATP1A1,0.0022530956,False,0
ATP1A3,0.0002803852,False,0
ATP1B1,7.2330977e-06,False,0
ATP1B3,0.039747484,False,0
ATP6V0C,5.3463303e-08,False,0
ATP6V1B2,0.00026816357,False,0
ATP6V1C2,1.0789964e-10,False,0
ATP6V1G1,0.005375142,False,0
ATP8B1,0.001275795,False,0
ATP8B4,0.08737449,False,0
ATRNL1,0.053579543,False,0
ATXN1,0.121167764,False,1
ATXN7L1,0.05536385,False,0
ATXN7L3B,0.00019242227,False,0
B3GLCT,0.049306247,False,1
BAALC-AS1,0.008401895,False,0
BACE2,0.064925894,True,0
BACH1,0.06782367,True,0
BACH2,0.07201129,False,0
BAG3,0.0005291841,False,0
BATF3,0.0013269744,False,0
BAZ1A,0.045958266,False,0
BBOX1-AS1,0.04645974,False,0
BBX,0.05866652,True,0
BCAM,0.0052754153,False,0
BCL11A,0.044186745,False,0
BCL11B,0.044362176,False,0
BCL3,0.00030270318,False,0
BCL6,0.008926599,True,0
BCLAF1,0.031931456,False,0
BDNF,9.240219e-05,True,0
BDP1,0.06257295,False,0
BEND6,0.082838275,True,0
BEX3,0.00013294366,False,0
BEX5,0.00029568665,True,0
BHLHE22,0.0019027892,False,0
BHLHE40,0.005439255,False,0
