gene,label,mean,std,score_0,score_1,score_2,score_3,score_4,validation_0,validation_1,validation_2,validation_3,validation_4
ABCA1,0,0.043596051600000005,0.01616902954177857,0.046970963,0.03415006,0.034264334,0.070525415,0.032069486,True,False,False,False,False
ABCA4,0,0.040354895200000004,0.03457097714544082,0.01167869,0.09980585,0.037115257,0.030727547,0.022447132,False,False,True,False,False
ABCC3,0,0.0201948297,0.008281820774878943,0.030464426,0.0091503505,0.019738015,0.016017878,0.025603479,False,False,True,False,False
ABCC9,0,0.0252285178,0.0055780978589891825,0.017006101,0.021882184,0.029767107,0.028328726,0.029158471,False,False,True,False,False
ABCF2,0,0.005934191838968399,0.00865011078542614,2.0407444e-06,0.0017232349,2.3550442e-08,0.020372882,0.007572778,False,False,True,False,False
ABCG2,0,0.01022186744,0.007350768416886285,0.003994171,0.0068404595,0.019814877,0.0041516297,0.0163082,True,False,False,False,False
ABHD3,0,0.013330264879999998,0.010581458497276552,0.0029875024,0.008759364,0.030114567,0.00812056,0.016669331,False,False,False,False,True
ABL1,0,0.038399405799999994,0.014476684757238109,0.01990637,0.036784288,0.06053534,0.036479674,0.038291357,False,False,True,False,False
ACTB,0,0.0088350812616,0.009087703820383847,0.0039376304,0.023919426,0.008655366,4.2108608e-05,0.0076208753,False,False,False,True,False
ACTG1,0,0.013514373928000001,0.011216455139913985,0.004159863,0.02862606,0.018407164,0.00088476064,0.015494022,True,False,False,False,False
ACVR1,0,0.0913522534,0.005221254587058057,0.088110186,0.09198965,0.100103006,0.08712468,0.089433745,False,False,True,False,False
ADAM28,0,0.01746604208,0.019452835097351198,0.022469273,0.005285356,0.049193397,0.0011738854,0.009208299,False,True,False,False,False
ADAM29,0,0.0778947566,0.031767724703948626,0.045162883,0.07002996,0.11462464,0.05201662,0.10763968,False,False,False,True,False
ADAM32,0,0.0842265692,0.014157718274329847,0.08392342,0.09628719,0.07154363,0.100420296,0.06895831,False,True,False,False,False
ADAMTS1,0,0.0235395256,0.023474888635941823,0.014421586,0.01751649,0.06503237,0.007535061,0.013192121,False,True,False,False,False
ADAMTS14,0,0.019650532999999998,0.02222095765102399,0.013874005,0.059082936,0.01087732,0.006849721,0.007568683,False,False,True,False,False
ADAMTS16,0,0.01483790238,0.00932874493574757,0.0012818499,0.015692215,0.019777933,0.011333652,0.026103862,False,False,False,True,False
ADAMTS17,0,0.010974559127199999,0.008809676802611912,0.004131397,0.020453673,0.01820213,0.012079222,6.373636e-06,False,False,True,False,False
ADAMTS18,0,0.00568395298,0.0036411867008707866,0.0061004637,0.002221398,0.008624423,0.0017231222,0.009750358,False,False,False,True,False
ADAMTS2,1,0.0351291878,0.033709566303151854,0.010658393,0.0132629,0.055079,0.085216224,0.011429422,True,False,False,False,False
ADAMTS3,0,0.02671994016,0.018667039092643643,0.025399595,0.022149295,0.0010448168,0.032164294,0.0528417,False,False,False,True,False
ADAMTS9-AS1,0,0.0844759508,0.0189636731575553,0.071195744,0.07555646,0.07799408,0.07972182,0.11791165,True,False,False,False,False
ADAMTSL1,0,0.01453707488,0.010188466016430867,0.01341148,0.029453518,0.0024552424,0.008991028,0.018374106,False,False,False,True,False
ADAMTSL3,0,0.01936816004,0.010509026075123305,0.0016593002,0.028441032,0.025569659,0.022071311,0.019099498,True,False,False,False,False
ADARB1,0,0.08200909,0.014439030528870352,0.08276693,0.07568155,0.08074528,0.10502667,0.06582502,False,False,True,False,False
ADCY2,1,0.10091848340000001,0.01692504691632743,0.12378932,0.08197439,0.107188836,0.105108835,0.086531036,True,False,False,False,False
ADCYAP1,0,0.0666025168,0.04253439442247144,0.006815448,0.079565495,0.06629112,0.055650756,0.124689765,False,False,False,True,False
ADD3-AS1,0,0.0791406394,0.03400003949084422,0.032418452,0.065142095,0.12012475,0.10262189,0.07539601,False,False,False,False,True
ADGRF2,0,0.007316492998,0.006761235064003191,7.367469e-05,0.017316421,0.010093069,0.0026287118,0.0064705885,True,False,False,False,False
ADGRF5,0,0.004060146612,0.004107684819227372,0.0009970664,0.0045904964,0.010807416,0.00064487226,0.003260882,False,False,False,True,False
ADGRL2,0,0.09385529960000001,0.017820157857676315,0.0873364,0.081473604,0.09472749,0.12421379,0.081525214,True,False,False,False,False
ADNP,0,0.0976572024,0.019671714657050372,0.13098891,0.08788412,0.09840932,0.090261966,0.080741696,False,False,False,False,True
ADNP2,0,0.09283736499999999,0.020892379977892655,0.12608302,0.08405734,0.100233175,0.07609115,0.07772214,False,True,False,False,False
ADTRP,1,0.014568138327679999,0.019919850125294652,0.0012187045,7.3186384e-06,0.048811864,0.012865588,0.0099372165,False,False,False,False,True
AEBP2,0,0.07310564,0.021912281772588173,0.04106163,0.05929044,0.08733079,0.08924069,0.08860465,True,False,False,False,False
AFAP1,0,0.00794350588,0.004712383138603996,0.009895522,0.0010808469,0.005545106,0.0099463025,0.013249752,False,False,False,False,True
AFF1,0,0.0399017312,0.020038806525794487,0.008298102,0.04029236,0.03705879,0.060035117,0.053824287,False,False,False,True,False
AFF4,0,0.077751218,0.011403092174943511,0.091300376,0.06990577,0.065617874,0.08828393,0.07364814,False,False,False,False,True
AGAP2,0,0.012684956431999999,0.008281264204301033,0.022120787,0.00032349816,0.017298732,0.00963125,0.014050515,True,False,False,False,False
