gene,score,validation,label
ABCA1,0.2273624,False,-1
ABCA6,0.2827097,False,-1
ABCA8,0.00013615521,False,-1
ABCC4,0.009886667,False,-1
ABCF2,0.040909093,False,-1
ABHD3,0.27614748,False,-1
ABI1,0.12592378,False,-1
ABL1,0.105751336,False,-1
ABLIM2,0.19652823,False,-1
ACOT12,0.23528135,False,-1
ACTB,0.11255194,False,-1
ACTG1,0.23031756,False,-1
ACTN1,0.0023623104,False,-1
ACTN2,9.143243e-05,False,-1
ACTR3,0.011426754,False,-1
ACTR3C,0.057246085,False,-1
ACVR1,0.17570442,False,-1
ACVR1C,0.00066377415,False,-1
ADAM28,0.014161271,True,0
ADAMTS12,0.00046557,False,-1
ADAMTS15,0.09956493,False,-1
ADAMTS17,0.56897557,False,0
ADAMTS3,0.16858895,False,0
ADAMTS5,0.24670677,False,-1
ADAMTS9,0.000118484226,False,-1
ADAMTS9-AS2,0.048429355,False,-1
ADAMTSL3,0.11696643,False,-1
ADARB1,0.12109219,False,-1
ADARB2,0.003174727,True,0
ADARB2-AS1,0.000114794275,False,-1
ADCY1,0.37746394,False,-1
ADCY2,0.1768546,False,1
ADCYAP1R1,0.061263718,False,-1
ADD3-AS1,0.20135796,False,-1
ADGRG1,0.00756609,False,-1
ADGRL2,0.16793339,False,-1
ADGRL3,0.12612426,False,-1
ADK,0.11124573,False,-1
ADNP,0.15362659,False,-1
ADNP2,0.15729754,False,-1
ADRA1A,0.18007565,False,-1
ADRA1D,0.012298545,False,-1
AFF1,0.19317883,False,-1
AFF4,0.12192337,False,0
AGAP2,0.19075513,False,-1
AGBL3,0.0023267705,False,-1
AGBL4,0.19677918,False,-1
AGGF1,0.30674878,False,-1
AGPAT1,0.088887274,False,-1
AGRN,0.26723954,False,-1
AHCTF1,0.1660377,False,-1
AHDC1,0.13117608,False,-1
AHR,0.14959839,False,0
AIM2,0.00012521638,False,-1
AK5,0.053001944,False,-1
AKAP13,0.0461617,False,-1
AKR1C2,0.20877,False,-1
ALCAM,0.08291852,False,-1
ALDOC,0.30564243,False,-1
ALG6,0.17494933,False,-1
ALK,0.3302291,False,-1
ALX3,0.06052705,False,-1
AMFR,0.14388488,False,-1
AMMECR1,0.15071437,False,-1
AMOT,0.037394933,False,-1
AMZ1,0.09187772,False,-1
ANK1,0.18887407,False,-1
ANKRD18A,0.003696878,False,-1
ANKRD30B,0.065369405,False,-1
ANKRD30BL,0.13035719,False,-1
ANKRD33B,0.15199608,False,-1
ANKRD50,0.16731209,False,-1
ANKRD55,0.15888582,False,-1
ANKS1B,0.16206923,False,-1
ANLN,0.079019755,False,-1
ANO1,0.00050138717,False,-1
ANO10,0.10083568,False,-1
ANO6,0.16048723,False,-1
ANTXR1,0.4402719,False,1
ANXA4,0.211557,False,-1
AP1S2,0.14062488,False,-1
APCDD1,1.5791535e-05,False,-1
APP,0.19154455,False,-1
AQP4,0.0010163161,False,-1
AQP4-AS1,0.055714503,False,-1
AR,0.32777587,False,-1
ARAP2,0.12022176,False,-1
ARF1,0.27886203,False,-1
ARFGEF3,0.24043804,False,-1
ARHGAP15,0.00298969,False,-1
ARHGAP20,0.0023784821,False,-1
ARHGAP22,0.16053978,False,-1
ARHGAP25,0.01822353,False,-1
ARHGAP26,0.17727388,False,-1
ARHGAP29,0.2581868,False,-1
ARHGAP6,0.03521501,False,-1
ARHGDIG,0.27355704,False,-1
ARHGEF10,0.26256794,False,-1
ARHGEF11,0.38490826,False,-1
ARHGEF26,0.0003451005,False,-1
ARHGEF3,0.011551941,False,-1
ARHGEF6,0.098112255,False,-1
ARID1A,0.14438458,False,-1
ARID5B,0.14720798,False,-1
ARL17B,6.419111e-05,False,-1
ARL4C,0.31136823,False,-1
ARMC4,0.07177802,False,-1
ARMC9,0.0040902426,False,-1
ARNT,0.16825607,False,-1
ARNT2,0.15158322,False,-1
ARNTL,0.15086684,False,-1
ARPP21,0.35443598,False,-1
ARSG,0.22770801,False,-1
ARX,0.27075908,False,0
ASAP2,0.12341694,False,-1
ASB14,0.0007314908,False,-1
ASCL1,0.06387425,False,-1
ASCL2,0.0012059371,False,-1
ASIC2,0.029376417,False,-1
ASS1,0.10549188,False,-1
ASXL2,0.013570554,False,-1
ASXL3,0.20778954,False,-1
ATF2,0.13414802,False,-1
ATF3,0.0022608603,False,-1
ATF7,0.37736335,False,-1
ATF7IP2,0.12956943,False,-1
ATG10,0.21308015,False,-1
ATG5,0.17340533,False,-1
ATMIN,0.31936386,False,-1
ATOX1,0.12826465,False,-1
ATP10A,0.35542962,True,0
ATP13A4,0.019103797,False,-1
ATP1A1,0.14178759,False,-1
ATP1A3,0.36681232,False,-1
ATP1B1,0.30581275,False,-1
ATP1B2,0.27518502,False,-1
ATP6AP1,0.041908484,False,-1
ATP6V0C,0.37102902,False,-1
ATP6V1A,0.1575487,False,-1
ATP6V1G1,0.0037841701,False,-1
ATP8B1,0.056249775,False,-1
ATP9B,0.24014336,False,-1
ATRNL1,0.16131069,False,-1
ATXN7L3B,0.34739658,False,-1
AVEN,0.0035260597,False,-1
AVPR1A,0.020102344,False,-1
AZIN2,0.044719264,False,-1
B3GALNT1,0.09161459,False,-1
B3GLCT,0.047919847,False,-1
B4GALT6,0.08919826,False,-1
BAALC,0.106268026,False,-1
BACH1,0.1813342,False,-1
BACH2,0.14797616,False,-1
BANP,1.7702777e-06,False,-1
BATF,0.007449018,False,-1
BAZ1A,0.09516762,False,-1
BBS4,0.020423153,False,-1
BBX,0.07247295,False,-1
BCAN,0.0035990772,False,-1
BCAR3,0.093660556,False,-1
BCL11A,0.16044435,False,-1
BCL11B,0.20437057,False,-1
BCL3,0.2907217,False,-1
BCL6,0.0018148731,False,-1
BCLAF1,0.123882055,False,0
BEAN1,0.007999538,False,-1
BEND6,0.1575061,True,0
BEX2,0.28169796,False,-1
BFSP2-AS1,0.16322277,False,-1
BHLHE40-AS1,0.31262773,False,-1
BHLHE41,0.28109646,False,-1
BLCAP,0.34914076,False,-1
BLOC1S5,0.026976038,False,-1
BMP8A,0.053703204,False,-1
BMPER,0.10332231,False,-1
BMPR1B,6.111366e-05,False,-1
BNC2,0.00467523,False,0
BOC,0.004059484,False,-1
BOLL,2.9411134e-05,False,-1
BRF1,0.052869175,False,-1
BRINP1,0.112983786,False,-1
BVES,0.2610353,False,-1
BZW2,0.081799574,False,-1
C12orf29,0.04137544,False,-1
C12orf42,0.37231237,False,-1
C12orf75,0.0006248519,False,-1
C14orf39,0.20033446,False,-1
C15orf41,0.0004856444,False,-1
C15orf65,9.795888e-07,False,-1
C16orf96,0.031512138,False,-1
C17orf100,0.0334266,False,-1
C18orf32,0.30318752,False,-1
C19orf25,0.060567327,False,-1
C19orf53,0.30849722,False,-1
C1QTNF7,0.00786058,False,-1
C20orf203,0.124608696,False,-1
C2orf76,0.21936141,False,-1
C2orf88,0.15766147,False,-1
C3,0.0073105353,True,0
C3orf67,0.12947409,False,-1
C3orf67-AS1,0.09550839,False,-1
C3orf70,0.17951968,False,-1
C5orf30,0.14082292,False,-1
C5orf47,0.18930425,False,-1
C5orf64,0.00071155065,False,-1
C5orf66,0.35596973,False,-1
C8orf34-AS1,0.1253678,False,-1
C9orf135,0.0009593747,False,-1
C9orf170,1.1939865e-07,False,-1
C9orf85,0.004139822,False,-1
CA1,0.00038055435,False,-1
CA2,0.2070703,False,-1
CA3,0.115484916,False,-1
CA3-AS1,0.17586872,False,-1
CACHD1,2.3154864e-05,False,0
CACNA1C,0.49485376,False,1
CACNA1E,0.17621534,False,-1
CACNA1G,0.33756274,False,-1
CACNA2D1,0.15029056,False,-1
CACNA2D2,7.558856e-07,False,-1
CACNB2,0.002040542,False,-1
CACNG3,0.14250825,False,-1
CACNG4,0.0031068397,False,0
CADM2,0.23895009,False,-1
CADPS,0.42423895,False,-1
CALB1,0.037340943,False,-1
CALB2,0.09749562,False,-1
CALM1,0.007956159,False,-1
CALM2,0.3331448,False,-1
CALY,0.37300083,False,-1
CAMK1D,0.14607155,False,-1
CAMK2D,0.1441119,False,-1
CAMK2N1,0.21076053,False,-1
CAMK2N2,0.0159368,False,-1
CAMKK2,0.13908933,False,-1
CAMKV,0.27472708,False,-1
CANX,0.37118527,False,-1
CASC15,0.00029714144,False,0
CASC2,0.13261752,False,-1
CBLB,0.0037341588,False,0
CBLN2,0.1568165,False,0
CC2D2B,0.00039943506,False,-1
CCBE1,0.12336299,False,-1
CCDC102B,0.26057425,False,-1
CCDC144NL-AS1,0.006433645,False,-1
CCDC146,0.025265398,False,-1
CCDC169,0.13361654,False,-1
CCDC33,0.19333497,False,-1
CCDC85A,0.17604947,False,-1
CCDC85B,0.2993102,False,-1
CCK,0.37027514,False,-1
CCM2,0.0003923622,False,-1
CCND2-AS1,0.0037835052,False,-1
CCNG2,0.022561911,False,0
CCNI,0.03809257,False,-1
CCNJL,0.0037579532,False,0
CCNYL1,0.008889675,False,-1
CD24,0.055327673,False,-1
CD59,0.010711777,False,-1
CD63,0.0017950808,False,-1
CD83,0.009490239,False,-1
CDADC1,0.09507824,False,-1
CDC14A,0.0024766983,False,-1
CDC14B,0.1534938,False,-1
CDC42EP3,0.16650344,False,-1
CDH11,0.005204949,True,0
CDH18,0.011741323,True,1
CDH2,0.13885136,False,-1
CDH20,0.24572855,False,-1
CDH22,0.08643264,False,-1
CDH23,0.03849105,False,-1
CDH4,0.41212878,False,-1
CDH6,0.3872225,False,-1
CDH8,0.015054213,False,-1
CDHR1,0.122424334,False,-1
CDK14,0.13770974,False,-1
CDK18,0.0017478149,False,-1
CDK19,0.031882804,False,-1
CDK6,0.19742699,False,-1
CDKL5,0.16759877,False,-1
CDKN2B-AS1,0.15367506,False,-1
CDON,0.0027776212,False,-1
CDYL2,0.12674445,False,-1
CEBPA,0.00075444236,False,-1
CEBPB,0.28578943,False,-1
CEBPZ,0.005246551,False,-1
CECR2,0.00040699367,False,-1
CELF2,0.15941435,False,-1
CELF5,0.25656787,False,-1
CELF6,0.0003923211,False,-1
CELSR2,0.30669087,False,-1
CEMIP,0.028666368,False,-1
CEP112,0.016699426,False,-1
CEP57L1,0.040679667,False,-1
CFAP70,0.005240271,False,-1
CFDP1,0.008644296,False,-1
CFL1,0.37201077,False,-1
CFL2,0.3268772,False,0
CGGBP1,9.363323e-05,False,-1
CGNL1,0.0014980572,False,-1
CHD1,0.14116833,False,-1
CHD2,0.115101986,False,-1
CHD7,0.31260237,False,-1
CHL1,0.007960214,False,-1
CHODL,0.084954925,False,-1
CHRDL1,0.14075004,False,-1
CHRM2,0.21181078,False,-1
CHRNA2,0.027806705,False,-1
CHRNA5,0.00075124257,False,-1
CHST1,0.13319002,False,-1
CHST15,0.32257253,False,-1
CHST8,0.006612504,False,-1
CHST9,0.1813234,False,0
CHSY3,0.14439195,False,-1
CIART,0.31492454,False,-1
CLDN11,1.3518639e-05,False,-1
CLGN,0.23098612,False,-1
CLIC4,0.0047545303,False,-1
CLMN,0.11917349,False,-1
CLOCK,0.13693151,True,0
CLSTN2,0.0013150176,False,-1
CLU,0.21062511,False,-1
CMTM8,3.218116e-05,False,-1
CNBD1,0.0039159227,False,-1
CNDP1,1.9344676e-05,False,-1
CNGB1,0.0007782284,False,-1
CNKSR3,0.27123153,False,-1
CNNM4,0.35195956,False,-1
CNOT3,0.12655038,False,-1
CNOT4,0.12632482,False,0
CNR1,0.011061055,False,-1
CNTN4,0.13967499,False,0
CNTN5,0.00017600601,False,-1
CNTN6,0.0033243895,False,-1
CNTNAP3,0.15432361,False,-1
CNTNAP3B,0.15813272,False,-1
CNTNAP5,0.2382309,False,1
COBLL1,0.14101346,False,-1
COL23A1,0.022314468,False,-1
COL25A1,0.32018548,False,-1
COL4A2,0.0047686505,False,-1
COL6A1,0.24913767,False,-1
COPS9,0.32473874,False,-1
CORO2B,0.046994798,False,-1
CPEB1,0.2523021,False,-1
CPEB2,0.16083223,False,-1
CPLX1,0.36884013,False,1
CPLX2,0.29654843,False,1
CPM,0.021938706,False,-1
CPQ,0.053948876,False,-1
CRABP1,0.29537925,False,-1
CRACR2A,0.1157853,False,-1
CRADD,0.003445932,False,-1
CREB1,0.14351125,False,-1
CREB3,0.4626411,False,-1
CREB3L4,0.04277455,False,-1
CREG2,0.2404217,False,-1
CREM,0.00971524,False,-1
CRHR2,0.004589773,False,-1
CRYBG3,0.16069016,False,-1
CSGALNACT1,0.084047236,False,-1
CSMD2,0.00096315914,False,-1
CST3,0.00086472026,False,-1
CTBP1,0.05753714,False,-1
CTBP2,0.18573312,False,-1
CTCF,0.07240661,False,-1
CTNNA2,0.15120848,False,-1
CTNNB1,0.14168967,False,0
CTNND2,0.12862232,False,-1
CTPS2,0.11904481,False,-1
CTSD,0.17288987,False,-1
CUX1,0.079815984,False,0
CUX2,0.057349846,False,-1
CX3CR1,0.015950626,False,0
CXXC5,0.1313439,False,0
CYB561,0.16911367,False,-1
CYB5R1,0.23067743,False,-1
CYP7B1,0.33946756,False,1
CYYR1,0.102247484,False,-1
DAB1,0.08793799,False,-1
DACH1,0.1839003,False,-1
DAP,0.05808672,False,-1
DAPK1,0.07812414,False,-1
DAZAP1,0.07208522,False,-1
DCLK1,0.108660854,False,-1
DCTN3,0.1549323,False,-1
DCTPP1,0.13139905,False,-1
DCX,0.11776655,False,-1
DDB2,0.40544567,False,-1
DDIT3,0.0055983574,False,-1
DDX58,0.00017584901,False,-1
DDX59,0.11368869,False,-1
DENND2A,0.23264235,False,-1
DGCR8,0.009727841,False,-1
DGKH,0.12906967,False,-1
DIAPH3,0.0021638605,False,-1
DIRAS1,0.28571823,False,-1
DIRAS2,0.033265106,False,-1
DIRC3,0.0123009775,False,-1
DKK2,0.041044455,False,-1
DLC1,0.21206403,False,-1
DLEU1,0.1580181,False,-1
DLEU2,0.08148049,False,-1
DLEU7,0.028641483,False,-1
DLG2,0.05971289,False,-1
DLGAP1-AS3,0.0050808415,False,-1
DLGAP2,0.03338529,False,-1
DLGAP4,0.13866845,False,-1
DLL4,0.0011911909,False,-1
DLX1,0.08950842,False,-1
DLX2,0.20654151,False,0
DLX4,0.050500575,False,-1
DLX5,0.011806292,False,0
DLX6,0.29919645,False,-1
DLX6-AS1,0.27412325,False,0
DMD,0.0028975785,False,-1
DMRT1,1.0419384e-05,False,-1
DMRTA1,0.19226065,False,-1
DNAH14,0.028164338,False,-1
DNAJC21,0.15737852,False,-1
DNMT1,0.00024385401,False,-1
DNMT3A,0.3556096,False,-1
DOCK2,0.015294595,False,-1
DOCK4,0.020340314,False,-1
DOCK8,0.012437144,False,0
DOK6,0.10955347,False,-1
DPF1,0.20595628,False,-1
DPP10,0.021283964,False,-1
DPP10-AS1,0.08344282,False,-1
DPT,1.3769676e-06,False,-1
DPY19L1,0.17994587,False,-1
DPYD,0.06744999,False,-1
DPYS,0.0044533745,False,-1
DRAM2,0.16585597,False,-1
DSCAM,0.002544643,False,-1
DSCAS,0.058661133,False,-1
DSE,0.13093136,False,0
DTNA,0.036232885,False,-1
DUSP22,0.099307664,False,-1
DYNLL1,0.37119275,False,-1
DYNLL2,0.12276153,False,-1
E2F4,0.17846657,False,-1
E2F5,0.16205415,False,0
E2F6,0.07788504,False,-1
E4F1,0.30693913,False,-1
EBF1,0.0020571298,False,0
EBF2,0.00168712,False,-1
EBF3,0.119321175,False,-1
EBF4,0.18629926,False,-1
ECE2,0.273098,False,0
ECEL1,0.19136839,False,-1
EDIL3,0.15701686,False,-1
EEA1,0.14955176,False,-1
EEF1A1,0.3073664,False,-1
