gene,score,validation,label
A2M,0.02860107,True,0
AAAS,0.042453248,False,0
AACS,0.0341723,False,0
AAK1,0.036609735,False,0
AAMDC,0.020780832,False,0
AARS,0.04684633,False,0
AASDHPPT,0.049239367,False,0
AATK,0.043119747,False,0
ABCA1,0.060303964,False,0
ABCA10,0.0486138,False,0
ABCA2,0.025601458,False,0
ABCA3,0.046934843,False,0
ABCA5,0.041753143,False,0
ABCA6,0.05294033,False,0
ABCA8,0.036903307,False,0
ABCB1,0.027470946,False,0
ABCB9,0.054078594,False,0
ABCC3,0.06101681,False,0
ABCC4,0.04198637,True,0
ABCC9,0.042164676,False,0
ABCE1,0.059799246,False,0
ABCF2,0.042593926,True,0
ABCF3,0.045283366,False,0
ABCG1,0.022908216,False,0
ABHD12,0.040056285,False,0
ABHD13,0.04891994,False,0
ABHD14A,0.039147235,False,0
ABHD17A,0.039059475,False,0
ABHD17B,0.027622765,False,0
ABHD17C,0.046977077,False,0
ABHD2,0.032849338,False,0
ABHD3,0.026570344,False,0
ABHD5,0.061331294,False,0
ABHD6,0.027134042,False,0
ABHD8,0.041244585,False,0
ABI1,0.07609548,False,0
ABL1,0.06746211,False,0
ABLIM1,0.04409228,False,1
ABLIM2,0.05023538,False,0
ABLIM3,0.048397094,False,0
ABR,0.045491148,False,0
ABTB2,0.044415332,True,0
ACAP2,0.03770793,False,0
ACAP3,0.040358197,False,0
ACBD5,0.041307446,False,0
ACER2,0.046656363,False,0
ACER3,0.054413818,True,0
ACHE,0.04777587,True,0
ACIN1,0.059761997,False,0
ACO1,0.026734458,False,0
ACOT12,0.05838531,False,0
ACOT8,0.04344788,False,0
ACSBG1,0.06323472,False,0
ACSL3,0.021373097,False,0
ACSL4,0.047200784,False,0
ACSS2,0.04221463,False,0
ACTA2,0.063443765,False,0
ACTB,0.045910493,False,0
ACTG1,0.03671047,False,0
ACTN1,0.044253234,False,0
ACTN2,0.035879306,False,0
ACTN4,0.037700836,True,0
ACTR1B,0.03327544,False,0
ACTR2,0.032056395,True,0
ACTR3,0.035348963,False,0
ACTR3C,0.053124536,False,0
ACTR6,0.046909682,False,0
ACVR1,0.07717941,False,0
ACVR1B,0.047121406,False,0
ACVR1C,0.019496065,True,0
ACVR2A,0.048633598,False,0
ACYP1,0.045399904,True,0
ACYP2,0.04647612,False,0
ADA,0.044413455,True,0
ADAM10,0.02762578,False,0
ADAM11,0.041792165,False,0
ADAM17,0.04027936,False,0
ADAM22,0.059071675,False,0
ADAM23,0.04195934,False,0
ADAM28,0.04258139,False,0
ADAM32,0.045804985,False,0
ADAM9,0.0628143,False,0
ADAMTS10,0.039999444,True,0
ADAMTS12,0.0277334,True,1
ADAMTS14,0.042944495,False,0
ADAMTS15,0.05157701,True,0
ADAMTS17,0.04211762,True,0
ADAMTS20,0.045538295,False,0
ADAMTS3,0.08652078,False,0
ADAMTS5,0.05189422,False,0
ADAMTS6,0.041773174,True,0
ADAMTS9,0.042877283,False,0
ADAMTS9-AS2,0.05493605,True,0
ADAMTSL1,0.042490013,False,0
ADAMTSL2,0.048695453,False,0
ADAMTSL3,0.07351858,False,0
ADAMTSL4-AS1,0.042500675,False,0
ADAP2,0.033274405,False,0
ADAR,0.04452492,False,0
ADARB1,0.07301983,False,0
ADARB2,0.031341776,False,0
ADARB2-AS1,0.038846623,False,0
ADCY1,0.057332437,False,0
ADCY2,0.079754256,False,1
ADCY3,0.04369144,False,0
ADCY5,0.041967347,True,0
ADCY6,0.030762753,True,0
ADCY7,0.033304356,False,0
ADCY8,0.022258185,False,0
ADCYAP1R1,0.06948151,False,0
ADD1,0.05227138,False,0
ADD3,0.040477704,False,1
ADD3-AS1,0.07344675,False,0
ADGRA3,0.03851815,False,0
ADGRB1,0.028063392,True,0
ADGRB2,0.058953494,False,0
ADGRB3,0.027298898,False,1
ADGRE2,0.042351607,False,0
ADGRE5,0.021272525,False,0
ADGRF5,0.024930235,False,0
ADGRG1,0.04688085,False,0
ADGRL1,0.029225985,False,0
ADGRL2,0.07444432,False,0
ADGRL3,0.076945394,False,0
ADGRL4,0.041021403,False,0
ADGRV1,0.039728478,False,0
ADIPOR2,0.04301858,False,0
ADK,0.07783734,True,0
ADNP,0.073517255,False,0
ADNP2,0.08250555,True,0
ADORA1,0.050441835,False,0
ADRA1A,0.07757707,False,0
ADRA1B,0.040001992,False,0
ADRA1D,0.043390337,False,0
ADRM1,0.05880203,False,0
ADSS,0.047381617,True,0
AEBP1,0.043042812,True,0
AFAP1L1,0.044357587,True,0
AFAP1L2,0.021126907,False,0
AFF1,0.047633324,False,0
AFF2,0.06163553,True,0
AFF3,0.06136249,False,0
AFF4,0.070403196,False,0
AFTPH,0.05082786,False,0
AGAP1,0.0224552,False,0
AGAP2,0.04903557,True,0
AGAP3,0.023471562,False,0
AGAP9,0.04689457,False,0
AGBL3,0.0420924,False,0
AGBL4,0.057411592,False,1
AGFG1,0.029981429,False,0
AGFG2,0.046741378,False,0
AGGF1,0.060650576,False,0
AGMO,0.043866783,False,0
AGO1,0.046922557,False,0
AGO2,0.055553477,False,0
AGO3,0.04094312,False,0
AGO4,0.046497505,False,0
AGPAT1,0.05763583,True,0
AGPAT3,0.037497032,False,0
AGPS,0.047269233,True,0
AGRN,0.053503186,False,0
AHCTF1,0.07868977,False,0
AHCYL2,0.048452303,False,0
AHDC1,0.07586442,True,0
AHNAK,0.04471801,False,0
AHR,0.074273586,True,0
AHSA1,0.021273637,False,0
AIF1L,0.031596858,False,0
AIG1,0.042270187,True,0
AIM2,0.03697645,False,0
AJAP1,0.061228413,False,0
AK5,0.056099944,True,0
AK6,0.03920307,False,0
AK7,0.041613236,False,0
AKAP11,0.065509655,False,0
AKAP13,0.074781485,True,0
AKAP9,0.040040147,True,0
AKIRIN1,0.04894356,False,0
AKIRIN2,0.021777352,False,0
AKNA,0.06222303,False,0
AKNAD1,0.041426804,True,0
AKR1C2,0.071513936,True,0
AKT2,0.044241153,True,0
AKT3,0.06293514,False,0
ALCAM,0.045827605,False,0
ALDH16A1,0.04218506,True,0
ALDH1A1,0.042183667,False,0
ALDH1A2,0.048935335,False,0
ALDH1A3,0.036655284,False,0
ALDOC,0.062013753,False,0
ALG1L9P,0.061048064,False,0
ALG6,0.06874657,False,0
ALK,0.07087911,False,0
ALKBH3,0.032206107,False,0
ALKBH5,0.04598956,False,0
ALMS1,0.021948313,False,0
ALOX12-AS1,0.04988699,False,0
ALOX5,0.047725588,False,0
ALPK1,0.044510458,False,0
ALX3,0.048872992,False,0
AMFR,0.075648636,False,0
AMH,0.05017723,False,0
AMMECR1,0.07657206,False,0
AMOT,0.03554165,False,0
AMOTL1,0.04678289,False,0
AMPD3,0.028698457,False,0
AMZ1,0.04883463,False,0
ANAPC10,0.045348678,True,0
ANAPC13,0.045665417,False,0
ANAPC15,0.051869847,False,0
ANAPC4,0.047109824,False,0
ANAPC5,0.045812476,True,0
ANAPC7,0.049020328,False,0
ANGEL1,0.050627522,False,0
ANGPT2,0.042448558,True,0
ANK1,0.059558075,False,0
ANK3,0.021105982,False,1
ANKEF1,0.03811278,False,0
ANKFN1,0.05000195,False,1
ANKHD1,0.028860815,False,0
ANKRD10,0.045166265,True,0
ANKRD11,0.033216126,True,0
ANKRD12,0.035756353,False,0
ANKRD13A,0.041331954,True,0
ANKRD13D,0.046885382,False,0
ANKRD16,0.022029757,False,0
ANKRD17,0.042501427,False,0
ANKRD18A,0.044739496,False,0
ANKRD26,0.03864613,False,0
ANKRD28,0.029753948,False,0
ANKRD29,0.03438523,False,0
ANKRD30B,0.06878924,True,0
ANKRD30BL,0.07792529,False,0
ANKRD33B,0.08647015,False,0
ANKRD36,0.04036583,False,0
ANKRD36C,0.022973238,False,0
ANKRD37,0.0437029,True,0
ANKRD40,0.04178181,True,0
ANKRD44,0.032963827,True,0
ANKRD50,0.08062929,False,0
ANKRD52,0.046683922,False,0
ANKRD55,0.052539095,False,0
ANKRD6,0.065525725,False,0
ANKRD65,0.041445278,True,0
ANKRD9,0.04222669,False,0
ANKS1A,0.030893177,False,0
ANKS1B,0.07906094,False,1
ANKS3,0.039634075,False,0
ANKS6,0.045004837,False,0
ANKUB1,0.06149993,False,0
ANLN,0.05291296,False,0
ANO1,0.02486143,False,0
ANO10,0.074259445,False,0
ANO2,0.047035858,False,0
ANO3,0.065831035,False,1
ANO4,0.063175835,False,0
ANO6,0.06783079,False,0
ANOS1,0.05763929,False,0
ANP32A,0.04715466,True,0
ANP32B,0.042657074,False,0
ANP32E,0.051267747,False,0
ANTXR1,0.061238497,False,0
ANTXR2,0.045988243,False,0
ANXA4,0.06701382,True,0
ANXA6,0.043757312,True,0
AOAH,0.06407054,False,0
AP1B1,0.026814662,True,0
AP1G1,0.04426245,True,0
AP1G2,0.04232022,False,0
AP1M1,0.032818,False,0
AP1S2,0.08156042,False,0
AP1S3,0.054519977,False,0
AP2A2,0.035459258,False,0
AP2M1,0.043171387,True,0
AP3B1,0.05372806,False,0
AP3D1,0.03513256,False,0
AP3M2,0.020562293,False,0
AP3S1,0.03073816,True,0
AP4E1,0.04111639,False,0
AP4S1,0.041714557,False,0
AP5M1,0.04041495,False,0
APAF1,0.04253722,False,0
APBA1,0.023476731,False,0
APBB1,0.06346316,False,0
APBB1IP,0.03895561,False,0
APBB2,0.032094795,False,0
APC,0.041180596,False,0
APC2,0.041975558,False,0
APCDD1,0.046645056,False,0
APH1A,0.044167742,False,0
APLP1,0.061459843,False,0
APLP2,0.043287706,True,0
APMAP,0.062068246,False,0
APOE,0.060949113,False,0
APOLD1,0.04417493,False,0
APP,0.08099497,False,0
APPL1,0.04711295,False,0
APPL2,0.03370885,False,0
AQP1,0.04119764,True,0
AQP4,0.036905803,False,0
AQP4-AS1,0.041912198,False,0
AR,0.06028989,False,0
ARAP1,0.053497057,True,0
ARAP2,0.07872541,False,0
ARAP3,0.045540053,False,0
ARF1,0.025114318,True,0
ARF3,0.04265602,True,0
ARF6,0.04773615,False,0
ARFGEF1,0.04187622,True,0
ARFGEF2,0.06292733,False,0
ARFGEF3,0.067058735,False,0
ARFIP1,0.031554867,False,0
ARFRP1,0.047458388,False,0
ARGLU1,0.064493634,False,0
ARHGAP10,0.04291282,False,0
ARHGAP12,0.047832724,False,0
ARHGAP15,0.03664756,True,0
ARHGAP17,0.04889811,True,0
ARHGAP18,0.03100734,False,0
ARHGAP20,0.0277957,False,0
ARHGAP21,0.045913827,True,0
ARHGAP22,0.074881375,False,0
ARHGAP23,0.046733,True,0
ARHGAP24,0.06304074,False,0
ARHGAP25,0.049741615,False,0
ARHGAP26,0.056729946,False,0
ARHGAP27,0.036091547,False,0
ARHGAP29,0.07421798,False,0
ARHGAP31,0.044219956,False,0
ARHGAP33,0.04518127,False,0
ARHGAP35,0.057849478,False,0
ARHGAP4,0.041428156,False,0
ARHGAP42,0.048905846,False,0
ARHGAP5,0.048342194,False,0
ARHGAP6,0.040413156,False,0
ARHGAP8,0.04522889,False,0
ARHGDIA,0.03198692,False,0
ARHGDIG,0.058664557,True,0
ARHGEF1,0.05729724,False,0
ARHGEF10,0.054114413,False,0
ARHGEF10L,0.030601326,False,0
ARHGEF11,0.05052567,True,0
ARHGEF12,0.044154793,True,0
ARHGEF17,0.030311376,False,0
ARHGEF2,0.051221948,True,0
ARHGEF26,0.041969985,False,0
ARHGEF26-AS1,0.043174952,True,0
ARHGEF28,0.045932885,False,0
ARHGEF3,0.053544533,False,1
ARHGEF37,0.056238342,False,0
ARHGEF4,0.040270828,True,0
ARHGEF6,0.072436854,False,0
ARHGEF7,0.03358048,False,0
ARHGEF9,0.041999638,True,0
ARID1A,0.07789755,True,0
ARID1B,0.06605399,False,0
ARID2,0.042011395,True,0
ARID3A,0.032337457,False,0
ARID3B,0.051210273,False,0
ARID4A,0.041798986,False,0
ARID4B,0.038466353,False,0
ARID5B,0.074742675,False,0
ARIH1,0.040664297,False,0
ARL15,0.028718447,True,1
ARL17B,0.041457538,True,0
ARL3,0.046922132,False,0
ARL4A,0.041129358,True,0
ARL4C,0.057335895,True,0
ARL5B,0.0334767,False,0
ARL6IP1,0.02970168,True,0
ARL6IP5,0.041617543,False,0
ARL8A,0.060293995,False,0
ARL8B,0.044358578,False,0
ARMC1,0.046649683,False,0
ARMC2,0.060989764,False,0
ARMC4,0.049921036,False,0
ARMC8,0.048604626,False,0
ARMC9,0.0468417,False,0
ARMCX4,0.053265497,False,0
ARNT,0.062233426,False,0
ARNT2,0.07441249,True,0
ARNTL,0.08265969,False,0
ARNTL2,0.06457729,False,0
ARPC1A,0.038068306,False,0
ARPC1B,0.038235147,False,0
ARPC2,0.028597554,False,0
ARPC3,0.058689047,False,0
ARPC5,0.04811676,False,0
ARPP21,0.04499877,False,0
ARRB1,0.043125857,False,0
ARRB2,0.046412893,False,0
ARRDC2,0.043945067,False,0
ARRDC3-AS1,0.061611403,False,0
ARRDC4,0.044604693,False,0
ARSG,0.06478036,False,0
ARSI,0.041845385,False,0
ARX,0.076150544,False,0
ASAH1,0.04094202,True,0
