gene,score,validation,label
A2M,0.074983835,False,0
AADACL2-AS1,0.008443662,True,0
ABCA1,0.12685403,False,0
ABCB1,0.0045578526,True,0
ABCC3,0.016024634,False,0
ABCC4,0.0024671813,False,0
ABHD3,0.07476981,False,0
ABI1,0.052516468,False,0
ABL1,0.01873461,False,0
ABRACL,0.005076402,False,0
ACAT2,8.116283e-05,False,0
ACO1,0.010967394,False,0
ACTA2,0.022004474,True,0
ACTB,0.001955944,False,0
ACTG1,0.0019457929,False,0
ACTRT3,0.004204272,False,0
ACVR1C,0.008479304,False,0
ACVRL1,0.043941904,True,0
ADAL,0.014676888,True,0
ADAM28,0.036685277,False,0
ADAMTS3,0.023551108,False,0
ADAMTS7,0.005494903,False,0
ADAMTS9,0.06647583,False,0
ADAMTSL1,0.04923333,False,0
ADCY2,0.028172046,False,1
ADCY7,0.054428957,False,0
ADD3,0.07403731,True,1
ADD3-AS1,0.04008516,False,0
ADGRF5,0.003113682,False,0
ADGRL2,0.044393796,False,0
ADGRL3,0.035035796,False,0
ADGRL3-AS1,0.014157543,False,0
ADGRL4,0.004763631,False,0
ADGRV1,0.013562098,True,0
ADNP,0.029837605,False,0
ADNP2,0.015278881,False,0
ADRA1A,0.04232036,False,0
AFF2,0.044854645,False,0
AFF4,0.00920002,False,0
AGAP2,0.011101009,False,0
AGRN,0.014644155,False,0
AHCTF1,0.019327622,True,0
AHDC1,0.007885058,False,0
AHR,0.012711776,True,0
AIPL1,0.01180941,False,0
AK5,0.033951808,False,0
AKAP13,0.00987095,False,0
AKR1A1,0.010181536,False,0
ALCAM,0.07889366,False,0
ALOX12-AS1,0.0065326914,False,0
ALOX5,0.11662521,False,0
ALPK1,0.0030218372,True,0
AMOTL1,0.018795047,False,0
AMPD3,0.008775442,False,0
ANK1,0.00912659,False,0
ANKFN1,0.07231855,False,1
ANKH,0.0048705037,False,0
ANKRD29,0.051919717,False,0
ANKRD30B,0.053791367,False,0
ANKRD31,0.00101096,False,0
ANKRD34B,0.09806903,True,0
ANKRD50,0.049445875,False,0
ANO10,0.014418895,False,0
ANO6,0.01993254,False,0
ANOS1,0.00293225,True,0
ANXA11,0.11703003,False,0
ANXA4,0.01903661,False,0
AOAH,0.019975197,False,0
AP1S2,0.033238802,False,0
AP2M1,0.0072919903,False,0
APBB1IP,0.01294013,False,0
APCDD1,0.034838017,False,0
APOD,0.020110086,False,0
ARG1,0.02084149,False,0
ARHGAP15,0.044929095,False,0
ARHGAP18,0.010947406,True,0
ARHGAP20,0.08441891,False,0
ARHGAP22,0.011802232,True,0
ARHGAP24,0.011074457,False,0
ARHGAP42,0.057269845,False,0
ARHGAP8,0.013079485,False,0
ARHGEF11,0.045944944,True,0
ARHGEF26,0.06919312,False,0
ARHGEF28,0.0039545656,False,0
ARHGEF6,0.03539954,False,0
ARID3B,0.0071971165,False,0
ARID5A,0.04984903,True,0
ARID5B,0.008283987,False,0
ARL6IP1,0.018861594,False,0
ARL6IP5,0.00545117,False,0
ARNT2,0.04105082,False,0
ARNTL,0.021829989,False,0
ARNTL2,0.04616069,False,0
ARSB,0.015527996,False,0
ARSG,0.027885357,False,0
ART3,0.010252193,False,0
ASB7,0.029891558,True,0
ASCL2,0.0144923385,False,0
ASIC4,0.100652516,False,0
ASPSCR1,0.005481421,False,0
ASXL3,0.05378081,False,0
ATF2,0.02539438,False,0
ATF3,0.041018303,False,0
ATF5,0.010011718,False,0
ATF7,0.006710846,True,0
ATG10,0.021756593,False,0
ATOH8,0.031415276,False,0
ATP10A,0.0059208395,True,0
ATP10D,0.0008746826,False,0
ATP1B1,0.007981785,False,0
ATP1B3,0.06281209,False,0
ATP2B4,0.009072438,False,0
ATP6V0C,0.004467733,True,0
ATP8B1,0.01666043,False,0
ATRNL1,0.048055902,False,0
ATXN8OS,0.022338554,False,0
B3GALT2,0.02055793,False,0
B3GALT5-AS1,0.036189977,True,0
B3GAT2,0.0076373727,True,0
B3GLCT,0.0836181,False,1
B4GALT6,0.050211508,False,0
BACE2,0.00031930007,True,0
BACH1,0.021059293,True,0
BACH2,0.017327469,False,0
BARX2,0.031519987,False,0
BATF,0.010920226,False,0
BAZ1A,0.06823113,False,0
BBX,0.0257433,True,0
BCAS1,0.05666202,False,0
BCAT1,0.047264572,True,0
BCL11A,0.018489197,False,0
BCL11B,0.003237717,True,0
BCL6,0.0021656654,True,0
BCLAF1,0.008861198,False,0
BCOR,0.0019125575,False,0
BEND6,0.03882227,False,0
BEX1,0.021460464,True,0
BEX3,0.029861134,True,0
BICC1,0.017322047,True,0
BLNK,0.045607287,True,0
BMP2K,0.006839148,False,0
BMP7,0.0018234989,False,0
BMPER,0.03135469,False,0
BMPR1B,0.017440522,False,0
BNC1,0.055779476,False,0
BNC2,0.06482889,False,1
BPTF,0.0028077143,False,0
BRF1,0.0048696008,False,0
BRINP1,0.0077141747,False,0
BRINP3,0.05799787,False,0
BTBD16,0.016296621,False,0
BTF3,0.018437617,True,0
BZW2,0.09708469,False,0
C12orf42,0.02281379,False,0
C12orf57,0.010412204,False,0
C14orf39,0.061743483,True,0
C16orf87,0.030352874,False,0
C16orf95,0.0054729246,True,0
C18orf25,0.015184013,False,0
C18orf32,0.008815574,False,0
C19orf33,0.09686932,False,0
C1GALT1,0.032800198,True,0
C1QA,0.00921805,False,0
C1QC,0.057672862,False,0
C1QTNF9B,0.0032438166,False,0
C1orf100,0.0036341436,False,0
C2orf88,0.0551596,False,0
C3,0.010188452,True,0
C3orf67,0.012175481,False,0
C5orf34,0.008476093,False,0
C8orf34-AS1,0.051198315,False,0
C8orf86,0.0105441,False,0
C9orf135,0.044977993,True,0
CA2,0.018611971,False,0
CA3-AS1,0.04621715,False,0
CACHD1,0.018329758,False,0
CACNA2D1,0.016687041,False,0
CACYBP,0.0093313465,False,0
CADM1,0.060321342,False,0
CADM2,0.011542568,False,1
CALCR,0.0046924693,False,0
CALD1,0.018111715,True,0
CALM1,0.012483261,False,0
CALN1,0.064781696,False,0
CALR,0.006471704,False,0
