gene,score,validation,label
ABCA1,0.029660365,False,-1
ABCA8,0.29123217,False,-1
ABCB4,0.25837323,False,-1
ABCC9,0.02930624,False,-1
ABCF2,0.16309059,False,-1
ABHD17C,0.123567134,False,-1
ABHD3,0.05805615,False,-1
ABL1,0.24218535,False,-1
ACBD7,0.14128971,False,-1
ACSBG1,0.0069827978,False,-1
ACTB,0.025287589,False,-1
ACTG1,0.01688515,False,-1
ACVR1,0.18587473,False,-1
ACVR1C,0.18950523,False,-1
ADAM10,0.10170962,False,-1
ADAMTS17,0.12256421,False,0
ADAMTS2,0.48318368,False,-1
ADAMTS3,0.23455878,False,0
ADAMTS5,0.25472856,False,-1
ADAMTS9,0.014158649,False,-1
ADAMTS9-AS2,0.10585144,False,-1
ADAMTSL2,0.00833756,False,-1
ADARB1,0.09854473,False,-1
ADARB2,0.0154911475,True,0
ADARB2-AS1,0.15697576,False,-1
ADCY1,0.012477924,False,-1
ADCY2,0.4361928,False,1
ADCY5,0.14476945,False,-1
ADCYAP1R1,0.47106364,False,-1
ADGRA1,0.13257824,False,-1
ADGRF3,0.18908206,False,-1
ADGRF5,0.00059743645,False,-1
ADGRL2,0.11463501,False,-1
ADGRL3,0.19363998,False,-1
ADNP,0.18773073,False,-1
ADNP2,0.17713782,False,-1
ADRA1A,0.44221416,False,-1
ADRA2A,0.095219016,False,-1
ADRA2C,0.11707941,False,-1
ADTRP,0.14238048,False,-1
AFAP1L1,0.015635889,False,-1
AFF1,0.06283905,False,-1
AFF2,0.03664792,False,-1
AFF4,0.046285335,False,0
AGBL4,0.23657139,False,-1
AGRN,0.27305454,False,-1
AHCTF1,0.29793102,False,-1
AHCYL2,0.4158793,False,-1
AHDC1,0.005886831,False,-1
AHR,0.15661746,False,0
AHRR,0.26311153,False,-1
AIRE,0.012415351,False,-1
AK1,0.17919676,False,-1
AK5,0.1837582,False,-1
AKAP13,0.03645552,False,-1
AKR1A1,0.029889194,False,-1
AKR1C3,0.39089888,False,-1
AKR7A3,0.00021653165,False,-1
ALCAM,0.12383976,False,-1
ALDH1A2,0.09654161,False,-1
ALG1L9P,0.3486754,False,-1
ALK,0.22689545,False,-1
ALPK1,0.019453574,False,-1
ALX3,0.07329375,False,-1
AMMECR1,0.036995683,False,-1
AMOT,0.44900745,False,-1
AMOTL1,0.08877748,False,-1
ANAPC10,0.20144616,False,-1
