gene,score,validation,label
ABCA4,0.00050965033,False,-1
ABL1,0.2142206,False,-1
ACTA2,0.8045703,False,-1
ACTB,2.4799765e-06,False,-1
ACTG1,0.00043049222,False,-1
ACTR3C,0.0006480343,False,-1
ACVR1,0.12641266,False,-1
ADAM28,0.0070846253,False,0
ADAM32,0.23846151,False,-1
ADAM33,0.003183803,False,-1
ADAMTS17,0.30717233,False,0
ADAMTS19-AS1,0.045493156,False,-1
ADAMTS5,0.15001972,False,-1
ADAMTS9-AS1,0.5140079,False,-1
ADCY2,0.32182357,False,1
ADCY7,0.016591335,False,-1
ADD3-AS1,0.11887886,False,-1
ADGRD1,0.00021264695,False,-1
ADGRL2,0.18544167,False,-1
ADGRL3,0.05765501,False,-1
ADNP,0.11676725,False,-1
ADRA1A,0.09074168,False,-1
ADRA1D,9.537243e-07,False,-1
AEBP1,0.037053548,False,-1
AFF4,0.28971088,False,0
AGAP2,0.046184592,False,-1
AHCTF1,0.1287071,False,-1
AHDC1,0.064513944,False,-1
AHR,0.25434577,False,0
AK5,0.0002508075,False,-1
AKAP13,0.07082643,False,-1
ALCAM,0.09931868,False,-1
ALDH1A2,0.3357526,False,-1
ALDH1L1-AS2,0.59495795,False,-1
ALK,0.07692325,False,-1
ALOX5,0.008790162,False,-1
ALOX5AP,0.017309906,False,-1
ANGPTL4,0.021534434,False,-1
ANKRD28,0.13921562,False,-1
ANKRD29,0.1929469,False,-1
ANKRD30B,0.22203828,False,-1
ANKRD30BL,0.10470449,False,-1
ANKRD33B,0.022739759,False,-1
ANKRD44,0.16790189,False,-1
ANKRD50,0.08685886,False,-1
ANKRD6,0.21234791,False,-1
ANLN,0.023707908,False,-1
ANO10,0.09328905,False,-1
ANO4,0.14491302,False,-1
ANOS1,0.03143824,False,-1
ANTXR2,0.18666758,False,-1
ANXA11,0.14104593,False,-1
ANXA2,0.15095411,False,-1
ANXA4,0.46091932,False,-1
AOX1,3.999399e-05,False,-1
AP2M1,1.3466167e-05,False,-1
APBB1IP,0.015454736,False,0
APBB2,0.19324653,False,-1
APEX2,0.26377216,False,-1
APOE,0.13126862,False,-1
