gene,score,validation,label
A2M,0.016078558,False,0
AACS,0.010563458,False,0
AAK1,0.032335337,False,0
AARS,0.013933837,False,0
AASDHPPT,0.015888346,False,0
AATF,0.022625852,False,0
AATK,0.015588219,False,0
ABCA1,0.015614305,False,0
ABCA10,0.050491348,False,0
ABCA2,0.034962837,False,0
ABCA3,0.015268332,False,0
ABCA5,0.018749498,False,0
ABCA6,0.046719033,False,0
ABCB5,0.012398858,False,0
ABCB9,0.01698922,False,0
ABCC3,0.016419366,False,0
ABCC4,0.014288211,False,0
ABCC5,0.01611301,True,0
ABCD4,0.016791912,False,0
ABCE1,0.031204728,False,0
ABCF2,0.025445353,False,0
ABCF3,0.015174904,True,0
ABCG1,0.021662384,False,0
ABHD12,0.015756015,False,0
ABHD13,0.01808825,False,0
ABHD14A,0.014435732,False,0
ABHD17A,0.018700799,False,0
ABHD17B,0.017409818,False,0
ABHD17C,0.019388499,False,0
ABHD2,0.046429962,False,0
ABHD3,0.017125588,True,0
ABHD5,0.015422438,True,0
ABHD6,0.016150797,False,0
ABHD8,0.014909543,True,0
ABI1,0.017687028,False,0
ABL1,0.035426956,False,0
ABLIM1,0.015862688,False,1
ABLIM2,0.030839313,False,0
ABLIM3,0.014813202,False,0
ABR,0.015038792,False,0
ABTB2,0.033121716,False,0
AC0021266,0.014676592,False,0
ACAP1,0.021073082,False,0
ACAP2,0.013730796,False,0
ACAP3,0.033604197,False,0
ACBD5,0.013898999,True,0
ACER3,0.057289597,False,0
ACHE,0.026127582,True,0
ACIN1,0.015554823,True,0
ACO1,0.039127633,False,0
ACOT8,0.015221223,False,0
ACSBG1,0.02941183,True,0
ACSL3,0.014672414,True,0
ACSL4,0.014475207,False,0
ACTB,0.041466255,False,0
ACTN1,0.023993382,False,0
ACTN2,0.0149018075,False,0
ACTN4,0.014440759,False,0
ACTR1A,0.018319027,False,0
ACTR1B,0.014932658,True,0
ACTR2,0.013750705,False,0
ACTR6,0.017168894,False,0
ACVR1,0.017327866,False,0
ACVR1B,0.016302112,False,0
ACVR1C,0.021749586,False,0
ACVR2A,0.021138286,False,0
ACVR2B,0.0149188815,True,0
ACYP1,0.016308589,False,0
ACYP2,0.015107092,False,0
ADA,0.01683229,False,0
ADAM10,0.0145484675,False,0
ADAM11,0.018258782,True,0
ADAM12,0.009671217,True,0
ADAM17,0.014461792,False,0
ADAM22,0.032345958,False,0
ADAM23,0.05105521,False,0
ADAM28,0.016664086,False,0
ADAM9,0.015560804,False,0
ADAMTS10,0.018039212,False,0
ADAMTS14,0.015563455,False,0
ADAMTS16,0.013373362,False,0
ADAMTS17,0.05447919,False,0
ADAMTS19,0.04259182,False,1
ADAMTS2,0.009925888,False,1
ADAMTS20,0.02670347,False,0
ADAMTS6,0.019685384,False,0
ADAMTS9,0.016609058,False,0
ADAMTS9-AS2,0.02075615,False,0
ADAMTSL1,0.09835613,False,0
ADAMTSL2,0.013601311,False,0
ADAMTSL3,0.016002493,False,0
ADAMTSL4-AS1,0.056524076,False,0
ADAP2,0.01707039,False,0
ADAR,0.016071634,False,0
ADARB1,0.030970827,False,0
ADARB2,0.017888127,True,0
ADARB2-AS1,0.016607096,False,0
ADCY1,0.0495718,False,0
ADCY3,0.03319513,False,0
ADCY5,0.015878886,False,0
ADCY6,0.014851693,True,0
ADCY7,0.015494836,False,0
ADCY8,0.016128277,True,0
ADCYAP1R1,0.060391437,False,0
ADD1,0.015755873,False,0
ADD3,0.056412634,True,1
ADD3-AS1,0.013905466,True,0
ADGRA1,0.016645094,False,0
ADGRA2,0.017268412,False,0
ADGRA3,0.03241023,True,0
ADGRB1,0.020346588,False,0
ADGRB2,0.015886482,True,0
ADGRB3,0.014851734,False,1
ADGRE2,0.016519072,False,0
ADGRE5,0.01476249,True,0
ADGRF5,0.01828385,True,0
ADGRG1,0.032188337,False,0
ADGRL1,0.014588652,True,0
ADGRL2,0.052114822,False,0
ADGRL3,0.059772827,False,0
ADGRL4,0.016051395,False,0
ADGRV1,0.025497265,False,0
ADK,0.016576676,False,0
ADNP,0.042778756,True,0
ADNP2,0.0690379,False,0
ADORA1,0.033247776,True,0
ADORA2B,0.03934537,True,0
ADPGK,0.012902339,False,0
ADRA1A,0.06187156,False,0
ADRA1B,0.018786103,True,0
AEBP1,0.024634302,False,0
AFAP1L2,0.06643323,True,0
AFF1,0.015131624,False,0
AFF2,0.033560682,False,0
AFF3,0.016162204,False,0
AFF4,0.038005587,False,0
AFTPH,0.017881133,False,0
AGAP1,0.045795992,True,0
AGAP2,0.014402508,True,0
AGAP3,0.013849092,False,0
AGAP9,0.032189917,False,0
AGBL4,0.01378644,True,1
AGFG1,0.014949177,False,0
AGFG2,0.016066864,True,0
AGGF1,0.0418697,False,0
AGL,0.014777478,False,0
AGMO,0.061032858,True,0
AGO1,0.014178384,False,0
AGO2,0.014250604,False,0
AGO3,0.014840033,False,0
AGO4,0.015160986,False,0
AGPAT1,0.014123071,False,0
AGPAT3,0.0153938485,False,0
AGPS,0.01602959,True,0
AGRN,0.032332428,False,0
