gene,score,validation,label
AACS,0.003301242,False,-1
AATF,0.24585338,False,-1
ABCB5,0.0113671,False,-1
ABCF2,0.00015159657,False,-1
ABHD17C,0.0072481567,False,-1
ABL1,0.13744925,False,-1
ACAP1,0.021091443,False,-1
ACER3,0.14387035,False,-1
ACO1,0.108147554,False,-1
ACTB,0.12137373,False,-1
ACVR1C,0.26757118,False,-1
ACVR2B,0.03506377,False,-1
ADAM12,0.38861978,False,-1
ADAM23,0.24291267,False,-1
ADAMTS16,0.21841112,False,-1
ADAMTS17,0.054441914,False,0
ADAMTS19,0.23146528,False,-1
ADAMTS2,0.382729,False,-1
ADAMTS9-AS2,0.004742293,False,-1
ADARB1,0.04666543,False,-1
ADARB2,1.0232045e-05,True,0
ADARB2-AS1,4.836833e-05,False,-1
ADCYAP1R1,0.25898305,False,-1
ADD3,0.16313797,False,1
ADGRL2,0.20093884,False,-1
ADGRL3,0.13991222,False,-1
ADNP,0.13564193,False,-1
ADNP2,0.12179901,False,-1
ADORA2B,0.22208674,False,-1
ADRA1A,0.22155274,False,-1
AFF2,0.043948203,False,-1
AFF4,0.032068517,False,0
AGAP2,0.17883387,False,-1
AGGF1,0.25528172,False,-1
AGPAT1,0.29671776,False,-1
AGTPBP1,0.14472961,False,-1
AGTR1,0.06683605,False,-1
AHCTF1,0.22830886,False,-1
AHCYL2,0.22109355,False,-1
AHDC1,0.13097458,False,-1
AHR,0.18669793,False,0
AHRR,0.36295658,False,-1
AIM2,0.26223817,False,-1
AK5,0.17494684,False,-1
AKAP13,0.6016219,False,-1
ALK,0.004642132,False,-1
ALX4,0.2396988,False,-1
AMOTL1,0.19298723,False,-1
ANK1,0.035083752,False,-1
ANKIB1,0.22200517,False,-1
ANKRD30B,7.1422015e-05,False,-1
ANKRD40,0.23353171,False,-1
ANKRD50,0.20812939,False,-1
ANKRD55,0.002277683,False,-1
ANLN,0.00055502873,False,-1
ANO1,0.08511172,False,-1
ANO6,0.22343351,False,-1
ANOS1,0.04818676,False,-1
ANXA11,0.011404805,False,-1
