gene,score,validation,label
A1CF,0.05774642,True,0
A2M,0.055006802,False,0
AACS,0.039797954,False,0
AAGAB,0.03319521,False,0
AAK1,0.047563605,False,0
AARS,0.04208324,False,0
AASDHPPT,0.05786049,False,0
AATK,0.04157791,False,0
ABCA1,0.07175745,False,0
ABCA10,0.033828355,False,0
ABCA2,0.035543494,False,0
ABCA3,0.036701187,False,0
ABCA5,0.02940565,True,0
ABCA6,0.03859606,False,0
ABCB1,0.031819396,True,0
ABCB9,0.038420793,False,0
ABCC3,0.031846836,False,0
ABCC4,0.054652,False,0
ABCC5,0.028707005,True,0
ABCC9,0.04584854,False,0
ABCD4,0.028069336,True,0
ABCE1,0.038689528,False,0
ABCF3,0.02955184,True,0
ABCG1,0.03809407,False,0
ABHD12,0.04337287,False,0
ABHD13,0.04435737,False,0
ABHD14A,0.03103712,True,0
ABHD17A,0.04790537,False,0
ABHD17B,0.02645036,True,0
ABHD17C,0.037393108,False,0
ABHD2,0.031404316,True,0
ABHD3,0.03640132,False,0
ABHD5,0.035699934,False,0
ABHD6,0.031982455,True,0
ABHD8,0.0424781,False,0
ABI1,0.04620825,True,0
ABL1,0.07191239,False,0
ABLIM1,0.053559985,True,1
ABLIM2,0.04045906,False,0
ABLIM3,0.040889326,True,0
ABR,0.06630393,False,0
ABTB2,0.041073825,False,0
ACAP2,0.06334278,False,0
ACAP3,0.04547242,False,0
ACBD5,0.03762363,False,0
ACER2,0.05026148,False,0
ACHE,0.04461115,False,0
ACIN1,0.039346054,False,0
ACKR3,0.04973503,False,0
ACO1,0.029674677,True,0
ACOT8,0.03295751,False,0
ACSBG1,0.038045418,False,0
ACSL3,0.035745613,False,0
ACSL4,0.048889864,False,0
ACTA2,0.045538377,False,0
ACTB,0.052677292,False,0
ACTG1,0.054133516,False,0
ACTL6B,0.032415673,True,0
ACTN1,0.037853453,False,0
ACTN2,0.051136293,False,0
ACTN4,0.029342258,True,0
ACTR1A,0.038742967,False,0
ACTR1B,0.04612912,False,0
ACTR2,0.045023978,False,0
ACTR3B,0.038145244,False,0
ACTR6,0.03280971,False,0
ACVR1,0.05567938,False,0
ACVR1B,0.04396779,False,0
ACVR2A,0.032106172,False,0
ACYP1,0.041870628,False,0
ACYP2,0.034323014,True,0
ADA,0.032177556,False,0
ADAM10,0.031165924,False,0
ADAM11,0.04494757,False,0
ADAM17,0.027117103,True,0
ADAM22,0.05012244,False,0
ADAM23,0.03672332,True,0
ADAM28,0.066810824,True,0
ADAM9,0.03907728,False,0
ADAMTS10,0.039247315,False,0
ADAMTS14,0.037116893,False,0
ADAMTS17,0.05173611,False,0
ADAMTS20,0.040736925,True,0
ADAMTS6,0.06383245,True,0
ADAMTS9,0.050406244,False,0
ADAMTS9-AS2,0.043129433,False,0
ADAMTSL1,0.03955673,False,0
ADAMTSL2,0.050384622,False,0
ADAMTSL3,0.05758042,False,0
ADAMTSL4-AS1,0.03293598,True,0
ADAP2,0.055992123,True,0
ADAR,0.04621004,False,0
ADARB1,0.050016697,False,0
ADARB2,0.02431773,False,0
ADARB2-AS1,0.039686464,False,0
ADCY1,0.041338716,False,0
ADCY2,0.05182463,False,1
ADCY3,0.036896184,False,0
ADCY5,0.04245587,False,0
ADCY6,0.040381514,False,0
ADCY7,0.05813333,True,0
ADCY8,0.034767367,False,0
ADCYAP1R1,0.042795997,False,0
ADD1,0.044035006,False,0
ADD3,0.043319654,False,1
ADD3-AS1,0.0666946,False,0
ADGRA2,0.040975176,False,0
ADGRA3,0.035604544,False,0
ADGRB1,0.03869213,True,0
ADGRB2,0.042767484,True,0
ADGRB3,0.03817755,False,1
ADGRE2,0.05640366,False,0
ADGRE5,0.05059219,False,0
ADGRF5,0.059866525,False,0
ADGRG1,0.03829273,False,0
ADGRL1,0.03692703,False,0
ADGRL2,0.050337855,False,0
ADGRL3,0.029033357,True,0
ADGRL4,0.0516858,False,0
ADGRV1,0.03273682,True,0
ADIPOR2,0.04969917,False,0
ADK,0.038028985,False,0
ADNP,0.057045028,False,0
ADNP2,0.07162933,False,0
ADORA1,0.028592426,True,0
ADPGK,0.038274605,False,0
ADRA1A,0.059573438,False,0
ADRA1B,0.028418384,True,0
ADRM1,0.05048314,False,0
ADSSL1,0.02316031,True,0
AEBP1,0.03317188,False,0
AFAP1L1,0.03586509,False,0
AFAP1L2,0.057638615,False,0
AFF1,0.06822838,True,0
AFF2,0.03395449,False,0
AFF3,0.02849816,True,0
AFF4,0.00647895,False,0
AFTPH,0.057873234,False,0
AGAP1,0.03152286,False,0
AGAP2,0.0478516,False,0
AGAP3,0.04524227,False,0
AGBL4,0.039813887,False,1
AGFG1,0.055129394,False,0
AGFG2,0.039173115,False,0
AGL,0.045410153,False,0
AGMO,0.04172679,False,0
AGO1,0.03652521,False,0
AGO2,0.028771283,True,0
AGO3,0.03929022,False,0
AGO4,0.040972814,False,0
AGPAT3,0.03709774,False,0
AGPS,0.027447546,True,0
AHCTF1,0.05588792,False,0
AHCYL2,0.03554827,False,0
AHDC1,0.060065653,False,0
AHNAK,0.04610568,False,0
AHNAK2,0.055212244,False,0
AHR,0.05085642,False,0
AHSA1,0.028741902,True,0
AIF1L,0.052095152,False,0
AIG1,0.03693064,False,0
AIRN,0.006599211,False,0
AJAP1,0.054993615,False,0
AK5,0.07472176,False,0
AK6,0.031368867,True,0
AK7,0.053221848,False,0
AK9,0.04837493,True,0
AKAP11,0.029667847,True,0
AKAP13,0.04004417,False,0
AKAP5,0.03814105,False,0
AKAP9,0.03885685,True,0
AKIRIN1,0.04019491,False,0
AKNA,0.044517536,False,0
AKNAD1,0.04238401,False,0
AKR1B1,0.037138663,False,0
AKT2,0.038655378,False,0
AKT3,0.03890526,False,0
AKTIP,0.028330091,True,0
ALCAM,0.061127976,True,0
ALDH16A1,0.03528292,False,0
ALDH1A1,0.04254266,False,0
ALDH1A2,0.06685077,True,0
ALDH1A3,0.047644768,False,0
ALDOC,0.042796697,False,0
ALG1L9P,0.034362264,False,0
ALK,0.059808828,False,0
ALKBH3,0.04911715,False,0
ALKBH5,0.037844084,False,0
ALMS1,0.041116968,False,0
ALOX12-AS1,0.03357895,False,0
ALOX5,0.03290713,False,0
ALPK1,0.05148294,False,0
ALS2,0.037299674,False,0
ALX3,0.022254223,True,0
AMFR,0.04364317,False,0
AMH,0.037034735,False,0
AMMECR1,0.043061156,False,0
AMOT,0.02845412,True,0
AMOTL1,0.077556506,False,0
AMPD3,0.04026761,False,0
AMZ1,0.047980472,False,0
ANAPC10,0.036745258,False,0
ANAPC15,0.029427992,True,0
ANAPC4,0.04693762,False,0
ANAPC5,0.03759811,False,0
ANGPT2,0.043330684,False,0
ANK1,0.06992513,False,0
ANK3,0.02873207,True,1
ANKEF1,0.03765348,False,0
