gene,score,validation,label
A1CF,0.0012280856,False,-1
A2M,2.7629928e-06,False,0
ABCA1,0.028829396,False,-1
ABCB1,1.782e-42,False,0
ABL1,0.13355179,False,-1
ACHE,5.3055044e-07,False,-1
ACKR3,0.0025992154,False,-1
ACTB,0.002007177,False,-1
ACTG1,0.0029257818,False,-1
ACVR1,0.01966802,False,-1
ADAM23,0.097957574,False,-1
ADAM28,2.7733064e-08,False,0
ADAMTS20,0.0026043765,False,0
ADAMTS6,0.04905461,False,0
ADAMTSL3,0.06685904,False,-1
ADAP2,3.8832855e-08,False,-1
ADCY2,0.16467883,False,1
ADD3-AS1,0.071515925,False,-1
ADGRG1,8.520111e-06,False,-1
ADGRL2,0.108263746,False,-1
ADNP,0.12637573,False,-1
ADNP2,0.03987235,False,-1
ADRA1A,0.0004837451,False,-1
ADSSL1,0.00031480542,False,-1
AFF1,0.21970211,False,-1
AFF4,9.2270075e-06,False,0
AGAP2,5.251082e-06,False,-1
AHCTF1,0.1560774,False,-1
AHDC1,6.875428e-05,False,-1
AHNAK2,0.0029967427,False,-1
AHR,0.0005035472,True,0
AIRN,9.808341e-05,False,-1
AJAP1,0.0038096192,False,-1
AK5,0.34236586,False,-1
AK9,6.751327e-10,False,-1
ALCAM,0.075675435,False,-1
ALDH1A2,0.28647798,False,-1
ALX3,6.863892e-05,False,-1
AMOTL1,0.09437701,False,-1
ANKFN1,0.17591947,False,-1
ANKRD29,0.0,False,-1
ANKRD30A,0.061337158,False,-1
ANKRD30B,4.321872e-07,False,-1
ANKRD30BL,0.1373101,False,-1
ANKRD34B,0.009633311,False,-1
ANKRD50,0.23410575,False,-1
ANKRD55,0.02828724,False,-1
ANKRD6,0.05499359,False,-1
ANKS1A,3.8548228e-07,False,-1
ANO10,0.17603557,False,-1
ANXA1,0.00074378646,False,-1
ANXA11,0.21011333,False,-1
ANXA4,0.07342152,False,-1
ANXA5,0.067300685,False,-1
AP1S1,0.0043999874,False,-1
APBB1IP,1.8639784e-07,True,0
APCDD1,0.015564062,False,-1
APLP1,0.001906925,False,-1
APOBEC4,0.0013140471,False,-1
ARAP2,0.010381517,False,-1
ARC,7.507708e-15,False,-1
ARFGAP1,0.00021387247,False,-1
ARFGEF3,0.0010199968,False,-1
ARHGAP11B,3.5498547e-07,False,-1
ARHGAP15,1.5117909e-06,False,-1
ARHGAP18,2.0190928e-05,False,-1
ARHGAP20,4.1888673e-11,False,-1
ARHGAP24,0.0632768,False,0
ARHGAP25,4.7318547e-08,False,-1
ARHGAP31,5.3663872e-11,False,-1
ARHGAP42,0.00099008,False,-1
ARHGAP6,0.024643907,False,-1
ARHGDIG,0.000112416725,False,-1
ARHGEF10,4.6878027e-05,False,-1
ARHGEF28,0.20132177,False,-1
ARHGEF6,0.006554496,False,-1
ARID3A,0.019574396,False,-1
ARID3B,0.00118546,False,-1
ARID3C,0.07922532,False,-1
ARID5A,0.10169503,False,-1
ARID5B,0.07177503,False,-1
ARL17B,0.0077174013,False,-1
ARL4C,0.0035440389,False,-1
ARL6IP1,2.289244e-05,False,-1
ARNT,0.0022028678,False,-1
ARNT2,0.3337554,False,-1
ARNTL,0.08553438,False,-1
ARPP21,0.011526367,False,-1
ASCL1,0.13713805,False,-1
ASXL3,0.04103521,False,-1
ATAD2,0.001963467,False,-1
ATF2,9.071093e-06,False,-1
ATF5,0.0010931904,False,-1
ATG10,0.2606531,False,-1
ATOH8,1.4715418e-11,False,-1
ATP10A,0.16707118,False,0
ATP1A2,1.02898234e-07,False,-1
ATP1B1,0.003192198,False,-1
ATP2B4,3.696731e-05,False,-1
ATP6V0C,0.002394905,False,-1
ATP8A1,8.044085e-05,False,-1
ATP8B4,7.6171186e-06,False,-1
AXL,3.1047803e-05,False,-1
B3GAT2,0.00072499155,False,-1
B3GLCT,6.124432e-08,False,-1
BAALC,0.0030367987,False,-1
