Drug ID,Species,BBB,Genes,Num Genes,Mean Mean,Mean STD,Drug Relevance Score
DB00800,Humans,False,['DRD5'],1,0.4891205239999999,0.1959869120984856,1.0
DB09283,Humans,False,"['PDE10A', 'PDE11A', 'PDE1C', 'PDE4B', 'PDE4D', 'PDE7A', 'PDE8B', 'PDE9A']",8,0.1527170772948537,0.07849138656735004,0.8831138801951497
DB01235,Humans,False,"['DRD2', 'DRD5']",2,0.2618207339316199,0.1154499764049068,0.7570126679790984
DB11275,Humans,False,"['DRD2', 'DRD5']",2,0.2618207339316199,0.1154499764049068,0.7570126679790984
DB11274,Humans,False,"['DRD2', 'DRD5']",2,0.2618207339316199,0.1154499764049068,0.7570126679790984
DB01186,Humans,False,"['DRD2', 'DRD5']",2,0.2618207339316199,0.1154499764049068,0.7570126679790984
DB01038,Humans,False,"['DRD2', 'DRD5']",2,0.2618207339316199,0.1154499764049068,0.7570126679790984
DB00988,Humans,False,"['DRD2', 'DRD5']",2,0.2618207339316199,0.1154499764049068,0.7570126679790984
DB01624,Humans,False,"['DRD2', 'DRD5']",2,0.2618207339316199,0.1154499764049068,0.7570126679790984
DB09225,Humans,False,"['DRD2', 'DRD5', 'HTR7']",3,0.21365870088774663,0.0913347290306223,0.7565982355235186
DB00940,Humans,False,['HRH2'],1,0.34769663,0.0991072224377913,0.7108608470496325
DB08805,Humans,False,['HRH2'],1,0.34769663,0.0991072224377913,0.7108608470496325
DB00501,Humans,False,['HRH2'],1,0.34769663,0.0991072224377913,0.7108608470496325
DB00272,Humans,False,['HRH2'],1,0.34769663,0.0991072224377913,0.7108608470496325
DB08806,Humans,False,['HRH2'],1,0.34769663,0.0991072224377913,0.7108608470496325
DB00927,Humans,False,['HRH2'],1,0.34769663,0.0991072224377913,0.7108608470496325
DB00585,Humans,False,['HRH2'],1,0.34769663,0.0991072224377913,0.7108608470496325
DB00863,Humans,False,['HRH2'],1,0.34769663,0.0991072224377913,0.7108608470496325
DB00818,Humans,False,"['GABRA2', 'GABRA5', 'GABRA6', 'GABRB2', 'GABRB2', 'GABRB3', 'GABRB3', 'GABRG1', 'GABRG3', 'GABRQ']",10,0.10890459513208743,0.06523759979305868,0.7040934726261502
DB00228,Humans,True,"['CACNA1E', 'CACNA2D1', 'CACNA2D2', 'CACNA2D3', 'CACNB2', 'CACNG3', 'CACNG4', 'CACNG5', 'GABRA2', 'GABRA5', 'GABRA6', 'GABRB2', 'GABRB3', 'GABRG1', 'GABRG3', 'GABRQ']",16,0.08321209975387314,0.06536126156226713,0.6805038486086767
DB14715,Humans,False,"['GABRA2', 'GABRA2', 'GABRA5', 'GABRA5', 'GABRA6', 'GABRB2', 'GABRB3', 'GABRG1', 'GABRG1', 'GABRG3', 'GABRG3', 'GABRQ']",12,0.09070209589224575,0.060344523051154515,0.6423800708814829
DB14672,Humans,False,"['GABRA2', 'GABRA2', 'GABRA5', 'GABRA5', 'GABRA6', 'GABRB2', 'GABRB3', 'GABRG1', 'GABRG1', 'GABRG3', 'GABRG3', 'GABRQ']",12,0.09070209589224575,0.060344523051154515,0.6423800708814829
DB00475,Humans,False,"['GABRA2', 'GABRA2', 'GABRA5', 'GABRA5', 'GABRA6', 'GABRB2', 'GABRB3', 'GABRG1', 'GABRG1', 'GABRG3', 'GABRG3', 'GABRQ']",12,0.09070209589224575,0.060344523051154515,0.6423800708814829
DB00897,Humans,False,"['GABRA2', 'GABRA2', 'GABRA5', 'GABRA5', 'GABRA6', 'GABRB2', 'GABRB3', 'GABRG1', 'GABRG1', 'GABRG3', 'GABRG3', 'GABRQ']",12,0.09070209589224575,0.060344523051154515,0.6423800708814829
DB01595,Humans,False,"['GABRA2', 'GABRA2', 'GABRA5', 'GABRA5', 'GABRA6', 'GABRB2', 'GABRB3', 'GABRG1', 'GABRG1', 'GABRG3', 'GABRG3', 'GABRQ']",12,0.09070209589224575,0.060344523051154515,0.6423800708814829
DB01558,Humans,False,"['GABRA2', 'GABRA2', 'GABRA5', 'GABRA5', 'GABRA6', 'GABRB2', 'GABRB3', 'GABRG1', 'GABRG1', 'GABRG3', 'GABRG3', 'GABRQ']",12,0.09070209589224575,0.060344523051154515,0.6423800708814829
DB09166,Humans,False,"['GABRA2', 'GABRA2', 'GABRA5', 'GABRA5', 'GABRA6', 'GABRB2', 'GABRB3', 'GABRG1', 'GABRG1', 'GABRG3', 'GABRG3', 'GABRQ']",12,0.09070209589224575,0.060344523051154515,0.6423800708814829
DB01559,Humans,False,"['GABRA2', 'GABRA2', 'GABRA5', 'GABRA5', 'GABRA6', 'GABRB2', 'GABRB3', 'GABRG1', 'GABRG1', 'GABRG3', 'GABRG3', 'GABRQ']",12,0.09070209589224575,0.060344523051154515,0.6423800708814829
DB00829,Humans,False,"['GABRA2', 'GABRA2', 'GABRA5', 'GABRA5', 'GABRA6', 'GABRB2', 'GABRB3', 'GABRG1', 'GABRG1', 'GABRG3', 'GABRG3', 'GABRQ']",12,0.09070209589224575,0.060344523051154515,0.6423800708814829
DB00546,Humans,False,"['GABRA2', 'GABRA2', 'GABRA5', 'GABRA5', 'GABRA6', 'GABRB2', 'GABRB3', 'GABRG1', 'GABRG1', 'GABRG3', 'GABRG3', 'GABRQ']",12,0.09070209589224575,0.060344523051154515,0.6423800708814829
DB00842,Humans,False,"['GABRA2', 'GABRA2', 'GABRA5', 'GABRA5', 'GABRA6', 'GABRB2', 'GABRB3', 'GABRG1', 'GABRG1', 'GABRG3', 'GABRG3', 'GABRQ']",12,0.09070209589224575,0.060344523051154515,0.6423800708814829
DB13837,Humans,False,"['GABRA2', 'GABRA2', 'GABRA5', 'GABRA5', 'GABRA6', 'GABRB2', 'GABRB3', 'GABRG1', 'GABRG1', 'GABRG3', 'GABRG3', 'GABRQ']",12,0.09070209589224575,0.060344523051154515,0.6423800708814829
DB01068,Humans,False,"['GABRA2', 'GABRA2', 'GABRA5', 'GABRA5', 'GABRA6', 'GABRB2', 'GABRB3', 'GABRG1', 'GABRG1', 'GABRG3', 'GABRG3', 'GABRQ']",12,0.09070209589224575,0.060344523051154515,0.6423800708814829
DB01489,Humans,False,"['GABRA2', 'GABRA2', 'GABRA5', 'GABRA5', 'GABRA6', 'GABRB2', 'GABRB3', 'GABRG1', 'GABRG1', 'GABRG3', 'GABRG3', 'GABRQ']",12,0.09070209589224575,0.060344523051154515,0.6423800708814829
DB14719,Humans,False,"['GABRA2', 'GABRA2', 'GABRA5', 'GABRA5', 'GABRA6', 'GABRB2', 'GABRB3', 'GABRG1', 'GABRG1', 'GABRG3', 'GABRG3', 'GABRQ']",12,0.09070209589224575,0.060344523051154515,0.6423800708814829
DB00349,Humans,False,"['GABRA2', 'GABRA2', 'GABRA5', 'GABRA5', 'GABRA6', 'GABRB2', 'GABRB3', 'GABRG1', 'GABRG1', 'GABRG3', 'GABRG3', 'GABRQ']",12,0.09070209589224575,0.060344523051154515,0.6423800708814829
DB00186,Humans,False,"['GABRA2', 'GABRA2', 'GABRA5', 'GABRA5', 'GABRA6', 'GABRB2', 'GABRB3', 'GABRG1', 'GABRG1', 'GABRG3', 'GABRG3', 'GABRQ']",12,0.09070209589224575,0.060344523051154515,0.6423800708814829
DB00683,Humans,False,"['GABRA2', 'GABRA2', 'GABRA5', 'GABRA5', 'GABRA6', 'GABRB2', 'GABRB3', 'GABRG1', 'GABRG1', 'GABRG3', 'GABRG3', 'GABRQ']",12,0.09070209589224575,0.060344523051154515,0.6423800708814829
DB00404,Humans,False,"['GABRA2', 'GABRA2', 'GABRA5', 'GABRA5', 'GABRA6', 'GABRB2', 'GABRB3', 'GABRG1', 'GABRG1', 'GABRG3', 'GABRG3', 'GABRQ']",12,0.09070209589224575,0.060344523051154515,0.6423800708814829
DB00690,Humans,False,"['GABRA2', 'GABRA2', 'GABRA5', 'GABRA5', 'GABRA6', 'GABRB2', 'GABRB3', 'GABRG1', 'GABRG1', 'GABRG3', 'GABRG3', 'GABRQ']",12,0.09070209589224575,0.060344523051154515,0.6423800708814829
DB01553,Humans,False,"['GABRA2', 'GABRA2', 'GABRA5', 'GABRA5', 'GABRA6', 'GABRB2', 'GABRB3', 'GABRG1', 'GABRG1', 'GABRG3', 'GABRG3', 'GABRQ']",12,0.09070209589224575,0.060344523051154515,0.6423800708814829
DB01545,Humans,False,"['GABRA2', 'GABRA2', 'GABRA5', 'GABRA5', 'GABRA6', 'GABRB2', 'GABRB3', 'GABRG1', 'GABRG1', 'GABRG3', 'GABRG3', 'GABRQ']",12,0.09070209589224575,0.060344523051154515,0.6423800708814829
DB01587,Humans,False,"['GABRA2', 'GABRA2', 'GABRA5', 'GABRA5', 'GABRA6', 'GABRB2', 'GABRB3', 'GABRG1', 'GABRG1', 'GABRG3', 'GABRG3', 'GABRQ']",12,0.09070209589224575,0.060344523051154515,0.6423800708814829
DB01544,Humans,False,"['GABRA2', 'GABRA2', 'GABRA5', 'GABRA5', 'GABRA6', 'GABRB2', 'GABRB3', 'GABRG1', 'GABRG1', 'GABRG3', 'GABRG3', 'GABRQ']",12,0.09070209589224575,0.060344523051154515,0.6423800708814829
DB15489,Humans,False,"['GABRA2', 'GABRA2', 'GABRA5', 'GABRA5', 'GABRA6', 'GABRB2', 'GABRB3', 'GABRG1', 'GABRG1', 'GABRG3', 'GABRG3', 'GABRQ']",12,0.09070209589224575,0.060344523051154515,0.6423800708814829
DB14028,Humans,False,"['GABRA2', 'GABRA2', 'GABRA5', 'GABRA5', 'GABRA6', 'GABRB2', 'GABRB3', 'GABRG1', 'GABRG1', 'GABRG3', 'GABRG3', 'GABRQ']",12,0.09070209589224575,0.060344523051154515,0.6423800708814829
DB01511,Humans,False,"['GABRA2', 'GABRA2', 'GABRA5', 'GABRA5', 'GABRA6', 'GABRB2', 'GABRB3', 'GABRG1', 'GABRG1', 'GABRG3', 'GABRG3', 'GABRQ']",12,0.09070209589224575,0.060344523051154515,0.6423800708814829
DB09017,Humans,False,"['GABRA2', 'GABRA2', 'GABRA5', 'GABRA5', 'GABRA6', 'GABRB2', 'GABRB3', 'GABRG1', 'GABRG1', 'GABRG3', 'GABRG3', 'GABRQ']",12,0.09070209589224575,0.060344523051154515,0.6423800708814829
DB13335,Humans,False,"['GABRA2', 'GABRA2', 'GABRA5', 'GABRA5', 'GABRA6', 'GABRB2', 'GABRB3', 'GABRG1', 'GABRG1', 'GABRG3', 'GABRG3', 'GABRQ']",12,0.09070209589224575,0.060344523051154515,0.6423800708814829
DB13872,Humans,False,"['GABRA2', 'GABRA2', 'GABRA5', 'GABRA5', 'GABRA6', 'GABRB2', 'GABRB3', 'GABRG1', 'GABRG1', 'GABRG3', 'GABRG3', 'GABRQ']",12,0.09070209589224575,0.060344523051154515,0.6423800708814829
DB01588,Humans,False,"['GABRA2', 'GABRA2', 'GABRA5', 'GABRA5', 'GABRA6', 'GABRB2', 'GABRB3', 'GABRG1', 'GABRG1', 'GABRG3', 'GABRG3', 'GABRQ']",12,0.09070209589224575,0.060344523051154515,0.6423800708814829
DB01589,Humans,False,"['GABRA2', 'GABRA2', 'GABRA5', 'GABRA5', 'GABRA6', 'GABRB2', 'GABRB3', 'GABRG1', 'GABRG1', 'GABRG3', 'GABRG3', 'GABRQ']",12,0.09070209589224575,0.060344523051154515,0.6423800708814829
DB00628,Humans,False,"['GABRA2', 'GABRA2', 'GABRA5', 'GABRA5', 'GABRA6', 'GABRB2', 'GABRB3', 'GABRG1', 'GABRG1', 'GABRG3', 'GABRG3', 'GABRQ']",12,0.09070209589224575,0.060344523051154515,0.6423800708814829
DB12404,Humans,False,"['GABRA2', 'GABRA2', 'GABRA5', 'GABRA5', 'GABRA6', 'GABRB2', 'GABRB3', 'GABRG1', 'GABRG1', 'GABRG3', 'GABRG3', 'GABRQ']",12,0.09070209589224575,0.060344523051154515,0.6423800708814829
DB01594,Humans,False,"['GABRA2', 'GABRA2', 'GABRA5', 'GABRA5', 'GABRA6', 'GABRB2', 'GABRB3', 'GABRG1', 'GABRG1', 'GABRG3', 'GABRG3', 'GABRQ']",12,0.09070209589224575,0.060344523051154515,0.6423800708814829
DB13437,Humans,False,"['GABRA2', 'GABRA2', 'GABRA5', 'GABRA5', 'GABRA6', 'GABRB2', 'GABRB3', 'GABRG1', 'GABRG1', 'GABRG3', 'GABRG3', 'GABRQ']",12,0.09070209589224575,0.060344523051154515,0.6423800708814829
DB01215,Humans,False,"['GABRA2', 'GABRA2', 'GABRA5', 'GABRA5', 'GABRA6', 'GABRB2', 'GABRB3', 'GABRG1', 'GABRG1', 'GABRG3', 'GABRG3', 'GABRQ']",12,0.09070209589224575,0.060344523051154515,0.6423800708814829
DB00306,Humans,False,"['GABRA2', 'GABRA2', 'GABRA5', 'GABRA5', 'GABRA6', 'GABRA6', 'GABRB2', 'GABRB3', 'GABRG1', 'GABRG3', 'GABRQ']",11,0.09425459407153403,0.05870422921899747,0.6391208464246226
DB00371,Humans,False,"['GABRA2', 'GABRA2', 'GABRA5', 'GABRA5', 'GABRA6', 'GABRA6', 'GABRB2', 'GABRB3', 'GABRG1', 'GABRG3', 'GABRQ']",11,0.09425459407153403,0.05870422921899747,0.6391208464246226
DB00463,Humans,True,"['GABRA2', 'GABRA2', 'GABRA5', 'GABRA5', 'GABRA6', 'GABRA6', 'GABRB2', 'GABRB3', 'GABRG1', 'GABRG3', 'GABRQ']",11,0.09425459407153403,0.05870422921899747,0.6391208464246226
DB00241,Humans,False,"['GABRA2', 'GABRA2', 'GABRA5', 'GABRA5', 'GABRA6', 'GABRA6', 'GABRB2', 'GABRB3', 'GABRG1', 'GABRG3', 'GABRQ']",11,0.09425459407153403,0.05870422921899747,0.6391208464246226
DB00312,Humans,False,"['GABRA2', 'GABRA2', 'GABRA5', 'GABRA5', 'GABRA6', 'GABRA6', 'GABRB2', 'GABRB3', 'GABRG1', 'GABRG3', 'GABRQ']",11,0.09425459407153403,0.05870422921899747,0.6391208464246226
DB00794,Humans,True,"['GABRA2', 'GABRA2', 'GABRA5', 'GABRA5', 'GABRA6', 'GABRA6', 'GABRB2', 'GABRB3', 'GABRG1', 'GABRG3', 'GABRQ']",11,0.09425459407153403,0.05870422921899747,0.6391208464246226
DB13345,Humans,False,"['ADRA1A', 'DRD2', 'DRD5', 'HTR1E', 'HTR1F', 'HTR7']",6,0.1273827126572066,0.06573995218684604,0.6379258950534746
DB01049,Humans,True,"['ADRA1A', 'DRD2', 'DRD5', 'HTR1E', 'HTR1F', 'HTR7']",6,0.1273827126572066,0.06573995218684604,0.6379258950534746
DB09327,Humans,False,['DPYD'],1,0.301113386,0.0880378017524082,0.6156220629171555
DB00277,Humans,False,"['HDAC2', 'PDE4B']",2,0.20763301979999996,0.09233783458580265,0.6003375818219425
DB00949,Humans,False,['GRIN2A'],1,0.291961974,0.0900349270559535,0.5969121303934489
DB05381,Humans,False,"['HRH1', 'HRH2']",2,0.20422164271879995,0.09130871347231725,0.5904741320219873
DB00751,Humans,False,"['HRH1', 'HRH2']",2,0.20422164271879995,0.09130871347231725,0.5904741320219873
DB01142,Humans,False,"['HRH1', 'HRH2']",2,0.20422164271879995,0.09130871347231725,0.5904741320219873
DB00824,Humans,False,['PDE4B'],1,0.2821152879999999,0.1025198784266598,0.5767807200010278
DB05266,Humans,False,['PDE4B'],1,0.2821152879999999,0.1025198784266598,0.5767807200010278
DB01113,Humans,False,['PDE4B'],1,0.2821152879999999,0.1025198784266598,0.5767807200010278
DB01437,Humans,True,"['GABRA2', 'GABRA5', 'GABRA6', 'GABRB2', 'GABRB3', 'GABRG1', 'GABRG3', 'GABRQ']",8,0.09526248011510931,0.06293246800475205,0.5508723709336102
DB01028,Humans,True,"['GABRA2', 'GABRA5', 'GABRA6', 'GABRB2', 'GABRB3', 'GABRG1', 'GABRG3', 'GABRQ']",8,0.09526248011510931,0.06293246800475205,0.5508723709336102
DB00402,Humans,False,"['GABRA2', 'GABRA5', 'GABRA6', 'GABRB2', 'GABRB3', 'GABRG1', 'GABRG3', 'GABRQ']",8,0.09526248011510931,0.06293246800475205,0.5508723709336102
DB11859,Humans,False,"['GABRA2', 'GABRA5', 'GABRA6', 'GABRB2', 'GABRB3', 'GABRG1', 'GABRG3', 'GABRQ']",8,0.09526248011510931,0.06293246800475205,0.5508723709336102
DB11582,Humans,False,"['GABRA2', 'GABRA5', 'GABRA6', 'GABRB2', 'GABRB3', 'GABRG1', 'GABRG3', 'GABRQ']",8,0.09526248011510931,0.06293246800475205,0.5508723709336102
DB09118,Humans,False,"['GABRA2', 'GABRA5', 'GABRA6', 'GABRB2', 'GABRB3', 'GABRG1', 'GABRG3', 'GABRQ']",8,0.09526248011510931,0.06293246800475205,0.5508723709336102
DB00189,Humans,False,"['GABRA2', 'GABRA5', 'GABRA6', 'GABRB2', 'GABRB3', 'GABRG1', 'GABRG3', 'GABRQ']",8,0.09526248011510931,0.06293246800475205,0.5508723709336102
DB00753,Humans,True,"['GABRA2', 'GABRA5', 'GABRA6', 'GABRB2', 'GABRB3', 'GABRG1', 'GABRG3', 'GABRQ']",8,0.09526248011510931,0.06293246800475205,0.5508723709336102
DB01236,Humans,True,"['GABRA2', 'GABRA5', 'GABRA6', 'GABRB2', 'GABRB3', 'GABRG1', 'GABRG3', 'GABRQ']",8,0.09526248011510931,0.06293246800475205,0.5508723709336102
DB00292,Humans,False,"['GABRA2', 'GABRA5', 'GABRA6', 'GABRB2', 'GABRB3', 'GABRG1', 'GABRG3', 'GABRQ']",8,0.09526248011510931,0.06293246800475205,0.5508723709336102
DB01107,Humans,True,"['GABRA2', 'GABRA5', 'GABRA6', 'GABRB2', 'GABRB3', 'GABRG1', 'GABRG3', 'GABRQ']",8,0.09526248011510931,0.06293246800475205,0.5508723709336102
DB13643,Humans,False,"['GABRA2', 'GABRA5', 'GABRA6', 'GABRB2', 'GABRB3', 'GABRG1', 'GABRG3', 'GABRQ']",8,0.09526248011510931,0.06293246800475205,0.5508723709336102
DB00237,Humans,False,"['GABRA2', 'GABRA5', 'GABRA6', 'GABRB2', 'GABRB3', 'GABRG1', 'GABRG3', 'GABRQ']",8,0.09526248011510931,0.06293246800475205,0.5508723709336102
DB00231,Humans,False,"['GABRA2', 'GABRA5', 'GABRA6', 'GABRB2', 'GABRB3', 'GABRG1', 'GABRG3', 'GABRQ']",8,0.09526248011510931,0.06293246800475205,0.5508723709336102
DB00801,Humans,False,"['GABRA2', 'GABRA5', 'GABRA6', 'GABRB2', 'GABRB3', 'GABRG1', 'GABRG3', 'GABRQ']",8,0.09526248011510931,0.06293246800475205,0.5508723709336102
DB01567,Humans,False,"['GABRA2', 'GABRA5', 'GABRB2', 'GABRB3', 'GABRG1', 'GABRG3']",6,0.10887857003101241,0.06159846441140135,0.5452581263996701
DB01427,Humans,False,"['PDE4B', 'PDE4D']",2,0.18588618523499995,0.1099227140355934,0.5374600968842893
DB03849,Humans,False,"['PDE4B', 'PDE4D']",2,0.18588618523499995,0.1099227140355934,0.5374600968842893
DB00651,Humans,False,"['PDE4B', 'PDE4D']",2,0.18588618523499995,0.1099227140355934,0.5374600968842893
DB01956,Humans,False,"['GABRA2', 'GABRA5', 'GABRA6', 'GABRB2', 'GABRB3', 'GABRG1', 'GABRG3', 'GABRQ', 'GLRA2']",9,0.08701220319743047,0.059717215887164644,0.5336856598401327
DB01189,Humans,True,"['ATP2B4', 'GABRA2', 'GABRA5', 'GABRA6', 'GABRB2', 'GABRB3', 'GABRG1', 'GABRG3', 'GABRQ']",9,0.08570137813579227,0.05727267869475188,0.525645769890811
DB01205,Humans,False,"['GABRA2', 'GABRA5', 'GABRA5', 'GABRA6', 'GABRB2', 'GABRB3', 'GABRG1', 'GABRG3', 'GABRQ']",9,0.0851479613985416,0.05649997259961592,0.5222514117923722
DB01159,Humans,True,"['ATP2B4', 'GABRA2', 'GABRA5', 'GABRA6', 'GABRB2', 'GABRB3', 'GABRG1', 'GABRG3', 'GABRQ', 'KCNK9']",10,0.08071784948201964,0.057936605629495895,0.5218596228724693
DB00333,Humans,True,"['CHRNA7', 'GRIN2A', 'GRIN2D', 'GRIN3A']",4,0.122489179083815,0.0819286083874463,0.5008547917069823
DB00675,Humans,False,"['ESR1', 'ESR2', 'PRKCA', 'PRKCE', 'PRKCQ']",5,0.10906512665103038,0.06808557003214734,0.49860315648158726
DB01520,Humans,False,"['GRIN2A', 'GRIN3A']",2,0.1720660887,0.06217272209946355,0.4975015038707148
DB00659,Humans,False,"['GRIN2A', 'GRIN2D', 'GRIN3A']",3,0.14041012616828666,0.0795482196766467,0.4972137959613179
DB01043,Humans,True,"['GRIN2A', 'GRIN2D', 'GRIN3A']",3,0.14041012616828666,0.0795482196766467,0.4972137959613179
DB00193,Humans,True,"['GRIN2A', 'GRIN2D', 'GRIN3A']",3,0.14041012616828666,0.0795482196766467,0.4972137959613179
DB09241,Humans,False,['GUCY1A2'],1,0.240031178,0.1026953764619993,0.4907403517583737
DB09401,Humans,False,['GUCY1A2'],1,0.240031178,0.1026953764619993,0.4907403517583737
DB00435,Humans,False,['GUCY1A2'],1,0.240031178,0.1026953764619993,0.4907403517583737
DB01020,Humans,False,['GUCY1A2'],1,0.240031178,0.1026953764619993,0.4907403517583737
DB08931,Humans,False,['GUCY1A2'],1,0.240031178,0.1026953764619993,0.4907403517583737
DB13170,Humans,False,['GUCY1A2'],1,0.240031178,0.1026953764619993,0.4907403517583737
DB06716,Humans,False,"['GABRB2', 'GABRB3']",2,0.16347305519999994,0.07445812694628515,0.4726561254387387
DB00227,Humans,False,['HMGCR'],1,0.2277406,0.1095068550978081,0.4656124387043714
DB00175,Humans,False,['HMGCR'],1,0.2277406,0.1095068550978081,0.4656124387043714
DB01076,Humans,False,['HMGCR'],1,0.2277406,0.1095068550978081,0.4656124387043714
DB01098,Humans,False,['HMGCR'],1,0.2277406,0.1095068550978081,0.4656124387043714
DB01095,Humans,False,['HMGCR'],1,0.2277406,0.1095068550978081,0.4656124387043714
DB08860,Humans,False,['HMGCR'],1,0.2277406,0.1095068550978081,0.4656124387043714
DB00641,Humans,False,['HMGCR'],1,0.2277406,0.1095068550978081,0.4656124387043714
DB06693,Humans,False,['HMGCR'],1,0.2277406,0.1095068550978081,0.4656124387043714
DB00439,Humans,False,['HMGCR'],1,0.2277406,0.1095068550978081,0.4656124387043714
