_BACKGROUND,5p,10p,15p
TCF4,TCF4,TCF4,TCF4
PBX1,PBX1,PBX1,PBX1
CCDC178,CCDC178,CCDC178,CCDC178
CXXC4,CXXC4,CXXC4,CXXC4
TC2N,TC2N,TC2N,TC2N
CSMD1,CSMD1,CSMD1,CSMD1
CLMP,CLMP,CLMP,CLMP
ATP2B4,ATP2B4,ATP2B4,ATP2B4
ARHGAP18,ARHGAP18,ARHGAP18,ARHGAP18
SYT17,SYT17,SYT17,SYT17
GABRG1,GABRG1,GABRG1,GABRG1
PMP22,PMP22,PMP22,PMP22
TMEM164,TMEM164,TMEM164,TMEM164
IGSF21,IGSF21,IGSF21,IGSF21
GPM6A,GPM6A,GPM6A,GPM6A
ZMAT4,ZMAT4,ZMAT4,ZMAT4
LSAMP,LSAMP,LSAMP,LSAMP
ARHGEF28,ARHGEF28,ARHGEF28,ARHGEF28
DSE,DSE,DSE,DSE
SLIT3,SLIT3,SLIT3,SLIT3
KLF12,KLF12,KLF12,KLF12
ELL2,ELL2,ELL2,ELL2
ANKS1A,ANKS1A,ANKS1A,ANKS1A
CXXC5,CXXC5,CXXC5,CXXC5
NEGR1,NEGR1,NEGR1,NEGR1
ZNF19,ZNF19,ZNF19,ZNF19
NETO2,NETO2,NETO2,NETO2
GRIN2A,GRIN2A,GRIN2A,GRIN2A
CDH7,CDH7,CDH7,CDH7
TOX2,TOX2,TOX2,TOX2
TLN2,TLN2,TLN2,TLN2
CCNJL,CCNJL,CCNJL,CCNJL
BCL6,BCL6,BCL6,BCL6
PDE1C,PDE1C,PDE1C,PDE1C
BCL11A,BCL11A,BCL11A,BCL11A
SAMD5,SAMD5,SAMD5,SAMD5
MAN1A1,MAN1A1,MAN1A1,MAN1A1
HIVEP3,HIVEP3,HIVEP3,HIVEP3
DGKG,DGKG,DGKG,DGKG
RASSF8,RASSF8,RASSF8,RASSF8
LMO3,LMO3,LMO3,LMO3
RSPO3,RSPO3,RSPO3,RSPO3
SLC36A1,SLC36A1,SLC36A1,SLC36A1
NOS1AP,NOS1AP,NOS1AP,NOS1AP
NCOR1,NCOR1,NCOR1,NCOR1
SFMBT2,SFMBT2,SFMBT2,SFMBT2
KCND2,KCND2,KCND2,KCND2
ITGA9,ITGA9,ITGA9,ITGA9
CRYBG3,CRYBG3,CRYBG3,CRYBG3
BZW2,BZW2,BZW2,BZW2
ZEB1,ZEB1,ZEB1,ZEB1
TGFB2,TGFB2,TGFB2,TGFB2
TMEM196,TMEM196,TMEM196,TMEM196
KLHL8,KLHL8,KLHL8,KLHL8
IL1RAPL2,IL1RAPL2,IL1RAPL2,IL1RAPL2
NR2F1,NR2F1,NR2F1,NR2F1
CTNNB1,CTNNB1,CTNNB1,CTNNB1
GABRB2,GABRB2,GABRB2,GABRB2
ARHGAP24,ARHGAP24,ARHGAP24,ARHGAP24
DIRC3,DIRC3,DIRC3,DIRC3
B3GLCT,B3GLCT,B3GLCT,B3GLCT
SLC24A4,SLC24A4,SLC24A4,SLC24A4
