_BACKGROUND,5p,10p,15p
GAD1,GAD1,GAD1,GAD1
BDNF,BDNF,BDNF,BDNF
CPLX1,CPLX1,CPLX1,CPLX1
KLF10,KLF10,KLF10,KLF10
S100A6,S100A6,S100A6,S100A6
BARX2,BARX2,BARX2,BARX2
DRD5,DRD5,DRD5,DRD5
IRF6,IRF6,IRF6,IRF6
HOXD1,HOXD1,HOXD1,HOXD1
NEUROD1,NEUROD1,NEUROD1,NEUROD1
SLC17A7,SLC17A7,SLC17A7,SLC17A7
PRDM12,PRDM12,PRDM12,PRDM12
CEBPB,CEBPB,CEBPB,CEBPB
SP3,SP3,SP3,SP3
LINGO1-AS1,LINGO1-AS1,LINGO1-AS1,LINGO1-AS1
ZKSCAN4,ZKSCAN4,ZKSCAN4,ZKSCAN4
GAD2,GAD2,GAD2,GAD2
LHX2,LHX2,LHX2,LHX2
HMG20B,HMG20B,HMG20B,HMG20B
ZNF18,ZNF18,ZNF18,ZNF18
DCDC2,DCDC2,DCDC2,DCDC2
KLHL13,KLHL13,KLHL13,KLHL13
LRRTM3,LRRTM3,LRRTM3,LRRTM3
SOX6,SOX6,SOX6,SOX6
SEMA6D,SEMA6D,SEMA6D,SEMA6D
USP2-AS1,USP2-AS1,USP2-AS1,USP2-AS1
ZNF804A,ZNF804A,ZNF804A,ZNF804A
KHDRBS3,KHDRBS3,KHDRBS3,KHDRBS3
CDK6,CDK6,CDK6,CDK6
CREB3,CREB3,CREB3,CREB3
SATB2,SATB2,SATB2,SATB2
RMDN2,RMDN2,RMDN2,RMDN2
FAM184B,FAM184B,FAM184B,FAM184B
RHOBTB3,RHOBTB3,RHOBTB3,RHOBTB3
MEI4,MEI4,MEI4,MEI4
SMAD9,SMAD9,SMAD9,SMAD9
CDH12,CDH12,CDH12,CDH12
CCND2-AS1,CCND2-AS1,CCND2-AS1,CCND2-AS1
TGFB2,TGFB2,TGFB2,TGFB2
CRYBG3,CRYBG3,CRYBG3,CRYBG3
TMEM196,TMEM196,TMEM196,TMEM196
LRRN1,LRRN1,LRRN1,LRRN1
SORCS3,SORCS3,SORCS3,SORCS3
IRS1,IRS1,IRS1,IRS1
PCSK5,PCSK5,PCSK5,PCSK5
RND3,RND3,RND3,RND3
HRH2,HRH2,HRH2,HRH2
PARD6G,PARD6G,PARD6G,PARD6G
TEAD1,TEAD1,TEAD1,TEAD1
PDE1C,PDE1C,PDE1C,PDE1C
SOX5,SOX5,SOX5,SOX5
KLF3-AS1,KLF3-AS1,KLF3-AS1,KLF3-AS1
GAS2,GAS2,GAS2,GAS2
GRM7,GRM7,GRM7,GRM7
RXRA,RXRA,RXRA,RXRA
LMO3,LMO3,LMO3,LMO3
MAN1A1,MAN1A1,MAN1A1,MAN1A1
GRM8,GRM8,GRM8,GRM8
ZNF160,ZNF160,ZNF160,ZNF160
TOX,TOX,TOX,TOX
CNTNAP3B,CNTNAP3B,CNTNAP3B,CNTNAP3B
ARNT2,ARNT2,ARNT2,ARNT2
PTPRZ1,PTPRZ1,PTPRZ1,PTPRZ1
COL4A1,COL4A1,COL4A1,COL4A1
MDM2,MDM2,MDM2,MDM2
COL4A2,COL4A2,COL4A2,COL4A2
AJAP1,AJAP1,AJAP1,AJAP1
CELF4,CELF4,CELF4,CELF4
ANKFN1,ANKFN1,ANKFN1,ANKFN1
TOX2,TOX2,TOX2,TOX2
AK5,AK5,AK5,AK5
TRPC7,TRPC7,TRPC7,TRPC7
PCDH7,PCDH7,PCDH7,PCDH7
GABRB2,GABRB2,GABRB2,GABRB2
DGKG,DGKG,DGKG,DGKG
BOLL,BOLL,BOLL,BOLL
PHLDB2,PHLDB2,PHLDB2,PHLDB2
ZDHHC5,ZDHHC5,ZDHHC5,ZDHHC5
SLC24A4,SLC24A4,SLC24A4,SLC24A4
SLIT3,SLIT3,SLIT3,SLIT3
ZNF83,ZNF83,ZNF83,ZNF83
DPYD,DPYD,DPYD,DPYD
ZXDC,ZXDC,ZXDC,ZXDC
NEGR1,NEGR1,NEGR1,NEGR1
ADAMTS6,ADAMTS6,ADAMTS6,ADAMTS6
TLL1,TLL1,TLL1,TLL1
KIRREL3,KIRREL3,KIRREL3,KIRREL3
JADE3,JADE3,JADE3,JADE3
MKX,MKX,MKX,MKX
CFAP161,CFAP161,CFAP161,CFAP161
NOX5,NOX5,NOX5,NOX5
STON1-GTF2A1L,STON1-GTF2A1L,STON1-GTF2A1L,STON1-GTF2A1L
MAML3,MAML3,MAML3,MAML3
PTPRD,,PTPRD,PTPRD
GRIN2A,,GRIN2A,GRIN2A
FNDC3B,,FNDC3B,FNDC3B
SLC35F3,,SLC35F3,SLC35F3
IRF4,,IRF4,IRF4
THSD7A,,THSD7A,THSD7A
MTUS1,,MTUS1,MTUS1
BCL11A,,BCL11A,BCL11A
PDE4B,,PDE4B,PDE4B
MASP1,,MASP1,MASP1
PLXNA4,,PLXNA4,PLXNA4
CRISPLD1,,CRISPLD1,CRISPLD1
HECW1,,HECW1,HECW1
ELL2,,ELL2,ELL2
EZH2,,EZH2,EZH2
IL1RAPL2,,IL1RAPL2,IL1RAPL2
PRKCQ,,PRKCQ,PRKCQ
CDH7,,CDH7,CDH7
ANXA11,,ANXA11,ANXA11
SFMBT2,,SFMBT2,SFMBT2
SEMA6A,,SEMA6A,SEMA6A
PCSK2,,PCSK2,PCSK2
FSTL5,,FSTL5,FSTL5
FNDC3A,,FNDC3A,FNDC3A
PARP9,,PARP9,PARP9
STAT4,,STAT4,STAT4
CDC25C,,CDC25C,CDC25C
MAST2,,MAST2,MAST2
ZC3H12C,,ZC3H12C,ZC3H12C
MEF2C,,MEF2C,MEF2C
CDH18,,CDH18,CDH18
CCDC146,,CCDC146,CCDC146
SNCA,,SNCA,SNCA
NGF,,NGF,NGF
EPB41L4A,,EPB41L4A,EPB41L4A
ECM1,,ECM1,ECM1
ARHGAP42,,ARHGAP42,ARHGAP42
PLPPR1,,PLPPR1,PLPPR1
RALYL,,RALYL,RALYL
CNTN5,,CNTN5,CNTN5
MOB3B,,MOB3B,MOB3B
NETO2,,NETO2,NETO2
ZEB1,,ZEB1,ZEB1
ZNF706,,ZNF706,ZNF706
DUSP16,,DUSP16,DUSP16
CCNJL,,CCNJL,CCNJL
OTOF,,OTOF,OTOF
PDE11A,,PDE11A,PDE11A
SEL1L3,,SEL1L3,SEL1L3
NMU,,NMU,NMU
CFHR4,,CFHR4,CFHR4
ESR2,,ESR2,ESR2
SETD7,,SETD7,SETD7
ABCA1,,ABCA1,ABCA1
HIVEP1,,HIVEP1,HIVEP1
RELN,,RELN,RELN
KATNAL1,,KATNAL1,KATNAL1
SSBP2,,SSBP2,SSBP2
SMC3,,SMC3,SMC3
MARK1,,MARK1,MARK1
ZNF385B,,ZNF385B,ZNF385B
GUCY1A2,,GUCY1A2,GUCY1A2
GTF2I,,GTF2I,GTF2I
ZFP90,,ZFP90,ZFP90
PRICKLE1,,PRICKLE1,PRICKLE1
FAM3C,,FAM3C,FAM3C
PDE8B,,PDE8B,PDE8B
JAZF1-AS1,,JAZF1-AS1,JAZF1-AS1
ETS1,,ETS1,ETS1
ANO10,,ANO10,ANO10
GABRA2,,GABRA2,GABRA2
ANKRD50,,ANKRD50,ANKRD50
HMGCR,,HMGCR,HMGCR
PIK3C3,,PIK3C3,PIK3C3
ERC2,,ERC2,ERC2
SULF2,,SULF2,SULF2
PLCB4,,PLCB4,PLCB4
CAMK2D,,CAMK2D,CAMK2D
CEP112,,CEP112,CEP112
CREB1,,CREB1,CREB1
PPP1R9A,,PPP1R9A,PPP1R9A
CEMIP,,CEMIP,CEMIP
SCX,,SCX,SCX
TARSL2,,TARSL2,TARSL2
ELAVL4,,ELAVL4,ELAVL4
CHL1,,CHL1,CHL1
NCALD,,NCALD,NCALD
KDM2A,,KDM2A,KDM2A
KCTD8,,KCTD8,KCTD8
FAR2,,FAR2,FAR2
BAZ1A,,BAZ1A,BAZ1A
BACH2,,BACH2,BACH2
NLGN1,,NLGN1,NLGN1
MECOM,,,MECOM
RSPO3,,,RSPO3
ALDH1A2,,,ALDH1A2
SLC7A14,,,SLC7A14
ADCY2,,,ADCY2
GNG4,,,GNG4
ADRA1A,,,ADRA1A
PRDM5,,,PRDM5
TMTC2,,,TMTC2
RAPGEF5,,,RAPGEF5
STXBP5-AS1,,,STXBP5-AS1
CNTNAP5,,,CNTNAP5
ITGAV,,,ITGAV
SIK2,,,SIK2
MPPED2,,,MPPED2
SMURF1,,,SMURF1
SPARCL1,,,SPARCL1
KDM4C,,,KDM4C
SEMA5A,,,SEMA5A
BACH1,,,BACH1
WIPF1,,,WIPF1
SAMD4A,,,SAMD4A
PTPDC1,,,PTPDC1
GABPB1,,,GABPB1
KLF3,,,KLF3
TRHDE-AS1,,,TRHDE-AS1
ZNF521,,,ZNF521
KLHL29,,,KLHL29
TRPC4,,,TRPC4
UNC5C,,,UNC5C
ZNF652,,,ZNF652
STT3B,,,STT3B
PHKA1,,,PHKA1
BCL11B,,,BCL11B
KIAA0319,,,KIAA0319
BICC1,,,BICC1
HAS2-AS1,,,HAS2-AS1
ZBTB25,,,ZBTB25
TFEB,,,TFEB
ZNF592,,,ZNF592
LRRC8C,,,LRRC8C
NFKB1,,,NFKB1
LRP8,,,LRP8
DHRS3,,,DHRS3
MAGI2,,,MAGI2
PCDH10,,,PCDH10
RBFOX2,,,RBFOX2
CXADR,,,CXADR
NR1D1,,,NR1D1
ANKRD30BL,,,ANKRD30BL
SRGAP1,,,SRGAP1
POT1-AS1,,,POT1-AS1
OPRK1,,,OPRK1
FHL2,,,FHL2
AMOTL1,,,AMOTL1
SMAD1,,,SMAD1
TSPAN9,,,TSPAN9
SCRN1,,,SCRN1
FRMD6,,,FRMD6
DCLK2,,,DCLK2
MEF2C-AS1,,,MEF2C-AS1
MLLT10,,,MLLT10
NAB1,,,NAB1
CBX8,,,CBX8
TFDP1,,,TFDP1
CALCR,,,CALCR
GOLIM4,,,GOLIM4
LAYN,,,LAYN
PCDH9,,,PCDH9
SALL4,,,SALL4
ATG10,,,ATG10
BMP1,,,BMP1
SLC38A4,,,SLC38A4
MEG8,,,MEG8
RTN4,,,RTN4
SEMA3B,,,SEMA3B
PTHLH,,,PTHLH
A1CF,,,A1CF
SGMS1,,,SGMS1
PCBP3,,,PCBP3
PPP2R5A,,,PPP2R5A
FRAS1,,,FRAS1
TRHDE,,,TRHDE
INPP4B,,,INPP4B
KCNT2,,,KCNT2
ME1,,,ME1
PRDM10,,,PRDM10
ZNF280D,,,ZNF280D
CLDN1,,,CLDN1
MGA,,,MGA
SLC44A1,,,SLC44A1
TLE1,,,TLE1
PLCL2,,,PLCL2
SPATS2,,,
SGMS2,,,
SCARA3,,,
PIK3R1,,,
AFF1,,,
TMEM117,,,
RASSF8-AS1,,,
MAP3K1,,,
NDST3,,,
GABRB3,,,
TMCC1,,,
CTCF,,,
PHF21A,,,
RBBP8,,,
SYDE2,,,
FOXN2,,,
NRP1,,,
UBE2E1,,,
HDAC2,,,
ZNF532,,,
FGF9,,,
KCNJ6,,,
FARP1,,,
VEGFC,,,
SLC40A1,,,
NR2C2,,,
SCARA5,,,
PAM,,,
KRAS,,,
LINC01006,,,
MYO6,,,
LINC00601,,,
ADD3-AS1,,,
DACH1,,,
SLC4A7,,,
ST6GAL2,,,
PCDH17,,,
PTPRK,,,
KLF5,,,
CNR1,,,
C3orf67,,,
PIP5K1B,,,
ZNF516,,,
CALN1,,,
PARD3B,,,
FAM153B,,,
MEF2A,,,
TBL1XR1,,,
NFIA,,,
FBXL2,,,
ZBTB20,,,
SH3RF1,,,
ARHGEF10,,,
LINC00884,,,
TBPL1,,,
VAX1,,,
MIR3681HG,,,
NR3C1,,,
MBP,,,
GABRG3,,,
KIAA1211L,,,
CPNE4,,,
PDGFC,,,
FAT4,,,
GNB4,,,
FOXO1,,,
ELF2,,,
DKK2,,,
PLA2G7,,,
EFNB2,,,
LINC00886,,,
VCAN,,,
XPR1,,,
ARHGEF28,,,
TOPORS,,,
SHISA6,,,
RUFY3,,,
KIAA1211,,,
PRSS23,,,
SPTSSB,,,
KREMEN1,,,
SPRED1,,,
KCNQ5,,,
KDM7A,,,
PITPNC1,,,
ZBTB7C,,,
LINC01138,,,
PARP8,,,
RASAL2,,,
IRF2,,,
ZNF891,,,
LINC00609,,,
HEG1,,,
PEAK1,,,
CCDC125,,,
STAT3,,,
ZNF578,,,
RAB27A,,,
HBP1,,,
COL25A1,,,
KIAA1671,,,
CELF6,,,
TEX26,,,
ZBTB7A,,,
ZNF624,,,
CRIM1,,,
ZBTB21,,,
ZFPM2,,,
NPNT,,,
TRAF3,,,
PDE4D,,,
MIOS,,,
GALNTL6,,,
MARCH1,,,
CASC15,,,
SCG2,,,
GRIA4,,,
HS3ST1,,,
FLRT2,,,
NPY1R,,,
MINAR1,,,
RGS17,,,
MYO3A,,,
NR5A2,,,
SLC5A1,,,
ELOVL6,,,
DSCAM,,,
KAT2B,,,
NCOR2,,,
KANK1,,,
PHYHIPL,,,
NR4A2,,,
JAZF1,,,
ITGA9,,,
SNTG1,,,
BCLAF1,,,
ZCCHC2,,,
CHD1,,,
TMEM155,,,
RBPJ,,,
THRB,,,
ZBTB18,,,
NEDD4,,,
SFMBT1,,,
CEP57L1,,,
RDX,,,
SP4,,,
ZDHHC2,,,
ANKRD30A,,,
CEP85L,,,
NHSL2,,,
ZBTB8A,,,
GLCE,,,
POU2F1,,,
VSTM2A,,,
FTCDNL1,,,
SNAP25-AS1,,,
LINGO2,,,
NEDD4L,,,
CACHD1,,,
GNG12-AS1,,,
ZNF598,,,
ZNF438,,,
SIN3A,,,
ZSWIM6,,,
EML4,,,
GSAP,,,
FERMT2,,,
ATAD2,,,
KLF12,,,
LHFPL2,,,
RAB14,,,
TFAP4,,,
POU6F1,,,
LINC02102,,,
ZDHHC14,,,
PAK1,,,
SMAD4,,,
CDC14B,,,
L3MBTL3,,,
RNF217,,,
BTG3,,,
NOS1AP,,,
NFX1,,,
CACNA2D1,,,
LIMS1,,,
SLC26A4,,,
MBNL1-AS1,,,
ARHGAP20,,,
NTNG1,,,
GALNT7,,,
SMAD3,,,
NRF1,,,
CUX1,,,
TIGD4,,,
ZNF24,,,
PLS1,,,
ELAVL2,,,
MAGEF1,,,
RHBDD1,,,
NR1D2,,,
SCN1A-AS1,,,
MNT,,,
NR6A1,,,
PTPRB,,,
SLC35F1,,,
ARFGEF3,,,
RAI14,,,
CTNNB1,,,
FANK1,,,
UACA,,,
MPP5,,,
FAM189A1,,,
STAU2,,,
