gene,score,validation,label
ABCA1,0.01195823,False,0
ABCC3,0.029926399,False,0
ABCF2,0.001314583,True,0
ABL1,0.024680737,False,0
ACKR3,0.0390899,False,0
ACO1,0.058060545,False,0
ACVR1,0.058743443,False,0
ACVR1C,0.052991323,False,0
ADAMTS1,0.0368135,False,0
ADAMTS16,0.026501354,False,0
ADAMTS17,0.023374673,False,0
ADAMTS8,0.053650327,False,0
ADAMTS9-AS2,0.019077946,False,0
ADAMTSL1,0.05386622,True,0
ADARB1,0.03187127,False,0
ADARB2,0.00701051,True,0
ADARB2-AS1,0.004353289,False,0
ADCY2,0.020035272,True,1
ADCYAP1R1,0.002044489,False,0
ADD3-AS1,0.049021766,False,0
ADGRL2,0.09469945,False,0
ADGRL3,0.025280666,False,0
ADGRV1,0.12367302,False,0
ADNP,0.014407861,False,0
ADNP2,0.008196046,False,0
ADRA1A,0.05737865,False,0
AFF1,0.061380316,True,0
AFF2,0.05494561,False,0
AFF4,0.017091861,True,0
AGAP2,0.0112577155,False,0
AGGF1,0.0013776153,True,0
AHCTF1,0.06238002,False,0
AHDC1,0.0038082188,True,0
AHR,0.10208781,False,0
ALG1L9P,0.042990535,False,0
ALK,0.035303634,False,0
ALX4,0.00029502518,True,0
AMBN,0.11104787,False,0
AMMECR1,0.04539461,False,0
AMOTL1,0.05239194,True,0
ANAPC10,0.067127295,True,0
ANGPT2,0.026426252,False,0
ANK1,0.0008001705,False,0
ANKRD29,0.044890575,True,0
ANKRD30A,0.0045141447,False,0
ANKRD30B,0.06575434,False,0
ANKRD34C-AS1,0.005333169,False,0
ANKRD44,0.050423633,True,0
ANKRD50,0.051140003,False,0
ANKRD55,0.027592365,False,0
ANKRD62,0.003322624,True,0
ANO1,0.03800152,False,0
ANO6,0.029679118,False,0
ANTXR1,0.0056313225,True,0
ANXA11,0.039520457,True,0
ANXA4,0.047287118,False,0
AP1S2,0.026796618,True,0
APCDD1,0.08962394,False,0
ARAP2,0.07050306,True,0
ARFGAP1,0.022021173,False,0
ARHGAP10,0.07030471,False,0
ARHGAP22,0.021180352,False,0
ARHGAP24,0.028794024,False,0
ARHGAP42,0.024107184,True,0
ARHGAP8,0.0017932499,False,0
ARHGEF10L,0.08371213,False,0
ARHGEF26,0.026735188,False,0
ARHGEF28,0.0010611386,False,0
ARID3B,0.0044002463,True,0
ARID5B,0.033166435,False,0
ARMC4,0.07026157,True,0
ARNT2,0.04597081,True,0
ARNTL,0.045791917,False,0
ARPP21,0.032602426,False,0
ARX,0.021589223,False,0
ASAP1,0.016442407,False,0
ASB18,0.095092565,False,1
ASCL1,0.021797707,False,0
ASCL2,0.00041679392,False,0
ASIC4,0.077453,False,0
ASPA,0.0030677011,False,0
ASXL3,0.024553332,True,0
ATF2,0.019066919,True,0
ATG10,0.051757213,False,0
ATP2B4,0.044568155,False,0
ATP6V0E2,0.009555039,False,0
ATP8B1,0.0023483126,False,0
ATRNL1,0.03515298,False,0
B3GALT5,0.0007605623,True,0
BACH1,0.057262793,False,0
BACH2,0.0970368,False,0
BAIAP3,2.088876e-05,False,0
BARD1,0.09178035,False,0
BAZ1A,0.054408886,False,0
BBX,0.037811656,False,0
BCL11A,0.037435014,True,0
BCL11B,0.024271885,False,0
BCLAF1,0.029066652,False,0
BDNF,0.015850708,False,0
BEX2,0.031791624,False,0
BICC1,0.055384025,False,0
BMPER,0.034614537,False,0
BNC2,0.0936627,False,1
BOC,0.07064909,False,0
BPTF,0.01537133,True,0
BRF1,0.017581224,False,0
BRINP1,0.057309043,False,0
BRINP3,0.035472542,False,0
BSPRY,0.063156895,False,0
BTBD3,0.091777705,True,0
BTK,0.03774364,False,0
BTLA,0.06701045,False,0
BVES,0.0006165363,False,0
BVES-AS1,0.0020787183,False,0
C12orf40,0.016921448,False,0
C14orf39,0.08107354,False,0
C17orf100,0.03147344,False,0
C1QB,0.0014512455,False,0
C1QL3,0.010353835,True,0
C1orf61,0.025830526,True,0
C2orf88,0.046836186,False,0
C3orf67,0.031220108,False,0
C3orf67-AS1,0.039557986,False,0
C5orf30,0.050644074,False,0
C5orf47,0.0559495,False,0
C5orf66,0.004561575,False,0
C8orf34-AS1,3.1604813e-07,True,0
CA8,0.00061010686,False,0
CACHD1,0.008824804,False,0
CACNA1E,0.032562293,False,0
CACNA1I,0.028055891,False,0
CACNA2D1,0.06484485,False,0
CACNA2D2,0.008756382,False,0
CACNB4,0.019870974,False,0
CACNG3,0.02345477,False,0
CACNG4,0.0011597832,False,0
CADM1,0.041200418,False,0
CADPS,0.00010224817,True,0
CALB1,0.013114814,False,0
CALCR,0.0037972252,False,0
CALM1,0.02955507,False,0
CALN1,0.07550383,True,0
CAMK1D,0.022853907,False,0
CAMK2D,0.03609743,True,0
CARF,0.061765227,False,0
CASC15,0.040870063,True,0
CASC8,0.017695192,True,0
CBFA2T2,0.05946286,False,0
CBLB,0.013229282,False,0
CBLN1,0.009793971,False,0
CBLN2,0.034294996,False,0
CCDC169,0.01718043,False,0
CCDC175,0.004506202,False,0
CCDC3,0.02283882,False,0
CCDC85B,0.027483277,False,0
CCK,0.015677404,False,0
CCND1,0.051086325,True,0
CCND2,0.051866505,True,0
CCND2-AS1,0.009620714,True,0
CCNG2,0.07125641,True,0
CCNI,0.0334279,False,0
CCNJL,0.060611572,False,0
CCNT2,0.0052127517,False,0
CD24,0.016459195,True,0
CD58,0.030942084,False,0
CD59,0.025607536,True,0
CD74,0.015906744,False,0
CDC14A,0.013711373,False,0
CDCA7L,0.020772208,False,0
CDH11,0.034939278,False,0
CDH12,0.1220612,False,0
CDH2,0.05412248,False,0
CDH20,0.0025016312,False,0
CDH4,0.030644946,True,0
CDH7,0.06744252,False,0
CDH8,0.0386051,False,0
CDHR1,0.0011580505,True,0
CDK18,0.0028387357,False,0
CDK6,0.07065173,False,0
CDK8,0.044239037,False,0
CDKN2B-AS1,0.052249882,False,0
CDR2,0.022879587,False,0
CDYL,0.08039987,False,0
CDYL2,0.011432627,False,0
CEBPZ,0.024836099,False,0
CECR2,0.025735045,False,0
CELF4,0.06949441,False,0
CELF5,0.08405442,False,0
CEP112,0.04479101,False,0
CEP162,0.048962753,False,0
CERS3,0.007920222,True,0
CES4A,0.06433173,False,0
CFAP161,0.06793796,False,0
CFAP44,0.056018423,False,0
CFAP58,0.02119392,False,0
CFL2,0.056370504,False,0
CGNL1,0.062133774,False,1
CHAMP1,0.06853283,False,0
CHD1,0.03348923,True,0
CHD7,0.058479447,False,0
CHL1,0.05156161,False,0
CHRDL1,0.071667686,False,0
CHRM2,0.08402413,False,0
CHRM5,0.07184472,False,0
CHRNA2,0.056711067,False,0
CHRNA7,0.026148451,False,0
CHRNB4,0.042641222,False,0
CHST11,0.041892823,False,1
CHST15,0.00677893,False,0
CHST9,0.00020071039,False,0
CHSY3,0.07172309,False,0
CLMN,0.06235807,False,0
CLMP,0.02634356,False,0
CLOCK,0.010800629,False,0
CMTM8,0.00041937217,False,0
CNOT4,0.02414576,True,0
CNR1,0.042746153,False,0
CNTN4,0.036566988,True,0
CNTN5,0.04797313,True,0
CNTNAP3,0.038000125,True,0
CNTNAP3B,0.04490908,False,0
CNTNAP5,0.04006738,False,0
COBLL1,0.048725154,False,0
COL12A1,8.03402e-05,False,0
COL18A1,0.0051624137,False,0
COL19A1,0.035809033,False,0
COL23A1,0.047528334,False,0
COL24A1,0.094001584,False,0
COL25A1,0.00048812924,False,0
COL4A2,0.015655462,False,0
COL8A1,0.017221507,False,0
COLCA1,0.047838435,False,0
COLEC12,0.015103551,False,0
CPEB2,0.07984136,False,0
CPLX1,0.017335929,False,0
CPNE8,0.00017888138,False,0
CRACR2A,0.080219865,False,0
CREB1,0.016680144,False,0
CREB5,0.023518452,False,0
