_BACKGROUND,5p,10p,15p
SFPQ,SFPQ,SFPQ,SFPQ
CBFA2T2,CBFA2T2,CBFA2T2,CBFA2T2
FOXG1-AS1,FOXG1-AS1,FOXG1-AS1,FOXG1-AS1
ASB18,ASB18,ASB18,ASB18
SULF1,SULF1,SULF1,SULF1
LGALS4,LGALS4,LGALS4,LGALS4
BICC1,BICC1,BICC1,BICC1
BSPRY,BSPRY,BSPRY,BSPRY
GPC5,GPC5,GPC5,GPC5
EPB41,EPB41,EPB41,EPB41
TTC39C,TTC39C,TTC39C,TTC39C
SOX8,SOX8,SOX8,SOX8
PTPRK,PTPRK,PTPRK,PTPRK
FIGN,FIGN,FIGN,FIGN
RALYL,RALYL,RALYL,RALYL
MOB3B,MOB3B,MOB3B,MOB3B
PLS1,PLS1,PLS1,PLS1
NRP1,NRP1,NRP1,NRP1
PPP1R1C,PPP1R1C,PPP1R1C,PPP1R1C
ANAPC10,ANAPC10,ANAPC10,ANAPC10
VAV3,VAV3,VAV3,VAV3
ARHGAP10,ARHGAP10,ARHGAP10,ARHGAP10
TMTC1,TMTC1,TMTC1,TMTC1
PHLDB2,PHLDB2,PHLDB2,PHLDB2
ITPR1,ITPR1,ITPR1,ITPR1
PAPPA,PAPPA,PAPPA,PAPPA
RBM47,RBM47,RBM47,RBM47
AMBN,AMBN,AMBN,AMBN
DHX36,DHX36,DHX36,DHX36
SMAD9,SMAD9,SMAD9,SMAD9
TLL1,TLL1,TLL1,TLL1
PHACTR1,PHACTR1,PHACTR1,PHACTR1
COL24A1,COL24A1,COL24A1,COL24A1
HTR1F,HTR1F,HTR1F,HTR1F
AHR,AHR,AHR,AHR
SIX1,SIX1,SIX1,SIX1
ZBTB14,ZBTB14,ZBTB14,ZBTB14
NKAIN3,NKAIN3,NKAIN3,NKAIN3
GALNT14,GALNT14,GALNT14,GALNT14
MBNL2,MBNL2,MBNL2,MBNL2
SVIL,SVIL,SVIL,SVIL
LAMA3,LAMA3,LAMA3,LAMA3
RIN2,RIN2,RIN2,RIN2
GRM3,GRM3,GRM3,GRM3
PTK2B,PTK2B,PTK2B,PTK2B
LOXHD1,LOXHD1,LOXHD1,LOXHD1
TGFB2,TGFB2,TGFB2,TGFB2
ANKRD29,ANKRD29,ANKRD29,ANKRD29
CLMN,CLMN,CLMN,CLMN
ZNF138,ZNF138,ZNF138,ZNF138
CDH12,CDH12,CDH12,CDH12
RGS8,RGS8,RGS8,RGS8
SLC22A3,SLC22A3,SLC22A3,SLC22A3
RXFP1,RXFP1,RXFP1,RXFP1
LMO4,LMO4,LMO4,LMO4
PCDH11Y,PCDH11Y,PCDH11Y,PCDH11Y
VSTM2A,VSTM2A,VSTM2A,VSTM2A
PCSK5,PCSK5,PCSK5,PCSK5
DACH1,DACH1,DACH1,DACH1
MEIS3,MEIS3,MEIS3,MEIS3
VIPR2,VIPR2,VIPR2,VIPR2
FRMD6,FRMD6,FRMD6,FRMD6
ZNF518A,ZNF518A,ZNF518A,ZNF518A
PRLR,PRLR,PRLR,PRLR
RBFOX1,RBFOX1,RBFOX1,RBFOX1
DNAH14,DNAH14,DNAH14,DNAH14
RXRG,RXRG,RXRG,RXRG
IKZF2,IKZF2,IKZF2,IKZF2
OVCH1-AS1,OVCH1-AS1,OVCH1-AS1,OVCH1-AS1
ZNF503,ZNF503,ZNF503,ZNF503
SHANK2,SHANK2,SHANK2,SHANK2
ELOVL2,ELOVL2,ELOVL2,ELOVL2
TNFRSF19,TNFRSF19,TNFRSF19,TNFRSF19
RASGRF2,RASGRF2,RASGRF2,RASGRF2
SPOCK3,SPOCK3,SPOCK3,SPOCK3
TRPS1,TRPS1,TRPS1,TRPS1
PRRG1,PRRG1,PRRG1,PRRG1
PRDM5,,PRDM5,PRDM5
MPPED2,,MPPED2,MPPED2
PDZRN3,,PDZRN3,PDZRN3
NPTX2,,NPTX2,NPTX2
EPHB2,,EPHB2,EPHB2
MYB,,MYB,MYB
L3MBTL3,,L3MBTL3,L3MBTL3
CSF3R,,CSF3R,CSF3R
SLC16A2,,SLC16A2,SLC16A2
IQGAP2,,IQGAP2,IQGAP2
TEX26,,TEX26,TEX26
EML5,,EML5,EML5
PRKCG,,PRKCG,PRKCG
HIF1A,,HIF1A,HIF1A
VCAN,,VCAN,VCAN
USP53,,USP53,USP53
ZNF286A,,ZNF286A,ZNF286A
CACNA2D1,,CACNA2D1,CACNA2D1
GPR161,,GPR161,GPR161
DGKH,,DGKH,DGKH
PDLIM5,,PDLIM5,PDLIM5
GLIS1,,GLIS1,GLIS1
ZNF804B,,ZNF804B,ZNF804B
GPC6,,GPC6,GPC6
SLC14A2,,SLC14A2,SLC14A2
DPYD,,DPYD,DPYD
NELL2,,NELL2,NELL2
PROX1-AS1,,PROX1-AS1,PROX1-AS1
AMOTL1,,AMOTL1,AMOTL1
CELF5,,CELF5,CELF5
PHACTR3,,PHACTR3,PHACTR3
NAV3,,NAV3,NAV3
BTBD3,,BTBD3,BTBD3
PAX9,,PAX9,PAX9
NFAT5,,NFAT5,NFAT5
KCNK9,,KCNK9,KCNK9
XRCC2,,XRCC2,XRCC2
FOXK1,,FOXK1,FOXK1
RASGEF1B,,RASGEF1B,RASGEF1B
AFF2,,AFF2,AFF2
CARF,,CARF,CARF
MAMDC2,,MAMDC2,MAMDC2
KCNJ2,,KCNJ2,KCNJ2
RORA,,RORA,RORA
ACO1,,ACO1,ACO1
BTLA,,BTLA,BTLA
ENPP2,,ENPP2,ENPP2
PEAK1,,PEAK1,PEAK1
NKAIN2,,NKAIN2,NKAIN2
DLEU2,,DLEU2,DLEU2
GRIK4,,GRIK4,GRIK4
M1AP,,M1AP,M1AP
SHC3,,SHC3,SHC3
IGF2BP3,,IGF2BP3,IGF2BP3
HSF2,,HSF2,HSF2
PKNOX2,,PKNOX2,PKNOX2
SDK1,,SDK1,SDK1
SCN9A,,SCN9A,SCN9A
AHCTF1,,AHCTF1,AHCTF1
CRISPLD1,,CRISPLD1,CRISPLD1
ADGRL2,,ADGRL2,ADGRL2
KCNS3,,KCNS3,KCNS3
BNC2,,BNC2,BNC2
CACNA1I,,CACNA1I,CACNA1I
STAT5A,,STAT5A,STAT5A
ZNF84,,ZNF84,ZNF84
ZIC1,,ZIC1,ZIC1
DSEL,,DSEL,DSEL
IL6R,,IL6R,IL6R
HTR2C,,HTR2C,HTR2C
CHSY3,,CHSY3,CHSY3
NEDD4,,NEDD4,NEDD4
EPHA5,,EPHA5,EPHA5
DPP10,,DPP10,DPP10
TMEM117,,TMEM117,TMEM117
MEIS2,,MEIS2,MEIS2
PLS3,,PLS3,PLS3
RPS6KA5,,RPS6KA5,RPS6KA5
CELF4,,,CELF4
ZBTB37,,,ZBTB37
THRB,,,THRB
AMMECR1,,,AMMECR1
NSUN7,,,NSUN7
CRX,,,CRX
ADAMTSL1,,,ADAMTSL1
NOS1AP,,,NOS1AP
TJP2,,,TJP2
KCNB2,,,KCNB2
CTBP2,,,CTBP2
NRG1,,,NRG1
IGSF11,,,IGSF11
RFX7,,,RFX7
ZNF521,,,ZNF521
PPP1R16B,,,PPP1R16B
GNB4,,,GNB4
FRAS1,,,FRAS1
RAB31,,,RAB31
MAP3K1,,,MAP3K1
TMEFF2,,,TMEFF2
ELL2,,,ELL2
EVA1C,,,EVA1C
CRIM1,,,CRIM1
BACH2,,,BACH2
EPS8,,,EPS8
LMO3,,,LMO3
TSN,,,TSN
SAMHD1,,,SAMHD1
KCNC2,,,KCNC2
MTA3,,,MTA3
ZNF790,,,ZNF790
LIN9,,,LIN9
EPHA6,,,EPHA6
RSPO4,,,RSPO4
