gene,score,validation,label
AAMDC,0.014893599,True,0
ABCA1,0.041166365,False,0
ABCA12,0.0034133738,False,0
ABCC11,0.0038060886,False,0
ABCC3,0.0034788784,False,1
ABCC4,0.035632588,False,0
ABCC8,3.0214574e-06,True,0
ABCF2,0.02348966,False,0
ABCF3,0.04762716,False,0
ABHD5,0.06495814,True,0
ABL1,0.05539485,False,0
ACER2,0.0021250804,False,0
ACSBG2,0.02037414,False,0
ACTB,0.0065909326,False,0
ACTG1,0.0039323373,False,0
ACVR1,0.028626006,False,0
ADAM28,0.004002629,False,0
ADAMTS1,0.012979804,False,0
ADAMTS2,0.016914263,False,0
ADAMTS3,0.03991229,False,0
ADAMTS5,0.06750673,False,0
ADAMTSL1,0.041902546,False,0
ADCY2,0.013342475,True,0
ADCY7,0.004354782,False,1
ADCY8,0.055307634,False,0
ADD3-AS1,0.027461443,False,0
ADGRB3,0.04572869,True,0
ADGRF3,0.004754498,True,0
ADGRG1,0.009744462,True,0
ADGRL3,0.013273888,False,0
ADIPOR2,0.01005457,False,0
ADK,0.046219107,False,0
ADNP,0.04753634,False,0
ADPRHL1,0.004324696,False,0
ADRA1A,0.043339733,True,0
AFAP1-AS1,0.033379585,False,0
AFF1,0.039125815,False,0
AFF2,0.032768577,False,0
AFF4,0.016281148,True,0
AGAP2,0.00057550485,False,0
AGGF1,0.030009454,False,0
AHCTF1,0.019548371,False,0
AHDC1,0.047960237,False,1
AHR,0.025156261,False,0
AHRR,0.021943351,False,0
AK5,0.042086724,True,0
AKAP13,0.050052803,False,0
ALCAM,0.0002349476,False,1
ALOX12-AS1,0.039537333,False,0
ALOX5,0.010898034,False,0
ALX4,0.053893104,False,0
AMDHD1,0.014053487,False,0
AMMECR1,0.042274468,True,0
AMOTL1,0.04032532,False,0
AMPD3,0.04177147,False,0
ANGPT2,0.03202314,False,0
ANKMY1,0.039759565,False,0
ANKRD28,0.03352625,False,0
ANKRD30A,0.009514834,False,0
ANKRD30BL,0.011106737,False,0
ANKRD45,0.042887703,True,0
ANKRD50,0.025633626,False,0
ANKRD6,0.015611762,False,0
ANO10,0.021514105,True,0
ANO3,0.009593129,False,0
ANO5,0.055515967,True,0
ANO7,0.0073786043,False,0
ANP32A,0.022532435,False,0
ANTXR1,0.034986466,False,0
ANXA4,0.00015177709,False,0
ANXA5,0.041812226,False,0
AP1AR,0.04990341,False,0
AP1S1,0.05332462,False,0
AP1S2,0.040663652,False,0
AP3S1,0.020401955,True,0
APBB1IP,0.007350195,True,0
APEX2,7.791047e-14,False,0
APOBEC3H,0.0019833143,False,0
APOLD1,0.05243388,True,0
ARAP2,0.013410275,False,0
ARFGAP1,0.026510632,True,0
ARG1,0.024398146,True,0
ARHGAP15,0.05993911,False,0
ARHGAP20,0.026185786,False,0
ARHGAP22,0.032441292,False,0
ARHGAP24,0.020125328,True,0
ARHGAP25,0.017334476,False,0
ARHGAP27,0.043516032,False,0
ARHGAP29,0.051618543,False,0
ARHGAP31,0.024540586,True,0
ARHGAP6,0.022548594,False,0
ARHGDIB,0.037073083,False,0
ARHGEF18,0.0412354,False,0
ARHGEF26,0.052876767,False,0
ARID3A,0.038200382,False,0
ARID3B,0.030664207,False,0
ARID5A,0.0015333724,False,0
ARL17B,0.041723948,False,0
ARL4C,0.000432224,False,0
ARL6,0.030306984,False,0
ARNT2,0.067006886,False,1
ARNTL,0.03414807,True,0
ARPC5L,0.036638916,False,0
ARPP21,0.018187586,False,0
ARRDC3-AS1,0.0069742496,False,0
ARSB,0.0002971273,False,0
ARSG,0.050953064,False,0
ART3,0.04980483,True,0
ARX,0.05579403,True,0
ASB1,0.03769137,False,0
ASB13,0.0074113864,False,0
ASB7,0.019255847,True,0
ASCL1,2.0521087e-12,False,0
ASPSCR1,0.014204033,False,0
ASXL1,0.00017429405,False,1
ASXL3,0.04491245,True,0
ATAD5,0.0035945384,False,0
ATF2,0.020800227,False,0
ATF3,0.020689497,False,0
ATF4,0.023476347,True,0
ATF5,2.6982885e-05,False,0
ATG10,0.029218119,False,0
ATP11C,0.03124897,False,0
ATP1A2,0.0036848935,False,0
ATP2B4,0.03800295,False,1
ATP2C1,0.009251346,False,0
ATP6V0C,3.8616923e-05,False,0
ATP6V1F,0.0007441204,False,0
ATP8B1,0.000130524,False,0
ATR,0.0415645,False,0
ATRNL1,0.019958053,True,0
AVEN,0.054590527,False,1
AVIL,0.014979599,False,0
AVPI1,0.007462741,False,0
B2M,0.00356815,False,0
B3GAT2,0.05221385,False,0
B3GLCT,0.052445844,False,0
B3GNT2,0.017743012,False,0
B4GALT6,0.016804498,False,0
BAALC,0.015975244,False,0
BACH1,0.043378282,False,0
BACH2,0.035554133,True,0
BAHD1,0.00070111547,False,0
BARD1,0.032643646,False,0
BARX2,7.902395e-05,False,0
BAZ2B,0.018917974,False,0
BBX,0.0192055,False,0
BCAR3,2.015322e-07,False,0
BCHE,0.004574781,True,0
BCL11A,0.032293122,False,0
BCL11B,0.05184277,True,0
BCL6,0.0032816757,False,0
BCLAF1,0.019176012,False,0
BCOR,0.046280913,True,0
BEND4,0.009165174,False,0
BET1,0.039192818,False,0
BEX1,0.030062558,False,0
BEX2,0.00022201231,False,0
BFSP1,5.721274e-05,True,0
BHLHE40,2.6004083e-05,False,0
BHLHE41,0.012711728,True,0
BICC1,0.034799267,False,0
BICDL1,0.033487026,False,0
BIRC3,0.012735945,False,0
BLM,0.018469054,False,0
BLNK,0.0012311578,False,0
BMI1,0.013141292,True,0
BMPER,0.020956608,False,0
BNC2,0.001175668,False,0
BOLL,0.0024327105,False,0
BRINP1,0.054106917,True,0
BRINP3,0.028791077,True,0
BTBD10,0.0362591,False,0
BTBD11,0.01528867,False,0
BTBD9,0.05498614,False,0
BTC,0.024639381,True,0
BTF3,0.011687301,False,0
BVES,0.04765103,True,0
C12orf75,0.01603569,False,0
C14orf39,0.01623648,True,0
C17orf78,0.0061798273,False,0
C17orf97,0.015267336,False,0
C18orf32,0.018015744,True,0
C19orf25,0.012983958,False,0
C1QL1,0.009091663,False,0
C1QTNF4,0.032845482,False,0
C1orf21,0.02062108,False,0
C1orf52,0.0137286,False,0
C2orf88,0.07798116,True,0
C3,0.006057433,False,0
C3orf20,0.0054090833,False,0
C3orf67,0.00082166767,False,0
C3orf67-AS1,0.02783159,False,0
C4orf47,0.04916658,True,0
C4orf48,5.0885196e-06,False,0
C5,0.032657884,False,0
C7,5.443646e-10,False,0
CA10,0.012949148,False,0
CA2,0.00063686457,False,0
CACNA1D,0.029198812,False,0
CACNA1G,0.045445904,True,0
CACNA2D1,0.017398197,False,0
CACNA2D3,0.010617541,False,0
CACNB2,0.022993796,True,0
CADM2,0.06532777,False,0
CALB2,0.052787334,False,0
CALM1,0.03490112,False,0
CALML4,0.003976243,False,0
CALN1,0.042606704,False,0
CALY,0.0036351595,False,0
CAMK2N2,0.0012693795,True,0
CANX,0.052965533,False,0
CARF,0.013044473,False,0
CARNMT1,0.039926555,True,0
CASC15,0.012799349,False,0
CASC16,0.000618307,False,0
CASC2,0.06519132,False,0
CBFA2T2,0.04858193,False,0
CBLN4,0.018943632,False,0
CBWD1,0.044759918,True,0
CBX6,0.03693063,False,0
CCBE1,0.018071946,False,0
CCDC150,0.03946531,False,0
CCDC152,0.014101669,False,0
CCDC170,0.055059895,False,0
CCDC171,0.01338181,False,0
CCDC178,0.037216365,False,0
CCDC184,0.009043472,True,0
CCDC192,0.043635808,False,0
CCDC24,0.05825016,False,0
CCDC34,0.013788295,False,0
CCDC39,0.0053906515,False,1
CCK,0.014618245,False,0
CCL4L2,7.241439e-08,False,0
CCND2-AS1,0.019697448,False,0
CCNH,0.0048051146,False,0
CCNI,0.04199527,False,0
CCR6,0.02752666,False,0
CCSER1,0.017426506,False,0
CD163L1,0.008314591,True,0
CD2AP,0.042136837,True,0
CD58,0.0071619074,False,0
CD63,0.006435745,False,0
