gene,score,validation,label
A2M,0.06116976,False,0
AACS,0.05696678,True,0
AADACL2-AS1,0.038955037,False,0
AAGAB,0.030358637,False,0
AARS,0.04742391,False,0
AASDHPPT,0.051218607,False,0
AATK,0.0456141,True,0
ABCA1,0.064675316,False,0
ABCA10,0.06659765,False,0
ABCA2,0.053950816,False,0
ABCA3,0.04005757,False,0
ABCA5,0.058926735,False,0
ABCA6,0.07074119,True,0
ABCA8,0.057092994,True,0
ABCB1,0.0684047,False,0
ABCB4,0.05152151,True,0
ABCB9,0.037590027,False,0
ABCC12,0.019210033,True,0
ABCC3,0.035736408,True,1
ABCC4,0.05673153,True,0
ABCC5,0.044437315,True,0
ABCC8,0.040366013,True,0
ABCC9,0.047827784,False,0
ABCD4,0.045000724,False,0
ABCE1,0.039849766,False,0
ABCF2,0.05943758,True,0
ABCF3,0.049768034,False,0
ABCG1,0.04890316,False,0
ABCG4,0.048292022,True,1
ABHD12,0.04586012,False,0
ABHD12B,0.038211223,False,0
ABHD14A,0.06390507,True,0
ABHD17A,0.05532386,False,0
ABHD17B,0.08715049,False,0
ABHD17C,0.05426167,False,0
ABHD2,0.05558787,False,0
ABHD5,0.047833096,True,0
ABHD6,0.052523635,False,0
ABHD8,0.048539788,True,0
ABI1,0.047667358,True,0
ABI2,0.039060555,False,0
ABL1,0.091643155,False,0
ABLIM1,0.060680926,False,0
ABLIM2,0.059220746,False,0
ABLIM3,0.08110538,False,0
ABR,0.052863132,True,0
ABTB1,0.04506691,False,0
ABTB2,0.055325206,False,0
ACAN,0.05793053,False,0
ACAP2,0.050988205,True,0
ACAP3,0.048459075,False,0
ACER2,0.05833906,False,0
ACHE,0.052828625,False,0
ACIN1,0.049503904,False,0
ACMSD,0.053013194,False,0
ACO1,0.053591043,False,0
ACOT8,0.052317496,False,0
ACSBG1,0.036979176,False,0
ACSL3,0.05583742,False,0
ACSL4,0.03652795,False,1
ACSM6,0.04813779,False,0
ACSS2,0.045115087,False,0
ACTA2,0.06386116,False,0
ACTB,0.035288554,False,0
ACTG1,0.049487103,False,0
ACTG2,0.049683742,False,0
ACTN1,0.060640357,False,0
ACTN2,0.053920556,False,0
ACTN4,0.054568052,False,0
ACTR1A,0.044588514,False,0
ACTR1B,0.050155096,True,0
ACTR2,0.057141647,False,0
ACTR3B,0.029926406,False,0
ACTR3C,0.04425301,True,0
ACTR6,0.036108233,False,0
ACVR1,0.04249711,False,0
ACVR1B,0.047814786,False,0
ACVR1C,0.022305805,False,0
ACVR2A,0.061857373,True,0
ACVR2B,0.046743825,True,0
ACY1,0.031041592,False,0
ACY3,0.05896109,True,0
ACYP1,0.03701697,False,0
ACYP2,0.039822645,False,0
ADAM10,0.06269591,False,0
ADAM11,0.061231725,False,0
ADAM17,0.03271886,False,0
ADAM22,0.06691086,False,0
ADAM23,0.039627023,False,0
ADAM28,0.059122365,False,0
ADAM29,0.08859906,True,0
ADAM33,0.06509914,False,0
ADAM9,0.039307382,False,0
ADAMTS1,0.06311456,False,0
ADAMTS10,0.05531977,False,0
ADAMTS16,0.056243066,False,0
ADAMTS17,0.0504842,False,0
ADAMTS2,0.04701718,True,0
ADAMTS20,0.069204725,True,0
ADAMTS3,0.056782834,True,0
ADAMTS6,0.06412639,False,1
ADAMTS7,0.054188315,False,0
ADAMTS9,0.06595833,True,0
ADAMTS9-AS1,0.07635865,False,0
ADAMTS9-AS2,0.065650076,False,0
ADAMTSL1,0.061789006,False,0
ADAMTSL3,0.073813066,False,0
ADAMTSL4-AS1,0.06498178,False,0
ADAP1,0.038277224,False,0
ADAP2,0.040491913,False,0
ADAR,0.046031535,False,0
ADARB1,0.06483912,True,0
ADARB2,0.059233166,False,0
ADCY1,0.071668886,False,0
ADCY2,0.04051745,False,0
ADCY3,0.048788402,False,0
ADCY5,0.059672624,False,0
ADCY6,0.043361932,False,0
ADCY7,0.058233157,False,1
ADCY8,0.04792935,False,0
ADCY9,0.033795554,False,0
ADCYAP1,0.09120702,True,0
ADCYAP1R1,0.062833555,False,0
ADD1,0.043942604,True,0
ADD2,0.035572324,False,0
ADD3,0.05955049,True,0
ADD3-AS1,0.06756557,False,0
ADGRA1,0.052152075,False,0
ADGRA1-AS1,0.041302525,False,0
ADGRA2,0.038873333,True,0
ADGRA3,0.04892454,True,0
ADGRB1,0.060525674,False,0
ADGRB2,0.049800497,True,0
ADGRB3,0.051512353,True,0
ADGRE2,0.04535593,True,0
ADGRF5,0.060802586,False,0
ADGRG1,0.035505302,False,0
ADGRG3,0.049567156,False,0
ADGRL1,0.042787846,True,0
ADGRL2,0.04632589,False,0
ADGRL3,0.05322848,False,0
ADGRL4,0.046737302,False,0
ADGRV1,0.043699063,False,1
ADIPOR1,0.047564037,False,0
ADIPOR2,0.057216194,False,0
ADIRF,0.05697681,False,0
ADK,0.09357454,False,0
ADNP,0.016724907,False,0
ADNP2,0.040140275,False,0
ADO,0.06434637,False,0
ADORA1,0.05123337,False,0
ADPGK-AS1,0.05512211,False,0
ADPRHL1,0.050948933,False,0
ADRA1A,0.05066584,False,0
ADRA1B,0.0500024,True,0
ADRB1,0.046249397,False,0
ADRB2,0.05880851,False,0
ADRM1,0.053852927,False,0
ADSL,0.04262713,False,0
ADSS,0.04942388,False,0
ADTRP,0.04710413,False,0
AEBP1,0.054336585,False,0
AEBP2,0.061768513,True,0
AFAP1L1,0.046912305,True,0
AFAP1L2,0.0673808,False,0
AFF1,0.072015494,False,0
AFF2,0.07087885,False,0
AFF3,0.04802766,False,0
AFF4,0.026433544,False,0
AFTPH,0.050560113,False,0
AGAP1,0.059125386,False,0
AGAP2,0.08406467,False,0
AGAP3,0.0009737233,False,0
AGBL1,0.062410202,False,0
AGBL3,0.0577091,True,0
AGBL4,0.039122086,False,0
AGFG1,0.062587045,False,0
AGL,0.06530065,False,0
AGMO,0.0523621,False,0
AGO1,0.038216244,False,0
AGO2,0.062235553,False,0
AGO3,0.047600366,False,0
AGO4,0.05050292,False,0
AGPAT1,0.036308065,False,0
AGPAT2,0.05808801,False,0
AGPAT3,0.030803524,False,0
AGPS,0.03741006,False,0
AGRN,0.04493083,False,0
AHCTF1,0.07297243,False,0
AHCYL2,0.052598264,False,0
AHDC1,0.09090381,False,1
AHI1,0.03670549,False,0
AHNAK,0.044518925,False,0
AHR,0.03657761,False,0
AHRR,0.069043994,False,0
AHSA1,0.036456462,False,0
AIF1,0.049194492,True,0
AIF1L,0.05629671,False,0
AIG1,0.08445294,False,0
AIRE,0.044870388,False,0
AJAP1,0.06731827,False,0
AK1,0.049090505,False,0
AK5,0.04764406,True,0
AK6,0.03813258,False,0
AK7,0.054672297,False,0
AKAP11,0.03784958,False,0
AKAP12,0.06033753,False,0
AKAP13,0.08669234,False,0
AKAP5,0.047727387,False,0
AKAP9,0.04127969,False,1
AKIRIN1,0.0374487,False,0
AKNA,0.048813604,False,0
AKNAD1,0.055330474,False,0
AKR1B1,0.03256135,False,0
AKT1,0.044709925,True,1
AKT2,0.045318272,True,0
AKT3,0.04780285,False,0
AKTIP,0.05044732,False,0
ALCAM,0.08634471,False,1
ALDH1A1,0.05809816,False,0
ALDH1A2,0.06356756,False,0
ALDH1A3,0.052929644,False,0
ALDOC,0.054609954,False,0
ALG1L9P,0.030085187,False,0
ALG8,0.03791484,False,0
ALK,0.06259303,False,0
ALKBH3,0.039692298,False,0
ALKBH5,0.036889162,False,0
ALMS1,0.05088735,False,0
ALOX12-AS1,0.050196875,False,0
ALOX5,0.059367638,False,0
ALPK1,0.06603543,False,0
ALS2,0.04439444,False,0
ALS2CL,0.048841827,False,1
AMER2,0.028268592,False,0
AMER3,0.03441182,False,0
AMFR,0.053711735,False,0
AMH,0.042803623,False,0
AMIGO1,0.048808776,False,0
AMMECR1,0.06636711,False,0
AMOT,0.054303687,False,0
AMOTL1,0.056108125,False,0
AMOTL2,0.049057767,False,0
AMPD2,0.041856587,False,0
AMPD3,0.041595306,False,0
AMPH,0.045650132,True,0
AMZ1,0.05946792,False,1
ANAPC10,0.04884927,True,0
ANAPC15,0.070819184,False,0
ANG,0.040953126,False,0
ANGPT2,0.042512577,True,0
ANK1,0.064028636,False,0
ANK2,0.028854491,False,0
ANK3,0.059416126,False,0
ANKFN1,0.046304952,False,0
ANKHD1,0.07017719,False,0
ANKMY2,0.039442196,False,0
ANKRD10,0.050578576,False,0
ANKRD11,0.102441065,False,0
ANKRD12,0.051229715,False,0
ANKRD13A,0.04447754,False,0
ANKRD13D,0.03449375,False,0
ANKRD16,0.05340628,False,0
ANKRD17,0.044761878,False,0
ANKRD18A,0.05075138,True,0
ANKRD18B,0.037932012,False,0
ANKRD22,0.042003665,True,1
ANKRD24,0.050963543,True,0
ANKRD26,0.041932315,True,0
ANKRD28,0.06332091,False,0
ANKRD29,0.054143332,True,0
ANKRD30A,0.062546864,True,0
ANKRD30B,0.08026271,False,0
ANKRD30BL,0.0498395,False,0
ANKRD33B,0.06480103,False,0
ANKRD34A,0.03210669,False,0
ANKRD34B,0.06713078,True,0
ANKRD34C-AS1,0.044307977,True,0
ANKRD36,0.041675467,False,0
ANKRD36C,0.03572138,False,0
ANKRD37,0.055436358,False,0
ANKRD40,0.044345975,False,0
ANKRD44,0.08769756,False,1
ANKRD52,0.04730915,False,0
ANKRD6,0.07799938,True,0
ANKRD62,0.0482842,True,0
ANKRD65,0.037803542,False,0
ANKRD7,0.07508373,False,0
ANKRD9,0.05386676,False,0
ANKS1A,0.06456745,False,0
ANKS1B,0.06343388,False,0
ANKS3,0.043831017,False,0
ANKS6,0.06358779,True,0
ANKUB1,0.042254355,False,0
ANLN,0.041213084,False,0
ANO1,0.045324665,False,0
ANO10,0.08736851,True,0
ANO2,0.05201237,False,0
ANO3,0.05243565,True,0
ANO4,0.046870172,True,0
ANO6,0.09030583,True,0
ANOS1,0.050567143,False,0
ANP32A,0.037960477,False,0
ANP32B,0.03701943,True,0
ANP32E,0.04682254,False,0
ANTXR1,0.037446905,False,0
ANTXR2,0.04336823,False,0
ANXA11,0.07223293,False,0
ANXA4,0.082792364,False,0
ANXA6,0.054366756,True,0
AOAH,0.049106993,False,0
AP1AR,0.05275404,False,0
AP1B1,0.046233915,True,0
AP1G1,0.050245777,False,0
AP1G2,0.045618225,True,0
AP1M1,0.039307114,False,0
