gene,score,validation,label
AADACL2-AS1,0.011976109,False,-1
ABCA1,0.12848863,False,0
ABCA8,0.01584244,False,-1
ABCB4,0.06474822,False,-1
ABCC12,0.0052571897,False,-1
ABCC3,0.09171238,False,-1
ABCF2,0.10104772,False,-1
ABHD14A,0.12508616,False,-1
ABHD17B,0.48880422,False,-1
ABL1,0.4397122,False,-1
ACAN,0.07312182,False,-1
ACMSD,0.21708968,False,-1
ACSM6,0.15256935,False,-1
ACTA2,0.1546691,False,-1
ACTB,0.04138876,False,-1
ACTG1,0.07589953,False,-1
ACTG2,0.030602766,False,-1
ACTR3C,0.02373829,False,-1
ACVR1,0.31197727,False,-1
ACVR1C,0.20735894,False,-1
ACY3,0.020668497,False,-1
ADAM28,0.033710808,False,0
ADAM29,0.47470966,False,-1
ADAM33,0.039314777,False,-1
ADAMTS1,0.12667939,False,-1
ADAMTS16,0.14988157,False,-1
ADAMTS17,0.037531104,False,-1
ADAMTS2,0.031650063,False,-1
ADAMTS20,0.27310297,False,-1
ADAMTS3,0.45043477,False,1
ADAMTS6,0.13935931,False,-1
ADAMTS7,0.16776887,False,-1
ADAMTS9,0.1425644,False,-1
ADAMTS9-AS1,0.30723974,False,-1
ADAMTSL1,0.014764729,False,-1
ADAMTSL3,0.18317154,False,-1
ADARB1,0.6489734,False,-1
ADARB2,0.04137517,False,-1
ADCYAP1,0.45301652,False,-1
ADD3-AS1,0.41238412,False,0
ADGRG3,0.088198565,False,-1
ADK,0.57857364,False,-1
ADNP,0.2641313,False,-1
ADNP2,0.11554017,False,-1
ADPGK-AS1,0.0013006105,False,0
ADRA1A,0.24776119,False,-1
ADRA1B,0.107098065,False,-1
ADRB2,0.020107929,False,-1
ADSL,0.037932187,False,-1
ADTRP,0.062010057,False,-1
AEBP2,0.5907475,False,-1
AFF1,0.38528788,False,-1
AFF3,0.43022698,False,-1
AFF4,0.44754887,False,-1
AGAP2,0.3800874,False,-1
AGAP3,2.4053703e-09,False,-1
AGBL1,0.19546235,False,-1
AGBL3,0.06657279,False,-1
AHCTF1,0.7248892,False,-1
AHDC1,0.56034446,False,-1
AHR,0.28257582,False,-1
AHRR,0.16189755,False,-1
AIF1,0.043042947,False,-1
AIG1,0.6341615,False,-1
AIRE,0.027672805,False,-1
AKAP12,0.10251483,False,-1
AKAP13,0.47146288,False,-1
AKAP5,0.06971593,False,0
ALCAM,0.37402222,False,-1
ALDH1A1,0.047512554,False,-1
ALDH1A2,0.10603374,False,-1
ALDOC,0.032071,False,-1
ALK,0.032026153,False,-1
ALOX5,0.034737874,False,-1
ALPK1,0.08776387,False,0
ANG,0.06347725,False,-1
ANKRD18A,0.20004734,False,-1
ANKRD22,0.085904755,False,-1
ANKRD30A,0.1251513,False,-1
ANKRD30B,0.3561801,False,-1
ANKRD33B,0.07175859,False,-1
ANKRD34B,0.13407747,False,-1
ANKRD44,0.3473989,False,-1
ANKRD6,0.2876128,False,-1
ANKRD7,0.3319356,False,-1
ANKS3,0.0498832,False,-1
ANKS6,0.15148267,False,-1
ANLN,0.0029117065,False,-1
ANO10,0.49892345,False,-1
ANO3,0.6443685,False,-1
ANO6,0.40482676,False,-1
ANOS1,0.09851414,False,-1
ANTXR2,0.27425808,False,-1
ANXA11,0.27986827,False,-1
ANXA4,0.28579855,False,-1
AP1S1,0.07364481,False,-1
AP2M1,0.084772654,False,-1
AP2S1,0.08123471,False,-1
APBB1IP,0.03084529,False,-1
APBB2,0.46850076,False,-1
APCDD1,0.038661428,False,-1
APEX2,0.05732017,False,-1
APLF,0.020536361,False,-1
APLP1,0.046659887,False,-1
APLP2,0.11263601,False,-1
APOC2,0.030971965,False,-1
APOE,0.29176477,False,1
APOL6,0.061810922,False,-1
APOLD1,0.06933815,False,-1
APP,0.52492607,False,-1
AQP4,0.060858406,False,-1
AQP4-AS1,0.43779147,False,-1
AQP9,0.045587033,False,-1
ARC,0.106903724,False,-1
AREG,0.031606134,False,-1
ARF3,0.19998531,False,-1
ARG1,0.17971314,False,-1
ARGFX,0.19776313,False,-1
ARHGAP12,0.33711603,False,-1
ARHGAP15,0.03340637,False,-1
ARHGAP24,0.041511133,False,0
ARHGAP25,0.054871485,False,-1
ARHGAP26,0.7842418,False,-1
ARHGAP26-AS1,0.10783718,False,-1
ARHGAP29,0.37853345,False,-1
ARHGAP31,0.041539375,False,-1
ARHGAP42,0.16198298,False,-1
ARHGAP6,0.04081739,False,-1
ARHGDIG,0.13656478,False,0
ARHGEF10,0.19297236,False,-1
ARHGEF11,0.4979991,False,-1
ARHGEF26,0.09650877,False,-1
ARHGEF28,0.5551834,True,0
ARHGEF3,0.37697867,False,-1
ARHGEF40,0.050665855,False,-1
ARHGEF6,0.28630722,False,-1
ARID3A,0.12650375,False,-1
ARID5A,0.012997971,False,-1
ARID5B,0.621369,False,-1
ARL4C,0.20389283,False,-1
ARL4D,0.11431386,False,-1
ARL5C,3.820351e-06,False,-1
ARL6,0.4397337,False,-1
ARL6IP4,0.16527538,False,-1
ARMC4,0.265199,False,-1
ARNT2,0.035310555,False,-1
ARNTL,0.66779065,False,-1
ARNTL2,0.6023275,False,-1
ARPC5L,0.18431398,False,-1
ARPP19,0.034085695,False,-1
ARRDC3,0.09307841,False,-1
ARSB,0.45259127,False,-1
ARSJ,0.1495921,False,-1
ART3,0.06198139,False,-1
ARX,0.07094501,False,-1
ASAP1,0.6916252,False,-1
ASAP2,0.33819744,False,-1
ASB18,0.044709414,False,-1
ASCL1,0.056722954,False,-1
ASCL2,0.04769089,False,-1
ASH2L,0.021194717,False,-1
ASIC2,0.13282964,False,-1
ASIC4,0.116829984,False,-1
ASPA,0.009904,False,-1
ATF2,0.53052294,False,-1
ATF3,0.0430039,False,-1
ATF5,0.058321886,False,-1
ATF7,0.17391984,False,-1
ATF7IP2,0.36148068,False,-1
ATOH7,0.10829702,False,-1
ATOH8,0.110011265,False,-1
ATP10A,0.07341831,False,0
ATP13A4,0.049748536,False,-1
ATP1A1,0.3735819,False,-1
ATP1A3,0.08716332,False,-1
ATP1B1,0.10140242,False,-1
ATP1B2,0.029462948,False,-1
