_BACKGROUND,5p,10p,15p
SP2,SP2,SP2,SP2
TNS1,TNS1,TNS1,TNS1
ADAMTS20,ADAMTS20,ADAMTS20,ADAMTS20
PKIB,PKIB,PKIB,PKIB
ADAMTS1,ADAMTS1,ADAMTS1,ADAMTS1
PER2,PER2,PER2,PER2
ARNT2,ARNT2,ARNT2,ARNT2
EP300,EP300,EP300,EP300
GPR149,GPR149,GPR149,GPR149
TBX19,TBX19,TBX19,TBX19
CLEC4D,CLEC4D,CLEC4D,CLEC4D
ZNF48,ZNF48,ZNF48,ZNF48
SMAD9,SMAD9,SMAD9,SMAD9
TAL2,TAL2,TAL2,TAL2
GPR63,GPR63,GPR63,GPR63
TRAF5,TRAF5,TRAF5,TRAF5
NTN4,NTN4,NTN4,NTN4
ARHGEF26,ARHGEF26,ARHGEF26,ARHGEF26
EEF1B2,EEF1B2,EEF1B2,EEF1B2
OR56B1,OR56B1,OR56B1,OR56B1
FBXL18,FBXL18,FBXL18,FBXL18
CNTNAP5,CNTNAP5,CNTNAP5,CNTNAP5
ATF7,ATF7,ATF7,ATF7
ZNF74,ZNF74,ZNF74,ZNF74
PDE6D,PDE6D,PDE6D,PDE6D
SMARCA5,SMARCA5,SMARCA5,SMARCA5
PRRX1,PRRX1,PRRX1,PRRX1
STON1-GTF2A1L,STON1-GTF2A1L,STON1-GTF2A1L,STON1-GTF2A1L
CHRM2,CHRM2,CHRM2,CHRM2
SH3RF3,SH3RF3,SH3RF3,SH3RF3
TENM1,TENM1,TENM1,TENM1
FOS,FOS,FOS,FOS
RUNX2,RUNX2,RUNX2,RUNX2
HLA-A,HLA-A,HLA-A,HLA-A
SAMD4A,SAMD4A,SAMD4A,SAMD4A
DUSP5,DUSP5,DUSP5,DUSP5
UPP2,UPP2,UPP2,UPP2
EDN1,EDN1,EDN1,EDN1
PCAT7,PCAT7,PCAT7,PCAT7
SLCO4C1,SLCO4C1,SLCO4C1,SLCO4C1
BATF3,BATF3,BATF3,BATF3
GLRA2,GLRA2,GLRA2,GLRA2
SESN2,SESN2,SESN2,SESN2
EPHA3,EPHA3,EPHA3,EPHA3
RELA,RELA,RELA,RELA
ZNF224,ZNF224,ZNF224,ZNF224
ZNF230,ZNF230,ZNF230,ZNF230
ARHGEF3,ARHGEF3,ARHGEF3,ARHGEF3
PLCL1,PLCL1,PLCL1,PLCL1
SLC2A3,SLC2A3,SLC2A3,SLC2A3
IGSF21,IGSF21,IGSF21,IGSF21
ZFP90,ZFP90,ZFP90,ZFP90
NELFA,NELFA,NELFA,NELFA
CALCB,CALCB,CALCB,CALCB
ZFPM2,ZFPM2,ZFPM2,ZFPM2
SSBP3,SSBP3,SSBP3,SSBP3
ACTR3C,ACTR3C,ACTR3C,ACTR3C
BHLHE40,BHLHE40,BHLHE40,BHLHE40
PALMD,PALMD,PALMD,PALMD
SH3BP4,SH3BP4,SH3BP4,SH3BP4
ARRDC3,ARRDC3,ARRDC3,ARRDC3
BDP1,BDP1,BDP1,BDP1
LINC01344,LINC01344,LINC01344,LINC01344
PRG3,PRG3,PRG3,PRG3
ILF3,ILF3,ILF3,ILF3
SPOCK3,SPOCK3,SPOCK3,SPOCK3
TDRD9,TDRD9,TDRD9,TDRD9
IFITM3,IFITM3,IFITM3,IFITM3
NFYA,NFYA,NFYA,NFYA
MKX,MKX,MKX,MKX
MBP,MBP,MBP,MBP
PDE8A,PDE8A,PDE8A,PDE8A
CDKN2B-AS1,CDKN2B-AS1,CDKN2B-AS1,CDKN2B-AS1
KCNG3,KCNG3,KCNG3,KCNG3
CCBE1,CCBE1,CCBE1,CCBE1
DPH6,DPH6,DPH6,DPH6
ZBTB46,ZBTB46,ZBTB46,ZBTB46
MXI1,MXI1,MXI1,MXI1
LIPC,LIPC,LIPC,LIPC
ITGA4,ITGA4,ITGA4,ITGA4
TSIX,TSIX,TSIX,TSIX
ABCA1,ABCA1,ABCA1,ABCA1
CHODL,CHODL,CHODL,CHODL
SLC22A9,SLC22A9,SLC22A9,SLC22A9
CELF5,CELF5,CELF5,CELF5
LINC01122,LINC01122,LINC01122,LINC01122
HS3ST1,HS3ST1,HS3ST1,HS3ST1
CLVS2,CLVS2,CLVS2,CLVS2
ZNF85,ZNF85,ZNF85,ZNF85
DPYD-AS1,DPYD-AS1,DPYD-AS1,DPYD-AS1
TBR1,TBR1,TBR1,TBR1
LPL,LPL,LPL,LPL
SPON2,SPON2,SPON2,SPON2
SNX24,SNX24,SNX24,SNX24
