_BACKGROUND,5p,10p,15p
RELN,RELN,RELN,RELN
LAMA1,LAMA1,LAMA1,LAMA1
RORA,RORA,RORA,RORA
UNC5D,UNC5D,UNC5D,UNC5D
CUX2,CUX2,CUX2,CUX2
RGS12,RGS12,RGS12,RGS12
ZBTB16,ZBTB16,ZBTB16,ZBTB16
RASGRF2,RASGRF2,RASGRF2,RASGRF2
TMEM132D,TMEM132D,TMEM132D,TMEM132D
BICC1,BICC1,BICC1,BICC1
FGFR1,FGFR1,FGFR1,FGFR1
HLF,HLF,HLF,HLF
NFAT5,NFAT5,NFAT5,NFAT5
CDH18,CDH18,CDH18,CDH18
NTNG1,NTNG1,NTNG1,NTNG1
MEIS2,MEIS2,MEIS2,MEIS2
NFIB,NFIB,NFIB,NFIB
DAB1,DAB1,DAB1,DAB1
POU6F1,POU6F1,POU6F1,POU6F1
CAPS2,CAPS2,CAPS2,CAPS2
CDH12,CDH12,CDH12,CDH12
KCNH7,KCNH7,KCNH7,KCNH7
ZEB1,ZEB1,ZEB1,ZEB1
KCNH5,KCNH5,KCNH5,KCNH5
NCALD,NCALD,NCALD,NCALD
RAB27B,RAB27B,RAB27B,RAB27B
CPLX1,CPLX1,CPLX1,CPLX1
SRRM3,SRRM3,SRRM3,SRRM3
KCTD8,KCTD8,KCTD8,KCTD8
OPRM1,OPRM1,OPRM1,OPRM1
KDM4B,KDM4B,KDM4B,KDM4B
PHACTR3,PHACTR3,PHACTR3,PHACTR3
APOE,APOE,APOE,APOE
ZMYND8,ZMYND8,ZMYND8,ZMYND8
DNMT3A,DNMT3A,DNMT3A,DNMT3A
PHF21A,PHF21A,PHF21A,PHF21A
CDH10,CDH10,CDH10,CDH10
DLGAP2,DLGAP2,DLGAP2,DLGAP2
COL5A2,COL5A2,COL5A2,COL5A2
ARHGEF28,ARHGEF28,ARHGEF28,ARHGEF28
RORB,RORB,RORB,RORB
LRRK1,LRRK1,LRRK1,LRRK1
PRKAG2,PRKAG2,PRKAG2,PRKAG2
NKAIN2,NKAIN2,NKAIN2,NKAIN2
ZNF827,ZNF827,ZNF827,ZNF827
L3MBTL4,L3MBTL4,L3MBTL4,L3MBTL4
IQSEC1,IQSEC1,IQSEC1,IQSEC1
DPP10,DPP10,DPP10,DPP10
PTPRT,PTPRT,PTPRT,PTPRT
COL26A1,COL26A1,COL26A1,COL26A1
CASP4,CASP4,CASP4,CASP4
EPHA6,EPHA6,EPHA6,EPHA6
MYRIP,MYRIP,MYRIP,MYRIP
GRM3,GRM3,GRM3,GRM3
TMEM150C,TMEM150C,TMEM150C,TMEM150C
HPSE,HPSE,HPSE,HPSE
KCNH1,KCNH1,KCNH1,KCNH1
LCORL,LCORL,LCORL,LCORL
LPP,LPP,LPP,LPP
ANTXR2,ANTXR2,ANTXR2,ANTXR2
POU6F2,POU6F2,POU6F2,POU6F2
KCNMA1,KCNMA1,KCNMA1,KCNMA1
EML6,EML6,EML6,EML6
CNTNAP2,CNTNAP2,CNTNAP2,CNTNAP2
SMURF1,SMURF1,SMURF1,SMURF1
SREBF2,SREBF2,SREBF2,SREBF2
PDE10A,PDE10A,PDE10A,PDE10A
IKZF3,IKZF3,IKZF3,IKZF3
GRB14,GRB14,GRB14,GRB14
SLC44A5,SLC44A5,SLC44A5,SLC44A5
KIAA0930,KIAA0930,KIAA0930,KIAA0930
KIAA0319,KIAA0319,KIAA0319,KIAA0319
CAMK2G,CAMK2G,CAMK2G,CAMK2G
NYAP2,NYAP2,NYAP2,NYAP2
GAD2,GAD2,GAD2,GAD2
ADAMTS7,ADAMTS7,ADAMTS7,ADAMTS7
BRINP2,BRINP2,BRINP2,BRINP2
MPPED2,MPPED2,MPPED2,MPPED2
RUFY3,RUFY3,RUFY3,RUFY3
AHCTF1,AHCTF1,AHCTF1,AHCTF1
NETO2,NETO2,NETO2,NETO2
KCNB2,KCNB2,KCNB2,KCNB2
SLC12A2,SLC12A2,SLC12A2,SLC12A2
NCOR2,NCOR2,NCOR2,NCOR2
INTS6,INTS6,INTS6,INTS6
PDS5A,PDS5A,PDS5A,PDS5A
ADARB1,ADARB1,ADARB1,ADARB1
SATB2,SATB2,SATB2,SATB2
CERS4,CERS4,CERS4,CERS4
NRXN3,NRXN3,NRXN3,NRXN3
ZNF385B,ZNF385B,ZNF385B,ZNF385B
ASAP1,ASAP1,ASAP1,ASAP1
SLC38A11,SLC38A11,SLC38A11,SLC38A11
CAST,CAST,CAST,CAST
ATXN1,ATXN1,ATXN1,ATXN1
SNED1,SNED1,SNED1,SNED1
ARID5B,ARID5B,ARID5B,ARID5B
KLF12,KLF12,KLF12,KLF12
CELF4,CELF4,CELF4,CELF4
EIF4G2,EIF4G2,EIF4G2,EIF4G2
CA10,CA10,CA10,CA10
ST3GAL6,ST3GAL6,ST3GAL6,ST3GAL6
SPATS2,SPATS2,SPATS2,SPATS2
KCNC2,KCNC2,KCNC2,KCNC2
FRMD5,FRMD5,FRMD5,FRMD5
ERC2,ERC2,ERC2,ERC2
PTPRG,PTPRG,PTPRG,PTPRG
MPP7,MPP7,MPP7,MPP7
RIMS1,RIMS1,RIMS1,RIMS1
ZNF521,ZNF521,ZNF521,ZNF521
RBFOX2,RBFOX2,RBFOX2,RBFOX2
NUAK1,NUAK1,NUAK1,NUAK1
KLHL5,,KLHL5,KLHL5
STK39,,STK39,STK39
MXD1,,MXD1,MXD1
TBL1XR1,,TBL1XR1,TBL1XR1
GPBP1L1,,GPBP1L1,GPBP1L1
AIG1,,AIG1,AIG1
PBX1,,PBX1,PBX1
GAREM1,,GAREM1,GAREM1
ROBO1,,ROBO1,ROBO1
NTM,,NTM,NTM
SIK3,,SIK3,SIK3
