gene,score,validation,label
AADACL2-AS1,0.028331812,False,0
ABCA1,0.014496016,False,0
ABCA12,0.012653417,False,0
ABCC12,1.8998102e-06,False,0
ABCC3,0.012089019,False,1
ABCC8,0.01898399,False,0
ABCC9,0.019245226,False,0
ABCF2,0.005753642,True,0
ABHD14A,0.0076137884,False,0
ABL1,0.037995413,False,0
ACBD7,0.056727465,False,0
ACMSD,0.016834982,True,0
ACO1,0.009407779,True,0
ACP7,0.013213454,False,0
ACSBG1,0.0015417675,False,0
ACSM6,0.025309155,True,0
ACTG1,0.0037400546,False,0
ACTR3C,0.029733732,False,0
ACVR1,0.019148748,True,0
ADAM23,0.01713155,False,0
ADAM28,0.0016101266,True,0
ADAM29,0.019884557,False,0
ADAM33,0.0014492922,False,0
ADAMTS16,0.013498505,True,0
ADAMTS17,0.0010294502,False,0
ADAMTS2,0.012932872,False,0
ADAMTS20,0.014095557,False,0
ADAMTS3,0.0007911051,False,0
ADAMTS9-AS1,0.014413563,False,0
ADAMTSL1,0.033557802,True,0
ADAMTSL3,0.021771643,False,0
ADARB1,0.006217824,False,0
ADARB2,0.01204641,True,0
ADCY7,0.010473662,True,1
ADCY8,0.025079394,False,0
ADCYAP1,0.033679772,False,0
ADGRA1,0.008560249,False,0
ADGRG6,0.007951472,True,0
ADGRL2,0.0065708696,False,0
ADGRL3,0.029693423,False,0
ADGRV1,0.051251072,False,1
ADNP,0.04107557,False,0
ADNP2,0.002050808,False,0
ADRA1A,0.028771574,False,0
ADRA1B,0.027302267,False,0
ADRB1,0.012207166,False,0
ADSL,0.001710944,False,0
ADTRP,0.008166033,False,0
AEBP1,0.050306406,True,0
AEBP2,0.007063829,True,0
AFF1,0.008327174,False,0
AFF3,0.021906028,False,0
AFF4,0.002964889,False,0
AGAP1,0.031134212,False,0
AGAP2,0.008880294,False,0
AGBL1,0.00939871,False,0
AGGF1,0.018078757,True,0
AGT,0.007289764,True,0
AHCTF1,0.039884247,True,0
AHCYL2,0.026046775,False,0
AHDC1,0.019803703,True,1
AHR,0.029685609,False,0
AK5,0.035071924,False,0
AKAP5,0.0011537925,True,0
AKR1B1,0.007943095,False,0
AKR1C3,0.008849572,False,0
ALDH1A2,0.011714875,False,0
ALDOC,0.008760866,False,0
ALOX15B,0.010363452,False,0
ALOX5,0.008231418,True,0
ALX4,0.024501035,False,0
AMIGO2,0.005120908,False,0
AMPH,0.023132762,True,0
ANG,0.009596985,True,0
ANGPT1,0.0022309124,False,0
ANGPTL4,0.0016752931,False,0
ANKH,0.025078995,True,0
ANKRD30A,0.04051606,False,0
ANKRD30B,0.01610462,False,0
ANKRD34B,0.021478714,False,0
ANKRD44,0.055922795,False,1
ANKRD7,0.021005107,False,0
ANO3,0.009050781,True,0
ANO6,0.0105184205,True,0
ANXA11,0.019214066,True,0
AOAH,0.0016691833,False,0
AP1S1,0.017620305,False,0
AP1S2,0.0022250146,True,0
AP2M1,0.011606148,False,0
AP2S1,0.021026177,False,0
APBB1IP,0.0051870127,False,0
APBB2,0.007363943,False,0
APELA,0.0031025761,False,0
APEX2,0.01532501,True,0
APLF,0.008818249,False,0
APLP2,0.001535788,False,0
APOC2,0.010436889,True,0
AQP3,0.02021315,False,0
AQP4,0.0495939,False,0
AQP4-AS1,0.015881697,False,0
AQP9,0.003981364,False,0
ARC,7.0534734e-05,False,0
ARF3,0.002808829,False,0
ARG1,0.008225371,False,0
ARHGAP15,0.022233538,True,0
ARHGAP20,0.014933218,False,0
ARHGAP24,0.0116756745,False,0
ARHGAP25,0.0040944736,False,0
ARHGAP26,0.010154712,False,0
ARHGAP26-AS1,0.017981822,False,0
ARHGAP31,0.0011513601,False,0
ARHGAP42,0.031976108,False,0
ARHGAP6,0.013946776,False,0
ARHGDIG,0.0050470256,True,0
ARHGEF10,0.03157905,False,0
ARHGEF28,0.038655188,True,0
ARHGEF3,0.009687973,False,0
ARHGEF3-AS1,0.0035726388,False,0
ARHGEF6,0.015638772,False,0
ARID3B,0.0062665073,False,0
ARID3C,0.0044231466,True,0
ARID5A,0.017847065,False,0
ARID5B,0.034183126,False,0
ARL4C,0.004346123,False,0
ARL4D,0.0073519726,False,0
ARL6,0.02574977,False,0
ARL6IP4,0.0055254353,False,0
ARMC3,0.0028448715,False,0
ARMC4,0.0012833496,False,0
ARNT2,0.018384948,False,1
ARNTL,0.0044062855,False,0
ARNTL2,0.014095544,False,0
ARPC5L,0.0055184993,False,0
ARPP19,0.005067602,False,0
ARSB,0.017173434,True,0
ARSG,0.01648679,False,0
ARSJ,0.0017934435,False,0
ART3,0.018823642,False,0
ART5,0.009998399,False,0
ASAP1,0.030341472,False,0
ASB18,0.018855713,False,0
ASB5,0.015122446,False,0
ASCL1,0.07132679,False,0
ASH2L,0.0040862863,False,0
ASIC2,0.015051944,False,0
ASXL3,0.027971035,False,0
ATF1,0.00186699,False,0
ATF2,0.017405635,False,0
ATF4,0.0072669107,False,0
ATF5,0.019949336,False,0
ATF6,0.011008985,False,0
ATF7,0.046202954,False,0
ATG10,0.039454687,False,0
ATOH7,0.018465452,False,0
ATOH8,0.0036811663,True,0
ATP12A,0.02044492,True,0
ATP1A1,0.002096598,True,0
ATP1A2,0.004608465,True,0
ATP1A3,0.009907011,True,0
ATP1B1,0.015607168,False,0
ATP1B3,0.022894671,False,0
ATP2C1,0.06467029,False,0
ATP6V0B,0.019665707,False,0
ATP6V0C,0.002712394,False,0
ATP6V0D1,0.020178892,False,0
ATP6V1B2,0.0013292314,False,0
ATP6V1E1,0.014899986,False,0
ATP6V1G1,0.0063216155,False,0
ATP8B1,0.031142047,False,0
ATP8B4,0.03975541,False,0
ATRNL1,0.015748259,False,0
ATXN7L3B,0.014188638,False,0
AVEN,0.021500986,False,1
AXDND1,0.012694122,True,0
AXL,0.001283652,False,0
B3GAT2,0.027263999,False,0
B3GLCT,0.02219961,False,0
B4GAT1,0.004066438,False,0
BACE2,0.012989825,False,0
BACH1,0.019662512,True,0
BACH2,0.020665888,False,0
BAIAP3,0.020342505,True,0
BARD1,0.014487103,False,0
BASP1,0.00026118208,False,0
BATF3,0.022080125,False,0
BAZ1A,0.035805438,False,0
BBOX1-AS1,0.01980998,False,0
BBX,0.050674975,False,0
BCAP29,0.011524021,False,0
BCAR3,0.012028837,False,0
BCAS1,0.018393144,True,0
BCL11A,0.022722049,False,0
BCL11B,0.05861003,True,0
BCLAF1,0.041991584,True,0
BDNF,0.0014409682,True,0
BDP1,0.039541133,True,0
BEND4,0.016699191,False,0
BEX1,0.00017423439,True,0
BEX2,0.004936151,False,0
BEX3,0.0036516143,False,0
BEX4,0.00364571,False,0
BHLHA15,0.0090342285,False,0
BHLHE22,0.016534084,True,0
BHLHE40-AS1,0.023454899,True,0
BHLHE41,0.021450866,False,0
BHMT,0.0064960634,True,0
BICC1,0.020776255,False,0
BLNK,0.00059067947,False,0
BMP8A,0.013799972,True,0
BMPER,0.016668485,True,0
BMPR1B,0.020952387,True,0
BMT2,0.0055834507,False,0
BNC2,0.00013005488,False,0
BOC,0.025718927,False,0
BPTF,0.050960436,False,0
BRCA1,0.010115848,False,0
BRF1,0.024624957,False,0
BRF2,0.026580624,False,0
BRINP2,0.0022065719,False,0
BRINP3,0.011136083,False,0
BRIP1,0.018905757,False,0
BRK1,0.0026772628,False,0
BSCL2,0.0029790462,False,0
BTBD11,0.0006967682,False,0
BTC,0.021633513,False,0
BUB1,0.0001525772,False,0
BZW2,0.015042686,False,0
C11orf87,0.00754718,False,0
