gene,score,validation,label
A1CF,0.043069176,False,0
A2M,0.07006409,False,0
AACS,0.040173054,False,0
AADACL2-AS1,0.03614146,False,0
AAGAB,0.041243926,False,0
AAK1,0.036582906,False,0
AARS,0.036458522,True,0
AASDHPPT,0.04007594,True,0
AATK,0.040626008,False,0
ABCA1,0.04563256,False,0
ABCA10,0.12603302,False,0
ABCA12,0.036894493,True,0
ABCA13,0.046046134,False,1
ABCA2,0.04123359,False,0
ABCA3,0.0411938,False,0
ABCA5,0.04004821,False,0
ABCA6,0.10327892,False,0
ABCA8,0.039947886,True,0
ABCB11,0.0506999,False,0
ABCB9,0.038233098,False,0
ABCC12,0.022920331,False,0
ABCC3,0.021534938,True,1
ABCC4,0.04344381,False,0
ABCC8,0.036920145,True,0
ABCC9,0.043514486,False,0
ABCD4,0.03981426,True,0
ABCE1,0.04297294,False,0
ABCF2,0.018067503,False,0
ABCF3,0.037511986,True,0
ABCG1,0.045004282,False,0
ABCG4,0.044438645,False,1
ABHD12,0.04342811,False,0
ABHD12B,0.047805704,False,0
ABHD13,0.044300195,False,0
ABHD14A,0.04166036,False,0
ABHD17A,0.041585498,False,0
ABHD17B,0.038612027,True,0
ABHD17C,0.03446829,False,0
ABHD2,0.098776095,False,0
ABHD3,0.03517705,False,0
ABHD5,0.07149811,False,0
ABHD6,0.06741821,False,0
ABHD8,0.03928664,False,0
ABI1,0.040881094,True,0
ABI2,0.04004757,False,0
ABI3BP,0.052891623,False,0
ABL1,0.030061375,True,0
ABL2,0.054742422,False,0
ABLIM1,0.04360068,True,0
ABLIM2,0.020708144,False,0
ABLIM3,0.04068931,True,0
ABR,0.03599588,False,0
ABTB1,0.047167085,False,0
ABTB2,0.03940983,False,0
ACAP2,0.036942236,False,0
ACAP3,0.032223783,False,0
ACER2,0.048729636,False,0
ACHE,0.027355293,False,0
ACIN1,0.03971181,False,0
ACMSD,0.031817637,True,0
ACOT8,0.041258857,False,0
ACSBG1,0.0140345385,False,0
ACSL3,0.038092986,False,0
ACSL4,0.043126408,False,1
ACSM6,0.038722295,False,0
ACSS2,0.041932706,False,0
ACTA2,0.043070205,False,0
ACTB,0.032403924,True,0
ACTG1,0.0259822,False,0
ACTN1,0.034188647,False,0
ACTN2,0.040131483,False,0
ACTN4,0.0357129,False,0
ACTR1A,0.04137891,False,0
ACTR1B,0.044685584,True,0
ACTR2,0.03138946,False,0
ACTR3B,0.041465987,False,0
ACTR6,0.04349552,False,0
ACVR1,0.040122762,False,0
ACVR1B,0.03390684,False,0
ACVR2A,0.03954174,False,0
ACY1,0.04207744,False,0
ACYP1,0.035856906,True,0
ACYP2,0.04249252,False,0
ADA,0.038587514,False,0
ADAD2,0.036900584,False,0
ADAM10,0.039210856,False,0
ADAM11,0.03435266,False,0
ADAM12,0.039587624,False,0
ADAM17,0.04060261,False,0
ADAM22,0.041113585,False,0
ADAM23,0.039090417,True,0
ADAM28,0.044171494,False,0
ADAM29,0.040884912,False,0
ADAM33,0.024476089,True,0
ADAM9,0.041210786,False,0
ADAMTS1,0.055722892,False,0
ADAMTS10,0.038214624,False,0
ADAMTS14,0.033367045,False,0
ADAMTS16,0.035334554,True,0
ADAMTS17,0.018718006,False,0
ADAMTS2,0.03969962,False,0
ADAMTS20,0.04184798,False,0
ADAMTS3,0.04732633,True,0
ADAMTS6,0.04006057,False,1
ADAMTS9,0.04224321,False,0
ADAMTS9-AS1,0.023596697,False,0
ADAMTS9-AS2,0.037372544,True,0
ADAMTSL1,0.04181008,True,0
ADAMTSL3,0.03629213,True,0
ADAMTSL4-AS1,0.052161176,False,0
ADAP2,0.031581093,False,0
ADAR,0.03897725,False,0
ADARB1,0.04339685,False,0
ADARB2,0.035490543,False,0
ADCY1,0.037916284,False,0
ADCY2,0.04900624,False,0
ADCY5,0.041903816,False,0
ADCY6,0.0415774,False,0
ADCY7,0.034631167,False,1
ADCY8,0.044019863,False,0
ADCY9,0.03460812,True,0
ADCYAP1,0.044675175,False,0
ADCYAP1R1,0.03393947,False,0
ADD1,0.046626158,False,0
ADD2,0.03740177,False,0
ADD3,0.03786848,False,0
ADD3-AS1,0.034603056,True,0
ADGRA1,0.0401385,False,0
ADGRA1-AS1,0.036036946,False,0
ADGRA2,0.039772164,True,0
ADGRA3,0.0593813,False,0
ADGRB1,0.050769314,True,0
ADGRB2,0.03033892,False,0
ADGRB3,0.044810843,False,0
ADGRE2,0.023574915,False,0
ADGRE5,0.03253009,False,0
ADGRF5,0.04389595,False,0
ADGRG1,0.028159276,False,0
ADGRL1,0.042685326,False,0
ADGRL2,0.049640488,True,0
ADGRL3,0.033221718,False,0
ADGRL4,0.041352157,False,0
ADGRV1,0.04340023,True,1
ADIPOR2,0.03658944,False,0
ADK,0.039405882,True,0
ADNP,0.042054404,False,0
ADNP2,0.0568005,False,0
ADORA1,0.041945115,False,0
ADPRHL1,0.040920008,True,0
ADRA1A,0.04658003,False,0
ADRA1B,0.054413095,False,0
ADRB1,0.04074667,False,0
ADSL,0.043709133,False,0
ADSS,0.07105085,False,0
ADTRP,0.03434567,True,0
AEBP1,0.028665746,True,0
AEBP2,0.025300708,False,0
AFAP1L1,0.04153422,False,0
AFAP1L2,0.03959062,False,0
AFF1,0.072824724,False,0
AFF2,0.02635758,False,0
AFF3,0.03757014,False,0
AFF4,0.0313511,False,0
AFTPH,0.035281077,False,0
AGAP1,0.045237705,False,0
AGAP2,0.046980128,False,0
AGAP3,0.043044746,False,0
AGBL1,0.044088233,False,0
AGBL3,0.04416317,False,0
AGBL4,0.03644227,False,0
AGFG1,0.041203063,False,0
AGFG2,0.040839907,False,0
AGL,0.069021255,False,0
AGMO,0.040263243,False,0
AGO1,0.039769404,False,0
AGO2,0.03846872,False,0
AGO3,0.039686773,False,0
AGO4,0.043129914,False,0
AGPAT3,0.044771157,False,0
AGPS,0.04408812,False,0
AGRN,0.034152843,True,0
AHCTF1,0.056949656,False,0
AHCYL2,0.043277994,False,0
AHDC1,0.03834405,False,1
AHI1,0.036044642,False,0
AHNAK,0.042465445,False,0
AHR,0.020878362,False,0
AHRR,0.047218576,False,0
AHSA1,0.042591643,False,0
AIF1,0.038097713,True,0
AIF1L,0.039648883,False,0
AIG1,0.039293185,False,0
AJAP1,0.036312506,False,0
AK5,0.031114865,True,0
AK6,0.031324394,False,0
AK7,0.039062835,True,0
AKAP11,0.044430654,False,0
AKAP12,0.038817067,False,0
AKAP13,0.042781465,True,0
AKAP5,0.013840791,False,0
AKAP7,0.03895263,False,0
AKAP9,0.038593978,False,1
AKIRIN1,0.07089217,False,0
AKIRIN2,0.04019239,False,0
AKNA,0.033757437,False,0
AKNAD1,0.037158363,True,0
AKR1B1,0.040334936,False,0
AKT2,0.043310683,True,0
AKT3,0.0869681,False,0
AKTIP,0.040216763,False,0
ALCAM,0.042425368,False,1
ALDH16A1,0.03185348,False,1
ALDH1A1,0.04276897,False,0
ALDH1A2,0.05041683,False,0
ALDH1A3,0.048168186,False,0
ALDOC,0.03832884,False,0
ALG1L9P,0.040467337,False,0
ALG8,0.040711522,True,0
ALK,0.052983686,False,0
ALKBH3,0.03670175,False,0
ALKBH5,0.07199851,False,0
ALMS1,0.042070553,False,0
ALOX12-AS1,0.069919385,False,0
ALOX5,0.031651877,False,0
ALPK1,0.03295796,False,0
ALS2,0.038478564,False,0
ALS2CL,0.037702326,False,1
AMBRA1,0.044438425,False,0
AMER3,0.035871007,False,0
AMFR,0.047486044,True,0
AMH,0.037816036,True,0
AMIGO1,0.039707094,False,0
AMMECR1,0.033157583,False,0
AMOT,0.04562328,False,0
AMOTL1,0.042984374,True,0
AMPD2,0.043050334,False,0
AMPD3,0.035326317,False,0
AMPH,0.042364426,False,0
AMZ1,0.055516418,False,1
ANAPC10,0.053956803,False,0
ANAPC15,0.038244873,True,0
ANGPT1,0.035381798,False,0
ANGPT2,0.044092853,False,0
ANGPTL4,0.041032635,True,0
ANK1,0.04086573,False,0
ANK2,0.036619514,False,0
ANK3,0.042245667,False,0
ANKEF1,0.029795425,False,0
ANKFN1,0.0435107,False,0
ANKHD1,0.027723365,False,0
ANKMY1,0.062313955,False,0
ANKMY2,0.04437846,False,0
ANKRD10,0.039569713,False,0
ANKRD11,0.020209476,False,0
ANKRD12,0.092636,False,0
ANKRD13A,0.04126096,False,0
ANKRD13D,0.03874896,True,0
ANKRD16,0.069361225,False,0
ANKRD17,0.035029914,True,0
ANKRD18B,0.044551842,False,0
ANKRD24,0.039057545,False,0
ANKRD26,0.03185052,False,0
ANKRD28,0.057962373,False,0
ANKRD29,0.041973718,False,0
ANKRD30A,0.070836134,False,0
ANKRD30B,0.04144413,False,0
ANKRD30BL,0.038846716,False,0
ANKRD33B,0.03207335,False,0
ANKRD34A,0.037146486,True,0
ANKRD34B,0.049100034,True,0
