gene,label,mean,std,score_0,score_1,score_2,score_3,score_4,validation_0,validation_1,validation_2,validation_3,validation_4
A1CF,0,0.046601117000000004,0.012181328465619543,0.06602345,0.050232925,0.03662877,0.037051264,0.043069176,False,True,False,False,False
A2M,0,0.0512899314,0.017551715200138842,0.07092186,0.03930578,0.038998187,0.03715974,0.07006409,True,False,False,False,False
AACS,0,0.044750892599999995,0.015500356130544592,0.07021732,0.047221705,0.035582457,0.030559927,0.040173054,True,False,False,False,False
AADACL2-AS1,0,0.0486498856,0.012936040289264594,0.06843866,0.04475942,0.054041088,0.0398688,0.03614146,False,False,True,False,False
AAGAB,0,0.04522908839999999,0.012704961665538025,0.06399959,0.049318984,0.042217452,0.02936549,0.041243926,False,False,False,True,False
AAK1,0,0.0462017564,0.014799439527076585,0.07186484,0.03834064,0.038256716,0.04596368,0.036582906,True,False,False,False,False
AARS,0,0.043926839399999994,0.014784238234486578,0.06796215,0.047723766,0.03683208,0.030657679,0.036458522,False,False,False,False,True
AASDHPPT,0,0.0457834156,0.014865651823007473,0.064005926,0.058944937,0.035812788,0.030077487,0.04007594,False,False,False,False,True
AATK,0,0.047163087799999996,0.012109555324669988,0.06331472,0.05594137,0.042253293,0.033680048,0.040626008,False,True,False,False,False
ABCA1,0,0.0525841114,0.015199715576489215,0.06381845,0.0402681,0.039783463,0.073417984,0.04563256,True,False,False,False,False
ABCA10,0,0.065903433,0.03710827869687123,0.0576676,0.07225483,0.043418333,0.030143382,0.12603302,False,False,True,False,False
ABCA12,0,0.046340934800000004,0.012886848872270665,0.06879478,0.04453606,0.039179675,0.042299666,0.036894493,False,False,False,False,True
ABCA13,1,0.060828341800000005,0.017471905331811588,0.08625086,0.05241675,0.047818325,0.07160964,0.046046134,False,False,False,True,False
ABCA2,0,0.054159394799999996,0.03008236747571482,0.052130967,0.1047382,0.047657143,0.025037074,0.04123359,False,False,True,False,False
ABCA3,0,0.051702900600000004,0.010737136938279766,0.06637777,0.052045614,0.057356592,0.041540727,0.0411938,False,False,True,False,False
ABCA5,0,0.0498211078,0.01165301157259145,0.06659091,0.057432406,0.04346655,0.041567463,0.04004821,False,False,True,False,False
ABCA6,0,0.058624817399999994,0.027927444693150876,0.06646337,0.046324525,0.045785587,0.031271685,0.10327892,False,False,True,False,False
ABCA8,0,0.0464794348,0.013525800589664082,0.06902328,0.048738956,0.035237826,0.039449226,0.039947886,False,False,False,False,True
