gene,score,validation,label
A4GALT,0.27171102,False,-1
AAMP,0.075773224,False,-1
ABCB11,0.0014825396,False,-1
ABCB4,7.686858e-07,False,-1
ABCF2,0.10081036,False,-1
ABL1,0.42129874,False,-1
ACAN,0.0023070418,False,-1
ACTB,6.465581e-05,False,-1
ACTG1,0.00014268878,False,-1
ACVR1,0.16616854,False,-1
ACVR1C,5.427377e-06,False,-1
ADAMTS1,0.03686555,False,-1
ADAMTS17,0.31466347,False,-1
ADAMTS2,0.0004138012,False,-1
ADAMTS3,0.07303154,False,1
ADAMTS9-AS1,0.011381716,False,-1
ADAMTSL1,2.995875e-06,False,-1
ADAMTSL3,0.026274553,False,-1
ADCY8,0.014838436,False,-1
ADCYAP1,7.086911e-07,False,-1
ADD3,0.24671727,False,-1
ADD3-AS1,0.1771045,False,0
ADGRF3,0.019867139,False,-1
ADGRG7,0.0005928278,False,-1
ADGRL2,0.28184727,False,-1
ADGRL3,0.48089793,False,-1
ADH1B,0.0074023134,False,-1
ADNP,0.16698049,False,-1
ADNP2,0.3255253,False,-1
ADRA1A,0.0032057804,False,-1
AEBP1,2.3220952e-08,False,0
AFF3,0.46259612,False,-1
AFF4,0.38032198,False,-1
AHCTF1,0.3019219,False,-1
AHDC1,0.1212449,False,-1
AHR,0.21496247,False,-1
AHRR,0.15118687,False,-1
AIRE,0.00024891333,False,-1
AK5,0.4382958,False,-1
AKAP13,0.35394776,False,-1
AKR1C3,0.49727532,False,-1
ALCAM,0.054497812,False,-1
ALDH1A1,0.14452112,False,-1
ALDH1A2,0.075977586,False,-1
ALDOC,0.010138103,False,-1
ALK,0.00036788278,False,-1
ALX1,0.08847611,False,-1
AMOTL1,0.52291155,False,-1
AMZ1,0.11624156,False,-1
ANHX,0.0009757008,False,-1
ANKRD22,0.18843432,False,-1
ANKRD30B,0.13361882,False,-1
ANKRD30BL,0.23250376,False,-1
ANKRD34B,1.7901035e-06,False,-1
ANKRD6,0.05697102,False,-1
ANKRD62,0.0004832501,False,-1
ANO6,0.24258596,False,-1
ANXA1,0.3817184,False,-1
ANXA3,0.03388852,False,-1
ANXA4,0.22824837,False,-1
AP1S1,5.0870276e-05,False,-1
AP2M1,3.83974e-05,False,-1
APBB1IP,0.10000081,False,-1
APCDD1,0.017983109,False,-1
APEX2,0.031123066,False,-1
APOE,0.22064102,False,1
APOL6,1.4929893e-10,False,-1
AQP4,0.16972725,False,-1
ARC,0.0033735118,False,-1
AREG,0.11722394,False,-1
ARHGAP10,0.20988153,False,-1
ARHGAP20,0.41828278,False,-1
ARHGAP24,0.0014642648,False,0
ARHGAP26,0.49870843,False,-1
ARHGAP31,0.23269373,False,-1
ARHGAP6,0.01081399,False,-1
ARHGDIA,0.0010503734,False,-1
ARHGDIG,8.546027e-05,False,0
ARHGEF19,0.029468864,False,-1
ARHGEF26,0.00770117,False,-1
ARHGEF26-AS1,0.00081655604,False,-1
ARHGEF28,0.21417996,False,0
ARHGEF40,2.0717697e-07,False,-1
ARID3A,0.3044378,False,-1
ARID3C,0.0063312915,False,-1
ARID5B,0.5384795,False,-1
ARL4C,0.24231996,False,-1
ARL6IP1,0.028153092,False,-1
ARMC4,0.054071356,False,-1
ARNTL,0.25103676,False,-1
ARNTL2,0.42552853,False,-1
ARSJ,0.1557571,False,-1
ART3,0.03520898,False,-1
ARX,0.13550629,False,-1
ASAP1,0.29972848,False,-1
ASCL1,1.6409065e-06,False,-1
ASTN2,0.09572967,False,-1
ASXL3,0.45564428,False,-1
ATF2,0.306062,False,-1
ATF3,0.0019337825,False,-1
ATF4,0.0024641813,False,0
ATG10,0.4173902,False,-1
ATOH7,0.047840346,False,-1
ATP10A,0.034995295,False,0
ATP11C,0.21035095,False,-1
ATP1A2,2.012884e-06,False,-1
ATP1A3,0.0001538746,False,-1
ATP1B1,0.0003534563,False,-1
