Drug ID,Species,BBB,Genes,Num Genes,Mean Mean,Mean STD,Drug Relevance Score
DB00273,Humans,False,"['CA2', 'CA4', 'CACNA1C', 'CACNA1D', 'CACNB2', 'GABRA1', 'GRIK1', 'GRIK2', 'GRIK3', 'GRIK4', 'SCN1A', 'SCN9A']",12,0.020124993536999983,0.00995404911067075,1.0
DB09089,Humans,False,"['CACNA1C', 'CACNA1D', 'CACNB2', 'CHRM2', 'CHRM3', 'KCNMB4', 'KCNN2', 'KCNN3', 'OPRM1']",9,0.02283238903777777,0.009148546089079121,0.9825309458833493
DB00252,Humans,True,"['CACNA1C', 'CACNA1D', 'CACNB2', 'SCN1A']",4,0.031352439999999974,0.0109641258432336,0.8994457384779825
DB00228,Humans,True,"['CACNA1C', 'CACNA1D', 'CACNA1E', 'CACNA1G', 'CACNA1H', 'CACNA2D3', 'CACNB2', 'CACNG3', 'CACNG4', 'GABRA1', 'GABRA3', 'GABRA5', 'GABRA6', 'GABRG3', 'GLRA1']",15,0.01601167910693064,0.00889317683370552,0.8895208550299786
DB11148,Humans,True,"['CACNA1C', 'CACNA1D', 'CACNA1E', 'CACNA1G', 'CACNA1H', 'CACNA2D3', 'CACNB2', 'CACNG3', 'CACNG4']",9,0.019493044190666633,0.010226254493711978,0.8388311496932029
DB00393,Humans,False,"['CACNA1C', 'CACNA1D', 'CACNB2']",3,0.03367841126666663,0.011815476696305399,0.8367309834099714
DB01115,Humans,False,"['CACNA1C', 'CACNA1D', 'CACNB2']",3,0.03367841126666663,0.011815476696305399,0.8367309834099714
DB00653,Humans,False,"['CACNA1C', 'CACNA1D', 'CACNB2']",3,0.03367841126666663,0.011815476696305399,0.8367309834099714
DB00825,Humans,False,"['CACNA1C', 'CACNA1D', 'CACNB2']",3,0.03367841126666663,0.011815476696305399,0.8367309834099714
DB01023,Humans,False,"['CACNA1C', 'CACNA1D', 'CACNB2']",3,0.03367841126666663,0.011815476696305399,0.8367309834099714
DB01054,Humans,False,"['CACNA1C', 'CACNA1D', 'CACNB2']",3,0.03367841126666663,0.011815476696305399,0.8367309834099714
DB00622,Humans,False,"['CACNA1C', 'CACNA1D', 'CACNB2']",3,0.03367841126666663,0.011815476696305399,0.8367309834099714
DB09232,Humans,False,"['CACNA1C', 'CACNA1D', 'CACNB2']",3,0.03367841126666663,0.011815476696305399,0.8367309834099714
DB00401,Humans,False,"['CACNA1C', 'CACNA1D', 'CACNB2']",3,0.03367841126666663,0.011815476696305399,0.8367309834099714
DB09236,Humans,False,"['CACNA1C', 'CACNA1D', 'CACNB2']",3,0.03367841126666663,0.011815476696305399,0.8367309834099714
DB00270,Humans,False,"['CACNA1C', 'CACNA1D', 'CACNA1H', 'CACNB2']",4,0.029157967324999975,0.011383715015518624,0.836490220638378
DB09231,Humans,False,"['CACNA1C', 'CACNA1D', 'CACNA1G', 'CACNA1H', 'CACNB2']",5,0.025104377771999958,0.009835878323302499,0.8052080186518602
DB01388,Humans,False,"['CACNA1C', 'CACNA1D', 'CACNA1G', 'CACNA1H', 'CACNB2']",5,0.025104377771999958,0.009835878323302499,0.8052080186518602
DB09238,Humans,False,"['CACNA1C', 'CACNA1D', 'CACNA1G', 'CACNA1H', 'CACNB2']",5,0.025104377771999958,0.009835878323302499,0.8052080186518602
DB04855,Humans,False,"['ADRA1A', 'ADRA1B', 'CACNA1C', 'CACNA1D', 'CACNB2', 'KCNK2']",6,0.022698299760489968,0.008905161830613984,0.7975218303816668
DB09229,Humans,False,"['CACNA1C', 'CACNA1D']",2,0.036735765799999945,0.01452928387657085,0.7452083678515536
DB00568,Humans,False,"['CACNA1C', 'CACNA1D', 'CACNA1G', 'CACNA1H', 'HRH1']",5,0.02206945129199994,0.009811021573913021,0.7078645529061965
DB06480,Humans,False,['HTR4'],1,0.048268038,0.0231751163011122,0.69236207905658
DB01079,Humans,False,['HTR4'],1,0.048268038,0.0231751163011122,0.69236207905658
DB06712,Humans,False,"['CACNA1C', 'CACNB2']",2,0.03313278699999995,0.01124310711821395,0.6721196519236078
DB01956,Humans,False,"['GABRA1', 'GABRA3', 'GABRA5', 'GABRA6', 'GABRG3', 'GLRA3', 'GRIN2B']",7,0.017321048912571413,0.010275473487766572,0.6573502546469506
DB01239,Humans,False,"['DRD2', 'HRH1', 'HTR1E', 'HTR2A', 'HTR2A', 'HTR4']",6,0.018581706786143317,0.010537875180422117,0.6528822406996253
DB00604,Humans,False,"['HTR2A', 'HTR4']",2,0.0314750168,0.01510903485854655,0.6384907293161224
DB01233,Humans,False,"['DRD2', 'HTR4']",2,0.03104135514843,0.019544374007651598,0.629693626968353
DB10772,Humans,True,"['EGFR', 'TGFBR2', 'VEGFA']",3,0.02512188756666663,0.0217493611578165,0.6241464753884222
DB00675,Humans,False,"['ESR2', 'PRKCA', 'PRKCQ']",3,0.025115688066666666,0.008434864265959633,0.6239924504942386
DB11986,Humans,False,"['NTRK3', 'ROS1']",2,0.030404283929999998,0.02372091094046785,0.6167702322179589
DB00242,Humans,False,['RRM2'],1,0.0426739616,0.0209965225523779,0.612120028059907
DB08885,Humans,True,['VEGFA'],1,0.041794549,0.0457906157316405,0.5995056363979846
DB14864,Humans,True,['VEGFA'],1,0.041794549,0.0457906157316405,0.5995056363979846
DB06779,Humans,True,['VEGFA'],1,0.041794549,0.0457906157316405,0.5995056363979846
DB15303,Humans,True,['VEGFA'],1,0.041794549,0.0457906157316405,0.5995056363979846
DB04895,Humans,True,['VEGFA'],1,0.041794549,0.0457906157316405,0.5995056363979846
DB01270,Humans,True,['VEGFA'],1,0.041794549,0.0457906157316405,0.5995056363979846
DB00112,Humans,True,['VEGFA'],1,0.041794549,0.0457906157316405,0.5995056363979846
DB12278,Humans,False,"['ADRA1A', 'CACNA1C', 'CHRM2', 'CHRM3', 'CHRM5']",5,0.01857576304439998,0.007279073235784579,0.5958065757204452
