gene,label,mean,std,score_0,score_1,score_2,score_3,score_4,validation_0,validation_1,validation_2,validation_3,validation_4
A2M,0,0.052764177599999997,0.00905761625164374,0.03997353,0.060454294,0.061554994,0.05418519,0.04765288,False,False,False,True,False
A4GALT,0,0.0621999848,0.007194520546499305,0.059370942,0.060715765,0.05703519,0.07485249,0.059025537,False,False,False,True,False
AACS,0,0.0473081854,0.010304964030096796,0.05442308,0.035016492,0.056426045,0.053466626,0.037208684,False,False,False,True,False
AADACL2-AS1,0,0.0725270076,0.05464384720206934,0.045718204,0.06339552,0.16887973,0.046384417,0.038257167,False,False,False,True,False
AAGAB,0,0.0491643296,0.016155647828038567,0.027896756,0.040004723,0.070708826,0.055054013,0.05215733,False,False,True,False,False
AAMP,0,0.0512907074,0.004025170038467046,0.05097361,0.047909576,0.055691227,0.055042256,0.046836868,True,False,False,False,False
AARS,0,0.04161384,0.011719744890771277,0.04087324,0.039301105,0.04863369,0.024036232,0.055224933,False,False,False,False,True
AASDHPPT,0,0.05492898020000001,0.006439578205981833,0.0566178,0.065441184,0.05218843,0.050554577,0.04984291,False,True,False,False,False
AATK,0,0.0486838848,0.0035423915804678745,0.051313173,0.051519547,0.04794897,0.049747664,0.04289007,False,True,False,False,False
ABCA1,0,0.0556481868,0.01334836505087124,0.054974813,0.04404586,0.04679179,0.054468397,0.077960074,False,False,False,False,True
ABCA10,0,0.0855536898,0.08511009874496446,0.0672622,0.044944383,0.23598416,0.04909085,0.030486856,False,True,False,False,False
ABCA2,0,0.08447053119999999,0.08509571717100455,0.03265298,0.039122008,0.23538914,0.056479994,0.058708534,True,False,False,False,False
ABCA3,0,0.05171457459999999,0.006057857849388703,0.04317251,0.056764707,0.058290023,0.049767043,0.05057859,True,False,False,False,False
ABCA5,0,0.050838768,0.009043330442998864,0.04826856,0.06384043,0.04612424,0.05549395,0.04046666,False,False,False,True,False
ABCA6,0,0.0654407952,0.028397968265593005,0.115104966,0.046201102,0.05603487,0.04861798,0.061245058,False,True,False,False,False
ABCB11,0,0.052065680999999996,0.007330582198980278,0.054675654,0.062958755,0.047361545,0.043882087,0.051450364,False,True,False,False,False
ABCB4,0,0.0355808802,0.013594132576415337,0.04323036,0.046689052,0.044003867,0.014343487,0.029637635,False,False,False,True,False
ABCB9,0,0.050386163399999996,0.010274406407258586,0.040318307,0.065584436,0.042781617,0.05543208,0.047814377,False,True,False,False,False
ABCC12,0,0.006610186999999999,0.002129286397481884,0.0056711854,0.007055823,0.009809822,0.004000964,0.0065131406,True,False,False,False,False
ABCC3,1,0.0352544428,0.007321889457467705,0.030569347,0.041444182,0.024682298,0.04059356,0.038982827,False,False,False,False,True
ABCC4,0,0.0686874666,0.02039424402504032,0.06572952,0.07065084,0.060091943,0.04581278,0.10115225,False,False,True,False,False
ABCC5,0,0.053281031,0.005439534875107705,0.052290667,0.056566596,0.04416004,0.056481536,0.056906316,False,False,False,True,False
ABCC8,0,0.0495085122,0.007980416431729125,0.05324677,0.035437893,0.05193791,0.0517776,0.055142388,False,False,False,False,True
ABCC9,0,0.052899003199999996,0.004989531635265648,0.046551358,0.049734097,0.059195697,0.053014744,0.05599912,False,False,False,False,True
ABCD4,0,0.049962106199999995,0.00572367273818199,0.050919864,0.045309063,0.05039145,0.058769897,0.044420257,False,False,False,True,False
ABCE1,0,0.048364812599999994,0.009713452224912149,0.045520037,0.04060331,0.060147136,0.056984294,0.038569286,False,False,False,True,False
ABCF2,0,0.0711604156,0.017709775344988788,0.0677349,0.065526776,0.058820706,0.102229536,0.06149016,False,True,False,False,False
ABCF3,0,0.0675157094,0.027734416292852206,0.05733959,0.058813628,0.072901994,0.111527495,0.03699584,False,False,True,False,False
ABCG1,0,0.039502884,0.013014494672865886,0.037192307,0.04066011,0.050804093,0.01875057,0.05010734,True,False,False,False,False
ABCG4,1,0.0487910274,0.008377825024827791,0.048302576,0.035689075,0.051918626,0.04931419,0.05873067,False,False,False,False,True
ABHD12,0,0.046975481199999995,0.010768234504467235,0.050862715,0.029731287,0.058618244,0.045156434,0.050508726,False,False,False,False,True
ABHD12B,0,0.058418476399999995,0.008616593878377482,0.05819252,0.067616545,0.06581951,0.046803202,0.053660605,False,False,True,False,False
ABHD13,0,0.05678313420000001,0.005885028761253312,0.053222824,0.062055577,0.053242203,0.051222607,0.06417246,False,False,False,False,True
ABHD14A,0,0.0754098468,0.005984842391198884,0.07662779,0.0775318,0.07096406,0.083608404,0.06831718,False,False,False,False,True
ABHD16A,0,0.05784328439999999,0.003970150996459054,0.059713632,0.058942474,0.06172566,0.05756334,0.051271316,False,False,True,False,False
ABHD17A,0,0.05504263660000001,0.009430337654417356,0.05680325,0.0694493,0.048476547,0.055527326,0.04495676,False,True,False,False,False
ABHD17B,0,0.04904082480000001,0.005291121983484904,0.053174432,0.053951956,0.042672906,0.044052422,0.051352408,False,True,False,False,False
ABHD17C,0,0.0502608246,0.005492834993581666,0.047271635,0.05526628,0.043965258,0.048047043,0.056753907,False,False,False,False,True
ABHD2,0,0.0510264402,0.0037237610475903513,0.049917903,0.047828186,0.048023254,0.056715008,0.05264785,False,True,False,False,False
ABHD5,0,0.049210104399999996,0.014512222875786424,0.02799865,0.068559416,0.046473306,0.05163527,0.05138388,True,False,False,False,False
ABHD6,0,0.0560210136,0.016867078284434706,0.061482396,0.03016989,0.060426902,0.05191475,0.07611113,False,False,False,False,True
ABHD8,0,0.057441835,0.013952467805584394,0.069362946,0.06161831,0.06913965,0.050472286,0.036615983,False,True,False,False,False
