gene,score,validation,label
A1CF,0.2670563,False,-1
ABL1,0.09162061,False,-1
ABLIM3,0.0020071971,False,-1
ABRA,0.66416603,False,-1
ACER1,0.28389472,False,-1
ACER2,0.16199534,False,-1
ACTA2,0.47270605,False,-1
ACTB,0.0010948683,False,-1
ACTG1,0.018414067,False,-1
ACTN2,0.007888218,False,-1
ACTR3C,0.9999964,False,-1
ACVR1,0.14006461,False,-1
ADAM32,0.959797,False,-1
ADAMTS19,7.669446e-12,False,-1
ADAMTS3,0.98650485,False,1
ADAMTSL1,0.0012835211,False,-1
ADAMTSL3,0.9979406,False,-1
ADARB1,0.18619312,False,-1
ADCY2,0.6077188,False,-1
ADD3,0.9651026,False,-1
ADD3-AS1,2.9379392e-09,False,0
ADGRB2,0.009540448,False,-1
ADGRF2,0.9999968,False,-1
ADGRF5,0.08571465,False,-1
ADGRG7,9.901522e-11,False,-1
ADGRL2,0.37694678,False,-1
ADGRL3,0.04234126,False,-1
ADNP,0.6151995,False,-1
ADNP2,0.034984186,False,-1
ADRA1D,1.6479338e-06,False,-1
AFF1,0.0008651942,False,-1
AFF3,0.51396215,False,-1
AFF4,0.3851106,False,-1
AGBL3,0.20731513,False,-1
AGBL4,0.059267357,False,-1
AGGF1,0.026334142,False,-1
AHCTF1,0.11317637,False,-1
AHDC1,0.0277926,False,-1
AHNAK,6.8837565e-08,False,-1
AHR,0.10106408,False,-1
AHRR,0.6371675,False,-1
AKAP12,5.984491e-26,False,-1
AKAP13,0.67506796,False,-1
AKR1C3,9.47646e-13,False,-1
ALCAM,3.2496037e-06,False,-1
ALDH1A2,0.005894577,False,-1
ALX1,0.012254008,False,-1
AMIGO2,0.46367365,False,-1
ANAPC10,0.85779965,False,-1
ANKMY2,0.083428554,False,-1
ANKRD30B,0.9320012,False,-1
ANKRD30BL,0.26182306,False,-1
ANKRD33B,0.85367334,False,-1
ANKRD44,0.689725,False,-1
ANKRD62,2.1670349e-14,False,-1
ANKS1A,0.00040148164,False,-1
ANO10,0.3444997,False,-1
ANO6,2.5534826e-11,False,-1
ANXA4,0.37002936,False,-1
AP1S1,0.010340501,False,-1
AP1S2,1.5385127e-16,False,0
AP2A2,0.0014734251,False,-1
APBA1,0.78225017,False,-1
APBA2,0.0058913874,False,-1
APBB2,0.54238164,False,-1
APEX2,4.120918e-09,False,-1
APLF,0.22982787,False,-1
APOL1,0.98534507,False,-1
ARAP2,0.45501333,False,-1
ARC,0.0062719434,False,-1
ARFGAP1,5.4681288e-05,False,-1
ARHGAP11B,0.0030481087,False,-1
ARHGAP20,0.5161942,False,-1
ARHGAP22,1.2700031e-05,False,0
ARHGAP26,0.35237268,False,-1
ARHGAP6,0.8300817,False,-1
ARHGAP8,5.743631e-06,False,-1
ARHGEF10,1.0906033e-11,False,-1
ARHGEF16,2.946784e-09,False,-1
ARHGEF28,4.6223911e-07,False,0
ARHGEF6,7.485765e-05,False,-1
ARID5B,0.24913189,False,-1
ARL5C,0.9999981,False,-1
ARMC3,0.18806535,False,-1
ARNT,0.6871156,False,-1
ARNT2,0.0817914,False,-1
ARNTL,0.52337146,False,-1
ARNTL2,0.1525867,False,-1
ARRB1,0.010641099,False,-1
ARSB,0.041985743,False,-1
ARSJ,0.0008849701,False,-1
ASAP2,0.01684411,False,-1
ASB5,0.00041973192,False,-1
ASB7,0.54602444,False,-1
ASCC1,0.09502146,False,-1
ASH2L,0.0804266,False,-1
ASPSCR1,0.010743612,False,-1
ASXL2,0.12544014,False,-1
ASXL3,0.25870654,False,-1
ATF2,0.34272215,False,-1
ATF3,2.0083142e-16,False,-1
ATF7,3.0511728e-19,False,-1
ATG10,0.2933031,False,-1
ATG5,0.2838073,False,-1
ATP11B,0.8669434,False,-1
ATP1A1-AS1,2.6518095e-12,False,-1
ATP1A2,3.2495045e-06,False,-1
ATP1B3,1.6249347e-08,False,-1
ATP6V0C,0.08537592,False,-1
ATP8B1,0.40252647,False,-1
ATRNL1,0.0013158444,False,-1
AUTS2,0.22957332,False,-1
AVEN,0.32734007,False,-1
B3GALNT2,0.6583836,False,-1
B3GNT2,4.1732903e-05,False,-1
B4GALT6,0.35395223,False,-1
BAALC,0.37064275,False,-1
BACH1,0.8129202,False,-1
BACH2,0.38201174,False,-1
BAZ1A,0.36956024,False,-1
BBX,0.31883782,False,-1
BCAR3,0.11123429,False,-1
BCL11A,0.27907127,False,-1
BCL11B,0.13305147,False,-1
BCL6,0.00028345472,False,-1
BCLAF1,0.4893649,False,-1
BEGAIN,0.009436415,False,-1
BEND4,1.4993058e-12,False,-1
BEND6,0.44005704,False,-1
BEND7,0.96839505,False,-1
BEX1,0.027941912,False,0
BEX2,0.10477275,False,0
BEX3,0.1224239,False,-1
BICC1,0.91565454,False,-1
BICDL1,3.0728792e-05,False,-1
BLCAP,0.013356542,False,-1
BMP2K,5.7136407e-05,False,-1
BMPER,0.3783813,False,-1
BOC,0.060994335,False,-1
BPTF,1.3878792e-17,False,-1
BRF1,0.11085348,False,-1
BRINP1,0.2104924,False,-1
BRINP3,3.641162e-08,False,-1
BSN,0.029833257,False,-1
BSX,0.002961378,False,-1
BVES-AS1,0.0013805578,False,-1
C11orf40,5.590075e-07,False,-1
C12orf75,0.114075534,False,-1
C14orf39,2.581819e-05,False,-1
C16orf95,0.018858893,False,-1
C2-AS1,0.9999976,False,-1
C2orf73,1.8156117e-05,False,-1
C2orf88,0.83240163,False,-1
C3orf52,0.9999999,False,-1
C3orf67,0.5963211,False,-1
C3orf70,0.5976639,False,-1
C5orf47,9.346226e-10,False,-1
C6,6.920737e-12,False,-1
C7orf50,9.949507e-16,False,-1
C8orf87,0.115791984,False,-1
CA10,0.2004853,False,-1
CA3,0.69347304,False,-1
CABP7,6.3481184e-07,False,-1
CACHD1,0.99884677,False,-1
CACNA1C,0.4064937,False,-1
CACNA1D,0.21400768,False,-1
CACNA2D4,0.00024141224,False,-1
CADM1,0.079439975,False,-1
CADM2,0.43562886,False,-1
CADPS2,0.0004507375,False,-1
CALM1,0.11297029,False,-1
CALN1,0.0002946631,False,-1
CAMK2D,0.053598292,False,-1
CAMK2N1,0.042430386,False,-1
CAMK2N2,6.395082e-16,False,-1
CAPN3,2.0524121e-06,False,-1
CAPN9,0.0030943647,False,-1
CAPS2,1.1713311e-10,False,-1
CARF,5.912167e-06,False,-1
CARMIL3,1.326617e-09,False,-1
CASC15,0.01062432,False,-1
CASC2,0.004210563,False,-1
CAST,0.52096206,False,-1
CAV2,4.732974e-06,False,-1
CBFA2T2,0.0032175253,False,0
CBFA2T3,0.6002652,False,-1
CBLN1,0.004413085,False,-1
CBLN2,0.2060446,False,-1
CBX6,0.002544466,False,-1
CBX7,0.05747644,False,-1
CCDC158,0.99999917,False,-1
CCDC170,0.25018293,False,-1
CCDC178,0.12908813,False,-1
CCDC3,0.22693896,False,-1
CCDC6,0.00021657792,False,-1
CCK,4.7365983e-18,False,-1
CCNJL,0.003667622,False,-1
CCNT2,0.81139445,False,-1
CCNYL1,0.0009016418,False,-1
CCSER1,0.45789114,False,-1
CD109,5.75605e-07,False,-1
CD163L1,0.9886974,False,-1
CD36,1.9216309e-06,False,-1
CD40,4.1769477e-11,False,-1
CD55,3.9190363e-05,False,-1
CD59,1.5471352e-08,False,-1
CDC14A,4.316214e-09,False,0
CDC14B,0.0002524244,False,-1
CDH10,0.001103386,False,-1
CDH11,0.6274095,False,-1
CDH2,0.5271983,False,-1
CDH20,0.00020801516,False,-1
CDH6,2.580153e-05,False,-1
CDH7,0.79229283,False,-1
CDH8,0.0011725533,False,-1
CDK14,0.016227288,False,-1
CDK19,0.0007416037,False,-1
CDK6,0.004845293,False,0
CDK8,0.53420997,False,-1
CDKN1A,0.005335939,False,-1
CDON,0.5480359,False,-1
CDR2,0.7647334,False,-1
CDYL,0.004302271,False,-1
CDYL2,0.67669326,False,-1
CEBPA,1.8415172e-08,False,-1
CEBPB,0.043997616,False,-1
CEBPD,7.100599e-05,False,-1
CEBPG,0.4171178,False,-1
CELA2B,1.80279e-07,False,-1
CELF4,0.014214318,False,-1
CEMIP,0.8845265,False,-1
CEP85L,0.5145104,False,-1
CERS5,0.036695186,False,-1
CHAMP1,0.005260046,False,-1
CHD1,0.13205022,False,-1
CHD2,0.06812676,False,-1
CHGA,0.10231811,False,-1
CHGB,4.1938525e-05,True,0
CHL1,0.005576161,True,1
CHRM2,2.992312e-07,False,-1
CHRM5,9.732654e-10,False,-1
CHSY1,0.001814645,False,-1
CHSY3,0.85384464,False,-1
CIC,0.00037574812,False,-1
CKB,0.024284843,False,-1
CLEC4D,2.4402786e-16,False,-1
CLIC2,2.441357e-05,False,-1
CLMP,4.3999422e-05,False,-1
CLOCK,0.29842803,False,-1
CLSTN2,0.00025717262,False,-1
CLVS2,0.25719774,False,-1
CMTM8,0.7411365,False,-1
CNKSR3,0.01822407,False,-1
CNOT4,0.12751856,False,-1
CNP,0.12430916,False,-1
CNR1,0.28441373,False,1
CNTN4,0.0054673683,False,-1
CNTN5,0.1088519,False,-1
CNTN6,6.0441666e-06,False,-1
CNTNAP2,0.5172667,False,1
CNTNAP3B,0.9836797,False,-1
COL12A1,0.108721904,False,-1
COL19A1,0.0049435063,False,-1
COL21A1,0.0017185549,False,-1
COL24A1,0.29344192,False,-1
COL27A1,3.4611378e-09,False,-1
COL4A5,5.6076044e-07,False,-1
COL6A1,1.2739409e-07,False,-1
COL8A1,4.9625175e-08,False,0
COLEC11,6.203325e-21,False,-1
COMMD10,0.46975487,False,-1
CORO2B,0.00094278215,False,-1
COX10-AS1,0.00016841106,False,-1
CPEB1,0.060603872,False,-1
CPEB2,0.39565977,False,-1
CPEB4,5.09011e-09,False,-1
CPLX1,0.008585691,True,1
CPNE5,0.26481298,False,-1
CPNE6,4.201014e-05,False,-1
CPNE8,3.1757576e-05,False,-1
CRADD,0.26779062,False,-1
CRB1,0.00029995161,False,0
CREB1,0.14047842,False,0
CREB3,0.0014436047,False,-1
CREBL2,0.8717848,False,-1
CREM,0.087993845,False,-1
CRHR2,0.0030163245,False,-1
CRIM1,0.90831363,False,-1
CRISPLD1,0.26771018,False,-1
CRLF1,0.2642284,False,-1
CRYAB,0.99999464,False,-1
CRYBG3,3.5107444e-06,False,-1
CRYM,0.5073918,False,-1
CSGALNACT1,3.5218773e-06,False,-1
CSMD2,0.88738036,False,-1
CSMD3,0.97578806,False,-1
CSRNP1,0.005879502,False,-1
CST3,2.1966e-08,False,-1
CSTF2,0.6821143,False,-1
CTBP1,0.054430623,False,-1
CTBP2,0.06939893,False,-1
CTCF,0.045745272,False,-1
CTCFL,0.12949643,False,-1
CTNNA2,0.3337803,False,-1
CTNNA3,0.0037083065,False,-1
CTNNB1,0.20167743,False,-1
CTNNBIP1,0.002847332,False,-1
CTNND2,0.005024944,False,-1
CTXN1,0.029065084,False,-1
CTXN3,0.6301716,False,-1
CUX1,0.37137738,False,-1
CXCL17,0.4098673,False,-1
CXXC1,1.5207277e-16,False,-1
CXXC5,0.09511855,False,-1
DACH1,0.30380216,False,-1
DAND5,2.675465e-07,False,-1
DBP,0.997877,False,-1
DCBLD1,1.6605722e-11,False,-1
DCHS2,0.75588,False,-1
DCLK1,0.33985546,False,-1
DENND1B,0.2769097,False,-1
DGCR8,2.1251614e-10,False,-1
DGKD,2.513179e-12,False,-1
DGKH,0.12322393,False,-1
DGKI,0.5965909,False,-1
DHDH,0.9999634,False,-1
DHX36,0.105114415,False,-1
DIAPH2,0.15449694,False,-1
DIDO1,0.00065433414,False,-1
DISP1,0.08884098,False,-1
DKK2,0.0008346261,False,-1
DLEU2,0.007647991,False,-1
DLX3,2.6025289e-08,False,-1
DLX4,1.3293346e-13,False,-1
DMRT1,2.008761e-21,False,-1
DMRTA2,0.6384771,False,-1
DNAH14,1.7322902e-11,False,0
DNAJA4,6.9193237e-07,False,-1
DNAJB1,3.0462356e-08,False,0
DNAJC21,0.12254969,False,-1
DNMT1,0.016826823,False,-1
DNMT3A,2.468423e-08,False,-1
DNTTIP1,0.17001961,False,-1
DOC2B,0.015549554,False,-1
DOK6,0.32483318,False,0
DPF2,0.0017047882,False,-1
DPF3,1.99194e-09,False,-1
DPH6,0.051761147,False,-1
DPP6,0.72567934,False,-1
DPY19L1,0.6246936,False,-1
DPY19L3,0.5615598,False,-1
DPYD,0.88171977,False,1
DPYSL3,0.88354105,False,-1
DR1,2.7191475e-06,False,-1
DRAIC,0.0733298,False,-1
DRGX,0.81034076,False,-1
DSCAM,0.06082026,False,-1
DSCAS,7.806129e-05,False,-1
DTD1,0.00051576784,False,-1
DTNA,0.43854874,False,-1
DUS3L,0.017267875,False,-1
DUSP1,2.0932745e-11,False,-1
DUSP2,2.3943826e-06,False,-1
DUSP22,0.7179926,False,-1
DUSP26,0.78913385,False,-1
DUSP5,3.1100876e-23,False,-1
DUSP6,3.08902e-14,False,-1
DYRK3,0.028419243,False,-1
DYSF,0.009778524,False,-1
E2F3,0.11701482,False,0
E2F4,0.42869583,False,-1
EDIL3,0.007048517,False,-1
EFCAB2,0.43236968,False,-1
EFNA3,0.038972557,False,-1
EFNA5,0.4711464,False,-1
EFNB2,0.4994074,False,-1
EFR3B,0.43067166,False,-1
EGFLAM,1.5562158e-06,False,-1
EGR1,0.02160007,False,-1
EGR2,1.7713545e-12,False,-1
EGR3,2.6366139e-05,False,-1
EGR4,9.391847e-14,False,-1
EID1,0.11125279,False,0
EIF1,0.10802887,False,0
ELANE,0.9201057,False,-1
ELAVL2,0.0186912,False,-1
ELAVL4,0.48790824,False,-1
ELF2,0.38682637,False,0
ELF4,9.746795e-05,False,-1
ELK1,0.98934364,False,-1
ELK3,0.1043809,True,0
ELK4,0.29375556,False,-1
ELL2,1.2379209e-13,False,-1
ELMO1,0.19239421,False,-1
ELOVL6,0.39877093,False,-1
ELOVL7,0.18381786,False,-1
EMILIN1,1.12051475e-05,False,-1
EML6,0.31840825,False,-1
EMX1,5.8343543e-05,False,-1
EMX2,1.14982595e-05,False,-1
ENC1,0.017168723,False,-1
ENOX1,0.6714546,False,-1
ENPP1,0.082314394,False,-1
ENTPD1-AS1,0.00031280005,False,-1
EP300,9.843752e-18,False,-1
EPB41,0.23511115,False,-1
EPB41L2,0.00011478639,False,-1
EPHA3,0.0058299834,False,-1
EPHA4,0.23075505,False,-1
EPHA5-AS1,0.13839783,False,-1
EPHA6,0.109078,False,-1
EPHB2,0.028483722,False,-1
EPHB6,0.035254404,False,-1
EPS8L2,3.3480994e-08,False,-1
ERBB4,0.83865976,False,-1
ERBIN,0.6855213,False,-1
ERC2,0.13263988,False,-1
ERG,0.00010982273,False,-1
ESPNL,1.665687e-17,False,-1
ESR2,0.054284383,False,-1
ESRP1,3.267995e-05,False,-1
ESRRA,0.0048995437,False,-1
ESRRG,0.56072336,False,-1
ESYT2,0.045119084,False,-1
ETS1,6.324718e-06,False,-1
ETV1,4.102814e-06,False,-1
ETV2,0.0018300478,False,-1
ETV3,2.7173786e-16,False,-1
ETV4,9.827346e-07,False,-1
ETV5,0.027390292,False,-1
ETV6,0.6253802,False,-1
EVA1A,0.9374882,False,-1
EXPH5,0.9467861,False,-1
EXTL3,0.009309494,False,-1
EZH2,0.88991946,False,-1
FAM110A,1.8554363e-08,False,-1
FAM126A,6.179768e-09,False,-1
FAM135B,5.283016e-08,False,-1
FAM153A,0.033300657,False,-1
FAM153B,0.66053396,False,-1
FAM163A,0.41114658,False,-1
FAM184A,0.00251154,False,-1
FAM53B,0.67996913,False,-1
FAM66D,0.26537427,False,-1
FAM66E,0.29102433,False,-1
FAM78B,0.68678236,False,-1
FANCB,0.0008696528,False,-1
FANCC,0.83717203,False,-1
FANK1,0.5668411,False,-1
FAR2,0.7177452,False,-1
FAT1,3.9578006e-07,False,-1
FAT4,0.0154416375,False,0
FBLN7,0.9446641,False,-1
FBN1,0.9623889,False,-1
FBXL14,0.60962665,False,-1
FBXO32,2.5888798e-07,False,-1
FER1L6-AS2,1.1210588e-05,False,-1
FEZF2,1.2834947e-14,False,-1
FGD4,1.4456739e-16,False,-1
FGD6,3.0722248e-08,False,-1
FGF13,0.38889822,False,-1
FGF5,0.99268144,False,-1
FGFR1,0.16591884,True,1
FGGY,0.47444344,False,-1
FHL2,0.6375535,False,-1
