gene,score,validation,label
A1CF,0.023087688,True,0
ABL1,0.027199207,False,0
ABLIM3,0.019714842,False,0
ABRA,0.0064586382,False,0
ACER1,0.01069943,False,0
ACER2,0.015256729,False,0
ACTA2,0.0036910502,False,0
ACTB,0.015613764,False,0
ACTG1,0.014243868,False,0
ACTN2,0.013023077,True,0
ACTR3C,7.159078e-06,False,0
ACVR1,0.02541341,False,0
ADAM32,0.02843535,True,0
ADAMTS19,0.02443243,False,0
ADAMTS3,0.031760514,False,0
ADAMTSL1,0.005121933,False,0
ADAMTSL3,0.0368724,False,0
ADARB1,0.03078874,True,0
ADCY2,0.02532478,False,0
ADD3,0.0011368467,True,0
ADD3-AS1,0.0004239219,True,0
ADGRB2,0.028234381,False,0
ADGRF2,4.4757776e-06,True,0
ADGRF5,0.01651931,True,0
ADGRG7,0.018467342,True,0
ADGRL2,0.02409204,False,0
ADGRL3,0.014763434,False,0
ADNP,0.024746984,False,0
ADNP2,0.02327324,False,0
ADRA1D,0.000775796,False,0
AFF1,6.5689266e-05,True,0
AFF3,0.028033663,True,0
AFF4,0.02082122,False,0
AGBL3,0.009417228,False,0
AGBL4,0.015630115,False,0
AGGF1,0.015750682,False,0
AHCTF1,0.025685774,False,0
AHDC1,0.04875817,False,1
AHNAK,8.383728e-05,False,0
AHR,0.020702414,False,0
AHRR,0.05976179,False,0
AKAP12,1.2183866e-05,False,0
AKAP13,0.026316183,False,0
AKR1C3,0.0007014911,False,0
ALCAM,0.001237279,True,1
ALDH1A2,0.03591203,False,0
ALX1,0.0175608,False,0
AMIGO2,0.008143937,False,0
ANAPC10,0.015366798,False,0
ANKMY2,0.021306623,False,0
ANKRD30B,0.0064332914,False,0
ANKRD30BL,0.018839968,False,0
ANKRD33B,0.030232405,False,0
ANKRD44,0.19865467,False,1
ANKRD62,3.7393387e-05,True,0
ANKS1A,0.00070848485,False,0
ANO10,0.020357102,True,0
ANO6,0.007313817,False,0
ANXA4,0.02421456,False,0
AP1S1,0.0288059,True,0
AP1S2,0.00013217248,False,0
AP2A2,0.14863582,False,1
APBA1,0.012012953,True,0
APBA2,0.003905237,False,0
APBB2,0.02510269,False,0
APEX2,1.6956751e-06,False,0
APLF,0.007865104,False,0
APOL1,0.00011750691,True,0
ARAP2,0.02027347,False,0
ARC,0.026563123,False,0
ARFGAP1,0.0058392826,False,0
ARHGAP11B,0.0028709224,False,0
ARHGAP20,0.024483185,False,0
ARHGAP22,0.0017909944,False,0
ARHGAP26,0.01629948,False,0
ARHGAP6,0.019269321,False,0
ARHGAP8,0.0022065297,False,0
ARHGEF10,0.013211241,False,0
ARHGEF16,0.0023681824,True,0
ARHGEF28,0.018652841,False,0
ARHGEF6,0.014383938,False,0
ARID5B,0.016132707,False,0
ARL5C,4.557939e-06,True,0
ARMC3,0.0262751,False,0
ARNT,0.017777657,False,0
ARNT2,0.032972153,False,1
ARNTL,0.025835045,False,0
ARNTL2,0.009082003,False,0
ARRB1,0.025152562,False,0
ARSB,0.019503871,False,0
ARSJ,0.0017159927,False,0
ASAP2,0.010367619,True,0
ASB5,0.0008466508,False,0
ASB7,0.025392573,False,0
ASCC1,0.026982673,True,0
ASH2L,0.023133017,True,0
ASPSCR1,0.005251747,False,0
ASXL2,0.0072945515,False,0
ASXL3,0.023016619,False,0
ATF2,0.01711251,False,0
ATF3,0.000354297,False,0
ATF7,0.063886106,False,0
ATG10,0.027739208,True,0
ATG5,0.01864355,False,0
ATP11B,0.016184906,False,0
ATP1A1-AS1,0.025067357,False,0
ATP1A2,0.0011461956,False,0
ATP1B3,0.005794818,False,0
ATP6V0C,0.008870918,False,0
ATP8B1,0.02306609,False,0
ATRNL1,5.928527e-05,False,0
AUTS2,0.018800631,False,1
AVEN,0.021753768,False,1
B3GALNT2,0.0055609704,False,0
B3GNT2,0.00766462,False,0
B4GALT6,0.027704878,False,0
BAALC,0.009167219,False,0
BACH1,0.01501245,False,0
BACH2,0.023499083,True,0
BAZ1A,0.02120239,False,0
BBX,0.013053714,False,0
