gene,score,validation,label
AADACL2-AS1,0.455815,False,-1
ABCC12,0.024894353,False,-1
ABCC3,0.20271395,False,-1
ABCC4,0.11434957,False,-1
ABCF2,0.069964424,False,-1
ABHD12B,0.31936952,False,-1
ABHD14A,0.11593197,False,-1
ABHD17C,0.29961777,False,-1
ABL1,0.04528405,False,-1
ACAT2,0.11592623,False,-1
ACMSD,0.024011884,False,-1
ACSM6,0.43922657,False,-1
ACTB,0.15732132,False,-1
ACTG1,0.06726292,False,-1
ACTN2,0.24337415,False,-1
ACTR3C,0.5258049,False,-1
ACVR1,0.15196705,False,-1
ADAM29,0.20447226,False,-1
ADAMTS1,0.0097396495,False,-1
ADAMTS16,0.045280814,False,-1
ADAMTS17,0.12083861,False,-1
ADAMTS2,0.04008382,False,-1
ADAMTS3,0.37386948,False,1
ADAMTS6,0.36932766,False,-1
ADAMTS9-AS1,0.26859838,False,-1
ADAMTSL1,0.32573962,False,-1
ADARB1,0.26041144,False,-1
ADCYAP1,0.2474837,False,-1
ADD3-AS1,0.025099566,False,0
ADGRL2,0.4469091,False,-1
ADGRL3,0.31730184,False,-1
ADGRV1,0.0101907225,False,-1
ADK,0.06288834,False,-1
ADNP,0.5758535,False,-1
ADPRHL1,0.07142711,False,-1
ADRA1A,0.09797914,False,-1
ADRA1B,0.20586184,False,-1
ADRA2A,0.05826808,False,-1
ADSL,0.21290979,False,-1
ADTRP,0.11859054,False,-1
AEBP2,0.24828142,False,-1
AFF4,0.37165633,False,-1
AGAP2,0.104300074,False,-1
AGBL1,0.1823162,False,-1
AHCTF1,0.32483843,False,-1
AHDC1,0.2316448,False,-1
AHR,0.13823067,False,-1
AKAP5,0.021874268,True,0
AKAP7,0.03226984,False,-1
ALCAM,0.0383189,False,-1
ALDH1A2,0.24809389,False,-1
ALDH8A1,0.08202946,False,-1
ALX4,0.041727357,False,-1
AMMECR1,0.22805811,False,-1
AMOT,0.017252201,False,-1
ANGPT4,0.14364249,False,-1
ANKRD30A,0.15884937,False,-1
ANKRD30B,0.16140203,False,-1
ANKRD31,0.04001588,False,-1
ANKRD44,0.038388636,False,-1
ANKRD46,0.0029299394,False,-1
ANKRD6,0.1969138,False,-1
ANKRD7,0.2045161,False,-1
ANKS1B,0.43913314,False,-1
ANO3,0.58227015,False,-1
ANO5,0.14571457,False,-1
ANO6,0.030055905,False,-1
ANOS1,0.026384452,False,-1
ANXA11,0.22048369,False,-1
ANXA4,0.312245,False,-1
AP1S1,0.04621016,False,-1
AP2M1,0.095478,False,-1
AP2S1,0.12400553,False,-1
APBB2,0.10584389,False,-1
APLP2,0.05397868,False,-1
APOLD1,0.011724522,False,-1
AQP4-AS1,0.074764945,False,-1
AQP9,0.23409297,False,-1
ARC,0.06356238,False,-1
ARF3,0.10317262,False,-1
ARG1,0.18399931,False,-1
ARHGAP12,0.059622206,False,-1
ARHGAP15,0.5037903,False,-1
ARHGAP20,0.1922516,False,-1
ARHGAP22,0.031386342,False,0
ARHGAP24,0.00010749563,False,0
ARHGAP26,0.07473873,False,-1
ARHGAP26-AS1,0.24233136,False,-1
ARHGAP29,0.033277996,False,-1
ARHGAP6,0.014189806,False,-1
ARHGDIG,0.027472993,False,0
ARHGEF10,0.24655442,False,-1
ARHGEF11,0.0077943015,False,-1
ARHGEF28,0.10036916,False,0
ARHGEF3,0.12899972,False,-1
ARHGEF6,0.018411167,False,-1
ARID3A,0.1120012,False,-1
ARID3B,0.15227167,False,-1
ARID5A,0.34079757,False,-1
ARID5B,0.31363404,False,-1
ARL4D,0.060252372,False,-1
ARL6,0.44296026,False,-1
ARL6IP4,0.1190196,False,-1
ARL6IP5,0.067648485,False,-1
ARMC3,0.20675728,False,-1
ARMC4,0.6266897,False,-1
ARMC9,0.079446025,False,-1
ARNT2,0.036437355,False,-1
ARNTL,0.4400097,False,-1
ARNTL2,0.2679814,False,-1
ARPC5L,0.17131183,False,-1
ARPP19,0.123944975,False,-1
ARRDC3-AS1,0.080250554,False,-1
ARSB,0.061770823,False,-1
ARSG,0.07574567,False,-1
ARSJ,0.20515,False,-1
ART3,0.008101376,False,-1
ASAP2,0.85808814,False,-1
ASB18,0.25215545,False,-1
ASB2,0.6904361,False,-1
ASCL1,0.46529043,False,-1
ASH2L,0.033573065,False,-1
ASIC2,0.23068196,False,-1
ASPH,0.62002957,False,-1
ASXL3,0.37429562,False,-1
ATF2,0.01895836,False,-1
ATOH7,0.3831993,False,-1
ATOH8,0.012594427,False,-1
ATP13A4,0.0315861,False,-1
ATP1A1,0.039665475,False,-1
ATP1B1,0.16177765,False,-1
ATP1B3,0.17796317,False,-1
ATP2A3,0.004086542,False,-1
ATP2C1,0.4468917,False,-1
ATP6V0B,0.13027707,False,-1
ATP6V0C,0.04385552,False,-1
ATP6V0D1,0.06661806,False,0
ATP6V0E2,0.06105279,False,0
ATP6V1B2,0.046718143,False,-1
ATP6V1E1,0.15488718,False,-1
ATP6V1G1,0.007164573,False,0
ATP8A2,0.6969065,False,-1
ATP8B1,0.21759076,False,-1
ATP8B4,0.011776556,False,-1
ATRNL1,0.44588974,False,-1
ATXN1,0.5246964,False,-1
ATXN8OS,0.06478665,False,-1
AXDND1,0.07884656,False,-1
AXL,0.008084812,False,-1
B3GALT5,0.18190463,False,-1
B3GLCT,0.23137808,False,-1
B3GNT2,0.23090851,False,-1
B4GAT1,0.07483211,False,-1
BAALC,0.34763557,False,-1
BACE2,0.18541276,False,-1
BACH1,0.29458562,False,-1
BACH2,0.37830094,False,-1
BAIAP3,0.0034737873,False,-1
BASP1,0.08085813,False,-1
BATF3,0.033991527,False,-1
BAZ1A,0.1407537,False,-1
BBOX1-AS1,0.0013098764,False,0
BBX,0.077123635,False,-1
BCAP29,0.18961589,False,-1
BCAR3,0.072963476,False,-1
BCL11A,0.43175232,False,-1
BCL11B,0.029647935,False,-1
BCL6B,0.048143458,False,-1
BCLAF1,0.060890615,False,-1
BDNF,0.4155394,False,1
BDP1,0.52102005,False,-1
BEND6,0.298404,False,-1
BEND7,0.009805349,False,-1
BEX1,0.022662114,False,0
BEX2,0.12578918,False,0
BEX3,0.13228016,False,-1
BEX4,0.067801155,False,0
BHLHA15,0.18401481,False,-1
BHLHE22,0.2690998,False,-1
BHLHE40,0.014129731,False,0
BHLHE40-AS1,0.29818916,False,-1
BHLHE41,0.049861066,False,-1
BICC1,0.53256315,False,-1
BLNK,3.1833257e-05,False,-1
BMP8A,0.15473923,False,-1
BMPER,0.28323975,False,-1
BMPR1A,0.12399112,False,-1
BMPR1B,0.15319788,False,-1
BNC2,0.0056586554,False,-1
BOC,0.0011632905,False,-1
BPTF,0.059149325,False,-1
BRCA1,0.09380724,False,-1
BRF1,0.16299398,False,-1
BRF2,0.11153846,False,-1
BRINP2,0.036020268,False,-1
BRINP3,0.21689668,False,-1
BRIP1,0.19177309,False,-1
BRK1,0.081805505,False,-1
BSCL2,0.04657223,False,-1
BSX,0.0026840498,False,-1
BTBD10,0.2722875,False,-1
BTBD16,0.29263508,False,-1
BTC,0.2682526,False,-1
BTG1,0.7296285,False,1
BTG3,0.10728119,False,-1
C10orf90,0.21205841,False,-1
C11orf87,0.2833389,False,-1
C12orf40,0.106964946,False,-1
C12orf42,0.15757036,False,-1
C14orf132,0.27387255,False,-1
C15orf41,0.19403136,False,-1
C1GALT1,0.3866587,False,-1
C1QL3,0.2425795,False,-1
C1QTNF4,0.07492029,False,-1
C1orf105,0.12961069,False,-1
C1orf115,0.06971721,False,-1
C1orf216,0.09236933,False,-1
C2orf27A,0.21177842,False,-1
C2orf83,0.0034593376,False,-1
C2orf88,0.14216809,False,-1
C3,1.0688153e-06,False,-1
C3orf67,0.47570178,False,-1
C3orf67-AS1,0.08965769,False,-1
C3orf80,0.026297072,False,-1
C4orf45,0.28846902,False,-1
C4orf48,0.14991292,False,-1
C6orf99,0.5129758,False,-1
C9orf135,0.007112422,False,-1
C9orf16,0.10310215,False,-1
CA10,0.14543027,False,-1
CA3,0.27029222,False,-1
CA4,0.17078444,False,-1
CAB39L,0.065773934,False,-1
CABCOCO1,0.40892726,False,-1
CABLES1,0.10973675,False,-1
CACHD1,0.23866028,False,-1
CACNA1D,0.3139396,False,-1
CACNA1E,0.010746736,False,-1
CACNA1G,0.0065309242,False,-1
CACNA1I,0.07196382,False,-1
CACNA2D3,0.5698294,False,-1
CACNA2D3-AS1,0.028004326,False,-1
CACNB2,0.52160746,False,-1
CACNG3,0.03704021,False,-1
CACYBP,0.06722389,False,0
CADM1,0.11256225,False,-1
CADM2,0.6408817,False,-1
CADPS,0.06209462,False,-1
CADPS2,0.60088617,False,-1
CALB1,0.07994725,False,-1
CALM1,0.013968905,False,-1
CALM3,0.04985969,False,-1
CALN1,0.23206672,False,-1
CALY,0.05581672,False,-1
CAMK1D,0.053158544,False,-1
CAMK2D,0.19467127,False,-1
CAMK2N1,0.0190429,False,-1
CAMK2N2,0.06837107,False,-1
CAMKV,0.054651026,False,-1
CAPNS1,0.1719803,False,-1
CAPSL,0.2775853,False,-1
CARF,0.10932265,False,-1
CARNMT1,0.31324753,False,-1
CARTPT,0.014586457,False,-1
CASC15,0.095219485,False,-1
CASC2,0.1408943,False,-1
CAST,0.19354314,False,-1
CATSPERB,0.15809232,False,-1
CAV3,0.009927763,False,-1
CBFA2T2,0.014391862,False,0
CBLN1,0.110679835,False,-1
CBLN2,0.035109278,False,-1
CBLN4,0.26108977,False,-1
CCBE1,0.12644915,False,-1
CCDC113,0.24045056,False,-1
CCDC144NL,0.03280311,False,-1
CCDC146,0.08326651,False,-1
CCDC148,0.3152221,False,-1
CCDC150,0.06451475,False,-1
CCDC158,0.16406168,False,-1
CCDC171,0.016204027,False,-1
CCDC175,0.34847894,False,-1
CCDC178,0.22652498,False,-1
CCDC184,0.12436343,False,-1
CCDC192,0.38970274,False,-1
CCDC196,0.6345543,False,-1
CCDC25,0.21961206,False,-1
CCDC3,0.19923708,False,-1
CCDC39,0.26914197,False,-1
CCDC65,0.008756196,False,-1
CCDC68,0.046544757,False,-1
CCDC7,0.043314844,False,-1
CCDC85A,0.32661492,False,-1
CCK,0.067983136,False,-1
CCND2-AS1,0.3981419,False,-1
CCNG2,0.1895369,False,-1
CCNT2-AS1,0.13679509,False,-1
CCSER1,0.26035008,False,-1
CD226,0.007314603,False,-1
CD63,0.1025144,False,-1
CD74,0.001919506,False,-1
CD81,0.07562008,False,-1
CDC14A,0.4141061,False,0
CDC14B,0.44370463,False,-1
CDC42EP3,0.040966608,False,-1
CDC42EP5,0.00020529368,False,-1
CDH10,0.01577497,False,-1
CDH11,0.18670613,False,-1
CDH12,0.37837783,False,-1
CDH18,0.11260393,False,-1
CDH2,0.5321734,False,-1
CDH20,0.105107784,False,-1
CDH22,0.011042325,False,-1
CDH6,0.0042918744,False,-1
CDH7,0.21772547,False,-1
CDH8,0.52273047,False,-1
CDH9,0.34425172,False,-1
CDK19,0.47355866,False,-1
CDK2AP1,0.23654355,False,-1
CDK5R1,0.05653595,False,-1
CDKN2D,0.090747975,False,-1
CDO1,0.15139686,False,-1
CDYL,0.046113852,False,-1
CDYL2,0.4307671,False,-1
CEBPA,0.02846033,False,-1
CELF2-AS2,0.0060509653,False,-1
CELF4,0.15778849,False,-1
CELF5,0.027609427,False,-1
CELF6,0.085938595,False,-1
CEMIP,0.14518787,False,-1
CEMIP2,0.084847674,False,-1
CEND1,0.048458282,False,-1
CENPF,0.081785664,False,-1
CENPP,0.6101081,False,-1
CEP112,0.37566006,False,-1
CEP126,0.14487186,False,-1
CERKL,0.12528777,False,-1
CERS3,0.1903056,True,0
CERS6,0.67851377,False,-1
CES4A,0.113066494,False,-1
CFAP161,0.23444629,False,-1
CFAP206,0.028745186,False,-1
CFAP299,0.22887474,False,-1
CFAP46,0.043289762,False,-1
CFAP54,0.012204109,False,-1
CFAP58,0.23952731,False,-1
CFAP70,0.08331589,False,-1
CFAP73,0.17558573,False,-1
CFL1,0.076530665,False,-1
CFL2,0.07417879,False,-1
CHAMP1,0.016325666,False,-1
CHD1,0.26601967,False,-1
CHD7,0.25448817,False,-1
CHGA,0.044386875,False,-1
CHGB,0.01766667,False,0
CHMP1B,0.048375633,False,-1
CHN1,0.28777403,False,-1
CHODL,0.042598493,False,-1
CHRM2,0.15019932,False,-1
CHRM3-AS2,0.05338972,False,-1
CHRNA5,0.062330227,False,-1
CHST11,0.0075459345,False,-1
CHST15,0.02417829,False,-1
CHST3,0.0075353608,False,-1
CHST8,0.00018511346,False,-1
CHST9,0.0028451586,False,0
CHSY3,0.36472014,False,-1
CHTF8,0.069783226,False,-1
CIC,0.09893069,False,-1
CKB,0.048945323,False,-1
CKS2,0.08632059,False,-1
CLDN11,0.008657354,False,-1
CLDN16,0.359447,False,-1
CLDN2,0.0019130219,False,-1
CLEC2L,0.08282126,False,-1
CLEC4F,0.36532497,False,-1
CLIC4,0.021250349,False,-1
CLIC5,0.06342915,False,-1
CLOCK,0.11709774,False,-1
CLPSL1,0.15263046,False,-1
CLSTN2,0.1886853,False,-1
CLTB,0.2497709,False,0
CLVS2,0.12301962,False,-1
CMAS,0.120133586,False,-1
CNIH2,0.09678384,False,-1
CNIH3,0.21842149,False,-1
CNKSR3,0.01946407,False,-1
CNN3,0.049125023,False,-1
CNOT4,0.09599079,False,-1
CNR1,0.12734844,False,1
CNTN1,0.43045938,False,-1
CNTN3,0.2571072,False,-1
CNTN4,0.07364882,False,-1
CNTN5,0.115298636,False,-1
CNTNAP2,0.4015788,False,1
CNTNAP3,0.13788314,False,-1
CNTNAP5,0.07631382,False,-1
COBLL1,0.01596357,False,-1
COL12A1,0.009112917,False,-1
COL19A1,0.7149364,False,-1
COL23A1,0.18913783,False,-1
COL24A1,0.11420711,False,-1
COL26A1,0.06789353,False,-1
COL4A5,0.00011127894,False,-1
COL5A1,0.15391016,False,-1
COL5A2,0.15754035,False,-1
COLEC10,0.29670057,False,-1
COLEC11,0.07835488,False,-1
CORIN,0.5082862,False,-1
CORO2B,0.027080882,False,-1
CPE,0.26680818,False,-1
CPEB2,0.106142044,False,-1
CPLX2,0.21522799,False,1
CPM,0.10961373,False,-1
CPNE4,0.20540774,False,-1
CPNE7,0.2793622,False,-1
CPNE8,0.008951566,False,-1
CPQ,0.39908037,False,-1
CPXM2,0.22726122,False,-1
CRB1,0.068985514,False,0
CREB1,0.022795081,False,0
CREB3,0.47501156,False,-1
CREG2,0.13089222,False,-1
CREM,0.84852874,False,-1
CRHR2,0.2616815,False,-1
CRIM1,0.67255926,False,-1
CRISPLD1,0.26145092,False,-1
CRTAC1,0.048260994,False,-1
CRYAB,0.0029100936,False,-1
CRYGA,0.06968801,False,-1
CRYM,0.030692253,False,-1
CSF3R,0.112455375,False,-1
CSMD2,0.048922412,False,-1
CTBP2,0.1703815,False,-1
CTCF,0.125831,False,-1
CTCFL,0.03399758,False,-1
CTNNA1,0.2861347,False,-1
CTNNA2,0.19413935,False,-1
CTNNA3,0.10724264,False,-1
CTNNB1,0.27066368,False,-1
CTNND2,0.5176948,False,-1
CTSD,0.15372095,False,-1
CTXN1,0.06344133,False,-1
CTXN3,0.23118548,False,-1
CUX1,0.46507925,False,-1
CUX2,0.108740665,False,-1
CXCR4,0.012590045,False,-1
CXXC5,0.08453452,False,-1
CYP1B1,0.36231863,False,-1
CYP1B1-AS1,0.13659726,False,-1
CYP26B1,0.101499386,False,-1
DAB1,0.0029286928,False,-1
DAB2IP,0.05686354,False,-1
DACH1,0.24141234,False,-1
DAPK1,0.0733904,False,-1
DAW1,0.28685623,False,-1
DCDC1,0.21821041,False,-1
DCDC2,0.21601336,False,-1
DCDC2C,0.4956677,True,0
DCLK3,0.14605314,False,-1
DCSTAMP,0.006858881,False,-1
DDN,0.06433947,False,-1
DDT,0.14420617,False,0
DDX20,0.1688606,False,-1
DDX24,0.082579814,False,-1
DDX3Y,0.025086148,False,-1
DDX58,0.04349423,False,-1
