gene,score,validation,label
AADACL2-AS1,2.1649612e-05,False,0
ABCC12,8.251965e-10,False,0
ABCC3,0.032548096,False,1
ABCC4,0.03530055,False,0
ABCF2,0.009584352,False,0
ABHD12B,0.011357483,False,0
ABHD14A,0.012437613,False,0
ABHD17C,0.034420006,False,0
ABL1,0.038706023,False,0
ACAT2,0.008608749,False,0
ACMSD,0.0213486,False,0
ACSM6,0.055113282,True,0
ACTB,0.010029466,False,0
ACTG1,0.00859151,False,0
ACTN2,0.03869549,False,0
ACTR3C,4.4738506e-05,False,0
ACVR1,0.03680676,True,0
ADAM29,0.030810073,False,0
ADAMTS1,0.01936383,False,0
ADAMTS16,0.04021806,False,0
ADAMTS17,0.0021257033,False,0
ADAMTS2,0.039915714,False,0
ADAMTS3,0.0075348215,False,0
ADAMTS6,0.07962661,True,1
ADAMTS9-AS1,0.0002897523,False,0
ADAMTSL1,0.0014891004,False,0
ADARB1,0.009788951,False,0
ADCYAP1,0.036636114,True,0
ADD3-AS1,0.03960875,False,0
ADGRL2,0.00815152,False,0
ADGRL3,0.017343601,False,0
ADGRV1,0.032723542,True,1
ADK,0.10828593,True,0
ADNP,0.008632353,False,0
ADPRHL1,0.012701906,False,0
ADRA1A,0.054551695,True,0
ADRA1B,0.0005823694,False,0
ADRA2A,0.018909128,True,0
ADSL,0.011746062,False,0
ADTRP,0.018361712,False,0
AEBP2,0.0015036773,False,0
AFF4,0.0069545326,False,0
AGAP2,0.036667623,False,0
AGBL1,0.05306343,False,0
AHCTF1,0.018451165,True,0
AHDC1,0.018395644,True,1
AHR,0.0035503914,False,0
AKAP5,0.0056883367,False,0
AKAP7,0.040150627,False,0
ALCAM,0.0057293284,False,1
ALDH1A2,0.042359833,False,0
ALDH8A1,0.052647915,True,0
ALX4,0.0004496655,False,0
AMMECR1,0.021493118,False,0
AMOT,0.0031443615,True,0
ANGPT4,0.0013349316,False,0
ANKRD30A,0.07167729,True,0
ANKRD30B,0.026948154,False,0
ANKRD31,0.0072258716,False,0
ANKRD44,0.026726492,False,1
ANKRD46,0.06549055,True,0
ANKRD6,0.023010872,False,0
ANKRD7,0.015121218,False,0
ANKS1B,0.010714774,False,0
ANO3,0.00049942266,False,0
ANO5,0.046248425,False,0
ANO6,0.030634928,False,0
ANOS1,1.2219285e-05,False,0
ANXA11,0.027111543,False,0
ANXA4,0.027135123,False,0
AP1S1,0.013311952,False,0
AP2M1,0.008617886,False,0
AP2S1,0.023252677,False,0
APBB2,0.025995228,False,0
APLP2,0.0065431325,False,0
APOLD1,0.008392564,False,0
AQP4-AS1,0.0039739967,False,0
AQP9,0.00019393578,False,0
ARC,4.79885e-07,False,0
ARF3,0.015328289,False,0
ARG1,0.0042910245,False,0
ARHGAP12,0.042172667,False,0
ARHGAP15,0.028325478,True,0
ARHGAP20,0.017047044,False,0
ARHGAP22,0.0049090288,False,0
ARHGAP24,0.0024837353,True,0
ARHGAP26,0.0023891542,False,0
ARHGAP26-AS1,0.073027,True,0
ARHGAP29,0.052429114,False,0
ARHGAP6,1.1993293e-08,False,0
ARHGDIG,0.020990502,True,0
ARHGEF10,0.02536306,True,0
ARHGEF11,0.040982667,True,0
ARHGEF28,0.04525388,False,0
ARHGEF3,0.03202074,False,0
ARHGEF6,0.0052139536,False,0
ARID3A,0.055088427,False,0
ARID3B,0.00011789581,False,0
ARID5A,0.041260086,False,0
ARID5B,0.04747667,False,0
ARL4D,0.0071005994,False,0
ARL6,0.017051028,True,0
ARL6IP4,0.008937866,False,0
ARL6IP5,0.0092979735,False,0
ARMC3,0.021066302,False,0
ARMC4,0.09597314,True,0
ARMC9,0.08250726,False,1
ARNT2,0.06737852,False,1
ARNTL,0.00076183677,False,0
ARNTL2,0.0072987652,False,0
ARPC5L,0.022102084,False,0
ARPP19,0.0140919145,False,0
ARRDC3-AS1,0.0684895,False,0
ARSB,0.13408394,True,0
ARSG,0.03748877,True,0
ARSJ,0.024524832,False,0
ART3,0.00926811,False,0
ASAP2,0.007922696,False,0
ASB18,0.020937245,False,0
ASB2,3.0421763e-05,True,0
ASCL1,0.08972538,True,0
ASH2L,0.041202527,True,0
ASIC2,0.045328256,True,0
ASPH,0.05610094,True,0
ASXL3,0.0061184713,True,0
ATF2,0.009401064,False,0
ATOH7,0.015294717,False,0
ATOH8,2.5432815e-05,False,0
ATP13A4,0.034971453,False,0
ATP1A1,0.004755511,False,0
ATP1B1,0.012875367,True,0
ATP1B3,0.013123364,False,0
ATP2A3,0.024674168,False,0
ATP2C1,0.01169931,True,0
ATP6V0B,0.013044238,False,0
ATP6V0C,0.004747121,False,0
ATP6V0D1,0.04372626,True,0
ATP6V0E2,0.008363118,False,0
ATP6V1B2,0.004562962,False,0
ATP6V1E1,0.0349119,False,0
ATP6V1G1,0.032541145,False,0
ATP8A2,0.06631725,True,0
ATP8B1,0.033963956,False,0
ATP8B4,8.951742e-05,True,0
ATRNL1,0.0020472168,True,0
ATXN1,0.01054923,False,0
ATXN8OS,0.0034729424,False,0
AXDND1,0.0018469257,False,0
AXL,0.00096906064,False,0
B3GALT5,0.030391717,False,0
B3GLCT,0.04109854,False,0
B3GNT2,0.01901092,False,0
B4GAT1,0.006471404,False,0
BAALC,0.04617682,False,0
BACE2,0.027997373,False,0
BACH1,0.03163773,False,0
BACH2,0.015966559,False,0
BAIAP3,0.02994318,False,0
BASP1,0.00032365858,False,0
BATF3,6.391356e-05,False,0
BAZ1A,0.03549546,False,0
BBOX1-AS1,0.022380086,False,0
BBX,0.014300313,True,0
BCAP29,0.0012239389,False,0
BCAR3,0.043480817,False,0
BCL11A,0.023283156,False,0
BCL11B,0.008272372,False,0
BCL6B,0.0004035558,False,0
BCLAF1,0.006840696,False,0
BDNF,6.015134e-06,False,0
BDP1,0.051190276,True,0
BEND6,0.013042913,False,0
BEND7,0.012265554,False,0
BEX1,0.0017237025,False,0
BEX2,0.013341415,False,0
BEX3,0.029687637,False,0
BEX4,0.011092751,False,0
BHLHA15,0.23101039,False,0
BHLHE22,0.023467192,False,0
BHLHE40,0.041759387,False,0
BHLHE40-AS1,0.040299192,False,0
BHLHE41,0.032720078,False,0
BICC1,0.04292985,False,0
BLNK,0.0002785234,False,0
BMP8A,0.043850172,True,0
BMPER,0.0065024984,False,0
BMPR1A,0.03243666,False,0
BMPR1B,0.031065855,False,0
BNC2,0.028282236,False,0
BOC,0.011858449,False,0
BPTF,0.027848924,False,0
BRCA1,0.00459901,False,0
BRF1,0.1150525,False,0
BRF2,0.023554113,True,0
BRINP2,0.0024479378,False,0
BRINP3,0.0035591046,False,0
BRIP1,0.027504368,False,0
BRK1,0.007737562,True,0
BSCL2,0.0025659672,False,0
BSX,0.04736517,False,0
BTBD10,0.026362818,False,0
BTBD16,0.02405811,False,0
BTC,0.01607717,False,0
BTG1,0.030712288,True,0
BTG3,0.0003824689,False,0
C10orf90,0.021588486,False,0
C11orf87,0.0076547395,False,0
C12orf40,0.01909283,True,0
C12orf42,0.013857119,False,0
C14orf132,0.015526104,True,0
C15orf41,0.029917749,False,0
C1GALT1,0.040126625,False,0
C1QL3,0.02491493,False,0
C1QTNF4,0.008339761,False,0
C1orf105,0.16294335,True,0
C1orf115,0.0046962034,False,0
C1orf216,0.019986413,False,0
C2orf27A,0.036360737,True,0
C2orf83,2.17081e-08,False,0
C2orf88,0.00062597165,False,0
C3,2.1826734e-05,False,0
C3orf67,0.0075251963,False,0
C3orf67-AS1,0.100920446,True,0
C3orf80,0.021647803,False,0
C4orf45,0.02158028,False,0
C4orf48,0.025321051,True,0
C6orf99,0.000119343844,False,0
C9orf135,0.022159513,False,0
C9orf16,0.007027949,False,0
CA10,0.003275362,False,0
CA3,0.019452473,False,0
CA4,0.023763165,True,0
CAB39L,0.031469177,False,0
CABCOCO1,0.09761402,False,0
CABLES1,0.04487784,False,0
CACHD1,0.010672858,True,0
CACNA1D,0.018364187,False,0
CACNA1E,0.003997538,False,0
CACNA1G,0.00832547,False,0
CACNA1I,0.04173896,False,0
CACNA2D3,0.004181714,True,0
CACNA2D3-AS1,0.019695481,False,0
CACNB2,0.0058838185,False,0
CACNG3,0.015622178,False,0
CACYBP,0.016154576,True,0
CADM1,0.026926069,False,0
CADM2,0.0057101315,True,0
CADPS,0.008003149,False,0
CADPS2,0.0012404155,False,0
CALB1,0.0059501445,False,0
CALM1,0.00078081794,False,0
CALM3,0.0018647733,False,0
CALN1,0.023261813,True,0
CALY,0.0056133945,False,0
CAMK1D,0.034167133,False,0
CAMK2D,0.049288478,False,0
CAMK2N1,0.0012959595,False,0
CAMK2N2,0.008635242,False,0
CAMKV,0.005229876,False,0
CAPNS1,0.008702096,False,0
CAPSL,0.0009623208,False,0
CARF,0.040821876,False,0
CARNMT1,0.084996976,True,0
CARTPT,0.03416155,True,0
CASC15,0.008749854,False,0
CASC2,0.04491403,False,0
CAST,0.03878381,False,0
CATSPERB,0.021138549,False,0
CAV3,0.0004464794,False,0
CBFA2T2,0.047515396,True,0
CBLN1,0.009039865,False,0
CBLN2,0.0031090884,False,0
CBLN4,0.016543966,False,0
CCBE1,0.0008949545,True,0
CCDC113,0.009299302,False,0
CCDC144NL,0.0083717005,False,0
CCDC146,0.0005488887,False,0
CCDC148,0.015925936,False,0
CCDC150,0.01808659,False,0
CCDC158,0.06411543,False,0
CCDC171,0.04189361,False,0
CCDC175,0.014847076,False,0
CCDC178,0.043942884,False,0
CCDC184,0.023613604,True,0
CCDC192,0.0043732086,False,0
CCDC196,0.03727427,False,0
CCDC25,0.0059338557,True,0
CCDC3,0.030441899,False,0
CCDC39,0.02167671,False,1
CCDC65,0.024253111,False,0
CCDC68,0.046072155,False,0
CCDC7,0.042717066,True,0
CCDC85A,0.01106309,False,0
CCK,0.012728663,False,0
CCND2-AS1,0.025336517,False,0
CCNG2,0.03367775,False,0
CCNT2-AS1,0.017839989,False,0
CCSER1,0.0218434,False,0
CD226,0.027833557,False,0
CD63,0.021669757,True,0
CD74,0.0011641263,True,0
CD81,0.010133635,True,0
CDC14A,0.012947801,True,0
CDC14B,0.018949755,False,0
CDC42EP3,0.034845844,False,0
CDC42EP5,0.00050669553,False,0
CDH10,0.028369935,False,0
CDH11,0.039666243,False,0
CDH12,0.036024835,False,0
CDH18,0.004962643,False,0
CDH2,0.009765037,True,0
CDH20,0.035725947,False,0
CDH22,0.004758661,False,0
CDH6,0.045395955,False,0
CDH7,0.025557885,False,0
CDH8,0.00079997274,False,0
CDH9,0.06432432,False,0
CDK19,0.012998454,False,0
CDK2AP1,0.0056937574,False,0
CDK5R1,0.0034640194,False,0
CDKN2D,0.009511338,False,0
CDO1,0.024748065,False,0
CDYL,0.041889206,False,0
CDYL2,0.0032838709,False,0
CEBPA,0.032928042,False,0
CELF2-AS2,0.008692295,False,0
CELF4,0.009050208,False,0
CELF5,0.023487208,True,1
CELF6,0.0048183952,False,0
CEMIP,0.05009796,False,0
CEMIP2,1.9208912e-09,False,0
CEND1,0.004736345,False,0
CENPF,0.0017829796,False,0
CENPP,0.00020569572,False,0
CEP112,0.017110776,False,0
CEP126,0.002207328,False,0
CERKL,0.052584734,False,0
CERS3,0.03872748,False,0
CERS6,0.00028867193,False,0
CES4A,0.021609925,False,0
CFAP161,0.039557237,False,1
CFAP206,0.03950061,False,0
CFAP299,0.020788327,False,0
CFAP46,0.028171958,False,0
CFAP54,3.418917e-05,False,0
CFAP58,0.078547016,True,0
CFAP70,0.04255321,False,0
CFAP73,7.268294e-05,False,0
CFL1,0.018703502,True,0
CFL2,0.021520775,False,0
CHAMP1,0.02712903,False,0
CHD1,0.007472361,False,0
CHD7,0.024020467,False,0
CHGA,0.001736706,False,0
CHGB,2.499844e-05,True,0
CHMP1B,0.025588091,False,0
CHN1,0.00032234154,False,0
CHODL,0.030091109,False,0
CHRM2,0.038418263,False,0
CHRM3-AS2,0.02870555,True,0
CHRNA5,3.0032582e-10,False,0
CHST11,0.043153632,False,0
CHST15,0.00917879,False,0
CHST3,0.0066159065,False,0
CHST8,8.220926e-05,False,0
CHST9,0.032808557,True,0
CHSY3,0.0006182475,True,0
CHTF8,0.01279636,False,0
CIC,0.072559506,False,0
CKB,0.014802519,False,0
CKS2,0.0063560703,False,0
CLDN11,0.018159393,False,0
CLDN16,0.023930507,False,0
CLDN2,0.021626426,False,0
CLEC2L,0.029561866,False,0
CLEC4F,7.438586e-05,False,0
CLIC4,0.0196701,False,0
CLIC5,0.044706628,True,1
CLOCK,0.042817496,True,0
CLPSL1,0.024848333,False,0
CLSTN2,0.04938467,False,0
CLTB,0.012713392,True,0
CLVS2,0.059337467,False,0
CMAS,0.014798541,False,0
CNIH2,0.01963195,True,0
CNIH3,0.017227884,False,0
CNKSR3,0.10820106,False,0
CNN3,0.039364446,True,0
CNOT4,0.014526252,False,0
CNR1,0.03184683,False,0
CNTN1,0.01027598,False,0
CNTN3,0.0010155966,True,0
CNTN4,0.0039619426,False,0
CNTN5,0.044372614,False,0
CNTNAP2,0.018713254,False,0
CNTNAP3,0.030398106,False,0
CNTNAP5,0.03476318,False,0
COBLL1,9.645598e-09,False,0
COL12A1,0.03841721,False,0
COL19A1,0.011537869,True,0
COL23A1,0.02099821,False,0
COL24A1,0.02091919,False,0
COL26A1,0.03053892,False,0
COL4A5,0.00053666707,False,0
COL5A1,0.032172944,False,0
COL5A2,0.04217475,False,0
COLEC10,0.015377026,False,0
COLEC11,0.042124845,True,0
CORIN,0.09179369,False,0
CORO2B,0.07436395,True,0
CPE,0.0002364032,False,0
CPEB2,0.0688854,False,0
CPLX2,0.012252599,False,0
CPM,0.06081405,False,0
CPNE4,0.032225706,False,0
CPNE7,0.01377256,False,0
CPNE8,0.034197796,False,0
CPQ,0.017730145,False,0
CPXM2,0.026979981,False,0
CRB1,0.02539291,False,0
CREB1,0.0049892813,False,0
CREB3,0.006337111,False,0
CREG2,0.021343483,False,0
CREM,0.019144844,False,0
CRHR2,0.0014752438,False,0
CRIM1,0.047316626,False,0
CRISPLD1,0.041731328,False,0
CRTAC1,0.03540824,False,0
CRYAB,0.010350747,False,0
CRYGA,0.004094157,True,0
CRYM,0.045983553,False,0
CSF3R,5.2853753e-05,False,0
CSMD2,0.034910757,False,1
CTBP2,0.019207502,True,0
CTCF,0.022473935,False,0
CTCFL,0.02135594,False,0
CTNNA1,0.026354538,False,0
CTNNA2,0.043468602,False,1
CTNNA3,0.04556178,False,0
CTNNB1,0.027570399,True,0
CTNND2,0.009149365,True,0
CTSD,0.015496612,False,0
CTXN1,0.004197517,False,0
CTXN3,0.076983675,True,0
CUX1,0.020972226,False,0
CUX2,0.017753934,False,0
CXCR4,0.0016316817,False,0
CXXC5,0.0038316331,False,0
CYP1B1,0.0021471526,False,0
CYP1B1-AS1,0.020567013,False,0
CYP26B1,0.00733575,False,0
DAB1,0.024651844,False,0
DAB2IP,0.04390648,True,1
DACH1,0.010325457,False,0
DAPK1,0.0020862778,False,1
DAW1,0.03114698,False,0
DCDC1,0.04456853,False,0
DCDC2,0.016527249,False,0
DCDC2C,0.019330934,False,0
DCLK3,0.03640024,False,0
DCSTAMP,0.013257684,False,0
DDN,0.009487438,False,0
DDT,0.0022085495,False,0
DDX20,0.01856971,False,1
DDX24,0.000277322,False,0
DDX3Y,0.021363854,False,0
DDX58,0.06424134,False,0
DDX60L,0.0071664182,False,0
DENND1B,0.014141778,True,0
DENND5B-AS1,0.048916776,False,0
DEPDC1B,0.019148069,False,0
DGCR8,0.031029703,False,0
DGKB,0.0008301415,False,0
DGKH,0.06063466,False,0
DIAPH2,0.007114743,False,0
DIDO1,0.027359203,False,0
DIO2,0.033663455,True,0
DIRAS1,0.011028065,False,0
DIRAS2,0.0055088196,True,0
DIRC3,0.03524085,False,0
DKK3,0.010432467,True,0
DLEU2,0.015992533,True,0
DLGAP1,0.0047317185,False,0
DLGAP1-AS5,0.042294007,False,0
DLGAP2,0.012877834,True,0
DLL4,9.441551e-09,False,0
DMAP1,0.018470537,False,0
DMD,0.1432939,False,1
DMRT2,0.007112608,False,0
DMRTA2,0.120843284,True,0
DMXL2,0.026663177,True,0
DNAH14,0.019574834,False,0
DNAH5,0.02102693,False,0
DNAH6,0.12868702,False,0
DNAI1,0.054831944,False,0
DNAJA4,0.012363675,False,0
DNAJB6,0.0071874936,False,0
DNAJC1,0.06864052,False,0
DNAJC21,0.049479403,False,0
DNM1,0.019647658,False,0
DNM3,0.013719713,False,0
DNMT3A,0.045560516,False,0
DOCK1,0.013700131,False,0
DOK6,0.0037846,False,0
DPF1,0.0123959435,False,0
DPF2,0.1072536,True,0
DPH6,0.030354392,False,0
DPP10,0.04248822,True,0
DPP4,0.002078367,False,0
DPP6,0.024974478,True,0
DPY19L1,0.050857995,False,0
DPY19L3,0.025006456,False,0
DPYD-AS1,0.0016336218,False,0
DPYS,0.025552705,False,0
DPYSL5,0.020438595,True,0
DRD2,0.015539795,False,0
DSCAML1,0.040205333,False,0
DSTN,0.0047125057,True,0
DTNA,0.012322785,False,0
DTWD2,0.045082774,True,0
DUSP10,0.013797025,False,0
