gene,score,validation,label
AADACL2-AS1,0.005087016,False,0
ABCC12,0.00038687928,False,0
ABCC3,0.016229855,True,1
ABCF2,0.023348931,False,0
ABHD14A,0.01076363,True,0
ABL1,0.03747973,False,0
ACER2,0.021857236,False,0
ACMSD,0.018646244,False,0
ACO1,0.02190842,False,0
ACOT12,0.0042499555,False,0
ACSBG1,0.0063177133,True,0
ACSM6,0.012289965,False,0
ACTB,0.050145872,True,0
ACTG1,0.07286832,False,0
ACVR1,0.015138119,False,0
ACVR1C,0.023945646,False,0
ADAM12,0.012114724,False,0
ADAM29,0.045291327,False,0
ADAM33,0.0028972425,False,0
ADAMTS16,0.0796365,False,0
ADAMTS17,0.0013439761,False,0
ADAMTS2,0.034908697,False,0
ADAMTS3,0.013102982,False,0
ADAMTS6,0.05892024,False,1
ADAMTS9,0.007452537,False,0
ADAMTS9-AS1,0.008783657,False,0
ADAMTSL1,0.016668808,False,0
ADAMTSL3,0.041903008,False,0
ADARB1,0.005571291,False,0
ADARB2,0.009943909,False,0
ADCY8,0.018156188,False,0
ADCYAP1,0.05477992,False,0
ADD3,0.008591689,False,0
ADD3-AS1,0.005483782,False,0
ADGRL2,0.0013736507,True,0
ADK,0.027133977,False,0
ADNP,0.0067501483,False,0
ADNP2,0.040046774,False,0
ADORA3,0.012259415,False,0
ADRA1B,0.033598933,False,0
ADSL,0.03398297,False,0
ADTRP,0.01789389,False,0
AEBP2,0.0012797597,False,0
AFF3,0.0071521415,True,0
AFF4,0.0008462144,False,0
AGAP2,0.02061267,False,0
AGBL1,0.016705707,False,0
AGGF1,0.048881073,False,0
AGMO,0.018284848,False,0
AHCTF1,0.047985535,False,0
AHDC1,0.025224727,False,1
AHR,0.01641343,False,0
AIF1L,0.024722489,True,0
AK5,0.009859464,False,0
AKAP13,0.04415361,False,0
AKAP5,0.01881909,True,0
ALCAM,0.018437218,False,1
ALDH1A2,0.02097036,False,0
ALDOC,0.0078476835,False,0
ALX3,0.0051628477,False,0
ANGPT1,0.014286015,False,0
ANK1,0.036123335,True,0
ANKRD30A,0.010440671,False,0
ANKRD30B,0.032458123,True,0
ANKRD30BL,0.01143197,False,0
ANKRD31,0.020683918,False,0
ANKRD44,0.023596833,False,1
ANKRD6,0.019599007,False,0
ANKRD7,0.0058589582,False,0
ANO2,0.04575099,False,0
ANO3,0.0003996575,True,0
ANO6,0.028450789,False,0
ANTXR2,0.0482844,False,0
ANXA11,0.008024342,False,0
ANXA4,0.027863894,False,0
AP1S1,0.033162445,False,0
AP2M1,0.03331956,False,0
AP2S1,0.03045865,False,0
APBB1IP,0.039494704,False,0
APCDD1,0.009212842,True,0
APLP1,0.012819355,True,0
APLP2,0.018369822,True,0
APOD,0.06714681,False,0
APOE,0.0013019459,False,0
AQP4,0.010158624,False,0
AQP4-AS1,0.017543033,False,0
AQP9,0.04133736,True,0
ARC,0.0005744817,False,0
ARF3,0.015803862,False,0
ARG1,0.009653791,True,0
ARHGAP12,0.009258938,True,0
ARHGAP22,0.021753373,True,0
ARHGAP24,0.043469016,False,0
ARHGAP26,0.007377881,True,0
ARHGAP26-AS1,0.01343894,False,0
ARHGAP36,0.017407892,False,0
ARHGAP42,0.003429785,False,0
ARHGAP6,0.0035632337,False,0
ARHGDIG,0.017416403,False,0
ARHGEF10,0.025012493,False,0
ARHGEF11,0.0063059325,False,0
ARHGEF28,0.017014107,False,0
ARHGEF40,0.003923627,False,0
ARID3A,0.037955616,False,0
ARID3B,0.015850492,False,0
ARID5B,0.03176872,False,0
ARL4A,0.011280567,False,0
ARL4C,0.006419642,False,0
ARL4D,0.047177915,True,0
ARL6,0.008389322,False,0
ARL6IP1,0.033555917,True,0
ARL6IP4,0.010659387,False,0
ARNT2,0.2975623,False,1
ARNTL,0.00068238063,False,0
ARNTL2,0.007752565,False,0
ARPC5L,0.015664825,False,0
ARPP19,0.010811327,False,0
ARRDC3-AS1,0.017934024,False,0
ARSJ,0.0074476292,False,0
ART3,0.029347116,True,0
ARX,0.0050137723,False,0
ASAP2,0.027626513,False,0
ASB18,0.032710034,False,0
ASCC1,0.017975198,False,0
ASCL1,0.0529355,False,0
ASH2L,0.03332355,False,0
ASIC2,0.016075268,False,0
ASXL3,0.016969552,True,0
ATF2,0.0003028764,True,0
ATF3,0.0023404232,False,0
ATF4,0.0145499855,False,0
ATF7,0.021410584,False,0
ATF7IP2,0.044776388,False,0
ATOH7,0.0069238422,False,0
ATOH8,0.008408356,False,0
ATP11B,0.008039775,False,0
ATP1A1,0.012750655,False,0
ATP1A1-AS1,0.0033578658,False,0
ATP1B1,0.02620966,False,0
ATP2C1,0.04535714,False,0
ATP2C2,0.04255049,False,0
ATP6V0B,0.017856512,False,0
ATP6V0C,0.01795706,False,0
ATP6V0D1,0.003784127,False,0
ATP6V1B2,0.015375532,False,0
ATP6V1D,0.0117844045,False,0
ATP6V1E1,0.006393687,False,0
ATP6V1G1,0.009374856,False,0
ATP8B1,0.0062801256,True,0
ATP8B4,0.0046107536,False,0
ATRNL1,0.00022013485,False,0
ATXN1,0.0025841761,False,0
ATXN7L3B,0.012723498,False,0
AVEN,0.012375972,False,1
B3GLCT,0.026688604,False,0
B3GNT3,0.020782616,False,0
B3GNT8,0.009157131,False,0
B4GAT1,0.01682004,False,0
BAALC,0.04566574,False,0
BACE2,0.012499436,False,0
BACH1,0.013193537,False,0
BACH2,0.029610373,True,0
BAHD1,0.0149554,False,0
BAIAP3,0.03231965,False,0
BAMBI,0.015005857,False,0
BANP,0.015300441,False,0
BARD1,0.0031306203,True,0
BARHL1,0.00080810604,False,0
BASP1,0.00054174534,False,0
BATF3,0.01037191,False,0
BAZ1A,0.031913552,False,0
BBOX1-AS1,0.017716348,False,0
BBX,0.015203765,False,0
BCAP29,0.0043313024,False,0
BCAR3,0.018763287,False,0
BCL11A,0.029821549,False,0
BCL11B,0.018992957,False,0
BCL6,0.015326331,False,0
BCLAF1,0.00043504252,False,0
BDKRB2,0.0037142935,False,0
BDNF,0.0038162086,False,0
BDP1,0.043303687,False,0
BEX1,0.0040842486,True,0
BEX2,0.025805539,False,0
BEX3,0.036592398,False,0
BEX4,0.0206857,False,0
BHLHA15,0.021950742,False,0
BHLHE22,0.0047495505,False,0
BHLHE40-AS1,0.018730035,False,0
BHLHE41,0.013143754,False,0
BICC1,0.02206816,False,0
BMP2,0.0126910275,True,0
BMP5,0.020832902,False,0
BMP8A,0.009095393,False,0
BMPER,0.007427054,False,0
BMPR1B,0.024097752,True,0
BMT2,0.036671743,False,0
BNC2,0.009381469,False,0
BOC,0.02576579,False,0
BOLL,0.012325321,False,0
BPTF,0.026222028,True,0
BRF1,0.025947113,False,0
BRF2,0.019320458,False,0
BRINP1,0.03421568,False,0
BRINP2,0.009249979,False,0
BRINP3,0.016233146,False,0
BRIP1,0.006584667,False,0
BRK1,0.012678941,False,0
BSCL2,0.0180917,False,0
BTBD11,0.019108644,True,0
BTBD9,0.046728186,False,0
BTC,0.005994048,True,0
BTF3,0.019501474,False,0
BTG2,0.0008967642,False,0
BTK,0.021328129,False,1
BUB1,0.01478581,False,0
BVES,0.031288184,False,0
C11orf87,0.008845959,False,0
C11orf88,0.009547767,False,0
C11orf96,0.0057315505,False,0
C12orf40,0.023781627,False,0
C12orf42,0.027553912,False,0
C14orf132,0.022054467,False,0
C19orf25,0.04745019,True,0
C1QC,0.03350007,False,0
C1QL1,0.011838106,False,0
C1QL3,0.031433683,False,0
C1QTNF4,0.017155718,True,0
C1QTNF7,0.019312976,True,0
C1orf115,0.009903279,False,0
C1orf216,0.0051063984,False,0
C2orf88,0.03532727,True,0
C3orf67,0.0046374104,False,0
C3orf67-AS1,0.005567559,False,0
C3orf80,0.053103756,False,0
C4orf45,0.030420769,False,0
C5AR2,0.017928995,False,0
C6,0.022666225,False,0
C6orf99,0.022344999,False,0
C9orf16,0.008980335,False,0
CA10,0.0021160487,False,0
CA3,0.03486038,False,0
CA4,0.072006784,False,0
CABCOCO1,0.020140577,False,0
CACHD1,0.03126057,False,0
CACNA1C,0.03433993,False,0
CACNA1D,0.038061794,False,0
CACNA1E,0.004638586,False,0
CACNA1G,0.021176852,False,0
CACNA2D3,0.006136635,False,0
CACNA2D3-AS1,0.024624433,False,0
CACNG3,0.022561714,False,0
CACYBP,0.025208388,False,0
CADPS,0.004330408,True,0
CADPS2,0.0006914258,False,0
CALB1,0.0072986824,False,0
CALB2,0.008435945,False,0
CALM1,0.0021582206,False,0
CALM3,0.0051274146,False,0
CALN1,0.021017196,False,0
CALY,0.015676131,True,0
CAMK1D,0.0290158,True,0
CAMK2D,0.017810436,False,0
CAMK2N1,0.006116404,False,0
CAMK2N2,0.014890072,False,0
CAMKV,0.01407697,True,0
CANX,0.03498301,False,0
CAPS2,0.016740387,False,0
CARD11,0.0072854897,True,0
CARTPT,0.021129373,False,0
CASC15,0.019054953,False,0
CASC19,0.007294462,False,0
CASC2,0.027294965,False,0
CATSPERB,0.023410743,False,0
CAV3,0.010997009,False,0
CBFA2T2,0.03718365,True,0
CBLN2,0.018226454,False,0
CBLN4,0.006493669,False,0
CBX7,0.03817465,True,0
CCBE1,0.025408374,False,0
CCDC113,0.006696272,False,0
CCDC144NL,0.025842553,False,0
CCDC146,0.011597253,False,0
CCDC148,0.0056419196,False,0
CCDC152,0.008147735,False,0
CCDC158,0.01048636,False,0
CCDC170,0.00631452,False,0
CCDC175,0.0066806823,False,0
CCDC178,0.045018435,False,0
CCDC18,0.0037198137,True,0
CCDC184,0.036322918,False,0
CCDC192,0.0062292162,False,0
CCDC196,0.0221332,True,0
CCDC25,0.008821142,False,0
CCDC3,0.011538185,False,0
CCDC39,0.0063627027,False,1
CCDC65,0.022130422,False,0
CCDC85A,0.00488817,False,0
CCK,0.041057605,False,0
CCNI,0.00925793,False,0
CCNT2-AS1,0.02685886,True,0
CD38,0.033028252,False,0
CD44,0.0034415447,False,0
CD58,0.023449846,False,0
CD63,0.069018036,False,0
CD69,0.0072370656,False,0
CD86,0.0051606973,True,0
CDC14B,0.0297493,False,0
CDC42EP3,0.030163478,False,0
CDCA7,0.00461618,False,0
CDCA7L,0.012346882,True,0
CDH11,0.019775907,False,0
CDH12,0.015395005,False,0
CDH18,0.0035423283,False,0
CDH2,0.0009030264,False,0
CDH20,0.010336481,False,0
CDH22,0.014496391,False,0
CDH23,0.024947828,False,0
CDH4,0.03665914,False,0
