_BACKGROUND,5p,10p,15p
SFPQ,SFPQ,SFPQ,SFPQ
CELF5,CELF5,CELF5,CELF5
MIB1,MIB1,MIB1,MIB1
ZNF804A,ZNF804A,ZNF804A,ZNF804A
CSMD2,CSMD2,CSMD2,CSMD2
RYK,RYK,RYK,RYK
ZNF134,ZNF134,ZNF134,ZNF134
HIVEP3,HIVEP3,HIVEP3,HIVEP3
FOXO1,FOXO1,FOXO1,FOXO1
LINC00472,LINC00472,LINC00472,LINC00472
ADAMTS6,ADAMTS6,ADAMTS6,ADAMTS6
SLC5A3,SLC5A3,SLC5A3,SLC5A3
ARF3,ARF3,ARF3,ARF3
TPRN,TPRN,TPRN,TPRN
TIMP2,TIMP2,TIMP2,TIMP2
CDX1,CDX1,CDX1,CDX1
ZNF138,ZNF138,ZNF138,ZNF138
ZBTB11,ZBTB11,ZBTB11,ZBTB11
FAM163A,FAM163A,FAM163A,FAM163A
TAL1,TAL1,TAL1,TAL1
ANTXR2,ANTXR2,ANTXR2,ANTXR2
CDC42EP3,CDC42EP3,CDC42EP3,CDC42EP3
CTXN1,CTXN1,CTXN1,CTXN1
MPP7,MPP7,MPP7,MPP7
CSGALNACT1,CSGALNACT1,CSGALNACT1,CSGALNACT1
MLX,MLX,MLX,MLX
TOB2,TOB2,TOB2,TOB2
FHL2,FHL2,FHL2,FHL2
SCX,SCX,SCX,SCX
IKBIP,IKBIP,IKBIP,IKBIP
ZIM2,ZIM2,ZIM2,ZIM2
SPRED2,SPRED2,SPRED2,SPRED2
PLOD2,PLOD2,PLOD2,PLOD2
TTC22,TTC22,TTC22,TTC22
CCDC146,CCDC146,CCDC146,CCDC146
ZSCAN31,ZSCAN31,ZSCAN31,ZSCAN31
PURA,PURA,PURA,PURA
ATF7IP2,ATF7IP2,ATF7IP2,ATF7IP2
RAVER2,RAVER2,RAVER2,RAVER2
ZNF24,ZNF24,ZNF24,ZNF24
NEUROD1,NEUROD1,NEUROD1,NEUROD1
ZNF7,ZNF7,ZNF7,ZNF7
ZNF630,ZNF630,ZNF630,ZNF630
NELL1,NELL1,NELL1,NELL1
SRSF7,SRSF7,SRSF7,SRSF7
GTPBP1,GTPBP1,GTPBP1,GTPBP1
MAFK,MAFK,MAFK,MAFK
ZNF471,ZNF471,ZNF471,ZNF471
ROBO2,ROBO2,ROBO2,ROBO2
ZFP62,ZFP62,ZFP62,ZFP62
TRIM28,TRIM28,TRIM28,TRIM28
CNDP1,CNDP1,CNDP1,CNDP1
ZNF554,ZNF554,ZNF554,ZNF554
SLIT3,SLIT3,SLIT3,SLIT3
ZNF91,ZNF91,ZNF91,ZNF91
ZSCAN21,ZSCAN21,ZSCAN21,ZSCAN21
SORCS3,SORCS3,SORCS3,SORCS3
FSTL4,FSTL4,FSTL4,FSTL4
ADCY8,ADCY8,ADCY8,ADCY8
HABP2,HABP2,HABP2,HABP2
FOXK1,FOXK1,FOXK1,FOXK1
GLIS2,GLIS2,GLIS2,GLIS2
ZNF3,ZNF3,ZNF3,ZNF3
SOX7,SOX7,SOX7,SOX7
ZNF304,ZNF304,ZNF304,ZNF304
ZNF398,ZNF398,ZNF398,ZNF398
PRUNE2,PRUNE2,PRUNE2,PRUNE2
NF1,NF1,NF1,NF1
LRRC3B,LRRC3B,LRRC3B,LRRC3B
ZNF77,ZNF77,ZNF77,ZNF77
BAZ1A,BAZ1A,BAZ1A,BAZ1A
ZBTB24,ZBTB24,ZBTB24,ZBTB24
CA4,CA4,CA4,CA4
DHRS9,DHRS9,DHRS9,DHRS9
GLIS1,GLIS1,GLIS1,GLIS1
HMG20A,HMG20A,HMG20A,HMG20A
PCDH17,PCDH17,PCDH17,PCDH17
KCNJ6,KCNJ6,KCNJ6,KCNJ6
MIR137HG,MIR137HG,MIR137HG,MIR137HG
CEBPG,CEBPG,CEBPG,CEBPG
CTCF,CTCF,CTCF,CTCF
PHLPP1,PHLPP1,PHLPP1,PHLPP1
ZBTB1,ZBTB1,ZBTB1,ZBTB1
ZNF202,ZNF202,ZNF202,ZNF202
SHISA6,SHISA6,SHISA6,SHISA6
OVOL2,OVOL2,OVOL2,OVOL2
RAMP1,RAMP1,RAMP1,RAMP1
FOSL2,FOSL2,FOSL2,FOSL2
DOCK11,DOCK11,DOCK11,DOCK11
GTF3A,GTF3A,GTF3A,GTF3A
MCHR2,MCHR2,MCHR2,MCHR2
IRF2,IRF2,IRF2,IRF2
E2F1,E2F1,E2F1,E2F1
ZNF286A,ZNF286A,ZNF286A,ZNF286A
ZKSCAN2,,ZKSCAN2,ZKSCAN2
CREBL2,,CREBL2,CREBL2
HSF2,,HSF2,HSF2
DPH6,,DPH6,DPH6
MEF2D,,MEF2D,MEF2D
PEG10,,PEG10,PEG10
ZNF583,,ZNF583,ZNF583
SGCZ,,SGCZ,SGCZ
PLXNA2,,PLXNA2,PLXNA2
ZNF326,,ZNF326,ZNF326
RBM17,,RBM17,RBM17
LINC00894,,LINC00894,LINC00894
ZNF470,,ZNF470,ZNF470
RAB7A,,RAB7A,RAB7A
ZBTB26,,ZBTB26,ZBTB26
PLXNA4,,PLXNA4,PLXNA4
INTS6L,,INTS6L,INTS6L
STK3,,STK3,STK3
HMGXB3,,HMGXB3,HMGXB3
ZNF280D,,ZNF280D,ZNF280D
TMTC1,,TMTC1,TMTC1
ZNF84,,ZNF84,ZNF84
ELK4,,ELK4,ELK4
STON1-GTF2A1L,,STON1-GTF2A1L,STON1-GTF2A1L
RPS6KA5,,RPS6KA5,RPS6KA5
TMEM64,,TMEM64,TMEM64
STAT3,,STAT3,STAT3
PELI2,,PELI2,PELI2
PKNOX1,,PKNOX1,PKNOX1
JAM3,,JAM3,JAM3
ZNF709,,ZNF709,ZNF709
CACNA1D,,CACNA1D,CACNA1D
CRYBG3,,CRYBG3,CRYBG3
GMEB2,,GMEB2,GMEB2
PHF1,,PHF1,PHF1
ZNF391,,ZNF391,ZNF391
TDRD5,,TDRD5,TDRD5
HNRNPLL,,HNRNPLL,HNRNPLL
AHCTF1,,AHCTF1,AHCTF1
ANXA4,,ANXA4,ANXA4
ZNF48,,ZNF48,ZNF48
ZNF354B,,ZNF354B,ZNF354B
PAG1,,PAG1,PAG1
STAT6,,STAT6,STAT6
BRF1,,BRF1,BRF1
TMEM192,,TMEM192,TMEM192
ZNF195,,ZNF195,ZNF195
ZNF155,,ZNF155,ZNF155
SRF,,SRF,SRF
MEX3C,,MEX3C,MEX3C
FGF13,,FGF13,FGF13
ZNF101,,ZNF101,ZNF101
MBD2,,MBD2,MBD2
PPP1R14C,,PPP1R14C,PPP1R14C
ZDHHC14,,ZDHHC14,ZDHHC14
TENM4,,TENM4,TENM4
SMAD3,,SMAD3,SMAD3
SMAP2,,SMAP2,SMAP2
KCNH1,,KCNH1,KCNH1
L3MBTL4,,L3MBTL4,L3MBTL4
ZNF596,,ZNF596,ZNF596
ME1,,ME1,ME1
PRKCA,,PRKCA,PRKCA
TAF6,,TAF6,TAF6
FAM135B,,FAM135B,FAM135B
CANX,,CANX,CANX
LINC01184,,LINC01184,LINC01184
LINC01115,,LINC01115,LINC01115
ZNF518A,,ZNF518A,ZNF518A
CDC14B,,CDC14B,CDC14B
GTF2A1,,GTF2A1,GTF2A1
ZNF160,,ZNF160,ZNF160
ATP2C1,,ATP2C1,ATP2C1
ZNF264,,ZNF264,ZNF264
BTBD9,,BTBD9,BTBD9
