_BACKGROUND,5p,10p,15p
NOS1,NOS1,NOS1,NOS1
PARD3,PARD3,PARD3,PARD3
PHF8,PHF8,PHF8,PHF8
TINCR,TINCR,TINCR,TINCR
SIX4,SIX4,SIX4,SIX4
VIPR2,VIPR2,VIPR2,VIPR2
ZBTB7B,ZBTB7B,ZBTB7B,ZBTB7B
ZNF83,ZNF83,ZNF83,ZNF83
TXNIP,TXNIP,TXNIP,TXNIP
BDNF,BDNF,BDNF,BDNF
DNAJA4,DNAJA4,DNAJA4,DNAJA4
CYP26A1,CYP26A1,CYP26A1,CYP26A1
RELN,RELN,RELN,RELN
ARX,ARX,ARX,ARX
TAC1,TAC1,TAC1,TAC1
ZNF792,ZNF792,ZNF792,ZNF792
GAD2,GAD2,GAD2,GAD2
DLX2,DLX2,DLX2,DLX2
BMPR1B,BMPR1B,BMPR1B,BMPR1B
VIP,VIP,VIP,VIP
GNG4,GNG4,GNG4,GNG4
SLC1A3,SLC1A3,SLC1A3,SLC1A3
HTR7,HTR7,HTR7,HTR7
DLX6,DLX6,DLX6,DLX6
GTF2A2,GTF2A2,GTF2A2,GTF2A2
CELF5,CELF5,CELF5,CELF5
DTNBP1,DTNBP1,DTNBP1,DTNBP1
MIB1,MIB1,MIB1,MIB1
SFPQ,SFPQ,SFPQ,SFPQ
RELA,RELA,RELA,RELA
RPP25,RPP25,RPP25,RPP25
PAPPA,PAPPA,PAPPA,PAPPA
ZNF804A,ZNF804A,ZNF804A,ZNF804A
EYA4,EYA4,EYA4,EYA4
MEF2C,MEF2C,MEF2C,MEF2C
CARD11,CARD11,CARD11,CARD11
CSMD2,CSMD2,CSMD2,CSMD2
C11orf88,C11orf88,C11orf88,C11orf88
SP5,SP5,SP5,SP5
SPI1,SPI1,SPI1,SPI1
SAMD3,SAMD3,SAMD3,SAMD3
BUB1,BUB1,BUB1,BUB1
RUFY3,RUFY3,RUFY3,RUFY3
VSIG4,VSIG4,VSIG4,VSIG4
HIVEP3,HIVEP3,HIVEP3,HIVEP3
GAD1,GAD1,GAD1,GAD1
ADARB2,ADARB2,ADARB2,ADARB2
THSD7A,THSD7A,THSD7A,THSD7A
ZNF385B,ZNF385B,ZNF385B,ZNF385B
PIEZO2,PIEZO2,PIEZO2,PIEZO2
KHDRBS3,KHDRBS3,KHDRBS3,KHDRBS3
DMRT2,DMRT2,DMRT2,DMRT2
HOXD3,HOXD3,HOXD3,HOXD3
ADAMTS17,ADAMTS17,ADAMTS17,ADAMTS17
ENPP2,ENPP2,ENPP2,ENPP2
GRIN2A,GRIN2A,GRIN2A,GRIN2A
NDRG2,NDRG2,NDRG2,NDRG2
MAFB,MAFB,MAFB,MAFB
TRIM28,TRIM28,TRIM28,TRIM28
PBX2,PBX2,PBX2,PBX2
NTF3,NTF3,NTF3,NTF3
ZKSCAN4,ZKSCAN4,ZKSCAN4,ZKSCAN4
FMNL2,FMNL2,FMNL2,FMNL2
SLC24A3,SLC24A3,SLC24A3,SLC24A3
CDCA7,CDCA7,CDCA7,CDCA7
