gene,label,mean,std,score_0,score_1,score_2,score_3,score_4,validation_0,validation_1,validation_2,validation_3,validation_4
AADACL2-AS1,-1,0.139305952,0.07792520766805289,0.13582115,0.27304912,0.10546025,0.10837302,0.07382622,False,False,False,False,False
ABCC12,-1,0.078903082193468,0.09178649060788006,0.032848947,0.14723144,0.009543259,8.2496734e-07,0.20489094,False,False,False,False,False
ABCC3,-1,0.38464403599999997,0.19762229418705946,0.22328746,0.31542662,0.72662854,0.29553416,0.3623434,False,False,False,False,False
ABCF2,-1,0.057756294400000005,0.03408700129121937,0.07646342,0.09824945,0.06440552,0.039760564,0.009902518,False,False,False,False,False
ABHD14A,-1,0.0977194066,0.03837354911692275,0.041221943,0.11108102,0.12640214,0.07672828,0.13316365,False,False,False,False,False
ABL1,-1,0.38633615,0.09597504105974795,0.41617635,0.5161075,0.33535576,0.25916994,0.4048712,False,False,False,False,False
ACER2,-1,0.297820885,0.38962346778809354,0.10154402,0.042355195,0.21213031,0.9858693,0.1472056,False,False,False,False,False
ACMSD,-1,0.173920985,0.17488942823564485,0.36502752,0.005483652,0.13706222,0.013693973,0.34833756,False,False,False,False,False
ACO1,-1,0.250698094,0.09769198120833603,0.20787886,0.22490345,0.32058996,0.1259818,0.3741364,False,False,False,False,False
ACOT12,-1,0.11632920799999999,0.14735304447970932,0.12831067,0.020016752,0.042705946,0.022771012,0.36784166,False,False,False,False,False
ACSBG1,-1,0.154126738,0.0898289575950919,0.13946214,0.08686629,0.30713588,0.1468661,0.09030328,False,False,False,False,False
ACSM6,-1,0.08246403403,0.10767504702142948,0.22590443,0.17092025,0.00030416585,0.0048367213,0.010354603,False,False,False,False,False
ACTB,-1,0.10657693360000002,0.05794445566831824,0.11019766,0.106566265,0.16477868,0.13938656,0.011955503,False,False,False,False,False
ACTG1,-1,0.16934590180000003,0.22174092513945803,0.12809543,0.108592525,0.5565102,0.045859426,0.007671928,False,False,False,False,False
ACVR1,-1,0.26312525999999997,0.10085586220578208,0.12295658,0.33500615,0.21608447,0.26158515,0.37999395,False,False,False,False,False
ACVR1C,-1,0.30278748732,0.36120576312888447,0.0049264226,0.122001484,0.12073583,0.9061473,0.3601264,False,False,False,False,False
ADAM12,-1,0.17799535319999998,0.08465649488672025,0.15560949,0.097686596,0.30991784,0.20745856,0.11930428,False,False,False,False,False
ADAM29,-1,0.266991402,0.09497818475783225,0.29367346,0.26302564,0.20619154,0.16166687,0.4103995,False,False,False,False,False
ADAM33,-1,0.08311583014799999,0.0999650286943244,0.24358359,0.10491244,0.0023376902,0.00018422054,0.06456121,False,False,False,False,False
ADAMTS16,-1,0.18168449646,0.13742671551795385,0.2730487,0.08017643,0.20869479,0.0058874423,0.34061512,False,False,False,False,False
ADAMTS17,-1,0.11605292240000001,0.16234958106454037,0.07290156,0.08231087,0.004034012,0.02072393,0.40029424,False,False,False,False,False
ADAMTS2,-1,0.21368585700000003,0.10531267014763616,0.1588063,0.064191855,0.27869272,0.23304336,0.33369505,False,False,False,False,False
ADAMTS3,1,0.173029989,0.05194536939224953,0.22334902,0.14946876,0.2106516,0.094914205,0.18676636,False,False,False,False,True
ADAMTS6,-1,0.20553784706,0.3085341984002061,0.006760597,0.10006799,0.0021780583,0.7421394,0.17654319,False,False,False,False,False
ADAMTS9,-1,0.202568677,0.1846041134392958,0.17116804,0.03101363,0.3605602,0.025144065,0.42495745,False,False,False,False,False
ADAMTS9-AS1,-1,0.29747100116,0.22376520761110766,0.27514917,0.55016226,0.0016440958,0.17808722,0.48231226,False,False,False,False,False
ADAMTSL1,-1,0.0565227794,0.036763315554090084,0.0449001,0.11700046,0.06181643,0.021719677,0.03717723,False,False,False,False,False
ADAMTSL3,-1,0.26972247400000005,0.11184255194807846,0.31290045,0.41662166,0.20245263,0.12309773,0.2935399,False,False,False,False,False
ADARB1,-1,0.43689506,0.18892987711628315,0.52648973,0.10614884,0.5802074,0.48987943,0.4817499,False,False,False,False,False
ADARB2,-1,0.302841555,0.18676642288148596,0.42762452,0.2518557,0.55901176,0.16329461,0.112421185,False,False,False,False,False
ADCY8,-1,0.28373918,0.08039863473481096,0.2819119,0.24901594,0.4189278,0.20697911,0.26186115,False,False,False,False,False
ADCYAP1,-1,0.276327502,0.09372371870035393,0.32626185,0.33802995,0.21414028,0.14263935,0.36056608,False,False,False,False,False
ADD3,-1,0.31994214000000004,0.10378254641407775,0.22954582,0.4394951,0.35271308,0.195097,0.3828597,False,False,False,False,False
ADD3-AS1,0,0.015063483506000369,0.02256466580963908,0.015452791,0.0059097493,0.00012673123,1.839471e-15,0.053828146,True,False,False,False,False
ADGRL2,-1,0.33249818200000003,0.16975231270179128,0.22349784,0.5893178,0.3659121,0.14216505,0.34159812,False,False,False,False,False
ADK,-1,0.30659958400000004,0.09171476271565325,0.31425157,0.43952385,0.33814695,0.21310571,0.22796984,False,False,False,False,False
ADNP,-1,0.29830027800000003,0.09561998220566514,0.21376422,0.40741998,0.3601583,0.18452176,0.32563713,False,False,False,False,False
ADNP2,-1,0.372210368,0.06587281411121867,0.3446829,0.4738795,0.39297932,0.29899487,0.35051525,False,False,False,False,False
ADORA3,-1,0.014064162379948,0.011868278490334182,0.026154187,0.02228844,0.002805907,3.5389974e-07,0.019071924,False,False,False,False,False
ADRA1B,-1,0.19927988479999997,0.19184231524918988,0.13767274,0.05485466,0.5091293,0.2502406,0.044502124,False,False,False,False,False
ADSL,-1,0.23476774579999998,0.17517677272243087,0.24857137,0.21117106,0.111209534,0.5226247,0.080262065,False,False,False,False,False
ADTRP,-1,0.344428174,0.1555434033189138,0.23646328,0.15478817,0.3753754,0.55726916,0.39824486,False,False,False,False,False
AEBP2,-1,0.39904832519999994,0.21289940652432066,0.45804816,0.026098086,0.53933126,0.53044814,0.44131598,False,False,False,False,False
AFF3,-1,0.391559106,0.20317729646940988,0.27692536,0.69820094,0.35937312,0.16307744,0.46021867,False,False,False,False,False
AFF4,-1,0.279145768,0.13280969067711765,0.15090647,0.4343437,0.3725291,0.1351285,0.30282107,False,False,False,False,False
AGAP2,-1,0.321211896,0.1137187728961693,0.45340315,0.2719348,0.30818668,0.16540968,0.40712517,False,False,False,False,False
AGBL1,-1,0.1795957262,0.1218187516505823,0.051127236,0.108008645,0.11879724,0.30762544,0.31242007,False,False,False,False,False
AGGF1,-1,0.35357315399999995,0.07872499782679057,0.42121273,0.4246653,0.38250622,0.25815558,0.28132594,False,False,False,False,False
AGMO,-1,0.158399609,0.1555810446434602,0.08962094,0.04960264,0.421016,0.053946905,0.17781156,False,False,False,False,False
AHCTF1,-1,0.362490792,0.09471242223668483,0.36298504,0.4982138,0.30774543,0.24710599,0.3964037,False,False,False,False,False
AHDC1,-1,0.303393134,0.04735898349016773,0.32069427,0.33816868,0.2218076,0.30452332,0.3317718,False,False,False,False,False
AHR,-1,0.31028090799999997,0.07118549410247968,0.28802276,0.39109805,0.35503447,0.20429674,0.31295252,False,False,False,False,False
AIF1L,-1,0.0952914574,0.0775152626282082,0.1956588,0.054291226,0.0522725,0.015369281,0.15886548,False,False,False,False,False
AK5,-1,0.347769425,0.217344507027053,0.46750414,0.6572767,0.25319406,0.097135425,0.2637368,False,False,False,False,False
AKAP13,-1,0.37304391400000003,0.07601603296033463,0.3581545,0.5007954,0.34351966,0.29800335,0.36474666,False,False,False,False,False
AKAP5,0,0.07437321548,0.06479275185567801,0.11574824,0.1522788,0.087887324,0.0055904444,0.010361269,False,False,False,True,False
ALCAM,-1,0.2114954396,0.1873247036067425,0.17923547,0.05870444,0.40553412,0.009156968,0.4048462,False,False,False,False,False
ALDH1A2,-1,0.243126176,0.08548072917499729,0.2620772,0.37328777,0.13855788,0.22077806,0.22092997,False,False,False,False,False
ALDOC,-1,0.16188687100000002,0.2283528100569901,0.03748375,0.06597925,0.04043839,0.568092,0.097440965,False,False,False,False,False
ALX3,-1,0.23503872659999997,0.27974244376241375,0.05195234,0.023453373,0.2711768,0.70512784,0.12348328,False,False,False,False,False
ANGPT1,0,0.063108018194,0.044835250925296596,0.0919087,0.09415667,0.00042212097,0.03051339,0.09853921,False,True,False,False,False
ANK1,-1,0.21033090200000001,0.17644174381190417,0.10098936,0.06528555,0.42700848,0.08107604,0.37729508,False,False,False,False,False
ANKRD30A,-1,0.229601789,0.11841711621349015,0.039574575,0.20659393,0.3155217,0.24849738,0.33782136,False,False,False,False,False
ANKRD30B,-1,0.34664431999999995,0.03346153677894368,0.3430457,0.39140812,0.322789,0.30846772,0.36751106,False,False,False,False,False
ANKRD30BL,-1,0.266623898,0.0692716903764501,0.16075477,0.29461032,0.32372627,0.23385063,0.3201775,False,False,False,False,False
ANKRD31,-1,0.19627433600000002,0.09832543215074689,0.23006552,0.3446195,0.16891289,0.15628439,0.08148938,False,False,False,False,False
ANKRD44,-1,0.172852112,0.07459649117130758,0.21594386,0.24911742,0.10324624,0.08277421,0.21317883,False,False,False,False,False
