gene,score,validation,label
A2M,0.02645825,False,0
AACS,0.025270022,False,0
AADACL2-AS1,0.018417329,False,0
AAGAB,0.025413454,False,0
AAMDC,0.03504096,False,0
AARS,0.029689873,False,0
AASDHPPT,0.031956527,False,0
AATK,0.029691638,False,0
ABCA1,0.03618728,True,0
ABCA10,0.036453832,False,0
ABCA2,0.042985316,True,0
ABCA3,0.030731607,False,0
ABCA5,0.028339235,False,0
ABCA6,0.053382535,False,0
ABCB1,0.026937759,False,0
ABCB11,0.033844672,False,0
ABCB9,0.025636801,True,0
ABCC12,0.019880371,False,0
ABCC3,0.06680571,False,1
ABCC4,0.073035054,False,0
ABCC8,0.03066317,False,0
ABCC9,0.035047513,False,0
ABCD4,0.026420208,False,0
ABCE1,0.12487531,False,0
ABCF2,0.054333422,False,0
ABCF3,0.029426303,False,0
ABCG1,0.058045425,True,0
ABCG4,0.028683495,False,1
ABHD12,0.02499207,True,0
ABHD12B,0.023359783,True,0
ABHD14A,0.06986042,False,0
ABHD17A,0.13224354,False,0
ABHD17B,0.03271842,True,0
ABHD17C,0.07974741,False,0
ABHD2,0.057602596,False,0
ABHD3,0.024208212,False,0
ABHD5,0.028120108,False,0
ABHD6,0.09832109,False,0
ABHD8,0.03123751,False,0
ABI1,0.07700542,False,0
ABI2,0.028932823,False,0
ABI3BP,0.02347651,False,0
ABL1,0.022200763,False,0
ABL2,0.02356315,True,0
ABLIM1,0.063460894,False,0
ABLIM2,0.056594606,True,0
ABLIM3,0.038601905,True,0
ABR,0.047286756,True,0
ABTB1,0.03061582,False,0
ABTB2,0.05966935,False,0
ACAN,0.07651701,False,0
ACAP2,0.04238698,False,0
ACAP3,0.051140312,True,0
ACER2,0.03231423,False,0
ACER3,0.02401459,True,0
ACHE,0.03931662,False,0
ACIN1,0.12080535,False,0
ACMSD,0.04108102,False,0
ACO1,0.1218664,False,0
ACOT8,0.026749175,False,0
ACSBG1,0.021977467,False,0
ACSL3,0.024643231,False,0
ACSL4,0.030610753,False,1
ACSM6,0.03661837,False,0
ACSS2,0.05388678,False,0
ACTA2,0.021929273,False,0
ACTB,0.023409368,False,0
ACTG1,0.045774553,True,0
ACTN1,0.077009104,False,0
ACTN2,0.041320387,False,0
ACTN3,0.026071835,False,0
ACTN4,0.11140518,False,0
ACTR1A,0.04018084,False,0
ACTR1B,0.025007332,False,0
ACTR2,0.023149151,True,0
ACTR3,0.03540083,False,0
ACTR3B,0.022310918,True,0
ACTR6,0.024232611,False,0
ACVR1,0.066252545,False,0
ACVR1B,0.02588959,True,0
ACVR1C,0.058991462,False,0
ACVR2A,0.07733679,False,0
ACVR2B,0.028108116,False,0
ACY1,0.124054596,False,0
ACYP2,0.07535801,False,0
ADA,0.12400787,False,0
ADAD2,0.029045034,False,0
ADAM10,0.11713073,False,0
ADAM11,0.032817133,False,0
ADAM12,0.033074327,False,0
ADAM17,0.026134012,True,0
ADAM22,0.046214722,False,0
ADAM23,0.032503247,False,0
ADAM28,0.041482605,False,0
ADAM29,0.05589011,False,0
ADAM32,0.042862788,False,0
ADAM33,0.04878459,False,0
ADAM9,0.031214535,True,0
ADAMTS1,0.066572584,True,0
ADAMTS10,0.029165408,False,0
ADAMTS14,0.02955234,False,0
