gene,score,validation,label
AATF,0.021638485,False,0
ABCA1,0.012752474,True,0
ABCG2,0.0065271696,False,0
ABHD3,3.1242385e-07,True,0
ABI1,0.035827503,False,0
ACAT2,0.0022451528,False,0
ACKR3,0.0031973273,False,0
ACOT12,0.02591086,False,0
ACSBG1,0.0010393735,False,0
ACTG1,0.011823216,False,0
ACTN2,0.012798012,False,0
ACVR1,0.04692621,False,0
ADAM28,2.7140048e-05,False,0
ADAM33,0.012447994,False,0
ADAMTS16,0.032690365,False,0
ADAMTS18,0.041852027,False,0
ADAMTS3,0.027530035,True,0
ADAMTS5,0.015742911,False,0
ADAMTS9-AS2,0.0105880285,True,0
ADAMTSL1,0.01916035,True,0
ADARB1,0.0052879862,False,0
ADARB2,0.035946842,True,0
ADCY2,0.03197289,False,0
ADCY8,0.035538405,True,0
ADD3-AS1,0.0364699,False,0
ADGRL2,0.024590787,True,0
ADGRL3,0.048768878,False,0
ADIRF,0.032560695,False,0
ADK,0.04715848,True,0
ADNP,0.04995443,False,0
ADNP2,0.037991695,False,0
ADRA1A,0.025095925,False,0
AEBP1,0.034550283,False,0
AFAP1-AS1,0.012259261,False,0
AFF1,0.0035315221,False,0
AFF3,0.04624506,False,0
AFF4,0.043228395,True,0
AGAP2,0.062123712,True,0
AGMO,0.04239556,True,0
AHCTF1,0.036440596,True,0
AHDC1,0.022343226,False,1
AHR,0.065703586,False,0
AIM2,0.000525677,False,0
AKAIN1,0.02701978,False,0
AKAP13,0.020656431,True,0
AKAP5,0.0064965496,True,0
AKAP6,0.01746949,False,0
ALCAM,0.010738734,False,1
ALDH1A2,0.0051980703,False,0
ALG6,0.031151963,True,0
ALK,0.00010471478,False,0
ALPK1,0.0020481457,True,0
ALX3,0.03001052,False,0
ALX4,0.019403437,False,0
AMMECR1,0.032728866,True,0
AMOTL1,0.04648222,True,0
AMPH,0.02296929,True,0
ANK1,0.042331766,False,0
ANKRD30B,0.04436839,False,0
ANKRD30BL,0.040011868,False,0
ANKRD46,1.9057026e-07,False,0
ANKRD55,0.060939286,True,0
