gene,score,validation,label
A2M,1.4469439e-05,False,0
AARD,0.0017323359,True,0
ABCA1,0.046635244,True,0
ABCA8,0.0009511291,True,0
ABCC4,0.00037751338,True,0
ABCG2,0.0034086073,False,0
ABHD3,0.0032780622,True,0
ABRACL,0.03868128,False,0
ABTB2,0.043484055,False,0
ACAT2,0.029279184,False,0
ACSM6,0.0067311074,True,0
ACTB,0.0058652107,False,0
ACVR1,0.049441244,False,0
ACVR1C,0.008429518,False,0
ADAM28,8.590975e-09,False,0
ADAMTS19-AS1,0.032888617,True,0
ADAMTS3,0.0043548937,False,0
ADAMTS6,0.036932383,False,1
ADARB1,0.031301912,False,0
ADARB2,0.002237688,False,0
ADCY2,0.021018686,False,0
ADCY7,0.04372368,False,1
ADCY8,0.0067505855,False,0
ADD3,0.040341113,True,0
ADD3-AS1,0.057271264,True,0
ADGRB1,0.008918203,True,0
ADGRL2,0.04514892,False,0
ADGRL3,0.027156642,False,0
ADK,0.019440293,False,0
ADNP,0.008447392,False,0
ADNP2,0.015051562,False,0
ADRA1A,0.04692642,False,0
AFF1,0.024734333,True,0
AFF4,0.020121116,False,0
AGAP1,0.02163796,False,0
AHCTF1,0.023776488,True,0
AHDC1,0.015077399,False,1
AHNAK,0.009244631,True,0
AHR,0.03479926,False,0
AHRR,0.018252201,True,0
AIF1L,0.011893994,True,0
AK5,0.020054163,False,0
AKAIN1,0.021893613,False,0
AKAP13,9.0433053e-07,False,0
AKR1A1,0.011494185,False,0
AKR1C3,0.0066855513,True,0
ALCAM,0.019093784,False,1
ALK,0.00022574521,False,0
ALPK1,0.00036453863,False,0
ALX1,0.072429836,True,0
ANGPT1,0.007374495,False,0
ANK1,0.0035812415,False,0
ANKRD30B,0.053705145,False,0
ANKRD50,0.05409739,False,0
ANKRD55,0.0050934856,True,0
ANLN,0.0013114267,False,0
ANO10,0.038717348,True,0
ANO5,0.009807658,True,0
ANOS1,0.046438325,False,0
ANXA11,0.0031999256,True,0
ANXA2,0.010203145,True,0
ANXA4,0.025262697,True,0
AP1S2,0.057958167,False,0
APBB1IP,1.2044768e-10,True,0
APCDD1,0.010316827,False,0
APOB,0.0013240434,False,0
APOC2,2.0486777e-07,False,0
APOE,0.008231901,False,0
APOL6,0.035533678,False,0
AQP4,0.044346046,True,0
AQP4-AS1,0.0067745713,True,0
ARAP2,0.0076743383,False,0
ARC,0.056197967,False,0
ARHGAP15,5.2656338e-05,False,0
ARHGAP22,0.0005786891,True,0
ARHGAP24,4.768437e-09,True,0
ARHGAP25,9.091863e-08,False,0
ARHGAP29,0.010247006,False,0
ARHGAP42,0.026553255,True,0
ARHGAP6,0.008372706,False,0
ARHGEF10,0.010190083,False,0
ARHGEF26,0.03733291,False,0
ARHGEF28,0.02636141,False,0
ARHGEF6,0.05088978,True,0
ARID2,0.036678176,False,1
ARID5A,0.009993486,False,0
ARID5B,0.04901965,False,0
ARL15,0.009333491,True,0
ARL17B,0.026115252,False,0
ARL4A,0.00072033604,False,0
ARL4C,0.020925999,False,0
ARL6,0.03623989,False,0
ARMC4,0.004341968,False,0
ARNT2,0.05850204,False,1
ARNTL,0.040737987,True,0
ARPP21,0.002419623,False,0
ARRDC3-AS1,0.0101388255,False,0
ARSB,0.023270782,False,0
ARSF,0.13100578,False,0
ARX,0.012172039,False,0
ASB17,0.04696791,False,0
ASB18,0.08571507,False,0
ASCL1,0.00493029,False,0
ASH2L,0.05673811,False,0
ASIC4,0.02930146,False,0
ASPA,0.0028886853,False,0
ASXL3,0.0031657547,False,0
ATF2,0.01968233,True,0
ATF3,0.019035222,False,0
ATF7IP,0.025716688,False,0
ATG10,0.043755516,True,0
ATG5,0.054511327,False,0
ATP10A,0.0054342677,False,0
ATP1B1,0.0026225236,False,0
ATP1B3,0.05083839,False,0
ATP2B4,0.028207919,False,1
ATP2C1,0.040380977,False,0
ATP8B1,0.034457263,False,0
ATRNL1,0.049634468,False,0
AVEN,0.09521006,False,1
AVPR1A,0.031195188,False,0
AZGP1,0.003193149,False,0
B2M,0.007946455,False,0
B3GALT5,0.031448506,False,0
B3GAT2,0.008288222,False,0
B3GLCT,0.02181268,True,0
B4GALT6,0.025811318,False,0
BAALC,0.03436747,False,0
BACE2,0.057184216,True,0
BACH1,0.012250094,False,0
BACH2,0.017316284,False,0
BARHL2,0.0001394269,True,0
BAZ1A,0.039925333,False,0
BBX,0.026748346,False,0
BCAS1,0.020666864,False,0
BCL11A,0.02807006,False,0
BCL11B,0.0018306264,True,0
BCL3,0.03323955,False,0
BCL6,0.024634251,False,0
BCLAF1,0.005950167,False,0
BEND4,0.07484249,False,0
BEX1,0.009726722,True,0
BEX5,0.01545586,False,0
BHLHE22,9.721315e-05,False,0
BHLHE41,0.00048733054,False,0
BICC1,0.005231166,False,0
BIN2,1.0775486e-06,False,0
BLNK,0.0037034366,False,0
BMP2,0.0075795646,False,0
BMP2K,0.005752469,False,0
BMP4,0.0010867558,False,0
BMPER,0.04605668,False,0
BMPR1B,0.037958905,True,0
BNC2,3.9775372e-07,False,0
BPTF,0.0029167398,False,0
BRCA1,0.0669734,False,0
BRINP1,0.005741856,False,0
BRINP2,0.009931682,False,0
BRINP3,0.015025556,True,0
BRK1,0.008310865,True,0
BTBD11,0.052869365,False,0
BTG1,0.07358937,False,0
BTG2,0.019967947,False,0
BTG3,0.0034146607,False,0
BUB1,0.0004895859,False,0
BVES,0.0004707921,True,0
C10orf90,0.00043222896,False,0
C12orf50,0.008452155,False,0
C14orf39,0.0012962129,False,0
C19orf25,0.011120708,False,0
C1QTNF7,0.0014383367,False,0
C1QTNF9B,0.0032833044,False,0
C1orf141,0.0112744905,False,0
C2orf27A,0.05871681,False,0
C2orf88,0.021871796,False,0
C3,1.8705047e-07,False,0
C3orf35,0.005447541,False,0
C3orf67,0.046613038,False,0
C4BPB,1.9951516e-05,False,0
C4orf47,0.013534892,False,0
C4orf48,0.0039882585,False,0
C5orf66,0.021036748,False,0
C6,0.00091924623,False,0
C8orf34-AS1,0.0026971854,False,0
C9orf16,0.00032148985,True,0
CA2,0.052857537,False,0
CA3,0.0041225743,False,0
CA3-AS1,0.020293629,True,0
CA8,0.027471758,False,0
CACHD1,0.0068598883,False,0
CACNA1C,0.045306113,False,0
CACNA1E,0.026085496,False,0
CACNA1G,0.013932855,False,0
CACNA2D1,0.041962445,False,0
CACNG4,0.0011009198,True,0
CACNG5,0.022096738,False,0
CADM1,0.0104102,False,0
CADM2,0.037986163,False,0
CADPS,0.09559186,False,0
CADPS2,0.16541173,False,0
CALCB,0.014901981,False,0
CALCR,0.004363233,False,0
CALD1,0.0002854635,False,0
CALM1,0.0010697223,False,0
CALM3,0.10455049,False,0
CALN1,0.03838249,False,0
CALY,0.016982222,False,0
CAMK2D,0.04757253,True,0
CAMK2N1,0.053299945,False,0
CAMK2N2,0.034715302,False,0
CAPG,0.014509523,False,0
CARD11,2.544412e-05,False,0
CARF,0.043802764,False,0
CASC15,0.030731063,True,0
CASC8,0.0009465412,False,0
CBFA2T2,0.05546226,False,0
CBLB,0.04645617,False,0
CBLN2,0.03691422,False,0
CCDC125,0.009028876,False,0
CCDC146,0.023308016,False,0
CCDC169,0.007732856,False,0
CCDC178,0.062309466,False,0
CCDC26,0.0064419378,False,0
CCDC3,0.029376637,False,0
CCDC69,0.08632701,False,0
CCDC8,0.009614704,False,0
CCK,0.00028846998,True,0
CCNB2,0.040062226,False,0
CCND2-AS1,0.0043534874,True,0
CCNG2,1.1338451e-05,False,0
CCNI,0.050242327,False,0
CD36,0.05630042,False,0
CD4,0.006604994,False,0
CD55,0.00048481996,False,0
CD74,7.419264e-06,False,0
CD93,0.00035624005,False,0
CD96,0.004200107,True,1
CDC14A,0.024624059,False,0
CDC14B,0.038673177,False,0
CDC25C,0.004894369,False,0
CDH10,0.022686817,False,0
CDH11,0.016795374,True,0
CDH12,0.021173785,True,0
CDH13,0.008738719,False,0
CDH18,0.0065233246,False,0
CDH2,0.02512373,True,0
CDH20,0.047489405,False,0
CDH26,0.010118388,False,0
CDH4,0.005977541,False,0
CDH6,0.033481855,True,0
CDH7,0.026256679,True,0
CDH8,0.04029453,False,0
CDK14,0.028946672,False,0
CDK19,0.0431589,False,0
CDK2AP1,0.03880296,False,0
CDK6,2.3388331e-05,False,0
CDKN1A,0.00035191703,False,0
CDKN2A,0.064311974,False,0
CDKN2B-AS1,0.019189829,False,0
CDON,0.03906281,False,0
CDYL,0.011949642,False,0
CDYL2,0.017962862,True,0
CEBPB,0.00093973527,True,0
CEBPD,0.0010204745,False,0
CEBPG,0.018267939,False,0
CECR2,0.0064290436,False,0
CELF4,0.005551712,False,0
CELF5,0.1172191,False,1
CELF6,0.032808274,False,0
CEMIP,0.03459693,False,0
CENPE,0.0006905691,False,0
CENPF,0.013347761,False,0
CEP112,0.00977321,True,0
CEP120,0.043017913,False,1
CEP128,0.0310568,False,0
CEP162,0.061464928,False,0
CERS3,0.019243972,False,0
CERS5,0.01397407,False,0
CFAP161,0.14963841,False,1
CFAP206,0.026987981,False,0
CFAP54,0.02789306,False,0
CFL2,0.047244433,False,0
CHAMP1,0.04377374,False,0
CHD1,0.024577716,True,0
CHGA,0.015754927,False,0
CHN1,0.0032279047,False,0
CHRDL1,0.050869647,True,0
CHRM2,0.008477083,True,0
CHRM5,0.008276094,False,0
CHST9,0.015982166,False,0
CHSY3,0.0450317,True,0
CHURC1,0.013254559,True,0
CIC,0.0105309095,True,0
CIITA,0.0017793771,False,0
CKLF,0.003865827,False,0
CLCN5,1.1103815e-05,True,0
CLDN11,0.0024262075,False,0
CLMN,0.00083561835,False,0
CLMP,0.009953771,False,0
CLOCK,0.015417529,True,0
CLTB,0.009392359,True,0
CLU,0.00087454263,False,0
CLVS2,0.0027616667,True,0
CMTM8,0.0073016686,False,0
CNBD1,0.005686193,True,0
CNDP1,0.00030216455,False,0
CNKSR2,0.016420858,True,0
CNKSR3,0.008387406,True,0
CNOT4,0.02945536,True,0
CNR1,0.0026153552,True,0
CNTN4,0.014340158,False,0
CNTN5,0.039176676,True,0
CNTNAP2,0.018512016,False,0
CNTNAP3,1.0990624e-05,False,0
CNTNAP5,0.018383281,False,0
COL12A1,0.028955951,True,0
COL19A1,0.0073496383,True,0
COL21A1,0.0008909107,False,0
COL23A1,0.0022205727,False,0
COL24A1,0.03801564,False,0
COL5A2,0.04315639,False,0
COMMD10,0.00912184,False,0
CPEB2,0.04936375,False,0
CPED1,0.007941326,False,0
CPLX2,0.01750603,True,0
CPNE7,0.003393352,True,0
CPQ,0.017162418,False,0
CRACR2A,0.0012395208,False,0
CRADD,0.014040559,False,0
CREB1,0.025903748,False,0
CREB3L2,0.006052274,False,0
CREB5,0.0065487386,False,0
CREM,0.016839292,False,0
CRIM1,0.03425976,False,0
CRISPLD1,0.02960574,False,0
CRTAC1,0.008451379,True,0
CRYBG3,0.016851991,False,1
CSF1R,1.5328635e-06,False,0
CTBP2,0.027965065,False,0
CTCF,0.0072205956,False,0
CTCFL,0.003637153,True,0
CTNNA2,0.042035375,False,1
CTNNA3,0.0026540994,False,0
CTNNB1,0.01785475,False,0
CTSC,0.0076406114,False,0
CUX1,0.053537715,False,0
CUX2,0.0033188814,True,0
CX3CR1,1.4408327e-05,False,0
CXADR,0.01467178,False,0
CXCL14,0.0020042297,False,0
CXXC4,0.015401412,False,0
CXXC5,0.022034135,False,0
CYP51A1,0.043185867,False,0
CYP7B1,0.021519387,True,0
CYSTM1,0.006366457,False,0
CYYR1-AS1,0.12240068,False,0
DAAM2,0.01975004,False,0
DAB1,0.018692855,False,0
DAB2,0.00089135516,False,0
DACH1,0.023057707,False,0
DAPK1,0.0279073,False,1
DBNDD2,0.0022063935,False,0
DCAF6,0.04327765,False,0
DCDC2C,0.006121763,False,0
DCX,0.02811356,False,0
DDIT3,0.0009291551,False,0
DDT,0.0011755987,False,0
DDX3Y,0.0007529018,False,0
DEAF1,0.0036480972,False,0
DENND1B,0.02754456,False,0
DENND2A,0.01684658,False,0
DGCR8,0.002659206,False,0
DGKG,2.5982913e-06,False,0
DGKH,0.051568165,True,0
DHCR24,0.035945363,False,0
DIAPH2,0.012691385,False,0
DIDO1,0.007789634,False,0
DIO2,0.05342264,False,0
DIRAS1,0.03867124,False,0
DISC1,0.04503554,False,0
DKK2,0.026033659,False,0
DLC1,0.005138767,False,0
DLEU1,6.775752e-05,False,0
DLEU2,0.033203118,True,0
DLGAP2,0.04481959,False,0
DLX1,0.049987808,False,0
DLX2,0.0020622597,False,0
DLX5,0.012826695,False,0
DLX6,0.0015355758,False,0
DMD,0.020533811,True,1
DNAH10,0.0014843831,True,0
DNAH14,0.00529629,False,0
DNAH6,0.03703164,False,0
DNAJB6,0.019306708,False,0
DNAJB8-AS1,0.016081229,False,0
DNAJC1,0.04746836,False,0
DNAJC21,0.008348899,True,0
DOCK11,0.034963574,True,0
DOCK2,6.3255206e-09,False,0
DOCK4,0.0017638417,True,0
DOCK8,4.285477e-09,False,0
DOK1,0.023911305,True,0
DOK6,0.0146952355,False,0
DPEP1,0.03146591,False,0
DPH6,0.07768289,False,0
DPP10,0.041777607,False,0
DPP10-AS1,0.05133812,False,0
DPP6,0.0011077503,False,0
DPY19L1,0.04938247,True,0
DPYD,0.04990281,False,1
DPYSL3,0.010888108,False,0
DRGX,0.0058274353,False,0
DSCAM,0.00507835,True,1
DSCAS,0.0026553595,False,0
DSE,0.03772405,False,0
DSEL,0.021976361,False,0
DSTN,0.015756369,False,0
DTNA,0.016593909,False,0
DTWD2,0.10706013,False,0
DUSP1,0.018364873,True,0
DUSP16,0.010718747,True,0
DUSP22,0.051031634,False,0
DUSP4,0.017695772,False,0
DUSP5,0.021685151,False,0
DUXA,0.0028649208,True,0
DYNC2H1,0.01615304,True,0
DYNLL2,0.016159248,False,0
E2F5,0.048034735,True,0
E2F8,0.0075998893,False,0
EBF4,0.026620146,False,0
ECE2,0.012817406,True,0
EDA,0.0051753283,False,0
EDAR,0.003016347,True,0
EDIL3,0.022160176,True,0
EDNRB-AS1,0.01413359,True,0
EEF1A2,0.0062893126,False,0
EFCAB2,0.05327926,False,0
EFNA5,0.022559946,True,0
EFNB2,0.020786624,True,0
EGFL6,0.009309921,False,0
EGFLAM,0.011732636,False,0
EGFR,0.04319093,True,0
EGLN3,0.0078607295,False,0
EGR1,0.010375997,False,0
EGR3,0.058413386,False,0
EGR4,0.013405091,False,0
EHF,0.012423609,True,0
EIF1,0.024565224,False,0
EIF1AX,0.013762763,False,0
ELAVL2,0.00049948005,False,0
ELF2,0.028180296,False,0
ELFN1,0.016433464,False,0
ELK3,8.379555e-05,False,0
ELL3,0.022347247,False,0
ELMO1,0.024936393,False,0
ELOVL2,0.00745319,False,0
ELOVL5,0.01628775,False,0
ELOVL6,0.05080776,False,0
ELOVL7,0.041280556,False,0
EMID1,0.0245358,False,0
EML6,0.008441252,False,0
EMX1,0.00019321429,False,0
ENAH,0.00075123145,False,0
ENC1,0.021414656,False,0
ENO1,0.00014560242,False,0
ENOX1,0.022368029,True,0
ENOX2,0.05553777,False,0
ENTPD1,2.6858474e-05,False,0
EP300-AS1,0.013633256,False,0
EPB41,0.012594647,False,1
EPB41L2,0.03740211,False,0
EPB41L3,0.010602039,True,0
EPB41L4A,0.00022957895,False,0
EPB41L4B,0.01606552,False,0
EPDR1,0.014951889,False,0
EPHA1-AS1,0.010770044,False,0
EPHA3,0.018402394,False,0
EPHA4,0.02754157,False,0
EPHA5,0.029542338,False,0
EPHA6,0.0020170605,True,0
EPHA7,0.014765083,True,0
EPHB1,0.03336646,False,0
EPHB6,0.01065603,True,0
EPS8,0.025345143,False,0
ERBB4,0.014539111,False,0
ERBIN,0.014843575,True,0
EREG,0.0007032084,False,0
