gene,score,validation,label
A2M,0.10794599,True,0
AAAS,0.030777369,False,0
AACS,0.07403279,True,0
AAGAB,0.033241846,False,0
AAK1,0.03169139,False,0
AARS,0.046016056,False,0
AASDHPPT,0.07336403,True,0
AATF,0.050431225,False,0
AATK,0.047605164,False,0
ABCA1,0.021887615,True,0
ABCA10,0.036529094,False,0
ABCA2,0.098287575,True,0
ABCA3,0.034192123,False,0
ABCA5,0.033173297,False,0
ABCA6,0.16907927,False,0
ABCB9,0.05849949,False,0
ABCC1,0.05434761,False,0
ABCC3,0.03230816,False,1
ABCC4,0.035635527,False,0
ABCC5,0.07482518,True,0
ABCD4,0.07743763,True,0
ABCE1,0.045217343,False,0
ABCF2,0.031728197,False,0
ABCF3,0.07504135,True,0
ABCG1,0.07939917,False,0
ABHD12,0.035097618,False,0
ABHD13,0.049613386,False,0
ABHD14A,0.042545576,False,0
ABHD17A,0.037154425,False,0
ABHD17B,0.0421233,False,0
ABHD17C,0.07317538,True,0
ABHD2,0.123484,False,0
ABHD5,0.046614762,False,0
ABHD6,0.108359806,True,0
ABHD8,0.031967554,False,0
ABI1,0.10614083,False,0
ABI3BP,0.05075231,False,0
ABL1,0.04064918,False,0
ABLIM1,0.07265817,False,0
ABLIM2,0.17406622,False,0
ABLIM3,0.070864365,False,0
ABR,0.027615191,False,0
ABTB1,0.057290744,False,0
ABTB2,0.09310804,False,0
ACAP2,0.03126203,False,0
ACAP3,0.098894164,True,0
ACAT2,0.07510996,True,0
ACBD5,0.17221081,False,0
ACHE,0.054459248,False,0
ACIN1,0.036877435,False,0
ACO1,0.06875335,True,0
ACOT8,0.036474522,False,0
ACSBG1,0.044632517,False,0
ACSL3,0.0320154,False,0
ACSL4,0.044740707,False,1
ACTL6B,0.029511608,False,0
ACTN1,0.071654424,True,0
ACTN2,0.07365282,True,0
ACTN4,0.0788062,True,0
ACTR10,0.031093955,False,0
ACTR1A,0.035990402,False,0
ACTR1B,0.06679824,True,0
ACTR3C,0.030732496,False,0
ACTR6,0.07212854,True,0
ACTRT3,0.0637501,False,0
ACVR1,0.029824715,True,0
ACVR1B,0.04226566,False,0
ACVR1C,0.027846783,True,0
ACVR2A,0.050840426,False,0
ACYP1,0.033608288,False,0
ACYP2,0.058384184,False,0
ADAM10,0.03134953,False,0
ADAM11,0.031551063,False,0
ADAM17,0.04983557,False,0
ADAM22,0.023846982,False,0
ADAM23,0.015180548,False,0
ADAM32,0.052049257,True,0
ADAM9,0.13375601,False,0
ADAMTS10,0.037798993,False,0
ADAMTS17,0.0869402,False,0
ADAMTS20,0.07944975,False,0
ADAMTS6,0.0702445,False,1
ADAMTS9,0.06264664,False,0
ADAMTS9-AS2,0.046638157,False,0
ADAMTSL1,0.036171485,False,0
ADAMTSL2,0.040110357,False,0
ADAMTSL3,0.03553616,False,0
ADAMTSL4-AS1,0.17296448,False,0
ADAP1,0.036729358,False,0
ADAP2,0.049028482,False,0
ADAR,0.06265634,True,0
ADARB1,0.052803837,False,0
ADARB2,0.03389391,False,0
ADARB2-AS1,0.074116014,False,0
ADCY1,0.07806812,True,0
ADCY3,0.03987383,False,0
ADCY5,0.038863875,False,0
ADCY6,0.029465768,False,0
ADCY7,0.066126384,False,1
ADCY8,0.03157077,False,0
ADCYAP1R1,0.061910428,True,0
ADD1,0.17287587,False,0
ADD3,0.024197586,False,0
ADD3-AS1,0.03298683,False,0
ADGRA2,0.0320691,False,0
ADGRA3,0.1065655,False,0
ADGRB1,0.13682334,False,0
ADGRB2,0.03510401,False,0
ADGRB3,0.03898031,False,0
ADGRD1,0.065043956,False,0
ADGRE2,0.066848144,False,0
ADGRF5,0.081478246,True,0
ADGRG1,0.04076742,False,0
ADGRG7,0.038698204,False,0
ADGRL1,0.049226284,False,0
ADGRL2,0.026092377,False,0
ADGRL3,0.027046382,False,0
ADGRL4,0.035178218,False,0
ADGRV1,0.04374781,True,1
ADIPOR1,0.052427925,False,0
ADK,0.044401947,False,0
ADNP,0.03622307,False,0
ADNP2,0.0414139,False,0
ADORA1,0.06300755,False,0
ADRA1A,0.07487732,False,0
ADRA1B,0.0270269,False,0
ADRB1,0.0503329,False,0
AEBP1,0.035852402,False,0
AFAP1-AS1,0.04055799,False,0
AFAP1L2,0.07892939,True,0
AFF1,0.049777307,True,0
AFF2,0.017081996,False,0
AFF3,0.030010467,False,0
AFF4,0.057420455,False,0
AGAP1,0.038035076,False,0
AGAP2,0.042117037,False,0
AGAP3,0.062466647,True,0
AGAP9,0.06831269,True,0
AGBL4,0.07085912,True,0
AGFG2,0.095499635,False,0
AGL,0.03026303,False,0
AGMO,0.01954467,True,0
AGO1,0.03859978,False,0
AGO2,0.034601215,False,0
AGO3,0.03074623,False,0
AGO4,0.0525706,True,0
AGPAT1,0.06102452,True,0
AGPAT3,0.03256577,False,0
AGPS,0.03540713,False,0
AHCTF1,0.039947644,False,0
AHCYL2,0.06709472,False,0
AHDC1,0.043972634,False,1
AHI1,0.045187335,False,0
AHNAK,0.17627777,False,0
AHR,0.04417348,False,0
AHSA1,0.03357847,False,0
AIG1,0.036352355,False,0
AJAP1,0.0356871,False,0
AK1,0.03558782,False,0
AK5,0.08445624,True,0
AK6,0.16812758,False,0
AKAIN1,0.044233173,False,0
AKAP11,0.07381399,True,0
AKAP12,0.06752669,True,0
AKAP13,0.023310894,False,0
AKAP5,0.040616676,False,0
AKAP6,0.03341755,False,0
AKAP9,0.038335964,False,1
AKIRIN1,0.069945045,True,0
AKIRIN2,0.04000469,False,0
AKNA,0.037645936,False,0
AKNAD1,0.056084745,False,0
AKR1B1,0.06989585,True,0
AKT1,0.052805267,False,1
AKT2,0.05461289,True,0
AKT3,0.047770493,True,0
AKTIP,0.039203543,False,0
ALCAM,0.04971868,False,1
ALDH1A1,0.06551477,False,0
ALDH1A2,0.058859378,False,0
ALDH1A3,0.08744647,False,0
ALDOC,0.031078935,False,0
ALG1L9P,0.026380839,False,0
ALG8,0.07138622,True,0
ALK,0.03470019,False,0
ALKBH3,0.046750993,False,0
ALKBH5,0.027106639,False,0
ALMS1,0.032794036,False,0
ALOX12-AS1,0.05102771,False,0
ALPK1,0.033552386,False,0
ALS2,0.03800304,False,0
AMBN,0.05108905,False,0
AMBRA1,0.040167417,False,0
AMFR,0.033502687,False,0
AMH,0.0743573,False,0
AMMECR1,0.03197807,True,0
AMOT,0.057721183,False,0
AMOTL1,0.032267727,False,0
AMPD2,0.031155113,False,0
AMPD3,0.06853706,True,0
AMZ1,0.09466468,False,1
ANAPC10,0.032328874,False,0
ANAPC11,0.02595269,False,0
ANAPC15,0.04341045,False,0
ANAPC5,0.031560402,False,0
ANAPC7,0.07562975,True,0
ANGPTL1,0.07122023,False,0
ANK1,0.016832275,False,0
ANK3,0.06032191,True,0
ANKFN1,0.0702044,False,0
ANKHD1,0.039624862,False,0
ANKLE2,0.042181447,False,0
ANKMY1,0.033542052,False,0
ANKRD10,0.026456535,False,0
ANKRD11,0.032591924,False,0
ANKRD12,0.043036282,False,0
ANKRD13A,0.04026436,False,0
ANKRD13D,0.03147505,False,0
ANKRD16,0.08683826,False,0
ANKRD17,0.056559786,True,0
ANKRD26,0.07926258,True,0
ANKRD27,0.06181404,False,0
ANKRD28,0.05329862,False,0
ANKRD30B,0.05207755,False,0
ANKRD30BL,0.07449118,False,0
ANKRD33B,0.03373315,False,0
ANKRD34B,0.04290876,False,0
ANKRD34C-AS1,0.021864047,False,0
ANKRD36,0.040056624,False,0
ANKRD36C,0.04900229,False,0
ANKRD39,0.04078329,False,0
