gene,score,validation,label
A2M,0.022765737,False,0
AACS,0.03940325,False,0
AAK1,0.01062628,False,0
AAMDC,0.02061667,False,0
AARS,0.042276144,False,0
AASDHPPT,0.015731942,False,0
AATK,0.059714433,False,0
ABCA1,0.05014464,False,0
ABCA10,0.08565093,False,0
ABCA2,0.017923178,False,0
ABCA5,0.077176236,False,0
ABCA6,0.08040179,False,0
ABCB1,0.016818732,False,0
ABCB9,0.014663407,False,0
ABCC3,0.010919691,False,1
ABCC4,0.033910047,False,0
ABCC5,0.022491386,False,0
ABCC9,0.022214403,False,0
ABCD4,0.042406075,False,0
ABCE1,0.07308405,False,0
ABCF3,0.017376829,False,0
ABCG1,0.029406896,False,0
ABCG2,0.040758885,False,0
ABHD12,0.09551969,True,0
ABHD12B,0.04089297,True,0
ABHD13,0.045806296,False,0
ABHD14A,0.016480515,False,0
ABHD17A,0.015433786,False,0
ABHD17B,0.03463266,False,0
ABHD17C,0.07398973,False,0
ABHD2,0.026407639,True,0
ABHD3,0.061749093,False,0
ABHD5,0.042553656,False,0
ABHD6,0.083222754,True,0
ABHD8,0.06985604,False,0
ABI1,0.010454706,False,0
ABL1,0.012428198,True,0
ABLIM1,0.006866115,False,0
ABLIM2,0.016525356,False,0
ABLIM3,0.006306591,False,0
ABR,0.04822111,True,0
ABRA,0.04885093,False,0
ABTB2,0.06310927,True,0
ACAP2,0.012754576,True,0
ACAP3,0.021412792,False,0
ACER2,0.01616366,False,0
ACER3,0.016148478,False,0
ACHE,0.02719288,False,0
ACIN1,0.06660041,True,0
ACO1,0.08330616,True,0
ACP7,0.052900616,False,0
ACPP,0.044056658,False,0
ACSBG1,0.07070993,False,0
ACSL3,0.047789287,False,0
ACSL4,0.050840426,False,1
ACTB,0.03766204,True,0
ACTG2,0.03701402,False,0
ACTL6B,0.07287363,True,0
ACTN1,0.045931347,False,0
ACTN2,0.009372284,False,0
ACTR1A,0.042180832,False,0
ACTR1B,0.017309736,False,0
ACTR2,0.013965989,False,0
ACTR3,0.037212443,False,0
ACTR6,0.12750661,False,0
ACVR1,0.040126614,False,0
ACVR1B,0.07577874,True,0
ACVR1C,0.056958437,False,0
ACVR2A,0.018482774,False,0
ACYP1,0.048360292,False,0
ACYP2,0.05189772,False,0
ADA,0.03146318,False,0
ADAM10,0.013332403,False,0
ADAM11,0.016464848,False,0
ADAM17,0.0426614,False,0
ADAM22,0.086342394,True,0
ADAM23,0.043997105,True,0
ADAM28,0.032761414,False,0
ADAM9,0.05347726,False,0
ADAMTS10,0.07607495,False,0
ADAMTS12,0.05784549,True,0
ADAMTS13,0.09902843,True,0
ADAMTS14,0.035629578,False,0
ADAMTS17,0.04468221,False,0
ADAMTS20,0.07058918,False,0
ADAMTS3,0.026133295,False,0
ADAMTS5,0.059455216,False,0
ADAMTS6,0.011266912,False,1
ADAMTS9,0.016484743,False,0
ADAMTS9-AS2,0.05181281,False,0
ADAMTSL1,0.011367575,False,0
ADAMTSL2,0.06323106,False,0
ADAMTSL3,0.016510762,False,0
ADAMTSL4-AS1,0.07529118,False,0
ADAP2,0.06037247,False,0
ADAR,0.050332546,False,0
ADARB1,0.08529955,False,0
ADARB2,0.04424898,False,0
ADARB2-AS1,0.040639658,False,0
ADCY1,0.06326615,False,0
ADCY2,0.036516275,False,0
ADCY3,0.04366942,True,0
ADCY5,0.05471949,False,0
ADCY6,0.05731196,False,0
ADCY7,0.05487874,False,1
ADCY8,0.0643462,False,0
ADCYAP1R1,0.008739265,True,0
ADD1,0.014338061,False,0
ADD3,0.03951097,False,0
ADD3-AS1,0.06499148,False,0
ADGRA3,0.09758559,True,0
ADGRB1,0.011631563,False,0
ADGRB2,0.017680816,False,0
ADGRB3,0.0466379,False,0
ADGRE2,0.04144213,False,0
ADGRE5,0.018616129,False,0
ADGRF5,0.009974337,True,0
ADGRG1,0.04162305,False,0
ADGRL1,0.08177844,False,0
ADGRL2,0.01327385,True,0
ADGRL3,0.035596777,False,0
ADGRL4,0.010136108,True,0
ADGRV1,0.067935966,False,1
ADIPOR2,0.024091858,False,0
ADK,0.056660287,False,0
ADM,0.03274706,False,0
ADNP,0.05148743,True,0
ADNP2,0.05481608,False,0
ADORA1,0.041477095,False,0
ADPGK,0.08670703,False,0
ADRA1A,0.05682845,False,0
ADRA1B,0.019593822,True,0
ADRM1,0.038998004,False,0
AEBP1,0.04281726,False,0
AFAP1L1,0.013856941,False,0
AFAP1L2,0.088464975,True,0
AFF1,0.03090466,False,0
AFF2,0.03612646,False,0
AFF3,0.067911126,True,0
AFF4,0.020763783,False,0
AFTPH,0.07251731,False,0
AGAP1,0.03570867,False,0
AGAP2,0.036241233,False,0
AGAP3,0.016178953,False,0
AGAP9,0.04634317,False,0
AGBL4,0.031197077,False,0
AGFG1,0.04480746,False,0
AGFG2,0.06147734,False,0
AGL,0.017147576,False,0
AGMO,0.05465076,False,0
AGO1,0.03289439,False,0
AGO2,0.015629932,False,0
AGO3,0.032338254,False,0
AGPAT3,0.021344451,False,0
AGPS,0.0563128,False,0
AHCTF1,0.03437616,False,0
AHCYL2,0.02577543,False,0
AHDC1,0.029922036,False,1
AHI1,0.0358478,False,0
AHNAK,0.019090483,False,0
AHR,0.012360809,False,0
AHRR,0.04399266,False,0
AHSA1,0.062728286,False,0
AIF1L,0.013110662,False,0
AIG1,0.013219151,False,0
AJAP1,0.060604654,True,0
AK5,0.021773761,False,0
AK6,0.013662758,True,0
AK7,0.015299946,False,0
