gene,score,validation,label
A2M,0.058203526,False,0
AACS,0.0437714,False,0
AAGAB,0.059098683,False,0
AAK1,0.04581799,False,0
AARS,0.04178584,False,0
AASDHPPT,0.05673312,False,0
AATF,0.06678099,True,0
AATK,0.047622617,False,0
ABCA1,0.047602504,False,0
ABCA10,0.043787483,False,0
ABCA2,0.046227243,False,0
ABCA3,0.024628697,False,0
ABCA4,0.063254,True,0
ABCA5,0.061312117,True,0
ABCA6,0.043622702,False,0
ABCB9,0.043676052,False,0
ABCC3,0.035835464,False,1
ABCC4,0.032226577,False,0
ABCC5,0.061319362,True,0
ABCD4,0.04825636,False,0
ABCE1,0.050696578,False,0
ABCF3,0.047769565,False,0
ABCG1,0.046523325,False,0
ABHD12,0.04612018,False,0
ABHD13,0.050685465,False,0
ABHD14A,0.071284,False,0
ABHD17A,0.04209273,False,0
ABHD17B,0.04551235,False,0
ABHD17C,0.06456131,False,0
ABHD2,0.052917797,False,0
ABHD3,0.051948126,False,0
ABHD5,0.047258783,False,0
ABHD6,0.04902795,False,0
ABHD8,0.055545624,False,0
ABI1,0.058947206,False,0
ABL1,0.05574527,True,0
ABLIM1,0.04710668,False,0
ABLIM2,0.05063,False,0
ABLIM3,0.043466497,False,0
ABR,0.033074822,False,0
ABTB2,0.04928119,False,0
AC0021266,0.069653735,True,0
ACAP2,0.050042305,False,0
ACAP3,0.04525432,False,0
ACBD5,0.036755435,False,0
ACHE,0.06287648,False,0
ACIN1,0.055677652,False,0
ACO1,0.040914614,False,0
ACOT8,0.06492977,True,0
ACOXL,0.044464808,False,0
ACSBG1,0.046876434,False,0
ACSL3,0.04447441,False,0
ACSL4,0.05055755,False,1
ACTB,0.065289505,False,0
ACTG1,0.06808129,False,0
ACTN1,0.060194906,False,0
ACTN2,0.06363126,False,0
ACTN4,0.0624229,True,0
ACTR1A,0.05768861,False,0
ACTR1B,0.05475516,False,0
ACTR2,0.05011687,True,0
ACTR6,0.06527736,True,0
ACVR1,0.03811772,False,0
ACVR1B,0.042687684,False,0
ACVR1C,0.05513464,True,0
ACVR2A,0.041908596,False,0
ACYP1,0.04872156,False,0
ACYP2,0.058340434,False,0
ADA,0.03819334,False,0
ADAM10,0.049674343,False,0
ADAM11,0.06636474,False,0
ADAM17,0.043550007,False,0
ADAM22,0.045879524,False,0
ADAM23,0.042080365,False,0
ADAM28,0.05314573,True,0
ADAM9,0.057861783,True,0
ADAMTS10,0.06523246,False,0
ADAMTS14,0.047563713,False,0
ADAMTS17,0.043675024,False,0
ADAMTS20,0.06833476,True,0
ADAMTS3,0.045459393,True,0
ADAMTS6,0.062576756,True,1
ADAMTS9,0.06110232,False,0
ADAMTS9-AS2,0.04704335,False,0
ADAMTSL1,0.048646543,False,0
ADAMTSL2,0.05859472,True,0
ADAMTSL3,0.064310454,True,0
ADAMTSL4-AS1,0.05136385,True,0
ADAP2,0.04726562,False,0
ADAR,0.041998472,False,0
ADARB1,0.0437737,False,0
ADARB2,0.062485695,False,0
ADARB2-AS1,0.045104023,False,0
ADCY1,0.06528106,False,0
ADCY3,0.061908543,False,0
ADCY5,0.04870916,False,0
ADCY6,0.04152912,False,0
ADCY7,0.04542719,False,1
ADCY8,0.042910114,True,0
ADCYAP1R1,0.04978943,False,0
ADD1,0.06429472,True,0
ADD3,0.0465254,False,0
ADD3-AS1,0.037766833,True,0
ADGRA1,0.048970982,False,0
ADGRA2,0.048963983,False,0
ADGRA3,0.060927626,False,0
ADGRB1,0.048498303,False,0
ADGRB2,0.043964952,False,0
ADGRB3,0.06671155,True,0
ADGRE2,0.042100247,False,0
ADGRE5,0.05038887,False,0
ADGRF5,0.06717897,True,0
ADGRG1,0.05976342,False,0
ADGRG7,0.044960387,True,0
ADGRL1,0.06533815,False,0
ADGRL2,0.05812537,False,0
ADGRL3,0.027989069,False,0
ADGRL4,0.048060548,False,0
ADGRV1,0.045552302,False,1
ADK,0.066011615,False,0
ADNP,0.014063004,True,0
ADNP2,0.03525021,False,0
ADORA1,0.058504067,False,0
ADPGK,0.05558116,True,0
ADRA1A,0.05327471,False,0
ADRA1B,0.049455725,False,0
AEBP1,0.05207885,False,0
AFAP1L2,0.053571012,True,0
AFF1,0.03986419,True,0
AFF2,0.044741128,False,0
AFF3,0.049113523,False,0
AFF4,0.007989371,True,0
AFTPH,0.049348533,False,0
AGAP1,0.044779178,False,0
AGAP2,0.06322707,False,0
AGAP3,0.052315272,False,0
AGAP9,0.047810663,False,0
AGBL4,0.065277256,True,0
AGFG1,0.044788208,False,0
AGFG2,0.07202617,False,0
AGL,0.06800677,False,0
AGMO,0.038227018,True,0
AGO1,0.06715158,True,0
AGO2,0.045270156,False,0
AGO3,0.06095204,False,0
AGO4,0.06492214,False,0
AGPAT3,0.044407345,False,0
AGPS,0.03566817,False,0
AGRN,0.043890867,False,0
AHCTF1,0.032305337,False,0
AHCYL2,0.061145436,True,0
AHDC1,0.034578174,False,1
AHNAK,0.061093297,False,0
AHR,0.04819634,False,0
AHSA1,0.064030014,True,0
AIG1,0.055217594,False,0
AJAP1,0.055255864,False,0
AK5,0.060837504,False,0
AK6,0.050501328,False,0
AKAIN1,0.043370504,False,0
AKAP11,0.052294955,False,0
AKAP13,0.057205517,True,0
AKAP5,0.049954746,False,0
AKAP9,0.069388695,False,1
AKIRIN1,0.040133808,False,0
AKNA,0.048569214,False,0
AKNAD1,0.05173824,False,0
AKR1B1,0.06374777,True,0
AKT2,0.0457656,False,0
AKT3,0.048467644,False,0
AKTIP,0.045309793,False,0
AL6628334,0.048848283,False,0
AL7735441,0.06404835,False,0
ALCAM,0.014095969,False,1
ALDH16A1,0.046861477,False,1
