gene,score,validation,label
AAGAB,0.99814475,False,-1
AATF,9.033186e-06,False,-1
ABCA1,0.6108842,False,-1
ABCA3,1.0839878e-07,False,-1
ABCA4,2.7186946e-09,False,-1
ABHD17B,0.99571276,False,-1
ABHD5,0.0029642927,False,-1
ABL1,0.9842684,False,-1
ACOXL,1.5085993e-07,False,-1
ACTB,0.0003046711,False,-1
ACTG1,0.029332502,False,-1
ACTN2,0.018373875,False,-1
ACVR1,0.094548635,False,-1
ACVR1C,0.08381478,False,-1
ADAM23,0.38653538,False,-1
ADAMTS3,0.8719717,False,1
ADARB1,0.0045596273,False,-1
ADARB2,0.15064166,False,-1
ADCY8,0.00045329655,False,-1
ADD3,0.38216504,False,-1
ADD3-AS1,0.037144393,False,-1
ADGRG7,2.7521633e-06,False,-1
ADGRL2,0.00046204962,False,-1
ADGRL3,0.89580035,False,-1
ADNP,0.060495466,False,-1
ADNP2,0.028526306,False,-1
AFF4,0.060684133,False,-1
AHCTF1,0.31043905,False,-1
AHDC1,0.020830628,False,-1
AHR,0.012011017,False,-1
AJAP1,0.9577879,False,-1
AK5,0.023947442,False,-1
AKAIN1,2.2014274e-06,False,0
AKAP13,0.0801551,False,-1
ALCAM,0.0027143143,False,-1
ALDH1A2,0.06660996,False,-1
ALK,0.60736126,False,-1
ALOXE3,1.6977586e-10,False,-1
AMMECR1,0.47633782,False,-1
ANAPC13,3.671842e-06,False,-1
ANAPC15,0.8469668,False,-1
ANK1,0.08378462,False,-1
ANKRD30B,0.0038615072,False,-1
ANKRD34B,0.034909848,False,-1
ANKRD50,0.41181564,False,-1
ANKRD55,0.6817398,False,-1
ANO6,0.09439091,False,-1
ANTXR1,3.3555138e-05,False,-1
ANXA11,0.012705696,False,0
ANXA4,0.0013651261,False,-1
AOAH,0.0011765587,False,-1
AP1S2,0.24787964,False,0
APBB1IP,0.000112541355,False,-1
APBB2,0.45348155,False,-1
APLF,3.836873e-07,False,-1
APLP2,0.97445774,False,-1
ARAP2,0.12719351,False,-1
ARC,1.9935958e-05,False,-1
ARHGAP10,0.9859736,False,-1
ARHGAP15,0.50025207,False,-1
ARHGAP24,0.41154087,False,-1
ARHGAP42,0.004744015,False,-1
ARHGAP6,0.023452083,False,0
ARHGEF28,0.6433765,False,-1
ARHGEF37,0.0001160442,False,-1
ARHGEF6,0.81801045,False,-1
ARID3A,1.9701972e-06,False,-1
ARID3B,0.002482272,False,-1
ARID5B,0.6103096,False,-1
ARL4C,0.013742993,False,-1
ARL5C,0.017852994,False,-1
ARL6,0.03360925,False,-1
ARL6IP1,0.05023477,False,-1
ARMC2,0.8416719,False,-1
ARNT2,0.018587798,False,-1
ARNTL,0.01890766,False,-1
ARNTL2,0.53509253,False,-1
ARPP21,3.3164888e-10,False,-1
ARSB,0.27346474,False,-1
ARSG,0.0021167628,False,-1
ARX,0.02771781,False,-1
ASAP1,0.9990201,False,-1
ASCL1,0.13031445,False,-1
ASIC4,0.3165548,False,-1
ASXL3,0.9422892,False,-1
ATF2,0.6415034,False,-1
ATF3,0.00024361418,False,0
ATG10,0.7087214,False,-1
ATP1B3,0.8317549,False,-1
ATP2B4,0.77096343,False,-1
ATP6V1D,0.002571752,False,-1
ATP6V1E2,0.061710324,False,-1
ATP6V1G1,0.00033016436,False,-1
ATP8B1,0.008556021,False,-1
ATRNL1,0.8558957,False,-1
ATXN7L3B,0.40546346,False,-1
AZIN1-AS1,2.6885507e-05,False,-1
B3GLCT,0.92070895,False,-1
B4GALT6,0.38615033,False,-1
BACH1,0.2858967,False,-1
BACH2,0.039627425,False,-1
BASP1,0.10707058,False,-1
BAZ1A,0.14322768,False,-1
BBX,0.019639736,False,-1
BCL11A,0.012422452,False,-1
BCL11B,0.30563292,False,-1
BCL6,0.05616783,False,-1
BCLAF1,0.035321023,False,-1
BEX2,4.5266456e-06,False,0
BEX3,0.014826376,False,-1
BEX4,1.0507678e-06,False,0
BEX5,1.6934946e-08,False,0
BHLHE40,0.22420873,False,-1
BHLHE41,0.9351684,False,-1
BMPER,0.012267178,False,-1
BPTF,0.9426809,False,-1
BRF1,0.033621337,False,-1
BRINP2,1.5339032e-05,False,-1
BRINP3,0.3617316,False,-1
BRK1,0.003940736,False,-1
BTBD16,0.99999726,False,-1
BTBD9,0.013130531,False,-1
BUB1,0.94590586,False,-1
BUB1B,0.0019061512,False,-1
C11orf52,0.999495,False,-1
C11orf65,1.0088997e-05,False,-1
C16orf95,0.10300839,False,-1
C19orf25,0.005863423,False,-1
C2CD2,0.029905433,False,-1
C4orf51,0.86003107,False,-1
C6,0.4026002,False,-1
CA2,0.03367322,False,-1
CA3,0.09102511,False,-1
CACHD1,0.9124869,False,-1
CACNA1D,0.6349913,False,-1
CACNA1E,0.0010122817,False,-1
CACNA2D1,0.1674548,False,-1
CACNG4,0.99975413,False,-1
CADM1,0.04820412,False,-1
CADPS,0.91085535,False,-1
CADPS2,0.5051442,False,-1
CALB1,0.1479766,False,-1
CALM1,0.00037347025,False,-1
CALN1,0.9870281,False,-1
CALY,0.00016564503,False,-1
CAMK2D,0.7607323,False,-1
CAMK2N1,0.288853,False,-1
CAMK2N2,6.4777026e-08,False,-1
CASC15,0.0035285554,False,-1
CAST,0.9860027,False,-1
CBFA2T2,0.08081432,False,-1
CBFA2T3,0.09631147,False,-1
CBLN2,0.0053852443,False,-1
CCBE1,4.9017473e-08,False,-1
CCDC184,0.00021976659,False,-1
CCDC25,0.902604,False,-1
CCK,0.038656235,False,-1
CCNG2,0.9999062,False,-1
CCNI,0.042203993,False,-1
CCNT2,0.0015181907,False,-1
CCSER1,1.5710127e-07,False,-1
CD163L1,0.9804741,False,-1
CD24,0.9282888,False,-1
CD59,5.512049e-05,False,-1
CD81,0.11107235,False,-1
CD8A,0.98589015,False,-1
CD9,8.698455e-07,False,-1
CDC14B,0.85567856,False,-1
CDC5L,0.03842552,False,-1
CDH11,0.8866411,False,-1
CDH2,0.00035899915,False,-1
CDH20,0.9583338,False,-1
CDH4,0.9828183,False,-1
CDH7,0.18606651,False,-1
CDH8,0.5761019,False,-1
CDK14,0.9675625,False,-1
CDK6,0.060304124,False,-1
CDKL1,0.98528636,False,-1
CDKN2B-AS1,0.22428495,False,-1
CEBPA,6.780577e-06,False,-1
CEBPB,0.9901335,False,-1
CELF2,0.96887165,False,1
CELF4,0.018944783,False,-1
CELF5,0.00022510535,False,-1
CEMIP,0.619372,False,-1
CERS2,0.00011981112,False,-1
CERS3,0.496872,False,-1
CFAP46,8.3956344e-08,False,-1
CFL2,0.12302238,False,-1
CHAMP1,0.0037753182,False,-1
CHD1,0.1837754,False,-1
CHGA,0.011629205,False,-1
CHGB,0.076094784,False,-1
CHL1,0.48483774,False,1
CHN1,0.23671068,False,0
CHRM2,0.002578947,False,-1
CHRM5,0.0061293365,False,-1
CHST9,0.00016305932,False,-1
CHSY3,0.85974294,False,-1
CHURC1,0.040834095,False,-1
CIB1,0.14475279,False,-1
CLEC11A,4.110089e-05,False,-1
CLEC19A,1.7351322e-05,False,-1
CLIC4,0.00033442202,False,0
CLOCK,0.13366623,False,-1
CLTB,8.014784e-06,False,-1
CLU,0.00011067195,False,-1
CMTM8,2.4363942e-07,False,-1
CNKSR2,0.22146803,False,-1
CNOT3,0.002410448,False,-1
CNOT4,0.09962541,False,-1
CNR1,0.79015946,False,1
CNTN4,0.43943703,False,-1
CNTN4-AS2,9.219154e-07,False,-1
CNTNAP3,0.19796735,False,-1
CNTNAP3B,0.7678953,False,-1
COBLL1,0.32036355,False,-1
COL19A1,0.0016497595,False,-1
COL23A1,5.5459623e-05,False,-1
COL4A5,9.733199e-07,False,-1
COL9A1,1.3801083e-06,False,-1
CPE,0.014497304,False,-1
CPED1,0.07935753,False,-1
CPM,0.99869376,False,-1
CPNE2,0.0044948705,False,-1
CPNE7,1.6683422e-06,False,-1
CPQ,4.1036755e-10,False,-1
CPXM2,2.9498917e-05,False,-1
CREB1,0.045165084,False,-1
CREB5,0.05077813,False,-1
CREBL2,0.22251405,False,-1
CREG2,0.08268686,False,-1
CREM,0.027151328,False,-1
CRIM1,0.6786851,False,-1
CRISPLD1,0.15088627,False,-1
CRTAC1,0.00033286185,False,-1
CRYBG3,0.0013460724,False,0
CSF1R,0.00012949655,False,-1
CSGALNACT1,0.022187172,False,-1
CSMD1,0.1647158,False,-1
CSTF2,4.631927e-10,False,-1
CTBP2,0.000380348,False,-1
CTCF,0.011086659,False,-1
CTNNA2,0.2991829,False,-1
CTNNB1,0.50604135,False,-1
CTNND2,0.88784575,False,-1
CTSC,0.9892508,False,-1
CTSS,0.09421768,False,-1
CUX1,0.43620208,False,-1
CUX2,0.040634137,False,-1
CXCL14,0.9913932,False,-1
CXXC5,0.006666269,False,-1
DAB1,0.0012551742,False,-1
DACH1,1.824008e-05,False,-1
DAPK1,0.2852421,False,-1
DBNDD2,0.92865413,False,-1
DBP,0.0017621993,False,0
DBX2,7.287977e-05,False,-1
DCBLD2,7.2101648e-06,False,-1
DCHS2,7.630589e-07,False,-1
DCN,0.99342644,False,-1
DCX,0.00047516238,False,-1
DDIT3,0.0005069506,False,-1
DDR2,0.00024841123,False,-1
DDT,1.2905546e-06,False,-1
DEK,0.016124114,False,-1
DENND2C,0.10642682,False,-1
DGKH,0.3572835,False,-1
DLEU2,0.9213036,False,-1
DLG1,0.89677376,False,1
DLGAP2,0.93566674,False,-1
DLX1,0.009232136,False,-1
DLX2,2.6265361e-06,False,-1
DLX5,3.309516e-08,False,-1
DLX6,0.0004142768,False,-1
DLX6-AS1,0.00019883494,False,-1
DNAH14,0.3729393,False,-1
DNAH17,0.832522,False,-1
DNAJC21,0.000563918,False,-1
DNAJC8,0.0027304578,False,-1
DNM3,0.22514045,False,-1
DNTTIP1,2.34602e-07,False,-1
DOC2B,0.96124387,False,-1
DOCK9,4.1969165e-13,False,-1
DOK3,7.6916615e-07,False,-1
DOK6,0.00018881942,False,-1
DPH6,2.2769705e-06,False,-1
DPP10,0.00012107583,False,-1
DPP10-AS1,0.0149508,False,-1
DPP6,0.059634056,False,-1
DPY19L1,0.0029666144,False,-1
DPYD,0.9827436,False,1
DPYSL5,0.24014539,False,-1
DR1,0.82949847,False,-1
DRD3,0.86119264,False,1
DRGX,6.8364434e-06,False,-1
DSE,0.34338382,False,-1
DSEL,1.9468616e-06,False,-1
DSP,0.9302351,False,-1
DTNA,9.383727e-08,False,-1
DUSP1,2.7764088e-07,False,0
DUSP16,0.12956044,False,-1
DUSP4,0.0019061782,False,-1
E2F4,0.025717208,False,-1
E2F5,2.3599664e-07,False,-1
E2F8,1.0933304e-05,False,-1
EBF1,0.0011094433,False,0
ECE2,1.705427e-07,False,-1
EDIL3,0.14358999,False,-1
EDNRA,8.703138e-06,False,-1
EEF1A1,0.0040997015,False,-1
EEF1A2,3.3208646e-06,False,-1
EFCAB2,0.0011011903,False,-1
EFHC2,0.00012260966,False,-1
EFNA5,0.67459154,False,-1
EFNB2,0.73384565,False,-1
EGR1,2.7187536e-07,False,0
EGR3,1.6736945e-05,False,0
EID1,0.019042267,False,-1
EID2B,0.9898699,False,-1
EIF1,0.19143623,False,-1
EIF1AX,0.3109186,False,-1
EIF4A2,0.06850222,False,-1
EIF4G2,0.35175237,False,-1
ELAVL2,1.6865054e-09,False,-1
ELAVL4,0.96089077,False,-1
ELF2,0.023469388,False,-1
ELF5,0.0011421927,False,-1
ELFN1,0.939028,False,-1
ELK4,0.11952952,False,-1
ELOVL6,0.7642058,False,-1
ELOVL7,0.18316612,False,-1
EMB,8.728399e-05,False,-1
ENC1,0.016502766,True,0
ENOSF1,0.96527094,False,-1
ENOX1,0.9664207,False,-1
ENPEP,0.037836254,False,-1
ENPP3,0.65763617,False,-1
EPAS1,0.19998907,False,0
EPB41,0.16287145,False,-1
EPB41L4A,0.5369853,False,-1
EPHA4,0.95638686,False,-1
EPHA5,0.021578813,False,-1
EPHA6,0.78104,False,-1
EPHA7,0.0006677439,False,-1
EPHB1,0.031327844,False,-1
EPHB6,0.18668275,True,0
EPS8,0.4705369,False,-1
ERBB3,1.4169424e-07,False,-1
ERG,0.86143965,False,-1
ERMN,9.95897e-06,False,-1
ESR2,0.9631141,False,-1
ESRP1,8.45115e-07,False,-1
ESRRA,0.9700189,False,-1
ESRRG,0.69066745,False,-1
ESYT3,8.537564e-06,False,-1
ETS2,0.0007932554,False,-1
ETV3,0.74407065,False,-1
ETV5,0.016435422,False,-1
EVC,0.105585895,False,-1
EXO1,0.42481726,False,-1
EZH2,0.02112923,False,-1
EZR,1.3754706e-08,False,-1
FAM102B,0.11693545,False,-1
FAM107B,0.0136911385,False,0
FAM110B,5.03858e-07,False,-1
FAM114A1,1.4065171e-05,False,-1
FAM126A,0.015741419,False,-1
FAM135B,0.9209993,False,-1
FAM153A,0.29514894,False,-1
FAM153B,0.1747261,False,-1
FAM160A1,0.07148953,False,-1
FAM162B,0.029905582,False,-1
FAM167A,2.0060335e-07,False,-1
FAM189A1,0.006955395,False,-1
FAM189A2,0.06398196,False,-1
FAM222A,4.5025254e-07,False,-1
FAM230C,0.9901299,False,-1
FAM78B,0.8137385,False,-1
FANK1,0.3440713,False,-1
FAR2,0.78763765,False,-1
FAT1,0.83913875,False,-1
FAT4,0.17686246,False,-1
FAU,0.69218326,False,-1
FAXDC2,0.0006166768,False,-1
FBLN2,6.548499e-08,False,-1
FBN2,0.16067064,False,-1
FBN3,0.99879706,False,-1
FBXL7,0.99709547,False,-1
FBXO32,0.04000668,False,-1
FBXO5,0.153566,False,-1
FBXO8,0.04033726,False,-1
FBXW7,0.16273846,False,-1
FEZ1,0.0094497055,False,-1
FGD3,0.1065063,False,-1
FGF1,9.711959e-10,False,-1
FGF2,0.0032867095,False,0
FGFR2,0.0004915944,False,-1
FHL1,0.16662796,False,-1
FIGN,0.6030193,False,-1
FILIP1L,3.5961039e-06,False,-1
FKBP5,0.090497725,False,-1
FLI1,0.9171392,False,-1
FLRT2,0.8224285,False,-1
FLRT3,0.44524908,False,-1
FMN1,0.9161382,False,-1
FNDC3A,0.04664035,False,-1
FNDC3B,0.68697,False,-1
FOS,4.935521e-07,False,-1
FOSB,4.350061e-07,False,0
FOSL1,0.44005063,False,-1
FOXE3,6.51359e-06,False,-1
FOXG1,0.98118055,False,-1
FOXJ2,0.97443414,False,-1
FOXJ3,0.43776813,False,-1
FOXK1,0.5665449,False,-1
FOXN2,0.024016112,False,-1
FOXN3,0.07387956,False,-1
FOXO1,0.8941379,False,-1
FOXP1,0.87072694,False,-1
FOXP2,0.09925105,False,-1
FRAS1,0.0066627334,False,-1
FREM1,0.002969993,False,-1
FRMD5,0.93066967,False,-1
FRMD6,0.6694554,False,-1
FRMPD3,2.4838038e-09,False,-1
FRMPD4,0.9132221,False,-1
FSTL4,6.129001e-08,False,-1
FSTL5,0.00035028762,False,-1
FTCDNL1,0.012424745,False,-1
FTL,0.00061441696,False,-1
FUT9,0.002654992,False,-1
FZD9,1.7834446e-07,False,-1
G0S2,3.1909913e-05,False,-1
GABPA,0.19027695,False,-1
GABPB1,0.00018924424,False,-1
GABRA2,0.81228465,False,-1
GABRA6,0.81398606,False,1
GACAT2,0.25630432,False,-1
GAD2,0.8747579,False,1
GADD45G,0.002763803,False,0
GALNT13,0.30198777,False,-1
GALNT14,0.08567127,False,-1
GALNT18,0.9952756,False,-1
GALNT7,0.024196448,False,-1
GALNTL6,0.66211975,False,-1
GALR1,0.9963325,False,-1
GAREM1,0.0033168965,False,-1
GAS2,0.01568547,False,-1
GATAD1,0.27170995,False,-1
GATAD2A,9.889444e-07,False,-1
GCK,2.5397572e-05,False,-1
GCM2,9.8666416e-05,False,-1
GFI1B,0.059849408,False,-1
GFRAL,5.9325055e-07,False,-1
GIPR,0.9993013,False,-1
GLCE,0.5258514,False,-1
GLIS1,0.042838126,False,-1
GLIS3,0.85056853,False,-1
GLRA2,0.0006305715,False,-1
GLRX,7.691663e-10,False,-1
GMEB1,0.825945,False,-1
GNAI1,0.0941987,False,-1
GNAO1,0.73612076,False,-1
GNAS,0.057411756,False,-1
GNB4,0.18589574,False,-1
GNG12,0.00086190325,False,-1
GNG4,0.9405045,False,-1
GOLIM4,2.9021514e-08,False,-1
GOT1,0.0026742471,True,0
GPBP1L1,0.5518366,False,-1
GPC6,0.0501699,False,-1
GPR158,0.017530808,False,-1
GPR160,0.0011220896,False,-1
GPR176,0.84486353,False,-1
GPR22,0.86420035,False,-1
GPR37,0.98642284,False,-1
GPR78,0.99954164,False,-1
GPRIN3,0.3694798,False,-1
GPSM2,0.12278006,False,-1
GRAMD1B,0.9999484,False,-1
GREB1L,0.20160282,False,-1
GRHL2,0.5440438,False,-1
GRIA3,0.9809109,False,-1
GRIA4,1.1238367e-05,False,-1
GRID2,6.720602e-08,False,-1
GRIK1,0.877711,False,-1
GRIK3,0.34766293,False,-1
GRIK4,3.396682e-05,False,-1
GRIN2D,0.9336133,False,1
GRIN3A,0.23722485,False,-1
GRIP1,9.070954e-07,False,-1
GRM1,0.89225364,False,-1
GRM3,0.8126039,False,1
GRM5,0.53132075,False,-1
GRM8,0.6760654,False,-1
GSAP,0.012132131,False,-1
GSTCD,0.0076959347,False,-1
GTF2A1,0.19547072,False,0
GTF2F1,8.972339e-07,False,-1
GTF2I,0.09739111,False,-1
GTF3A,0.13806139,False,-1
GTPBP1,2.3445527e-07,False,-1
GULP1,0.002271333,False,-1
GXYLT2,0.006262548,False,-1
GZF1,0.00075294083,False,-1
H1FX,2.7173584e-08,False,-1
H2AFZ,2.830688e-07,False,-1
H3F3B,3.6043027e-06,False,-1
HAND2,1.5231305e-17,False,-1
HAPLN1,0.007297191,False,-1
HBP1,0.69509226,False,-1
HCN1,0.10222197,False,-1
HDAC1,3.1830966e-06,False,-1
HDAC2,0.0031636215,False,-1
HDAC3,0.0003505138,False,-1
HES1,8.446551e-08,False,-1
HEY1,0.00013654577,False,-1
HFM1,0.40308592,False,-1
HGSNAT,0.120662846,False,-1
HIC2,0.96835965,False,-1
HIF1A,1.931523e-06,False,-1
HIVEP1,0.18922527,False,-1
HIVEP2,0.51190954,False,-1
HIVEP3,0.4286825,False,-1
HLA-B,2.973438e-07,False,-1
HLA-DPA1,0.97228277,False,-1
HLCS,0.00024651497,False,-1
HLX,9.297912e-06,False,-1
HMBOX1,0.062934436,False,-1
HMCN2,0.029342271,False,-1
HMG20A,0.4027272,False,-1
HMGA1,6.23239e-06,False,-1
HMGB2,0.017182281,False,0
HMGCR,0.3750055,False,-1
HNF1B,0.8988195,False,-1
HNF4A,0.35540414,False,-1
HNRNPA1,1.705569e-05,False,-1
HNRNPC,0.014599499,False,-1
HNRNPH3,0.040083732,False,-1
HNRNPLL,0.12374763,False,-1
HOMER1,0.5842225,False,-1
HORMAD2,1.707871e-08,False,-1
HP1BP3,0.1015824,False,-1
HPYR1,6.3715954e-05,False,-1
HRH2,0.00011147585,False,-1
HS3ST1,0.033029437,False,-1
HS6ST3,0.18857749,False,-1
HSF2,0.00448905,False,-1
HSP90AA1,0.109251544,False,-1
HSP90AB1,0.00037450594,False,-1
HSPA1A,1.0612369e-05,False,-1
HSPA8,0.0021334572,False,-1
HSPB8,7.439082e-09,False,-1
HTR1E,0.124808215,False,-1
HTR2C,0.1788559,False,-1
HTR3A,0.1730036,False,-1
HTR3B,0.90449846,False,-1
HTR4,0.0050879386,False,-1
HUNK,0.0032008763,False,-1
ID4,5.1731575e-05,False,-1
IDI2-AS1,0.7287165,False,-1
IFI6,0.20433304,False,-1
IFITM3,4.4636912e-05,False,-1
IGF1,0.0049727834,False,-1
IGF2BP3,0.23150472,False,-1
IGSF23,8.8079524e-08,False,-1
IGSF3,0.10679223,False,-1
IL13RA1,1.7934435e-05,False,-1
IL15,0.017735243,False,-1
IL17D,0.7177366,False,-1
IL1R1,0.00053218537,False,0
IL1RAPL2,0.010510895,False,-1
ILF2,0.106729776,False,0
IMPG2,2.0396453e-08,False,-1
INA,1.6344043e-10,False,-1
INAFM1,0.67208976,False,-1
ING4,0.00015780417,False,-1
IQCH-AS1,0.9952388,False,-1
IRAK2,5.179431e-15,False,-1
IRAK3,0.66851276,False,-1
IRF2,0.027958412,False,-1
IRF8,4.089327e-07,False,-1
IRS1,0.9071371,False,-1
IRX6,0.15475501,False,-1
ISLR2,0.001934007,False,-1
ITGA9,8.875739e-06,False,-1
ITGAV,0.0001141151,False,-1
ITGB5,0.0026665207,False,-1
ITGB8,0.26235858,False,-1
ITIH5,0.28119698,False,-1
JADE3,2.083685e-05,False,-1
JAG1,0.26767424,False,0
JARID2,0.14887378,False,-1
JAZF1,0.029724013,False,-1
JAZF1-AS1,0.086620644,False,-1
JPH1,0.24684323,False,-1
JRK,0.25797343,False,-1
JUN,2.4521404e-07,False,-1
JUNB,0.0016542185,False,-1
JUND,1.0186576e-06,False,-1
KAT2B,0.031062001,False,-1
KATNAL1,0.054974437,False,-1
KCNA5,0.07630969,False,-1
KCNB2,0.6170736,False,-1
KCND2,0.84842664,False,-1
KCNH8,0.07169176,False,-1
KCNIP1,0.5900378,False,-1
KCNIP4,0.67704177,False,-1
KCNJ2,0.057741575,False,-1
KCNJ3,0.3246795,False,-1
KCNK12,0.00018171725,False,-1
KCNK2,0.0013655123,False,-1
KCNK3,0.036980703,False,-1
KCNMA1,0.94428027,False,-1
KCNMB4,0.033185035,False,-1
KCNN2,0.6426588,False,-1
KCNQ3,2.4585552e-05,False,-1
KCNQ5,0.59548795,False,-1
KCNS3,4.2262116e-05,False,-1
KCNT2,0.052525863,False,-1
KCTD1,0.010767341,False,-1
KCTD12,0.00055063784,False,-1
KCTD8,0.8204625,False,-1
KCTD9,0.044545382,False,-1
KDM2B,0.9974866,False,1
KDM3A,0.20118429,False,-1
