_BACKGROUND,5p,10p,15p
NFIX,NFIX,NFIX,NFIX
SSUH2,SSUH2,SSUH2,SSUH2
ZNF423,ZNF423,ZNF423,ZNF423
SDK2,SDK2,SDK2,SDK2
FAM135B,FAM135B,FAM135B,FAM135B
NTNG2,NTNG2,NTNG2,NTNG2
HTR3B,HTR3B,HTR3B,HTR3B
SLC24A4,SLC24A4,SLC24A4,SLC24A4
B3GLCT,B3GLCT,B3GLCT,B3GLCT
NR2E3,NR2E3,NR2E3,NR2E3
FAM189A2,FAM189A2,FAM189A2,FAM189A2
SLIT2,SLIT2,SLIT2,SLIT2
PTPRO,PTPRO,PTPRO,PTPRO
MPPED1,MPPED1,MPPED1,MPPED1
SOX5,SOX5,SOX5,SOX5
ESR2,ESR2,ESR2,ESR2
BPTF,BPTF,BPTF,BPTF
TSHZ2,TSHZ2,TSHZ2,TSHZ2
CELF5,CELF5,CELF5,CELF5
MECP2,MECP2,MECP2,MECP2
VEPH1,VEPH1,VEPH1,VEPH1
NHS,NHS,NHS,NHS
FOXO1,FOXO1,FOXO1,FOXO1
CDH4,CDH4,CDH4,CDH4
FREM1,FREM1,FREM1,FREM1
ZEB2,ZEB2,ZEB2,ZEB2
EPHA4,EPHA4,EPHA4,EPHA4
ZNF567,ZNF567,ZNF567,ZNF567
CADPS,CADPS,CADPS,CADPS
ZNF521,ZNF521,ZNF521,ZNF521
HNF4A,HNF4A,HNF4A,HNF4A
SMARCA5,SMARCA5,SMARCA5,SMARCA5
LINC00354,LINC00354,LINC00354,LINC00354
LINC01135,LINC01135,LINC01135,LINC01135
RASA3,RASA3,RASA3,RASA3
HPYR1,HPYR1,HPYR1,HPYR1
FAM167A,FAM167A,FAM167A,FAM167A
USP45,USP45,USP45,USP45
KCNQ3,KCNQ3,KCNQ3,KCNQ3
PTPRB,PTPRB,PTPRB,PTPRB
ALK,ALK,ALK,ALK
EPHA7,EPHA7,EPHA7,EPHA7
KCND2,KCND2,KCND2,KCND2
DPYD,DPYD,DPYD,DPYD
SLC4A4,SLC4A4,SLC4A4,SLC4A4
NRG1,NRG1,NRG1,NRG1
CELF2,CELF2,CELF2,CELF2
GACAT2,GACAT2,GACAT2,GACAT2
KCTD9,KCTD9,KCTD9,KCTD9
SPIB,SPIB,SPIB,SPIB
THBS1,THBS1,THBS1,THBS1
SMKR1,SMKR1,SMKR1,SMKR1
DAB1,DAB1,DAB1,DAB1
MYO16,MYO16,MYO16,MYO16
HMGCR,HMGCR,HMGCR,HMGCR
CRYBG3,CRYBG3,CRYBG3,CRYBG3
IL1R1,IL1R1,IL1R1,IL1R1
ZNF195,ZNF195,ZNF195,ZNF195
YES1,YES1,YES1,YES1
TFAP4,TFAP4,TFAP4,TFAP4
MAN2A1,MAN2A1,MAN2A1,MAN2A1
FAM160A1,FAM160A1,FAM160A1,FAM160A1
RTTN,RTTN,RTTN,RTTN
WLS,WLS,WLS,WLS
C2CD2,C2CD2,C2CD2,C2CD2
RXRA,RXRA,RXRA,RXRA
PTN,PTN,PTN,PTN
USP6NL,USP6NL,USP6NL,USP6NL
KDM2B,KDM2B,KDM2B,KDM2B
DNAH14,DNAH14,DNAH14,DNAH14
RGS12,RGS12,RGS12,RGS12
GPC6,GPC6,GPC6,GPC6
CPXM2,CPXM2,CPXM2,CPXM2
FOXJ2,FOXJ2,FOXJ2,FOXJ2
CD8A,CD8A,CD8A,CD8A
MIR137HG,MIR137HG,MIR137HG,MIR137HG
PDZD2,PDZD2,PDZD2,PDZD2
MIR193BHG,MIR193BHG,MIR193BHG,MIR193BHG
ABCA4,ABCA4,ABCA4,ABCA4
ZNF343,ZNF343,ZNF343,ZNF343
SATB1-AS1,,SATB1-AS1,SATB1-AS1
RGS6,,RGS6,RGS6
POU6F1,,POU6F1,POU6F1
ENPEP,,ENPEP,ENPEP
FTCDNL1,,FTCDNL1,FTCDNL1
RUNX2,,RUNX2,RUNX2
INAFM1,,INAFM1,INAFM1
HORMAD2,,HORMAD2,HORMAD2
RAI2,,RAI2,RAI2
FOSL1,,FOSL1,FOSL1
RNF217,,RNF217,RNF217
PLPP1,,PLPP1,PLPP1
IFITM3,,IFITM3,IFITM3
SPATS2L,,SPATS2L,SPATS2L
FOXG1,,FOXG1,FOXG1
PPM1E,,PPM1E,PPM1E
MXD1,,MXD1,MXD1
SYCP2L,,SYCP2L,SYCP2L
MAP1B,,MAP1B,MAP1B
FAM153A,,FAM153A,FAM153A
PLEKHA2,,PLEKHA2,PLEKHA2
TCTE1,,TCTE1,TCTE1
SP3,,SP3,SP3
RHOBTB3,,RHOBTB3,RHOBTB3
TNFRSF21,,TNFRSF21,TNFRSF21
KLHL14,,KLHL14,KLHL14
MLF1,,MLF1,MLF1
USP53,,USP53,USP53
ARL6,,ARL6,ARL6
TMEM179,,TMEM179,TMEM179
PDE8A,,PDE8A,PDE8A
DCX,,DCX,DCX
FAM230C,,FAM230C,FAM230C
WNT2B,,WNT2B,WNT2B
PHF12,,PHF12,PHF12
ZBTB18,,ZBTB18,ZBTB18
KLHL32,,KLHL32,KLHL32
NPTX2,,NPTX2,NPTX2
SIM1,,SIM1,SIM1
SP140L,,SP140L,SP140L
PDE1C,,PDE1C,PDE1C
SEMA6D,,SEMA6D,SEMA6D
MEGF11,,MEGF11,MEGF11
HTR4,,HTR4,HTR4
GPBP1L1,,GPBP1L1,GPBP1L1
ZNF518A,,ZNF518A,ZNF518A
HMG20A,,HMG20A,HMG20A
ZNF454,,ZNF454,ZNF454
TCF7L2,,TCF7L2,TCF7L2
TMEM196,,TMEM196,TMEM196
TIPARP,,TIPARP,TIPARP
LPP,,LPP,LPP
NDNF,,NDNF,NDNF
CDH7,,CDH7,CDH7
THRB,,THRB,THRB
CRISPLD1,,CRISPLD1,CRISPLD1
LCOR,,LCOR,LCOR
RARB,,RARB,RARB
SEMA6A,,SEMA6A,SEMA6A
ZNF248,,ZNF248,ZNF248
ZFY,,ZFY,ZFY
COL23A1,,COL23A1,COL23A1
SPATS2,,SPATS2,SPATS2
UBE2E2,,UBE2E2,UBE2E2
ZFPM2,,ZFPM2,ZFPM2
GRIK1,,GRIK1,GRIK1
NRIP1,,NRIP1,NRIP1
SDK1,,SDK1,SDK1
TJP2,,TJP2,TJP2
FNDC3B,,FNDC3B,FNDC3B
SLC16A9,,SLC16A9,SLC16A9
ZNF280D,,ZNF280D,ZNF280D
SERTM1,,SERTM1,SERTM1
ZFAT,,ZFAT,ZFAT
ITGA9,,ITGA9,ITGA9
CDKL1,,CDKL1,CDKL1
MAN1A1,,MAN1A1,MAN1A1
AZIN1-AS1,,AZIN1-AS1,AZIN1-AS1
HFM1,,HFM1,HFM1
OSBPL3,,OSBPL3,OSBPL3
HCN1,,,HCN1
BMPER,,,BMPER
NPY1R,,,NPY1R
NOS1AP,,,NOS1AP
ZFHX4,,,ZFHX4
TNFRSF19,,,TNFRSF19
TMEM200A,,,TMEM200A
PSD3,,,PSD3
USF1,,,USF1
HSF2,,,HSF2
ZDHHC2,,,ZDHHC2
ZNF487,,,ZNF487
PEAK1,,,PEAK1
AJAP1,,,AJAP1
CSGALNACT1,,,CSGALNACT1
APBB1IP,,,APBB1IP
ARNT2,,,ARNT2
KCNK12,,,KCNK12
SFMBT1,,,SFMBT1
TBL1X,,,TBL1X
ME1,,,ME1
ZBTB2,,,ZBTB2
IGSF3,,,IGSF3
ZFP30,,,ZFP30
PPARA,,,PPARA
LIFR,,,LIFR
NPNT,,,NPNT
TESPA1,,,TESPA1
PARD3,,,PARD3
ZNF281,,,ZNF281
RFESD,,,RFESD
NR2F1,,,NR2F1
LRRC8C,,,LRRC8C
TPK1,,,TPK1
NOX5,,,NOX5
NAMPT,,,NAMPT
TCF4,,,TCF4
VCAN,,,VCAN
DAPK1,,,DAPK1
RCOR1,,,RCOR1
ST6GALNAC3,,,ST6GALNAC3
IL1RAPL2,,,IL1RAPL2
ZC3H12C,,,ZC3H12C
POU2F3,,,POU2F3
ENPP3,,,ENPP3
PKP2,,,PKP2
SOX1,,,SOX1
LRRK2,,,LRRK2
NCALD,,,NCALD
LIN9,,,LIN9
CRIM1,,,CRIM1
AK5,,,AK5
NETO2,,,NETO2
MARCH4,,,MARCH4
PTCHD4,,,PTCHD4
HGSNAT,,,HGSNAT
MIOS,,,MIOS
EPHA5,,,EPHA5
ZFP37,,,ZFP37
NR4A3,,,NR4A3
ITGAV,,,ITGAV
HDAC2,,,HDAC2
TMEM132B,,,TMEM132B
PCDH11Y,,,PCDH11Y
NR2F1-AS1,,,NR2F1-AS1
TBPL1,,,TBPL1
TBC1D1,,,TBC1D1
EFNA5,,,EFNA5
GPRIN3,,,GPRIN3
RNF217-AS1,,,RNF217-AS1
ZBTB1,,,ZBTB1
RNF212,,,RNF212
SLCO5A1,,,SLCO5A1
