gene,score,validation,label
AADACL2-AS1,0.007756817,False,0
ABCA1,0.04448722,True,0
ABCA3,0.046599597,False,0
ABCA7,0.009019409,False,0
ABL1,0.029189926,True,0
ACTB,0.0145224305,False,0
ACTG1,0.008541673,False,0
ACTN2,0.018613726,True,0
ACVR1,0.07303695,False,0
ADAM19,0.012950908,False,0
ADAM23,0.041358236,False,0
ADAM29,3.881208e-05,True,0
ADAM33,0.010107428,False,0
ADAMTS12,0.079316184,False,0
ADAMTS20,0.037171446,False,0
ADAMTS5,0.005944258,False,0
ADAMTS6,0.015340524,False,1
ADAMTSL1,0.023906127,False,0
ADAMTSL3,0.024939602,True,0
ADAMTSL4-AS1,0.012764462,True,0
ADARB1,0.028567286,True,0
ADARB2,0.020302191,False,0
ADCY2,0.0008883689,True,0
ADCY4,0.002577136,False,0
ADCY8,0.022218224,True,0
ADD3-AS1,0.020159787,False,0
ADGRL2,0.0155150555,False,0
ADNP,0.023288887,False,0
ADNP2,0.025329074,False,0
ADORA3,3.3331467e-05,False,0
ADRA2A,0.019069131,False,0
AFF1,0.064892836,False,0
AFF4,0.026101332,False,0
AGBL3,0.00020887372,False,0
AGT,0.004387699,False,0
AHCTF1,0.024335861,False,0
AHDC1,0.089325555,False,1
AHR,0.009249135,False,0
AK5,0.082377166,False,0
AKAIN1,0.014459454,False,0
AKAP13,0.031116992,True,0
AKR1C3,0.021709604,True,0
ALCAM,0.018276282,True,1
ALDH1A1,0.005904561,False,0
ALDH1A2,0.059778478,False,0
ALDOC,0.01461828,False,0
ALK,0.086183935,False,0
AMOTL1,0.1199051,False,0
AMPD3,0.020172087,False,0
ANK1,0.0016196019,False,0
ANKRD30BL,0.02690822,False,0
ANKRD33B,0.0020030434,False,0
ANKRD37,0.005663369,False,0
ANKRD55,0.0061466354,False,0
ANKRD6,0.00027575114,False,0
ANO1,0.01762895,False,0
ANO10,0.039218325,False,0
ANO2,0.0049572606,False,0
ANO6,0.017227594,False,0
ANOS1,0.010556426,False,0
ANTXR1,0.009342962,False,0
ANXA11,0.024411596,False,0
ANXA4,3.475604e-05,False,0
ANXA5,0.008268794,False,0
AOX1,0.018857712,False,0
AP2M1,0.00859342,False,0
APBB1IP,0.03329605,True,0
APCDD1,0.00028267715,False,0
APLNR,0.00082768156,False,0
APOC1,9.9346755e-05,False,0
APOE,0.0033327988,False,0
AQP4,0.008306291,False,0
ARAP2,0.0120878,False,0
ARC,0.0011027032,False,0
ARFGEF3,0.02991322,False,0
ARHGAP10,0.0122396145,False,0
ARHGAP15,0.00052157615,False,0
ARHGAP18,0.052546285,False,0
ARHGAP20,0.0010948338,True,0
ARHGAP25,0.018475251,False,0
ARHGAP29,0.014789048,False,0
ARHGAP31,0.0059947553,False,0
ARHGAP6,0.020651426,False,0
ARHGDIA,0.0016795739,False,0
ARHGDIG,0.019324267,False,0
ARHGEF16,0.063900426,True,0
ARHGEF26,0.026511699,False,0
ARHGEF28,0.026728503,False,0
ARHGEF3,0.011486558,True,0
ARL4C,0.0062914575,False,0
ARL6,0.031678375,False,0
ARL6IP1,0.017759401,False,0
ARNT2,0.044284068,False,1
ARNTL,0.0068467245,True,0
ARPP21,0.000242967,False,0
ARSJ,0.044020526,True,0
ARX,0.024397472,False,0
ASB11,0.010956213,False,0
ASCL1,0.0008947771,False,0
ASXL3,0.01596542,False,0
ATF2,0.00016163054,False,0
ATF3,0.015069909,False,0
ATF5,0.00045768183,False,0
ATG10,0.000784811,False,0
ATOH7,0.004369635,False,0
ATP10A,0.0010618707,False,0
ATP10B,0.001844388,False,0
ATP1A2,0.000277299,False,0
ATP1B1,0.0014444297,False,0
ATP1B3,0.050892543,False,0
ATP2B4,9.3154005e-05,True,1
ATP2C1,0.029060543,False,0
ATP8A1,0.019656233,False,0
ATP8B1,0.008651258,False,0
AVEN,0.017140275,True,1
B3GAT2,0.03722185,False,0
BACH1,0.008310164,False,0
BACH2,0.0010593235,True,0
BAIAP2L1,0.005486695,False,0
BAMBI,0.0062678023,False,0
BATF3,0.00015362128,True,0
BAZ1A,0.010311906,False,0
BBX,0.029335452,False,0
BCL11A,0.010485668,False,0
BCL11B,0.0038668811,False,0
BCL3,0.00498641,True,0
BCL6,0.028861752,True,0
BCL6B,0.008310087,False,0
BCLAF1,0.0033635497,False,0
BDKRB2,0.0085019,True,0
BEX1,0.010647175,True,0
BEX2,0.004627262,False,0
BEX4,0.0076143467,False,0
BHLHE40,0.0044969325,False,0
BICC1,0.10303636,False,0
BLNK,0.0032543147,True,0
BMP3,0.009260893,False,0
BMP4,0.02245742,False,0
BMP5,0.004513412,False,0
BMPER,0.004298224,True,0
BMPR1B,0.01055754,False,0
BNC2,0.0032227754,False,0
BOC,0.01816902,False,0
BPIFB1,0.0048520314,False,0
BRF1,0.026280425,False,0
BRINP1,0.016707914,False,0
BRINP2,0.024382558,True,0
BRINP3,0.017315488,False,0
BRK1,0.00436669,False,0
BTBD9,0.025709007,True,0
BTF3,0.01852031,False,0
BTG2,0.0011573154,False,0
BTG3,0.02958552,False,0
BVES,0.026571415,True,0
C10orf90,0.012585173,False,0
C1R,0.00272951,True,0
C1RL,0.024070248,True,0
C1orf116,0.0018661764,False,0
C21orf91,0.00029563473,False,0
C22orf34,0.00091243023,True,0
C2orf88,0.0070897383,False,0
C3,0.0002571562,False,0
C3orf67,0.035875373,False,0
C4orf48,0.0021562006,False,0
C5orf66,0.007391355,False,0
CA3,0.029812874,False,0
CABLES1,0.0429125,False,0
CACHD1,0.047693297,False,0
CACNA1E,0.012411493,False,0
CACNA1G-AS1,0.013178739,False,0
CACNA2D1,0.043655694,False,0
CACNA2D3,0.007414744,False,0
CACNB2,0.011323326,False,0
CACNG4,0.02584935,False,0
CADM1,0.021804858,False,0
CADPS,0.0080585675,False,0
CALB1,0.031970218,False,0
CALB2,0.010164945,False,0
CALCB,0.02376613,False,0
CALCR,0.11972904,True,0
CALM1,0.019589243,False,0
CALM2,0.007921467,False,0
CALM3,0.0035035652,False,0
CALN1,0.005163168,False,0
CALY,0.005657204,False,0
CAMK1D,0.021456886,False,0
CAMK2D,0.020841649,False,0
CAMK2N1,0.0045958115,False,0
CANX,0.030100562,False,0
CAPSL,0.0318835,False,0
CARD11,0.0052783536,False,0
CARF,0.022175295,False,0
CARMN,0.06496444,True,0
CASC15,0.018021593,False,0
CASC2,0.026855819,True,0
CASP10,0.004272709,True,0
CASR,7.531008e-05,False,0
CAST,0.034279652,False,0
CBLB,0.010376522,False,0
CBLN2,0.01358638,False,0
CBLN4,0.026649587,False,0
CCDC126,0.02161122,False,0
CCDC148,1.908737e-05,True,0
CCDC15,0.0003508046,True,0
CCDC150,0.0074119545,False,0
CCDC175,0.0024763541,False,0
CCDC178,0.028246839,True,0
CCDC60,0.00965753,False,0
CCDC85B,0.04039759,False,0
CCNG2,1.422197e-05,False,0
CCNI,0.009230635,False,0
CCNJL,0.01929471,True,0
CCNYL1,0.015113586,False,0
CD163L1,0.014273525,False,0
CD24,0.015834277,False,0
CD36,0.06718133,False,0
CD59,0.0032226788,False,0
CD63,0.01846268,True,0
CD74,5.6162346e-09,False,0
CD81,0.014626593,True,0
CD86,0.003940848,False,0
CD9,0.008474595,False,0
CD93,0.004145007,False,0
CDC14B,0.021108214,False,0
CDH10,0.08312964,False,0
CDH11,0.03729035,False,0
CDH2,0.008907729,True,0
CDH20,0.0020244517,True,0
CDH22,0.0036173004,False,0
CDH4,0.019215744,False,0
CDH6,0.016567651,False,0
CDH7,0.0030282293,False,0
CDH8,0.01088814,True,0
CDH9,0.11953227,False,0
CDK17,0.021659032,True,0
CDK19,0.025756525,True,0
CDK2AP1,0.006017783,False,0
CDK6,0.02342183,False,0
CDKN2D,0.0069154273,False,0
CDR2,0.02090498,False,0
CDYL2,0.025949812,False,0
CEBPB,0.010159481,False,0
CEBPD,0.021031562,False,0
CELF2,0.012252407,False,1
CELF4,0.0004277266,False,0
CELF5,0.0029872865,True,1
CEMIP,0.0031086022,False,0
CEND1,0.0144235045,True,0
CENPF,0.0052989335,False,0
CEP112,0.059296902,False,0
CERCAM,5.966219e-06,False,0
CERS3,0.0012280997,False,0
CERS5,0.018142492,False,0
CFAP206,0.033244457,False,0
CFL1,0.00817089,False,0
CGNL1,0.0011234221,False,0
CHAMP1,0.032600377,True,0
CHD1,0.0001518712,False,0
CHD2,0.02787243,False,0
CHD7,0.008036592,False,0
CHGB,0.004507319,False,0
CHI3L1,0.00046164813,False,0
CHI3L2,0.00062774995,False,0
CHL1,0.014187505,False,0
CHN1,0.028869249,False,0
CHRM2,0.014445475,False,0
CHRM5,0.065347664,False,0
CHST15,0.017911471,False,0
CHST9,0.03718688,False,0
CHSY3,0.022324242,False,0
CIC,0.012300966,False,0
CIITA,0.0013973701,False,0
CKB,0.010047289,False,0
CLDN1,0.038126815,True,0
CLDN11,0.008682846,False,0
CLEC2L,0.011123576,True,0
CLMP,0.1893624,True,0
CLOCK,5.277795e-05,False,0
CLTB,0.03605814,True,0
