gene,score,validation,label
AADACL2-AS1,0.023427002,False,-1
ABCA1,0.7500828,False,-1
ABCA3,0.019263893,False,-1
ABCA7,0.00035409423,False,-1
ABL1,0.009957588,False,-1
ACTB,7.699108e-09,False,-1
ACTG1,2.4383345e-08,False,-1
ACTN2,2.0060624e-09,False,-1
ACVR1,0.8171748,False,-1
ADAM19,0.20519742,False,-1
ADAM23,0.04407726,False,-1
ADAM29,1.4141588e-07,False,-1
ADAM33,0.7239074,False,-1
ADAMTS12,1.3859077e-06,False,-1
ADAMTS20,0.041068017,False,-1
ADAMTS5,0.00018325295,False,-1
ADAMTS6,0.5221967,False,-1
ADAMTSL1,0.6193765,False,-1
ADAMTSL3,0.11630014,False,-1
ADAMTSL4-AS1,2.8765703e-07,False,-1
ADARB1,0.01029893,False,-1
ADARB2,2.4385288e-06,False,-1
ADCY2,0.080115326,False,-1
ADCY4,4.91397e-09,False,-1
ADCY8,0.0021882548,False,-1
ADD3-AS1,0.6343837,False,-1
ADGRL2,0.5232935,False,-1
ADNP,0.6861669,False,-1
ADNP2,0.1148254,False,-1
ADORA3,0.08479219,False,-1
ADRA2A,0.9619682,False,-1
AFF1,0.7092198,False,-1
AFF4,0.7019969,False,-1
AGBL3,3.3069009e-07,False,-1
AGT,0.8105407,False,-1
AHCTF1,0.0227131,False,-1
AHDC1,0.00020757054,False,-1
AHR,0.32847965,False,-1
AK5,0.71332115,False,-1
AKAIN1,2.500104e-06,False,0
AKAP13,1.3742699e-05,False,-1
AKR1C3,0.6583119,False,-1
ALCAM,0.10236857,False,-1
ALDH1A1,0.25968584,False,-1
ALDH1A2,0.00069844595,False,-1
ALDOC,3.1655052e-06,False,-1
ALK,0.282598,False,-1
AMOTL1,0.42010847,False,-1
AMPD3,4.112388e-06,False,-1
ANK1,6.58672e-06,False,-1
ANKRD30BL,0.6110381,False,-1
ANKRD33B,0.05752194,False,-1
ANKRD37,0.0009417959,False,-1
ANKRD55,0.0042277514,False,-1
ANKRD6,0.0017006375,False,-1
ANO1,0.0014547207,False,-1
ANO10,0.49637046,False,-1
ANO2,2.1507132e-07,False,-1
ANO6,0.00024009123,False,-1
ANOS1,0.025946928,False,-1
ANTXR1,0.3476129,False,-1
ANXA11,9.784283e-07,False,0
ANXA4,1.473723e-06,False,-1
ANXA5,5.017807e-05,False,-1
AOX1,0.7731879,False,-1
AP2M1,9.54217e-06,False,-1
