gene,score,validation,label
A2M,0.058222387,False,0
AACS,0.039651822,False,0
AAK1,0.04541839,False,0
AARS,0.01278799,False,0
AASDHPPT,0.042793777,False,0
AATK,0.048450246,True,0
ABCA1,0.053974487,True,0
ABCA10,0.039132513,True,0
ABCA12,0.05532492,False,0
ABCA2,0.03804359,True,0
ABCA3,0.04149802,True,0
ABCA5,0.036842637,True,0
ABCA6,0.046113376,False,0
ABCB9,0.017081378,False,0
ABCC3,0.056227736,False,1
ABCC4,0.073884144,True,0
ABCC9,0.06748383,False,0
ABCD4,0.043363616,False,0
ABCE1,0.040453173,False,0
ABCF3,0.051728427,True,0
ABCG1,0.02701071,False,0
ABHD12,0.039114427,True,0
ABHD12B,0.03788855,False,0
ABHD13,0.025455892,False,0
ABHD14A,0.02857097,False,0
ABHD17A,0.014009764,False,0
ABHD17B,0.05391871,False,0
ABHD17C,0.035023425,False,0
ABHD2,0.044963576,True,0
ABHD5,0.03645252,True,0
ABHD6,0.010735173,True,0
ABHD8,0.04641051,False,0
ABI1,0.0607826,False,0
ABL1,0.048309416,False,0
ABLIM1,0.019623308,False,0
ABLIM2,0.035113942,False,0
ABLIM3,0.061035752,False,0
ABR,0.079696715,True,0
ABTB2,0.011032939,False,0
AC0021266,0.042959295,False,0
ACAN,0.054131117,False,0
ACAP2,0.049863465,False,0
ACAP3,0.055724118,False,0
ACBD5,0.03630736,True,0
ACER2,0.02376905,False,0
ACER3,0.061409716,False,0
ACHE,0.035684556,True,0
ACIN1,0.044205286,False,0
ACO1,0.017616011,False,0
ACOT8,0.037846453,True,0
ACSBG1,0.07395186,False,0
ACSL3,0.045726508,False,0
ACSL4,0.043533687,False,1
ACTA2,0.039302517,True,0
ACTB,0.042204343,False,0
ACTG1,0.016738227,False,0
ACTN1,0.02477127,False,0
ACTN2,0.039971408,False,0
ACTN4,0.041273832,False,0
ACTR1A,0.02124668,False,0
ACTR1B,0.043207284,True,0
ACTR6,0.0384975,True,0
ACVR1,0.06606519,False,0
ACVR1B,0.044977687,False,0
ACVR1C,0.031236257,False,0
ACVR2A,0.03973898,True,0
ACYP1,0.03986262,False,0
ACYP2,0.04544825,False,0
ADAM10,0.01877632,False,0
ADAM11,0.052345414,False,0
ADAM12,0.0060009104,True,0
ADAM17,0.044458993,False,0
ADAM22,0.057876654,False,0
