gene,label,mean,std,score_0,score_1,score_2,score_3,score_4,validation_0,validation_1,validation_2,validation_3,validation_4
A2M,0,0.00264878006573034,0.005035131650087009,0.0006615149,5.086517e-10,0.011642916,0.0006340303,0.00030543862,True,False,False,False,False
ABCA1,0,0.0162370938,0.005921621220482209,0.012823954,0.01844281,0.02384148,0.008270991,0.017806234,True,False,False,False,False
ABCA12,0,0.01216132112,0.007339054161778369,0.0148708625,0.0034857106,0.009398527,0.0099261515,0.023125354,False,True,False,False,False
ABCC4,0,0.01143552452,0.006451490584688128,0.0052877506,0.003522697,0.016389605,0.015799465,0.016178105,False,False,False,False,True
ABHD12B,0,0.01044578114,0.006311086406609986,0.018651426,0.0072278967,0.010581976,0.002032058,0.013735549,True,False,False,False,False
ABHD17B,0,0.013072569400000001,0.008120004676605506,0.023489155,0.001836644,0.012772649,0.017391874,0.009872525,False,False,True,False,False
ABR,0,0.0208131218,0.012228704852211442,0.038363285,0.01801813,0.009659031,0.010310655,0.027714508,False,False,True,False,False
ACAN,0,0.006660867900000001,0.006560667129304093,0.0068560042,0.0007986276,0.016940648,0.0010793807,0.007629679,False,True,False,False,False
ACER3,0,0.016916884440000002,0.010394071011120283,0.019777393,0.0068051526,0.026561094,0.0050939326,0.02634685,False,False,False,True,False
ACVR1,0,0.0194264933,0.006366532029431306,0.0141445855,0.019792223,0.01912002,0.02979561,0.014280028,False,False,False,False,True
ACVR1C,0,0.016633336219999996,0.018126717265628214,0.017843071,0.0016018456,0.046847202,0.0128911575,0.003983405,False,True,False,False,False
ADAM12,0,0.0030143332668513003,0.005399235073689369,0.002118771,1.44442565e-08,0.00017171277,0.00023265512,0.012548513,False,False,False,False,True
ADAM28,0,0.001210644284907658,0.0023170512661676735,0.00020344714,3.2453829e-10,0.0053490424,0.00036034946,0.0001403821,True,False,False,False,False
ADAMTS1,0,0.023081438,0.014297471640489728,0.033675913,0.042200677,0.011267257,0.009653331,0.018610012,False,True,False,False,False
ADAMTS20,0,0.013830749126,0.012455255175124648,0.030824726,0.0029000442,0.015438534,0.019488651,0.00050179043,False,False,True,False,False
ADAMTS3,0,0.017610508,0.010644467341360464,0.022409065,0.026047137,0.010471764,0.026592892,0.002531682,False,False,False,False,True
ADAMTSL1,0,0.034252793999999996,0.01741808746359574,0.018753221,0.012851221,0.045868073,0.052404482,0.041386973,True,False,False,False,False
ADARB1,0,0.023112747160000002,0.025735601204335642,0.012273091,0.0010756338,0.054455712,0.000829764,0.046929535,False,False,False,True,False
ADARB2,0,0.003374775310345445,0.004280337594294245,0.0026353835,0.00066482095,0.010706095,1.7272249e-12,0.0028675771,False,False,True,False,False
ADCY8,0,0.015024895520000001,0.006534028511954831,0.017325949,0.015150744,0.0074183736,0.024477286,0.010752125,False,True,False,False,False
ADCYAP1,0,0.008399371586,0.007040034930616945,0.004359227,0.008401822,0.010107634,0.018952759,0.00017541593,False,False,True,False,False
ADD3-AS1,0,0.006722944616000001,0.010958237873885595,0.00027580638,0.0025480264,0.026226426,0.0014131133,0.003151351,False,False,True,False,False
ADGRB2,0,0.016663437479999998,0.010596098511434174,0.0127898995,0.0032976419,0.029708233,0.012576183,0.02494523,True,False,False,False,False
ADGRF5,0,0.01874729728,0.009976993421536044,0.024211733,0.0057079364,0.030372806,0.011481751,0.02196226,False,False,True,False,False
ADGRG5,0,0.0120088311307696,0.016630911572111308,0.0049129715,2.1153848e-08,0.041285384,0.005711282,0.008134497,False,False,False,True,False
ADGRL2,0,0.00702038442,0.00457700990184005,0.0034244773,0.010339179,0.0034819578,0.00445314,0.013403168,True,False,False,False,False
ADGRL3,0,0.014545736100000001,0.006774709730159187,0.0054225745,0.017480738,0.023578834,0.011377306,0.014869228,False,False,False,False,True
ADGRL3-AS1,0,0.0155628664,0.01124377467799426,0.017047059,0.034542825,0.0102475565,0.0083434135,0.007633478,False,True,False,False,False
ADGRL4,0,0.010308719768000001,0.007411726456026593,0.0056929905,0.018458614,0.00023781434,0.011429836,0.015724344,False,False,False,True,False
ADNP,0,0.00576340524,0.0030804739610419216,0.010613084,0.003193629,0.004516288,0.0069419346,0.0035520906,True,False,False,False,False
ADNP2,0,0.0160841102,0.004880551205637044,0.014272868,0.020708289,0.018147996,0.018864136,0.008427262,False,True,False,False,False
ADORA1,0,0.0128753154,0.005234113442273371,0.017909242,0.011887574,0.013032726,0.004674016,0.016873019,False,False,False,False,True
ADPGK-AS1,0,0.007739902821999998,0.00792040534361133,0.0069041452,0.006138892,0.02110983,0.0044119707,0.00013467621,False,False,False,True,False
ADRA1A,0,0.0288679382,0.018753435230443267,0.052361675,0.045897502,0.017421698,0.016679885,0.011978931,False,False,False,False,True
AEBP1,0,0.01073036704,0.010928816923573049,0.0062543745,0.0014834447,0.029354319,0.010863877,0.00569582,False,False,False,False,True
AFF1,0,0.0227771829,0.037186560924722716,0.010154492,0.0012921479,0.08854145,0.0004521796,0.013445645,True,False,False,False,False
AFF4,0,0.00420704664,0.0016965424984316745,0.002797771,0.0056364164,0.004465384,0.005988556,0.0021471058,False,False,False,False,True
AHCTF1,0,0.030116658400000003,0.012586821026713905,0.04735144,0.029228022,0.013418247,0.03563067,0.024954913,False,False,True,False,False
AHCYL2,0,0.0253739611,0.010148737515861126,0.029536843,0.0098041035,0.021590307,0.03632664,0.029611912,False,True,False,False,False
AHDC1,1,0.0674120136,0.035356769867754816,0.07832389,0.11979431,0.031614468,0.06912226,0.03820514,False,False,True,False,False
AHR,0,0.032627242,0.01430579806315719,0.016735151,0.019112948,0.049330313,0.042424843,0.035532955,False,True,False,False,False
AHRR,0,0.0240722634,0.011540411862373536,0.03380486,0.007846054,0.03290118,0.029761525,0.016047698,False,False,False,False,True
AK5,0,0.0652046878,0.025110792662519338,0.07386746,0.10281195,0.052529626,0.06081465,0.035999753,True,False,False,False,False
AKAIN1,0,0.0293405476,0.020959934387504993,0.008261196,0.013234854,0.031102523,0.061595835,0.03250833,False,True,False,False,False
AKAP13,0,0.021184035760000004,0.016018276387214512,0.02509772,0.018472293,0.0037681928,0.012425143,0.04615683,False,False,False,False,True
ALDH1A2,0,0.029578308199999997,0.013502887397119762,0.049340095,0.018076545,0.029074198,0.016315207,0.035085496,True,False,False,False,False
ALDOC,0,0.0170346718,0.008947106395781444,0.023278313,0.019367984,0.018784,0.001397772,0.02234529,True,False,False,False,False
ALK,0,0.018757140720000003,0.01675751899506851,0.011716055,0.047981232,0.011501696,0.016564786,0.0060219346,False,False,False,True,False
ALOX15B,0,0.0028095351702154,0.004312660507820887,0.001000391,9.51077e-10,0.010461199,0.0014957957,0.0010902892,True,False,False,False,False
ALOX5,0,0.000849945250500732,0.0015268070023510025,0.00015369775,3.4250366e-10,0.0035704533,0.00037837052,0.00014720434,False,False,False,False,True
ALX3,0,0.014500954359999998,0.006768799701498906,0.023894157,0.0049147643,0.014896809,0.015616489,0.0131825525,False,False,False,True,False
AMOTL1,0,0.050424230199999996,0.01755680401028284,0.044991493,0.062776476,0.030904923,0.073906854,0.039541405,False,False,False,True,False
ANGPT2,0,0.02102971384,0.025887661655235792,0.0025944798,0.0077692214,0.000507319,0.060930997,0.033346552,False,False,False,True,False
ANK1,0,0.0144823306,0.005509882529093684,0.010863589,0.007912594,0.013762686,0.021543724,0.01832906,False,False,False,True,False
ANKRD30B,0,0.0286868544,0.012225146020956531,0.012871427,0.032929406,0.027480042,0.046180148,0.023973249,False,True,False,False,False
ANKRD31,0,0.017658684299999998,0.009706432069304981,0.004575901,0.0125741325,0.029595098,0.02377058,0.01777771,False,False,False,False,True
ANKRD50,0,0.00538867612,0.007514206564644595,0.0005937636,0.0024343196,0.018724296,0.0020075478,0.0031834536,False,False,True,False,False
ANKRD55,0,0.025049533879999995,0.03439120372203892,0.023139067,0.08493289,0.004050181,0.0036593769,0.0094661545,False,False,False,False,True
ANLN,0,0.01544616778,0.012961876678078394,0.015614275,0.0037018799,0.008721908,0.011919328,0.037273448,True,False,False,False,False
ANO6,0,0.0499842338,0.01961329259378053,0.06735716,0.06727148,0.022410238,0.055176858,0.037705433,False,False,False,False,True
ANO9,1,0.02291191448,0.014641908666037134,0.024586046,0.0006967174,0.019886605,0.028596547,0.040793657,False,True,False,False,False
ANOS1,0,0.02227506962,0.020559348907603844,0.050883215,0.015703017,0.0013280937,0.035690464,0.0077705584,False,True,False,False,False
