_BACKGROUND,5p,10p,15p
ZRANB3,ZRANB3,ZRANB3,ZRANB3
BDP1,BDP1,BDP1,BDP1
ADGRF5,ADGRF5,ADGRF5,ADGRF5
GNAO1,GNAO1,GNAO1,GNAO1
ZNF189,ZNF189,ZNF189,ZNF189
PCDH10,PCDH10,PCDH10,PCDH10
CD36,CD36,CD36,CD36
PDGFRA,PDGFRA,PDGFRA,PDGFRA
ARHGAP11B,ARHGAP11B,ARHGAP11B,ARHGAP11B
ARNTL2,ARNTL2,ARNTL2,ARNTL2
SNTB2,SNTB2,SNTB2,SNTB2
TACC1,TACC1,TACC1,TACC1
TAL1,TAL1,TAL1,TAL1
MN1,MN1,MN1,MN1
CD46,CD46,CD46,CD46
SOX6,SOX6,SOX6,SOX6
ARNT,ARNT,ARNT,ARNT
RPH3A,RPH3A,RPH3A,RPH3A
RMST,RMST,RMST,RMST
TTYH1,TTYH1,TTYH1,TTYH1
TBC1D4,TBC1D4,TBC1D4,TBC1D4
ENO3,ENO3,ENO3,ENO3
COL25A1,COL25A1,COL25A1,COL25A1
PTPN14,PTPN14,PTPN14,PTPN14
NPAS3,NPAS3,NPAS3,NPAS3
PPP1R1C,PPP1R1C,PPP1R1C,PPP1R1C
KCTD16,KCTD16,KCTD16,KCTD16
VGLL3,VGLL3,VGLL3,VGLL3
PLPP4,PLPP4,PLPP4,PLPP4
NIPAL3,NIPAL3,NIPAL3,NIPAL3
CACNA1E,CACNA1E,CACNA1E,CACNA1E
TMEM161B-AS1,TMEM161B-AS1,TMEM161B-AS1,TMEM161B-AS1
KCNMB2,KCNMB2,KCNMB2,KCNMB2
CDH18,CDH18,CDH18,CDH18
RIPK2,RIPK2,RIPK2,RIPK2
ADRA1A,ADRA1A,ADRA1A,ADRA1A
SHC3,SHC3,SHC3,SHC3
ALDH1A2,ALDH1A2,ALDH1A2,ALDH1A2
IL17RD,IL17RD,IL17RD,IL17RD
TPO,TPO,TPO,TPO
