,Cell Type,Fold,AUPRC,Validation AUPRC
0,Chandelier,0,0.9733082728040714,0.12878787878787878
1,Chandelier,1,0.8856376466670584,0.6646825396825397
2,Chandelier,2,0.9094544019100655,0.411958986493148
3,Chandelier,3,0.9411327557004178,0.43333333333333335
4,Chandelier,4,0.9862155388471179,0.30047619047619045
5,L2.3.IT,0,0.5869724422229191,0.3498894539604726
6,L2.3.IT,1,0.46890873894781415,0.1841319412877619
7,L2.3.IT,2,0.41114188828683457,0.4456456586891369
8,L2.3.IT,3,0.5889035034349146,0.19594988344988346
9,L2.3.IT,4,0.6267158331099675,0.4361952861952862
10,L4.IT,0,0.7681061263799269,0.3334059858686934
11,L4.IT,1,0.5514614846770896,0.44565850815850816
12,L4.IT,2,0.9082776573823073,0.31868131868131866
13,L4.IT,3,0.7300844096388397,0.44179894179894175
14,L4.IT,4,0.6202711588476382,0.2583333333333333
15,L5.6.NP,0,0.8851493668382596,0.45238095238095233
16,L5.6.NP,1,0.8507349884381258,0.536203128594433
17,L5.6.NP,2,0.7971938346774654,0.14298913043478262
18,L5.6.NP,3,0.9496149489028123,0.45750234171286797
19,L5.6.NP,4,0.8048283498045521,0.24403837573933201
20,L5.ET,0,0.9116889406935533,0.16111577472738997
21,L5.ET,1,0.5746063635592731,0.43997679209025403
22,L5.ET,2,0.609879721725736,0.4359649122807018
23,L5.ET,3,0.5812865720578282,0.5149882323795367
24,L5.ET,4,0.80101901399229,0.28774030628869335
25,L5.IT,0,0.861014432373992,0.16173400673400673
26,L5.IT,1,0.758248479116602,0.1787593984962406
27,L5.IT,2,0.7165318948745965,0.6040373268594684
28,L5.IT,3,0.6303976491108094,0.4070101673549949
29,L5.IT,4,0.6710632091312162,0.2956349206349206
30,L6.CT,0,0.7062497723568189,0.35555555555555557
31,L6.CT,1,0.9239161686092632,0.4157356532356532
32,L6.CT,2,0.7334189013991026,0.4476190476190476
33,L6.CT,3,0.8728501866350422,0.2229055258467023
34,L6.CT,4,0.9190847279082573,0.3050983330395095
35,L6.IT.Car3,0,0.9062768518031674,0.5803619909502262
36,L6.IT.Car3,1,0.9882506127450981,0.5647849868925187
37,L6.IT.Car3,2,0.9285857106375314,1.0
38,L6.IT.Car3,3,0.9703783592002784,0.47619047619047616
39,L6.IT.Car3,4,0.9464449119236054,0.7059649122807017
40,L6.IT,0,0.7802710113927227,0.3416666666666667
41,L6.IT,1,0.7656291527323943,0.4899050024050024
42,L6.IT,2,0.884282152983143,0.19157894736842107
43,L6.IT,3,0.7693440176637201,0.4065085649644473
44,L6.IT,4,0.7141728169140618,0.5592592592592592
45,L6b,0,0.7217144572701208,0.15060429140888912
46,L6b,1,0.7049309469769418,0.28050296195033037
47,L6b,2,0.6556199484092241,0.28474682734971946
48,L6b,3,0.4682106301124675,0.2312698412698413
49,L6b,4,0.8015325355583417,0.2115079365079365
50,Lamp5.Lhx6,0,0.9721285135959049,0.2763117601352895
51,Lamp5.Lhx6,1,0.9849047907421495,0.11623931623931624
52,Lamp5.Lhx6,2,0.9828161224119776,0.4733275496433391
53,Lamp5.Lhx6,3,0.82841814580574,0.49090909090909096
54,Lamp5.Lhx6,4,0.6234392382465406,0.5396344396344397
55,Lamp5,0,0.8463923730937573,1.0
56,Lamp5,1,0.9161381395332917,0.4586921850079745
57,Lamp5,2,0.828914453137295,0.5851968666254381
58,Lamp5,3,0.9700697688345907,0.5082362082362082
59,Lamp5,4,0.8376723853074526,0.7287037037037036
60,Pax6,0,0.9947856280193235,0.7253968253968255
61,Pax6,1,1.0,0.5468304843304843
62,Pax6,2,0.9811537476211387,0.6595238095238095
63,Pax6,3,0.936304083343557,0.39836969752936136
64,Pax6,4,0.916704636462701,0.2001388517406824
65,Pvalb,0,0.98290796004459,0.361518044489059
66,Pvalb,1,0.8776625352808755,0.4692982456140351
67,Pvalb,2,0.9239318798149643,0.6283333333333334
68,Pvalb,3,0.8769743907903258,0.4201298701298701
69,Pvalb,4,0.8239219891677356,0.21621212121212122
70,Sncg,0,0.9645011850894203,0.4356873934146661
71,Sncg,1,0.9897096908939016,0.7152777777777778
72,Sncg,2,0.9532129596358846,0.3666666666666667
73,Sncg,3,0.8734689764325159,0.3833333333333333
74,Sncg,4,1.0000000000000002,0.27132352941176474
75,Sst,0,0.9140765599581475,0.54
76,Sst,1,0.8996658274941324,0.5830237358101136
77,Sst,2,0.8809991965951718,0.47562160062160064
78,Sst,3,0.8714261190880488,0.5885281385281385
79,Sst,4,0.9115398892874285,0.5099206349206349
80,Vip,0,0.9480088139541568,0.5143790849673202
81,Vip,1,0.8881447260412805,0.22403381642512077
82,Vip,2,0.8748869635928871,0.7093814080656186
83,Vip,3,0.8721383449601967,0.5461451247165532
84,Vip,4,0.924724307695878,0.7476190476190476
