gene,score,validation,label
A1CF,0.05724573,False,0
A2M,0.09417435,False,0
A4GALT,0.12717623,False,0
AATK,0.116988,True,0
ABCA13,0.19110353,False,1
ABCA5,0.073347785,False,0
ABCA6,0.09685323,False,0
ABCA8,0.06428748,False,0
ABCB1,0.085834466,False,0
ABCC12,0.09688564,False,0
ABCC4,0.061998997,False,0
ABCF2,0.059081025,False,0
ABCG1,0.07403543,False,0
ABCG2,0.1122844,True,0
ABI3BP,0.201344,False,0
ABL1,0.16642974,False,0
ABLIM2,0.085889,True,0
ABLIM3,0.085513875,False,0
ABTB2,0.076688856,False,0
ACAN,0.123942696,False,0
ACER2,0.124400325,False,0
ACER3,0.16739534,False,0
ACO1,0.11572109,False,0
ACP5,0.10191304,True,0
ACSBG1,0.11305384,False,0
ACTA2,0.1497611,False,0
ACTB,0.1085615,True,1
ACTG1,0.079004675,False,0
ACTN1,0.09130801,False,0
ACTN2,0.061269186,False,0
ACTR2,0.06530632,False,0
ACTR3C,0.09442725,True,0
ACVR1,0.07451126,False,0
ACVR1C,0.17797045,True,0
ACVRL1,0.089037076,False,0
ADAD1,0.047171198,False,0
ADAM19,0.10087179,False,0
ADAM22,0.0752314,False,0
ADAM28,0.039708074,False,0
ADAMTS1,0.124109715,False,0
ADAMTS12,0.09161228,False,0
ADAMTS15,0.030267518,False,0
ADAMTS17,0.07958752,False,0
ADAMTS19-AS1,0.06851883,False,0
ADAMTS3,0.10794995,False,0
ADAMTS5,0.18242766,False,0
ADAMTS7,0.12168689,True,0
ADAMTS8,0.10475602,True,0
ADAMTS9,0.10526336,True,0
ADAMTSL4-AS1,0.13923973,True,0
ADCY1,0.08287374,True,0
ADCY2,0.05562152,False,0
ADCY4,0.15284243,True,0
ADCY5,0.09198873,False,1
ADCY7,0.13158095,False,0
ADD2,0.04004063,False,0
ADD3-AS1,0.09363712,False,0
ADGRA2,0.060026787,False,0
ADGRB3,0.18682605,True,0
ADGRF5,0.0861083,False,0
ADGRG2,0.090460576,True,0
ADGRG6,0.06069599,False,0
ADGRL2,0.1231805,False,0
ADGRL3,0.16068774,True,0
ADGRL4,0.15200703,False,0
ADNP,0.1955705,False,1
ADNP2,0.17960662,False,0
ADRA1A,0.22539431,False,0
ADRA1B,0.052700926,False,0
ADRA2B,0.09052512,False,0
ADTRP,0.089251354,False,0
AEBP2,0.08011761,True,0
AFAP1L2,0.08871993,False,0
AFF2,0.037181772,True,1
AFF3,0.11238758,True,0
AFF4,0.17141132,False,0
AGAP1,0.10917894,False,1
AGAP2,0.080939546,False,1
AGBL1,0.05854876,False,0
AGGF1,0.11933504,False,0
AHCTF1,0.10952106,False,0
AHDC1,0.16237764,False,1
AHR,0.083994925,False,0
AHRR,0.10753912,True,0
AIF1L,0.18664666,True,0
AIRE,0.115591384,True,0
AJAP1,0.09857925,False,0
AK5,0.16014811,False,0
AKAIN1,0.09528478,False,0
AKAP12,0.063271195,False,0
AKAP13,0.084988855,False,0
AKAP5,0.065172166,False,0
AKAP6,0.10341205,False,0
AKR1C2,0.21095613,False,0
AKR1D1,0.09775039,False,0
ALCAM,0.15803583,False,0
ALDH1A1,0.15915023,False,0
ALDH1A2,0.08810337,False,0
ALG14,0.093130074,False,0
ALK,0.10085116,True,0
ALKBH3-AS1,0.097594805,False,0
ALOX5,0.044574723,False,0
ALPL,0.14773458,False,0
ALX3,0.07820437,False,0
ALX4,0.08601045,False,0
AMER2,0.07077988,False,0
AMMECR1,0.10897732,False,0
AMPH,0.05054835,False,0
AMZ1,0.059853256,False,0
ANGPT1,0.083176024,True,0
ANGPT2,0.061068837,False,0
ANK1,0.13962899,True,0
ANK2,0.1601941,False,1
ANK3,0.1201844,False,1
ANKH,0.14078017,True,0
ANKRD18A,0.19682266,False,0
ANKRD22,0.08837439,False,0
ANKRD28,0.09110986,True,0
ANKRD30B,0.08019842,False,0
ANKRD30BL,0.07505224,False,0
ANKRD50,0.06383071,False,0
ANKRD62,0.07895259,False,0
ANKRD7,0.07744145,False,0
ANKS1B,0.17807394,False,1
ANKUB1,0.121763885,True,0
ANO2,0.05486603,False,0
ANO3,0.10089396,False,0
ANO5,0.08588452,False,0
ANO6,0.12794195,False,0
ANOS1,0.088958345,False,0
ANPEP,0.097113885,True,0
ANXA1,0.09564507,False,1
ANXA11,0.08947506,False,0
ANXA2,0.12273679,False,0
AOAH,0.05292161,True,0
AP1S2,0.12820783,False,0
AP2M1,0.10939659,False,1
AP2S1,0.07996056,False,1
APBA1,0.15313537,False,0
APBB1IP,0.05839209,True,0
APBB2,0.15977222,False,0
APEX2,0.06163333,False,0
APLNR,0.06359644,False,0
APLP2,0.066194884,False,0
APOC1,0.0817779,False,0
APOC2,0.08510257,False,0
APOE,0.10553241,False,0
APOL2,0.13352534,False,0
APOL4,0.08386884,False,0
APOLD1,0.07328551,False,0
APP,0.1637899,True,0
AQP1,0.13011798,False,0
AQP3,0.1124627,False,0
AQP4,0.16243462,False,0
AQP4-AS1,0.18113516,True,0
ARF1,0.11517285,False,0
ARF3,0.13444911,False,1
ARFGAP1,0.09524891,False,0
ARFGEF3,0.16654617,True,0
ARHGAP10,0.10843266,False,0
ARHGAP11B,0.018989598,True,1
ARHGAP15,0.079458214,False,0
ARHGAP22,0.083646685,False,0
ARHGAP24,0.1690546,False,0
ARHGAP25,0.05537275,False,0
ARHGAP26,0.13751127,False,0
ARHGAP29,0.08464358,True,0
ARHGAP42,0.067777224,False,0
ARHGAP44,0.06781681,False,0
ARHGAP6,0.07616329,False,0
ARHGDIA,0.11479712,True,0
ARHGDIB,0.101327576,False,0
ARHGDIG,0.084928766,False,0
ARHGEF10,0.13168363,False,1
ARHGEF2,0.06168973,False,1
ARHGEF28,0.13264462,False,0
ARHGEF3,0.05900047,False,0
ARHGEF4,0.13277963,False,0
ARID3A,0.097651325,False,0
ARID3B,0.062268443,False,0
ARID5A,0.033799566,False,0
ARID5B,0.078623965,False,0
ARL15,0.078728035,False,0
ARL4C,0.13342571,False,0
ARL5C,0.06860203,False,0
ARMC3,0.05762631,False,0
ARMC4,0.08964401,False,0
ARMC9,0.068398975,False,0
ARNT,0.11617534,False,0
ARNT2,0.1177343,False,1
ARNTL,0.18032287,False,0
ARNTL2,0.06910592,False,0
ARPC5L,0.06774935,False,0
ARPP21,0.09902327,True,0
ARRDC3-AS1,0.10882637,False,0
ARSB,0.1238351,True,0
ARSF,0.10352693,False,0
ARSG,0.064930625,False,0
ARSJ,0.1883175,False,0
ARX,0.120952874,False,1
ASAP1,0.06669082,True,0
ASB18,0.07874509,False,0
ASB8,0.1370564,False,0
ASCC1,0.08803196,False,0
ASCL1,0.06862572,False,0
ASCL2,0.07564578,True,0
ASIC4,0.08104137,False,0
ASNS,0.17205006,False,0
ASPA,0.11695666,False,0
ASPHD1,0.099940166,True,0
ASPHD2,0.07841572,False,0
ASPM,0.014220935,False,1
ASPSCR1,0.15305394,True,0
ASXL3,0.08553608,False,1
ATF1,0.1295439,False,0
ATF2,0.17214388,False,0
ATF3,0.14206742,True,0
ATF4,0.0705373,False,0
ATF5,0.08296546,False,0
ATF6,0.12950106,False,0
ATF6B,0.15711685,False,0
ATF7,0.15276915,True,0
ATF7IP2,0.09490095,False,0
ATL1,0.10283755,True,0
ATOH7,0.08587871,False,0
ATOH8,0.110497914,False,0
ATP10A,0.11715143,False,1
ATP10B,0.09391275,False,0
ATP11A,0.06444788,True,0
ATP12A,0.0823438,False,0
ATP13A5-AS1,0.07871668,False,0
ATP1A1,0.09564268,False,1
ATP1A2,0.09532992,False,0
ATP1A3,0.08529095,False,1
ATP1B1,0.08687329,False,0
ATP1B2,0.073611096,False,0
