_BACKGROUND,5p,10p,15p
ITGA11,ITGA11,ITGA11,ITGA11
FBLN5,FBLN5,FBLN5,FBLN5
C4BPB,C4BPB,C4BPB,C4BPB
FBN2,FBN2,FBN2,FBN2
EGLN3,EGLN3,EGLN3,EGLN3
PDLIM1,PDLIM1,PDLIM1,PDLIM1
SH2D4B,SH2D4B,SH2D4B,SH2D4B
FOXD4L3,FOXD4L3,FOXD4L3,FOXD4L3
TRPM3,TRPM3,TRPM3,TRPM3
NR5A2,NR5A2,NR5A2,NR5A2
FOXO3,FOXO3,FOXO3,FOXO3
ANK2,ANK2,ANK2,ANK2
GINS3,GINS3,GINS3,GINS3
DCDC2C,DCDC2C,DCDC2C,DCDC2C
ASNS,ASNS,ASNS,ASNS
FAM111B,FAM111B,FAM111B,FAM111B
NCOA7-AS1,NCOA7-AS1,NCOA7-AS1,NCOA7-AS1
FOXD1,FOXD1,FOXD1,FOXD1
PARD3,PARD3,PARD3,PARD3
GARS,GARS,GARS,GARS
CNTN6,CNTN6,CNTN6,CNTN6
KLF7,KLF7,KLF7,KLF7
PIRT,PIRT,PIRT,PIRT
P4HA2,P4HA2,P4HA2,P4HA2
PRUNE2,PRUNE2,PRUNE2,PRUNE2
SLC7A11,SLC7A11,SLC7A11,SLC7A11
QRFPR,QRFPR,QRFPR,QRFPR
RAMP3,RAMP3,RAMP3,RAMP3
SPSB4,SPSB4,SPSB4,SPSB4
HSPA6,HSPA6,HSPA6,HSPA6
SH3BGR,SH3BGR,SH3BGR,SH3BGR
EHBP1,EHBP1,EHBP1,EHBP1
LHX2,LHX2,LHX2,LHX2
ZMYND8,ZMYND8,ZMYND8,ZMYND8
KDM4B,KDM4B,KDM4B,KDM4B
NFATC2,NFATC2,NFATC2,NFATC2
CLEC1A,CLEC1A,CLEC1A,CLEC1A
FOXF1,FOXF1,FOXF1,FOXF1
ABCA13,ABCA13,ABCA13,ABCA13
COBL,COBL,COBL,COBL
CHGA,CHGA,CHGA,CHGA
AQP1,AQP1,AQP1,AQP1
NCAM2,NCAM2,NCAM2,NCAM2
PACSIN1,PACSIN1,PACSIN1,PACSIN1
ELK4,ELK4,ELK4,ELK4
CX3CL1,CX3CL1,CX3CL1,CX3CL1
ERMN,ERMN,ERMN,ERMN
HNF4A,HNF4A,HNF4A,HNF4A
ADGRL4,ADGRL4,ADGRL4,ADGRL4
EMCN,EMCN,EMCN,EMCN
B4GAT1,B4GAT1,B4GAT1,B4GAT1
ETS1,ETS1,ETS1,ETS1
TNFSF10,TNFSF10,TNFSF10,TNFSF10
AKR1C2,AKR1C2,AKR1C2,AKR1C2
LINC01507,LINC01507,LINC01507,LINC01507
ABI3BP,ABI3BP,ABI3BP,ABI3BP
EDN1,EDN1,EDN1,EDN1
NFATC1,NFATC1,NFATC1,NFATC1
THRA,THRA,THRA,THRA
ARSJ,ARSJ,ARSJ,ARSJ
BFSP2,BFSP2,BFSP2,BFSP2
NEBL,NEBL,NEBL,NEBL
SESN2,SESN2,SESN2,SESN2
ADNP2,ADNP2,ADNP2,ADNP2
FENDRR,FENDRR,FENDRR,FENDRR
ZNF107,ZNF107,ZNF107,ZNF107
BTNL9,BTNL9,BTNL9,BTNL9
NFAT5,NFAT5,NFAT5,NFAT5
TRPS1,TRPS1,TRPS1,TRPS1
NOSTRIN,NOSTRIN,NOSTRIN,NOSTRIN
ZNF44,ZNF44,ZNF44,ZNF44
LINC01135,LINC01135,LINC01135,LINC01135
FAM53B,FAM53B,FAM53B,FAM53B
SERPINB2,SERPINB2,SERPINB2,SERPINB2
NUCB1,NUCB1,NUCB1,NUCB1
CNOT4,CNOT4,CNOT4,CNOT4
ZNF148,ZNF148,ZNF148,ZNF148
LIPA,LIPA,LIPA,LIPA
ZNF521,ZNF521,ZNF521,ZNF521
GBP5,GBP5,GBP5,GBP5
GABRG1,GABRG1,GABRG1,GABRG1
PDS5A,PDS5A,PDS5A,PDS5A
SETDB1,SETDB1,SETDB1,SETDB1
PTH2R,PTH2R,PTH2R,PTH2R
EN2,EN2,EN2,EN2
ZNF814,ZNF814,ZNF814,ZNF814
SORBS1,SORBS1,SORBS1,SORBS1
ANXA2,ANXA2,ANXA2,ANXA2
AQP4-AS1,AQP4-AS1,AQP4-AS1,AQP4-AS1
SLC22A17,SLC22A17,SLC22A17,SLC22A17
MROH2B,MROH2B,MROH2B,MROH2B
ZNF544,ZNF544,ZNF544,ZNF544
KIF13A,KIF13A,KIF13A,KIF13A
CD59,CD59,CD59,CD59
NAP1L1,NAP1L1,NAP1L1,NAP1L1
SBK1,SBK1,SBK1,SBK1
DSEL,DSEL,DSEL,DSEL
BRF2,BRF2,BRF2,BRF2
ZNF790,ZNF790,ZNF790,ZNF790
HNRNPC,HNRNPC,HNRNPC,HNRNPC
RADIL,RADIL,RADIL,RADIL
ADCY4,ADCY4,ADCY4,ADCY4
FOXN4,FOXN4,FOXN4,FOXN4
NR4A1,NR4A1,NR4A1,NR4A1
ZIC2,ZIC2,ZIC2,ZIC2
HP1BP3,HP1BP3,HP1BP3,HP1BP3
ZBTB8B,ZBTB8B,ZBTB8B,ZBTB8B
MIS18BP1,MIS18BP1,MIS18BP1,MIS18BP1
MYO3A,MYO3A,MYO3A,MYO3A
HBP1,HBP1,HBP1,HBP1
RAB3IP,RAB3IP,RAB3IP,RAB3IP
HNRNPUL1,HNRNPUL1,HNRNPUL1,HNRNPUL1
METTL2B,METTL2B,METTL2B,METTL2B
C2CD4A,C2CD4A,C2CD4A,C2CD4A
DLL4,DLL4,DLL4,DLL4
ZNF345,ZNF345,ZNF345,ZNF345
P4HA1,P4HA1,P4HA1,P4HA1
CFAP47,CFAP47,CFAP47,CFAP47
C2orf83,C2orf83,C2orf83,C2orf83
TTTY14,TTTY14,TTTY14,TTTY14
HMGB2,HMGB2,HMGB2,HMGB2
ZNF704,ZNF704,ZNF704,ZNF704
RNF217,RNF217,RNF217,RNF217
KCND2,KCND2,KCND2,KCND2
ATF7,ATF7,ATF7,ATF7
ZBTB20,ZBTB20,ZBTB20,ZBTB20
KLF15,KLF15,KLF15,KLF15
SESTD1,SESTD1,SESTD1,SESTD1
ZNF366,ZNF366,ZNF366,ZNF366
PHF8,PHF8,PHF8,PHF8
TP53,TP53,TP53,TP53
SLC35F1,SLC35F1,SLC35F1,SLC35F1
CASR,CASR,CASR,CASR
LHFPL2,LHFPL2,LHFPL2,LHFPL2
DAZAP1,DAZAP1,DAZAP1,DAZAP1
ARNTL,ARNTL,ARNTL,ARNTL
IRS1,IRS1,IRS1,IRS1
SEL1L3,SEL1L3,SEL1L3,SEL1L3
COL8A1,COL8A1,COL8A1,COL8A1
ATP8A2,ATP8A2,ATP8A2,ATP8A2
KCTD1,KCTD1,KCTD1,KCTD1
MID1,MID1,MID1,MID1
KCNK2,KCNK2,KCNK2,KCNK2
MEF2D,MEF2D,MEF2D,MEF2D
ESR1,ESR1,ESR1,ESR1
CUL3,CUL3,CUL3,CUL3
DCHS2,DCHS2,DCHS2,DCHS2
TP73,TP73,TP73,TP73
RANBP3L,RANBP3L,RANBP3L,RANBP3L
HDAC1,HDAC1,HDAC1,HDAC1
IRF2,IRF2,IRF2,IRF2
CYYR1,CYYR1,CYYR1,CYYR1
TGFA,TGFA,TGFA,TGFA
CNOT3,CNOT3,CNOT3,CNOT3
ST6GALNAC6,ST6GALNAC6,ST6GALNAC6,ST6GALNAC6
GJB2,GJB2,GJB2,GJB2
CELF6,CELF6,CELF6,CELF6
DOCK10,DOCK10,DOCK10,DOCK10
MYH10,MYH10,MYH10,MYH10
VCAM1,VCAM1,VCAM1,VCAM1
AHDC1,AHDC1,AHDC1,AHDC1
EPHX1,EPHX1,EPHX1,EPHX1
AFF4,AFF4,AFF4,AFF4
PLEKHA1,PLEKHA1,PLEKHA1,PLEKHA1
PIK3R1,PIK3R1,PIK3R1,PIK3R1
ZNF155,ZNF155,ZNF155,ZNF155
ZNF384,ZNF384,ZNF384,ZNF384
MXI1,MXI1,MXI1,MXI1
SLAIN1,SLAIN1,SLAIN1,SLAIN1
PLOD2,PLOD2,PLOD2,PLOD2
UBP1,UBP1,UBP1,UBP1
ZBTB37,ZBTB37,ZBTB37,ZBTB37
ADAMTS7,ADAMTS7,ADAMTS7,ADAMTS7
INSM1,INSM1,INSM1,INSM1
VEZF1,VEZF1,VEZF1,VEZF1
FAM155A,FAM155A,FAM155A,FAM155A
SMARCA1,SMARCA1,SMARCA1,SMARCA1
ZNF134,ZNF134,ZNF134,ZNF134
NR3C1,NR3C1,NR3C1,NR3C1
SUPT3H,SUPT3H,SUPT3H,SUPT3H
SSRP1,SSRP1,SSRP1,SSRP1
STAT5B,STAT5B,STAT5B,STAT5B
ADAMTSL4-AS1,ADAMTSL4-AS1,ADAMTSL4-AS1,ADAMTSL4-AS1
KLF4,KLF4,KLF4,KLF4
UBE2E2,UBE2E2,UBE2E2,UBE2E2
REST,REST,REST,REST
CACNA1A,CACNA1A,CACNA1A,CACNA1A
KLF12,KLF12,KLF12,KLF12
PBX3,PBX3,PBX3,PBX3
DAAM2,DAAM2,DAAM2,DAAM2
STPG2,STPG2,STPG2,STPG2
TCF7L2,,TCF7L2,TCF7L2
SLFN11,,SLFN11,SLFN11
RPS6KA5,,RPS6KA5,RPS6KA5
NFYC,,NFYC,NFYC
ZFY,,ZFY,ZFY
NCOR1,,NCOR1,NCOR1
CACNA1G-AS1,,CACNA1G-AS1,CACNA1G-AS1
SLC4A10,,SLC4A10,SLC4A10
FLT1,,FLT1,FLT1
SORBS3,,SORBS3,SORBS3
RREB1,,RREB1,RREB1
PDZRN3,,PDZRN3,PDZRN3
RORA,,RORA,RORA
PHLDB2,,PHLDB2,PHLDB2
NPAS2,,NPAS2,NPAS2
ELOVL6,,ELOVL6,ELOVL6
TGIF1,,TGIF1,TGIF1
ZNF438,,ZNF438,ZNF438
ZNF827,,ZNF827,ZNF827
NELFB,,NELFB,NELFB
VRK2,,VRK2,VRK2
PPM1B,,PPM1B,PPM1B
WWC2,,WWC2,WWC2
GTF2IRD1,,GTF2IRD1,GTF2IRD1
FAS,,FAS,FAS
FOSL2,,FOSL2,FOSL2
TBPL1,,TBPL1,TBPL1
ALPL,,ALPL,ALPL
GLIS1,,GLIS1,GLIS1
ATF6,,ATF6,ATF6
WIF1,,WIF1,WIF1
SNAP25-AS1,,SNAP25-AS1,SNAP25-AS1
FKBP5,,FKBP5,FKBP5
MOB1B,,MOB1B,MOB1B
MBNL2,,MBNL2,MBNL2
LRRC9,,LRRC9,LRRC9
PROX1,,PROX1,PROX1
MAFK,,MAFK,MAFK
MECP2,,MECP2,MECP2
EIF3E,,EIF3E,EIF3E
LRRC4C,,LRRC4C,LRRC4C
B3GAT2,,B3GAT2,B3GAT2
GALP,,GALP,GALP
EIF4G3,,EIF4G3,EIF4G3
SLC4A4,,SLC4A4,SLC4A4
HEY2,,HEY2,HEY2
GALNT18,,GALNT18,GALNT18
RORB,,RORB,RORB
JRK,,JRK,JRK
DKK2,,DKK2,DKK2
NPTN,,NPTN,NPTN
RNF217-AS1,,RNF217-AS1,RNF217-AS1
ERBB4,,ERBB4,ERBB4
KCTD8,,KCTD8,KCTD8
CXXC5,,CXXC5,CXXC5
RNF144B,,RNF144B,RNF144B
KLHL32,,KLHL32,KLHL32
B4GALNT3,,B4GALNT3,B4GALNT3
RFX8,,RFX8,RFX8
ZBTB45,,ZBTB45,ZBTB45
COBLL1,,COBLL1,COBLL1
CDKN2B-AS1,,CDKN2B-AS1,CDKN2B-AS1
UGP2,,UGP2,UGP2
ZSCAN23,,ZSCAN23,ZSCAN23
PPP1R3C,,PPP1R3C,PPP1R3C
VCAN,,VCAN,VCAN
THOC2,,THOC2,THOC2
FLRT2,,FLRT2,FLRT2
BRINP2,,BRINP2,BRINP2
FRK,,FRK,FRK
FOXE3,,FOXE3,FOXE3
PIK3C2A,,PIK3C2A,PIK3C2A
ZNF195,,ZNF195,ZNF195
GRM8,,GRM8,GRM8
ATF3,,ATF3,ATF3
HIVEP1,,HIVEP1,HIVEP1
PPARGC1A,,PPARGC1A,PPARGC1A
ETV6,,ETV6,ETV6
ZNF596,,ZNF596,ZNF596
HPCAL4,,HPCAL4,HPCAL4
FAM126A,,FAM126A,FAM126A
GALNT7,,GALNT7,GALNT7
MLLT10,,MLLT10,MLLT10
RNASEK,,RNASEK,RNASEK
SET,,SET,SET
MAP7,,MAP7,MAP7
ZNF92,,ZNF92,ZNF92
ENO1,,ENO1,ENO1
MORC4,,MORC4,MORC4
STAT2,,STAT2,STAT2
PCDHA5,,PCDHA5,PCDHA5
ANO6,,ANO6,ANO6
ELL2,,ELL2,ELL2
SLC24A4,,SLC24A4,SLC24A4
ZNF500,,ZNF500,ZNF500
SCN9A,,SCN9A,SCN9A
ZNF496,,ZNF496,ZNF496
ZNF736,,ZNF736,ZNF736
PLEKHA5,,PLEKHA5,PLEKHA5
APBA1,,APBA1,APBA1
USP53,,USP53,USP53
ZNF462,,ZNF462,ZNF462
ADGRB3,,ADGRB3,ADGRB3
ST6GAL2,,ST6GAL2,ST6GAL2
GXYLT2,,GXYLT2,GXYLT2
KCNMA1,,KCNMA1,KCNMA1
TFDP2,,TFDP2,TFDP2
SMAD5,,SMAD5,SMAD5
CAMK2A,,CAMK2A,CAMK2A
ZNF573,,ZNF573,ZNF573
ZNF565,,ZNF565,ZNF565
ZNF649,,ZNF649,ZNF649
JADE3,,JADE3,JADE3
SLC22A15,,SLC22A15,SLC22A15
CAMKK2,,CAMKK2,CAMKK2
SYNE2,,SYNE2,SYNE2
CREB3L2,,CREB3L2,CREB3L2
PKN2-AS1,,PKN2-AS1,PKN2-AS1
PLD5,,PLD5,PLD5
NKX2-2,,NKX2-2,NKX2-2
SKI,,SKI,SKI
PNPLA3,,PNPLA3,PNPLA3
NFIA,,NFIA,NFIA
EDIL3,,EDIL3,EDIL3
