gene,score,validation,label
A1CF,0.08093814,False,0
A2M,0.03882539,False,0
AACS,0.16942441,False,0
AASDHPPT,0.14647941,False,0
ABCA1,0.087084465,False,0
ABCA12,0.094341174,False,0
ABCA4,0.048658974,False,0
ABCA8,0.12322484,False,0
ABCB1,0.047374446,False,0
ABCB4,0.06499826,False,0
ABCC3,0.060505223,False,0
ABCC4,0.069684766,False,0
ABCF2,0.15259624,True,0
ABCG2,0.072173804,False,0
ABL1,0.16523159,False,0
ACER2,0.059839528,True,0
ACMSD,0.09066369,False,0
ACSBG1,0.08643442,False,0
ACSM6,0.060155686,True,0
ACTA2,0.043915268,False,0
ACTB,0.07009484,False,1
ACTG1,0.0771616,False,0
ACTN2,0.047895253,True,0
ACVR1,0.1409716,False,0
ADAD2,0.09543724,False,0
ADAM23,0.13515371,False,0
ADAM28,0.10774977,True,0
ADAM32,0.07971136,False,0
ADAMTS1,0.052052457,False,0
ADAMTS15,0.047433242,False,0
ADAMTS16,0.14762448,False,0
ADAMTS17,0.05771649,False,0
ADAMTS2,0.05899446,True,0
ADAMTS3,0.13923547,False,0
ADAMTS4,0.07106733,False,0
ADAMTS5,0.06350187,True,0
ADAMTSL1,0.05515038,True,0
ADARB1,0.1559012,True,0
ADARB2,0.046117127,False,0
ADCY5,0.14271262,True,1
ADCYAP1,0.05543487,True,0
ADD3,0.16279848,True,0
ADGRD1,0.067167595,False,0
ADGRL2,0.19470409,False,0
ADGRL3,0.091092184,False,0
ADGRL4,0.071988344,False,0
ADH1B,0.06300293,True,0
ADIRF,0.1436243,False,0
ADNP,0.1117095,False,1
ADNP2,0.15865982,False,0
ADRA2A,0.09357979,False,0
ADTRP,0.04095698,True,0
AEBP2,0.19728169,False,0
AFAP1,0.105139226,False,0
AFF1,0.1817463,False,0
AFF4,0.11672408,False,0
AGAP2,0.08653956,True,1
AGBL1,0.06758751,False,0
AGBL3,0.12754647,False,0
AGMO,0.058597915,False,1
AHCTF1,0.21700203,False,0
AHCYL2,0.092097916,False,0
AHDC1,0.17471771,False,1
AHR,0.17984316,False,0
AHRR,0.1549753,False,0
AK5,0.15698272,False,0
AKAP13,0.19394018,False,0
ALCAM,0.057606738,True,0
ALDOA,0.06194126,False,0
ALG1L9P,0.05689888,False,0
ALK,0.059219893,False,0
ALOX15B,0.09256436,False,0
ALOX5,0.060810044,False,0
ALS2CL,0.07016441,False,0
ALX1,0.07103087,False,0
ALX4,0.07337777,False,0
AMBN,0.09584897,False,0
AMER2,0.14168908,False,0
AMPH,0.04895649,True,0
AMZ1,0.049002193,True,0
ANGPT1,0.109372795,False,0
ANGPT2,0.06409403,False,0
ANK1,0.06059571,False,0
ANKDD1B,0.057280734,False,0
ANKRD13A,0.048887946,False,0
ANKRD30B,0.0580866,True,0
ANKRD33B,0.13475597,False,0
ANKRD34C-AS1,0.019579105,True,0
ANKRD44,0.12420788,False,0
ANKRD55,0.062136844,False,0
ANKRD6,0.08835929,False,0
ANKRD7,0.12328933,False,0
ANKS1A,0.06236359,False,0
ANLN,0.08356228,True,0
ANO1,0.08453769,False,0
ANO10,0.17403981,False,0
ANO3,0.1061924,False,0
ANO5,0.049093112,True,0
ANO6,0.09684082,False,0
ANOS1,0.14492068,False,0
ANXA1,0.042745918,False,1
ANXA11,0.14272998,False,0
ANXA4,0.09025085,False,0
AOAH,0.07291262,False,0
AP1S1,0.055981915,False,0
AP1S2,0.119126014,False,0
AP2M1,0.08836847,False,1
APBB1IP,0.044560667,False,0
APBB2,0.1759822,False,0
APCDD1,0.11525848,False,0
APELA,0.045369554,True,0
APEX2,0.13552326,True,0
APLNR,0.05556491,False,0
APLP1,0.085293025,False,0
APOE,0.07403624,False,0
APP,0.1761348,False,0
AQP3,0.0860046,False,0
AQP4,0.083035626,False,0
AQP4-AS1,0.14305122,True,0
ARC,0.07658819,True,0
AREG,0.09390873,False,0
ARF1,0.055419754,False,0
ARF3,0.12628868,False,1
ARFGAP1,0.06937436,False,0
ARHGAP12,0.16920371,False,0
ARHGAP15,0.07992552,False,0
ARHGAP20,0.16171806,False,0
ARHGAP24,0.070908554,False,0
ARHGAP25,0.0798239,False,0
ARHGAP26,0.21270813,False,0
ARHGAP26-AS1,0.1362295,False,0
ARHGAP29,0.13952415,False,0
ARHGAP31,0.09536293,False,0
ARHGAP6,0.108060755,False,0
ARHGDIG,0.030555755,False,0
ARHGEF26,0.12767413,False,0
ARHGEF26-AS1,0.10067928,False,0
ARHGEF28,0.1795527,False,0
ARHGEF6,0.105908185,False,0
ARID3B,0.07696918,False,0
ARID3C,0.115781195,False,0
ARID5A,0.081965715,False,0
