Drug ID,Species,BBB,Genes,Num Genes,Mean Mean,Mean STD,Drug Relevance Score
DB01558,Humans,False,"['GABRA1', 'GABRA1', 'GABRA2', 'GABRA2', 'GABRA3', 'GABRA3', 'GABRA5', 'GABRA5', 'GABRA6', 'GABRB1', 'GABRG2', 'GABRG2', 'GABRG3', 'GABRG3']",14,0.35542995846285713,0.09930609366982378,1.0
DB01553,Humans,False,"['GABRA1', 'GABRA1', 'GABRA2', 'GABRA2', 'GABRA3', 'GABRA3', 'GABRA5', 'GABRA5', 'GABRA6', 'GABRB1', 'GABRG2', 'GABRG2', 'GABRG3', 'GABRG3']",14,0.35542995846285713,0.09930609366982378,1.0
DB14719,Humans,False,"['GABRA1', 'GABRA1', 'GABRA2', 'GABRA2', 'GABRA3', 'GABRA3', 'GABRA5', 'GABRA5', 'GABRA6', 'GABRB1', 'GABRG2', 'GABRG2', 'GABRG3', 'GABRG3']",14,0.35542995846285713,0.09930609366982378,1.0
DB14715,Humans,False,"['GABRA1', 'GABRA1', 'GABRA2', 'GABRA2', 'GABRA3', 'GABRA3', 'GABRA5', 'GABRA5', 'GABRA6', 'GABRB1', 'GABRG2', 'GABRG2', 'GABRG3', 'GABRG3']",14,0.35542995846285713,0.09930609366982378,1.0
DB00186,Humans,False,"['GABRA1', 'GABRA1', 'GABRA2', 'GABRA2', 'GABRA3', 'GABRA3', 'GABRA5', 'GABRA5', 'GABRA6', 'GABRB1', 'GABRG2', 'GABRG2', 'GABRG3', 'GABRG3']",14,0.35542995846285713,0.09930609366982378,1.0
DB14672,Humans,False,"['GABRA1', 'GABRA1', 'GABRA2', 'GABRA2', 'GABRA3', 'GABRA3', 'GABRA5', 'GABRA5', 'GABRA6', 'GABRB1', 'GABRG2', 'GABRG2', 'GABRG3', 'GABRG3']",14,0.35542995846285713,0.09930609366982378,1.0
DB13837,Humans,False,"['GABRA1', 'GABRA1', 'GABRA2', 'GABRA2', 'GABRA3', 'GABRA3', 'GABRA5', 'GABRA5', 'GABRA6', 'GABRB1', 'GABRG2', 'GABRG2', 'GABRG3', 'GABRG3']",14,0.35542995846285713,0.09930609366982378,1.0
DB01595,Humans,False,"['GABRA1', 'GABRA1', 'GABRA2', 'GABRA2', 'GABRA3', 'GABRA3', 'GABRA5', 'GABRA5', 'GABRA6', 'GABRB1', 'GABRG2', 'GABRG2', 'GABRG3', 'GABRG3']",14,0.35542995846285713,0.09930609366982378,1.0
DB01594,Humans,False,"['GABRA1', 'GABRA1', 'GABRA2', 'GABRA2', 'GABRA3', 'GABRA3', 'GABRA5', 'GABRA5', 'GABRA6', 'GABRB1', 'GABRG2', 'GABRG2', 'GABRG3', 'GABRG3']",14,0.35542995846285713,0.09930609366982378,1.0
DB01589,Humans,False,"['GABRA1', 'GABRA1', 'GABRA2', 'GABRA2', 'GABRA3', 'GABRA3', 'GABRA5', 'GABRA5', 'GABRA6', 'GABRB1', 'GABRG2', 'GABRG2', 'GABRG3', 'GABRG3']",14,0.35542995846285713,0.09930609366982378,1.0
DB01588,Humans,False,"['GABRA1', 'GABRA1', 'GABRA2', 'GABRA2', 'GABRA3', 'GABRA3', 'GABRA5', 'GABRA5', 'GABRA6', 'GABRB1', 'GABRG2', 'GABRG2', 'GABRG3', 'GABRG3']",14,0.35542995846285713,0.09930609366982378,1.0
DB01587,Humans,False,"['GABRA1', 'GABRA1', 'GABRA2', 'GABRA2', 'GABRA3', 'GABRA3', 'GABRA5', 'GABRA5', 'GABRA6', 'GABRB1', 'GABRG2', 'GABRG2', 'GABRG3', 'GABRG3']",14,0.35542995846285713,0.09930609366982378,1.0
DB01559,Humans,False,"['GABRA1', 'GABRA1', 'GABRA2', 'GABRA2', 'GABRA3', 'GABRA3', 'GABRA5', 'GABRA5', 'GABRA6', 'GABRB1', 'GABRG2', 'GABRG2', 'GABRG3', 'GABRG3']",14,0.35542995846285713,0.09930609366982378,1.0
DB00829,Humans,False,"['GABRA1', 'GABRA1', 'GABRA2', 'GABRA2', 'GABRA3', 'GABRA3', 'GABRA5', 'GABRA5', 'GABRA6', 'GABRB1', 'GABRG2', 'GABRG2', 'GABRG3', 'GABRG3']",14,0.35542995846285713,0.09930609366982378,1.0
DB01545,Humans,False,"['GABRA1', 'GABRA1', 'GABRA2', 'GABRA2', 'GABRA3', 'GABRA3', 'GABRA5', 'GABRA5', 'GABRA6', 'GABRB1', 'GABRG2', 'GABRG2', 'GABRG3', 'GABRG3']",14,0.35542995846285713,0.09930609366982378,1.0
DB00690,Humans,False,"['GABRA1', 'GABRA1', 'GABRA2', 'GABRA2', 'GABRA3', 'GABRA3', 'GABRA5', 'GABRA5', 'GABRA6', 'GABRB1', 'GABRG2', 'GABRG2', 'GABRG3', 'GABRG3']",14,0.35542995846285713,0.09930609366982378,1.0
DB01544,Humans,False,"['GABRA1', 'GABRA1', 'GABRA2', 'GABRA2', 'GABRA3', 'GABRA3', 'GABRA5', 'GABRA5', 'GABRA6', 'GABRB1', 'GABRG2', 'GABRG2', 'GABRG3', 'GABRG3']",14,0.35542995846285713,0.09930609366982378,1.0
DB01511,Humans,False,"['GABRA1', 'GABRA1', 'GABRA2', 'GABRA2', 'GABRA3', 'GABRA3', 'GABRA5', 'GABRA5', 'GABRA6', 'GABRB1', 'GABRG2', 'GABRG2', 'GABRG3', 'GABRG3']",14,0.35542995846285713,0.09930609366982378,1.0
DB01489,Humans,False,"['GABRA1', 'GABRA1', 'GABRA2', 'GABRA2', 'GABRA3', 'GABRA3', 'GABRA5', 'GABRA5', 'GABRA6', 'GABRB1', 'GABRG2', 'GABRG2', 'GABRG3', 'GABRG3']",14,0.35542995846285713,0.09930609366982378,1.0
DB00475,Humans,False,"['GABRA1', 'GABRA1', 'GABRA2', 'GABRA2', 'GABRA3', 'GABRA3', 'GABRA5', 'GABRA5', 'GABRA6', 'GABRB1', 'GABRG2', 'GABRG2', 'GABRG3', 'GABRG3']",14,0.35542995846285713,0.09930609366982378,1.0
