gene,score,validation,label
A1CF,0.3226235,False,-1
A2M,0.0007449133,False,0
AACS,0.10347138,False,-1
AADACL2-AS1,0.19796431,False,0
ABCA1,0.27831632,False,-1
ABCA12,0.20249048,True,0
ABCA8,0.17352177,False,0
ABCB1,0.23785578,False,-1
ABCB4,0.3402943,False,-1
ABCC4,0.075760186,False,0
ABCF2,0.42126772,False,-1
ABCG2,0.044064775,False,0
ABL1,0.24551208,False,-1
ABRA,0.11534296,False,-1
ACO1,0.21259677,False,-1
ACSBG1,0.06691613,False,-1
ACTA2,0.20840597,False,-1
ACTB,0.26105922,False,1
ACTG1,0.17532943,False,-1
ACTN2,0.07351997,False,-1
ACVR1,0.74335116,False,-1
ACVR1C,0.31793302,False,-1
ADAM23,0.15407065,False,-1
ADAM28,0.00078821485,False,0
ADAM32,0.13328148,False,-1
ADAMTS1,0.1088042,False,0
ADAMTS15,0.24275737,False,0
ADAMTS17,0.38841984,False,-1
ADAMTS19-AS1,0.45634985,False,-1
ADAMTS2,0.20159012,False,-1
ADAMTS20,0.12645344,False,-1
ADAMTS3,0.7693403,False,-1
ADAMTS5,0.7806441,False,-1
ADAMTS9-AS2,0.14438179,False,-1
ADAMTSL3,0.36638877,False,-1
ADARB1,0.9772773,False,-1
ADARB2,0.6064482,False,-1
ADARB2-AS1,0.60044104,False,-1
ADCY4,0.26086026,False,-1
ADCY8,0.17010064,False,-1
ADCYAP1,0.20071813,False,0
ADCYAP1R1,0.045480005,False,-1
ADD3,0.7612501,False,-1
ADD3-AS1,0.601863,False,-1
ADGRF5,0.09617687,False,-1
ADGRG1,0.19164574,False,-1
ADGRL2,0.9989825,False,-1
ADGRL3,0.08731637,False,-1
ADNP,0.869163,True,1
ADNP2,0.68491983,False,-1
ADRA1B,0.32779375,False,-1
ADTRP,0.49940565,False,-1
AFAP1,0.11215699,False,-1
AFF1,0.82901156,False,-1
AFF2,0.51096183,False,1
AFF4,0.8809799,False,-1
AGAP2,0.28830016,False,-1
AGGF1,0.28739253,False,1
AHCTF1,0.99261767,False,1
AHCYL2,0.2581127,False,-1
AHDC1,0.418212,False,1
AHR,0.8514168,False,-1
AHSA1,0.2564958,True,0
AK5,0.77865374,False,-1
ALCAM,0.13960737,False,-1
ALDH1A2,0.0920883,False,-1
ALDOA,0.08603042,False,-1
ALK,0.27304205,False,-1
ALOX5,0.03706912,False,-1
ALPK2,0.2230336,False,-1
ALX1,0.14021675,False,-1
AMBN,0.13366488,False,-1
AMER2,0.15177491,False,-1
AMOTL1,0.3948253,False,-1
AMPH,0.1369881,False,-1
AMZ1,0.18345499,False,0
ANK1,0.94156736,False,-1
ANKFN1,0.7936613,False,-1
ANKRD13A,0.12489708,False,-1
ANKRD30B,0.21723968,False,-1
ANKRD34C-AS1,0.61710423,False,-1
ANKRD44,0.093037724,False,0
ANKRD55,0.3656058,False,-1
ANKRD6,0.19909494,False,-1
ANKRD62,0.097431235,False,-1
ANO1,0.13718368,False,-1
