gene,score,validation,label
A1CF,0.24132812,False,-1
A2ML1,0.4783527,False,-1
AACS,0.39572263,False,-1
ABCA3,0.61264634,False,-1
ABCA5,0.5708392,False,-1
ABCB1,0.33067253,True,0
ABCC3,0.47859567,False,-1
ABCF2,0.14774142,False,-1
ABCG2,0.3047542,False,0
ABHD12B,0.09185101,False,-1
ABHD17B,0.19134353,False,-1
ABHD17C,0.36471462,False,-1
ABHD2,0.23525093,False,-1
ABI2,0.7226967,False,0
ABL1,0.3031901,False,-1
ABLIM1,0.48650825,False,-1
ABLIM3,0.99917644,False,-1
ACAN,0.08758271,False,-1
ACAP3,0.26815543,False,-1
ACKR3,0.16214614,False,-1
ACSBG1,0.1548606,False,-1
ACTA2,0.10383374,False,-1
ACTG1,0.101897284,False,-1
ACTN1,0.11035832,False,-1
ACTN2,0.30242872,False,-1
ACTN4,0.12933083,False,-1
ACTR3B,0.16837901,False,-1
ACVR1B,0.26040772,False,-1
ACVR1C,0.80162454,False,0
ADA,0.24399844,False,-1
ADAM11,0.16988787,False,-1
ADAM22,0.24615003,False,-1
ADAM23,0.5328546,False,0
ADAM32,0.42417526,False,-1
ADAMTS1,0.18460833,False,-1
ADAMTS12,0.37281165,False,-1
ADAMTS17,0.85366845,False,-1
ADAMTS18,0.459282,False,-1
ADAMTS20,0.12987378,False,-1
ADAMTS3,0.37563896,False,-1
ADAMTS5,0.121532135,False,-1
ADAMTS6,0.81825376,False,-1
ADAMTS9-AS2,0.22800906,False,-1
ADAMTSL3,0.1928359,False,-1
ADAMTSL4-AS1,0.2091597,False,-1
ADARB1,0.16521235,False,-1
ADCY1,0.61514884,False,0
ADCY2,0.7332918,False,1
ADCY3,0.30844864,False,-1
ADCY5,0.11490175,False,-1
ADCY8,0.6561949,False,-1
ADCY9,0.33512974,False,-1
ADD2,0.24831142,False,-1
ADD3,0.4177333,False,0
ADD3-AS1,0.33418584,False,0
ADGRA1,0.9615711,False,-1
ADGRA2,0.61407894,False,-1
ADGRA3,0.25414684,False,-1
ADGRB2,0.17614801,False,-1
ADGRB3,0.8706267,False,1
ADGRE2,0.10193596,False,-1
ADGRF5,0.348607,False,0
ADGRG3,0.19129226,False,-1
ADGRL1,0.722466,True,1
ADGRL2,0.9507748,False,1
ADGRL3,0.59654033,False,0
ADGRV1,0.16296013,True,0
ADNP,0.97747153,False,1
ADNP2,0.32512942,False,-1
ADRA1A,0.31946105,False,0
ADTRP,0.7091192,False,-1
AFAP1L2,0.18101275,False,-1
AFF2,0.9144862,True,1
AFF3,0.93992543,True,1
AFF4,0.53525317,False,-1
AGAP1,0.1422955,False,-1
AGAP2,0.057983153,False,-1
AGBL3,0.67145187,False,-1
AGGF1,0.08645181,False,-1
AGPAT1,0.10540217,False,-1
AGRN,0.8161962,False,-1
AGTPBP1,0.17936984,False,-1
AHCTF1,0.98840135,False,-1
AHCYL2,0.5081066,False,-1
AHDC1,0.40591115,True,1
AHI1,0.5820821,False,1
AHR,0.34286657,False,0
AHRR,0.8564258,False,-1
AIG1,0.27513054,False,-1
AIRE,0.09756339,False,-1
AK5,0.5817212,False,0
AKAP12,0.6622077,False,-1
AKAP5,0.18812124,False,-1
AKR1A1,0.17454365,False,-1
AKT3,0.5807713,False,1
ALCAM,0.40644693,False,-1
ALDH1A2,0.72963446,False,-1
ALK,0.1933298,False,-1
ALLC,0.16472906,False,-1
ALPL,0.24961387,False,-1
ALS2,0.5437977,False,-1
ALX3,0.2632172,False,0
ALX4,0.13465747,False,-1
AMER2,0.23045269,False,-1
AMIGO1,0.20586938,False,-1
AMIGO2,0.10807328,False,-1
AMMECR1,0.26238284,False,0
AMOTL1,0.21585608,False,-1
AMPH,0.4407839,False,-1
AMZ1,0.4050761,False,-1
ANGPT1,0.21054636,False,-1
ANGPT2,0.6545476,False,-1
ANK1,0.86620015,False,-1
ANK2,0.33489898,False,1
ANK3,0.978026,False,1
ANKDD1A,0.11401718,False,-1
ANKH,0.9984509,False,-1
ANKIB1,0.5500663,False,-1
ANKRD18A,0.326597,False,-1
ANKRD18B,0.14670347,False,-1
ANKRD20A1,0.10207749,False,-1
ANKRD22,0.13742656,False,-1
ANKRD28,0.50431067,False,-1
ANKRD29,0.35634348,False,-1
ANKRD30A,0.19597045,False,-1
ANKRD30B,0.76235527,False,0
ANKRD30BL,0.49712092,False,-1
ANKRD34B,0.23508845,False,-1
ANKRD36,0.41570884,False,-1
ANKRD36B,0.15119152,False,-1
ANKRD36C,0.16114098,False,-1
ANKRD6,0.20121881,False,-1
ANKRD7,0.13691148,False,-1
ANKS1B,0.9162513,False,1
ANO1,0.35698453,False,0
ANO2,0.33189714,False,0
ANO4,0.12305001,False,-1
ANO5,0.90142155,False,-1
ANO9,0.20132896,False,-1
ANTXR1,0.26742533,False,-1
ANXA1,0.13412173,False,-1
ANXA11,0.3009247,False,-1
ANXA2,0.12500918,False,-1
AOX1,0.15549958,False,-1
AP2M1,0.22214262,False,-1
AP3S1,0.3127154,False,-1
AP4S1,0.7680898,False,-1
APBA1,0.9911219,False,-1
APBB1,0.1034115,False,-1
APBB2,0.35361314,False,0
APC,0.31530806,False,-1
APC2,0.14551602,False,-1
APCDD1,0.44679105,False,0
APLN,0.20549688,False,-1
APLNR,0.6923881,False,-1
APOE,0.32869393,False,-1
APOLD1,0.24722369,False,0
APP,0.61438215,False,0
AQP4,0.22269902,False,0
AQP4-AS1,0.6932971,False,-1
AQP7,0.12056688,False,-1
ARAP2,0.22301185,False,-1
ARC,0.07975136,False,-1
ARF3,0.36594135,False,1
ARFGEF3,0.77818096,False,-1
ARGFX,0.17701906,False,-1
ARHGAP10,0.9794638,False,1
ARHGAP11A,0.9473954,False,-1
ARHGAP11B,0.118109226,False,0
ARHGAP20,0.8882233,True,1
ARHGAP23,0.10200548,False,-1
ARHGAP29,0.23788871,False,-1
ARHGAP33,0.097225666,False,-1
ARHGAP39,0.5500549,False,-1
ARHGAP44,0.69379205,False,0
ARHGDIG,0.23116098,False,0
ARHGEF10,0.3539626,False,-1
ARHGEF17,0.15064779,False,-1
ARHGEF25,0.11180484,False,-1
ARHGEF26,0.09883552,False,-1
ARHGEF28,0.45746154,False,-1
ARHGEF3,0.5540435,False,-1
ARHGEF33,0.23302492,False,-1
ARHGEF35,0.12997359,False,-1
ARHGEF4,0.90543556,False,-1
ARHGEF7,0.30881053,True,1
ARHGEF9,0.8669619,False,1
ARID3A,0.3924167,False,-1
ARID3B,0.31032178,False,-1
ARID5A,0.291691,False,-1
ARID5B,0.83467954,False,-1
ARL4C,0.04081031,False,-1
ARL4D,0.0871123,False,-1
ARL6,0.81460416,False,1
ARMC2,0.66773224,False,-1
ARMC4,0.36486945,False,-1
ARNT,0.46779755,False,-1
ARNT2,0.5709933,False,-1
ARNTL,0.7035482,False,0
ARNTL2,0.2165478,False,-1
ARPC5L,0.22051255,False,0
ARPP19,0.11360602,False,-1
ARPP21,0.8912982,False,-1
ARRDC3-AS1,0.29402956,False,-1
ARSJ,0.7715689,False,-1
ART3,0.20034923,False,-1
ARX,0.463415,False,1
ASAP1,0.41748917,False,-1
ASAP2,0.10558251,False,-1
ASB3,0.23779525,False,-1
ASCL1,0.6922891,False,-1
ASH2L,0.15670721,False,-1
ASIC1,0.23999265,False,-1
ASIC4,0.76598793,False,-1
ASPA,0.1718888,False,-1
ASPDH,0.1885939,False,0
ASPM,0.06143187,False,-1
ASRGL1,0.09304513,False,-1
ASTN1,0.33764336,False,-1
ASXL3,0.89124745,True,1
ATAD2,0.06883654,False,-1
ATAD5,0.48038405,False,-1
ATCAY,0.18093835,False,-1
ATF2,0.9564966,False,-1
ATF3,0.07104723,False,-1
ATF4,0.30325082,False,-1
ATF5,0.29739356,False,-1
ATF6,0.19563936,False,-1
ATF7,0.2998884,True,0
ATL1,0.4190292,False,-1
ATOH7,0.24216756,False,-1
ATP10A,0.2676011,False,0
ATP1A1,0.37355167,False,1
ATP1A2,0.24670663,False,-1
ATP1A3,0.40281075,False,1
ATP1B1,0.15545417,False,-1
ATP1B3,0.28575155,False,-1
ATP2B2,0.50451964,False,-1
ATP2B3,0.094201446,False,-1
ATP2B4,0.20776106,False,-1
ATP2C2,0.1928859,False,-1
ATP6V0C,0.15587598,False,-1
ATP6V0E2,0.21511579,False,-1
ATP6V1A,0.77348024,False,-1
ATP6V1G1,0.11765603,False,0
ATP8A1,0.2566102,False,-1
ATP8B1,0.46785083,True,1
ATP9A,0.18749973,False,-1
ATRNL1,0.83882046,False,1
ATXN1,0.90002334,False,-1
ATXN7L3B,0.18223633,False,-1
AURKA,0.10916373,False,-1
AUTS2,0.36116704,False,1
AVEN,0.18680751,False,-1
AXIN2,0.29816937,False,1
B2M,0.06256392,False,-1
B3GALT2,0.13575472,False,-1
B3GAT1,0.31749284,False,0
B3GAT2,0.2764705,False,-1
B3GLCT,0.4568635,False,-1
B4GALNT1,0.3529206,False,-1
B4GALNT3,0.77191633,False,-1
B4GALNT4,0.1336515,False,-1
B4GALT2,0.13002253,False,-1
B4GALT6,0.7278191,False,-1
